,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.33120494830657554,2025-06-15 23:23:00.824181,2025-06-15 23:23:03.506153,0 days 00:00:02.681972,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-34.11451245201652,2025-06-15 23:23:03.590722,2025-06-15 23:23:11.129112,0 days 00:00:07.538390,40.0,0.05,1m,0.6,0.6,1.1,416.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,,,,,,,,984,0.025,6m,1.0,1.2000000000000002,1.6,592,488.0,0.05,7m,1.4,1.4,1.6,512.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,0.3,9,COMPLETE
2,2,-4.0244959558830695,2025-06-15 23:23:11.183969,2025-06-15 23:23:18.716471,0 days 00:00:07.532502,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,,,,,,,,584,0.025,8m,1.3,0.6,1.6,376,920.0,0.025,9m,0.7,0.7,2.0,608.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,0.15000000000000002,9,COMPLETE
3,3,0.8231088359052859,2025-06-15 23:23:18.783223,2025-06-15 23:23:22.154830,0 days 00:00:03.371607,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-2.7142226971988395,2025-06-15 23:23:22.216316,2025-06-15 23:23:29.240313,0 days 00:00:07.023997,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,392.0,0.025,5m,1.4,0.8,1.1,144.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,0.4,8,COMPLETE
5,5,-16.035118703761583,2025-06-15 23:23:29.309758,2025-06-15 23:23:34.582709,0 days 00:00:05.272951,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.3925077353827034,2025-06-15 23:23:34.648128,2025-06-15 23:23:38.093583,0 days 00:00:03.445455,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-2.5763038204710638,2025-06-15 23:23:38.170966,2025-06-15 23:23:41.775862,0 days 00:00:03.604896,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-3.883756793177639,2025-06-15 23:23:41.838607,2025-06-15 23:23:43.660608,0 days 00:00:01.822001,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-4.445722572531998,2025-06-15 23:23:43.716120,2025-06-15 23:23:50.160204,0 days 00:00:06.444084,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,0.1,7,COMPLETE
