,number,value,datetime_start,datetime_complete,duration,params_AEP_BIIB_beta_win,params_AEP_BIIB_stop_loss,params_AEP_BIIB_trade_freq,params_AEP_BIIB_z_entry,params_AEP_BIIB_z_exit,params_AEP_BIIB_z_stop_scaler,params_AEP_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_COST_PANW_beta_win,params_COST_PANW_stop_loss,params_COST_PANW_trade_freq,params_COST_PANW_z_entry,params_COST_PANW_z_exit,params_COST_PANW_z_stop_scaler,params_COST_PANW_z_win,params_EBAY_MTCH_beta_win,params_EBAY_MTCH_stop_loss,params_EBAY_MTCH_trade_freq,params_EBAY_MTCH_z_entry,params_EBAY_MTCH_z_exit,params_EBAY_MTCH_z_stop_scaler,params_EBAY_MTCH_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.050938692145523004,2025-06-15 23:25:45.087275,2025-06-15 23:25:47.904102,0 days 00:00:02.816827,320.0,0.05,6m,1.4,0.6,1.1,320.0,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-6.594098141484562,2025-06-15 23:25:47.984545,2025-06-15 23:25:55.626082,0 days 00:00:07.641537,576.0,0.025,10m,0.7,1.3,1.1,384.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,,,,,,,,984,0.025,6m,1.0,1.2000000000000002,1.6,592,488.0,0.05,7m,1.4,1.4,1.6,512.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,0.3,9,COMPLETE
2,2,3.5185898703512493,2025-06-15 23:25:55.693221,2025-06-15 23:26:03.301448,0 days 00:00:07.608227,496.0,0.05,7m,1.5,1.1,1.6,672.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,,,,,,,,584,0.025,8m,1.3,0.6,1.6,376,920.0,0.025,9m,0.7,0.7,2.0,608.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,0.15000000000000002,9,COMPLETE
3,3,-1.837294376807493,2025-06-15 23:26:03.367398,2025-06-15 23:26:06.840869,0 days 00:00:03.473471,848.0,0.025,6m,0.9,1.3,1.1,672.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-0.1756292913154538,2025-06-15 23:26:06.905831,2025-06-15 23:26:13.988093,0 days 00:00:07.082262,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,816.0,0.05,7m,1.5,1.3,2.0,1008.0,,,,,,,,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,392.0,0.025,5m,1.4,0.8,1.1,144.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,0.4,8,COMPLETE
5,5,-21.379742308183335,2025-06-15 23:26:14.092005,2025-06-15 23:26:19.318032,0 days 00:00:05.226027,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,0.35000000000000003,6,COMPLETE
6,6,1.3184372094969754,2025-06-15 23:26:19.407367,2025-06-15 23:26:23.093592,0 days 00:00:03.686225,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-2.3019757388447983,2025-06-15 23:26:23.160402,2025-06-15 23:26:26.792505,0 days 00:00:03.632103,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-9.093454704145035,2025-06-15 23:26:26.845930,2025-06-15 23:26:28.629104,0 days 00:00:01.783174,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-4.749585187480323,2025-06-15 23:26:28.718422,2025-06-15 23:26:35.403835,0 days 00:00:06.685413,344.0,0.025,10m,0.7,1.0,1.5,40.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,0.1,7,COMPLETE
10,10,-2.111238853834364,2025-06-15 23:26:35.478145,2025-06-15 23:26:44.937654,0 days 00:00:09.459509,528.0,0.05,7m,1.5,0.9,1.8000000000000003,544.0,488.0,0.025,8m,1.0,1.5,2.0,48.0,936.0,0.05,5m,1.5,0.9,1.4000000000000001,32.0,840.0,0.05,7m,0.5,1.5,1.1,48.0,72.0,0.05,8m,0.5,0.6,1.1,544.0,632.0,0.025,8m,1.3,0.5,1.6,272.0,32,0.025,8m,1.0,0.5,2.0,984,1024.0,0.025,9m,0.5,0.5,2.0,984.0,480.0,0.05,9m,1.1,1.5,1.6,240.0,712.0,0.05,3m,1.3,1.5,1.4000000000000001,16.0,0.5,10,COMPLETE
11,11,-1.7537114353167595,2025-06-15 23:26:45.030230,2025-06-15 23:26:46.222990,0 days 00:00:01.192760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,0.05,2m,1.2000000000000002,1.5,1.4000000000000001,280,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
12,12,0.5630231057231748,2025-06-15 23:26:46.288143,2025-06-15 23:26:50.929329,0 days 00:00:04.641186,704.0,0.05,4m,1.0,1.5,1.5,904.0,616.0,0.05,9m,1.0,1.1,1.1,824.0,280.0,0.025,2m,1.2000000000000002,0.9,1.2000000000000002,968.0,,,,,,,,,,,,,,,,,,,,,,816,0.025,8m,1.3,1.5,1.4000000000000001,272,,,,,,,,,,,,,,,1016.0,0.05,10m,1.2000000000000002,1.5,1.1,104.0,0.45,5,COMPLETE
