,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.14781879616719498,2025-06-16 21:16:32.164540,2025-06-16 21:16:41.092744,0 days 00:00:08.928204,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-5.619386685012688,2025-06-16 21:16:41.132282,2025-06-16 21:16:46.377525,0 days 00:00:05.245243,488.0,0.05,7m,1.4,1.4,1.6,512.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,40.0,0.05,1m,0.6,0.6,1.1,416.0,,,,,,,,576.0,0.025,10m,0.7,1.3,1.1,384.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,0.3,9,COMPLETE
2,2,2.3755476959285695,2025-06-16 21:16:46.405501,2025-06-16 21:16:51.229236,0 days 00:00:04.823735,920.0,0.025,9m,0.7,0.7,2.0,608.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,584,0.025,8m,1.3,0.6,1.6,376,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,,,,,,,,496.0,0.05,7m,1.5,1.1,1.6,672.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,0.15000000000000002,9,COMPLETE
3,3,-0.33265685565176356,2025-06-16 21:16:51.265121,2025-06-16 21:16:53.387253,0 days 00:00:02.122132,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-4.270873195824192,2025-06-16 21:16:53.427921,2025-06-16 21:16:57.317729,0 days 00:00:03.889808,392.0,0.025,5m,1.4,0.8,1.1,144.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,,,,,,,,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,0.4,8,COMPLETE
5,5,-9.189139990105739,2025-06-16 21:16:57.352470,2025-06-16 21:17:00.338485,0 days 00:00:02.986015,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.5062518887103984,2025-06-16 21:17:00.367129,2025-06-16 21:17:02.392267,0 days 00:00:02.025138,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-0.5401163934511962,2025-06-16 21:17:02.435376,2025-06-16 21:17:04.754768,0 days 00:00:02.319392,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-0.4536087782586938,2025-06-16 21:17:04.779811,2025-06-16 21:17:06.062357,0 days 00:00:01.282546,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-2.672812689930862,2025-06-16 21:17:06.103850,2025-06-16 21:17:10.090560,0 days 00:00:03.986710,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,344.0,0.025,10m,0.7,1.0,1.5,40.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,0.1,7,COMPLETE
