,number,value,datetime_start,datetime_complete,duration,params_AAPL_ATVI_beta_win,params_AAPL_ATVI_stop_loss,params_AAPL_ATVI_trade_freq,params_AAPL_ATVI_z_entry,params_AAPL_ATVI_z_exit,params_AAPL_ATVI_z_stop_scaler,params_AAPL_ATVI_z_win,params_ABNB_ATVI_beta_win,params_ABNB_ATVI_stop_loss,params_ABNB_ATVI_trade_freq,params_ABNB_ATVI_z_entry,params_ABNB_ATVI_z_exit,params_ABNB_ATVI_z_stop_scaler,params_ABNB_ATVI_z_win,params_ADBE_ATVI_beta_win,params_ADBE_ATVI_stop_loss,params_ADBE_ATVI_trade_freq,params_ADBE_ATVI_z_entry,params_ADBE_ATVI_z_exit,params_ADBE_ATVI_z_stop_scaler,params_ADBE_ATVI_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_AMAT_ATVI_beta_win,params_AMAT_ATVI_stop_loss,params_AMAT_ATVI_trade_freq,params_AMAT_ATVI_z_entry,params_AMAT_ATVI_z_exit,params_AMAT_ATVI_z_stop_scaler,params_AMAT_ATVI_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_AMZN_ATVI_beta_win,params_AMZN_ATVI_stop_loss,params_AMZN_ATVI_trade_freq,params_AMZN_ATVI_z_entry,params_AMZN_ATVI_z_exit,params_AMZN_ATVI_z_stop_scaler,params_AMZN_ATVI_z_win,params_ATVI_ANSS_beta_win,params_ATVI_ANSS_stop_loss,params_ATVI_ANSS_trade_freq,params_ATVI_ANSS_z_entry,params_ATVI_ANSS_z_exit,params_ATVI_ANSS_z_stop_scaler,params_ATVI_ANSS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.05080542150456616,2025-06-15 23:36:57.906733,2025-06-15 23:37:01.954737,0 days 00:00:04.048004,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-2.3167403074829704,2025-06-15 23:37:02.042723,2025-06-15 23:37:11.729846,0 days 00:00:09.687123,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,,,,,,,,0.3,9,COMPLETE
2,2,-5.225853564089647,2025-06-15 23:37:11.815158,2025-06-15 23:37:21.613501,0 days 00:00:09.798343,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,584,0.025,8m,1.3,0.6,1.6,376,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,,,,,,,,0.15000000000000002,9,COMPLETE
3,3,-0.6279457120787284,2025-06-15 23:37:21.715665,2025-06-15 23:37:26.033951,0 days 00:00:04.318286,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-0.3214137533632944,2025-06-15 23:37:26.119610,2025-06-15 23:37:34.919008,0 days 00:00:08.799398,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,864.0,0.05,2m,1.4,0.9,2.0,168.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,0.4,8,COMPLETE
5,5,-26.664105451602058,2025-06-15 23:37:34.999746,2025-06-15 23:37:42.097569,0 days 00:00:07.097823,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.8471913700331145,2025-06-15 23:37:42.198056,2025-06-15 23:37:46.975144,0 days 00:00:04.777088,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-2.090632543920818,2025-06-15 23:37:47.075151,2025-06-15 23:37:51.552312,0 days 00:00:04.477161,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-1.0917168693771715,2025-06-15 23:37:51.683706,2025-06-15 23:37:54.116296,0 days 00:00:02.432590,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-13.385613424169613,2025-06-15 23:37:54.218171,2025-06-15 23:38:02.161917,0 days 00:00:07.943746,264.0,0.025,6m,0.8,0.9,1.1,536.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,560,0.025,4m,0.5,0.6,1.3,528,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,,,,,,,,0.1,7,COMPLETE
