,number,value,datetime_start,datetime_complete,duration,params_ADI_ILMN_beta_win,params_ADI_ILMN_stop_loss,params_ADI_ILMN_trade_freq,params_ADI_ILMN_z_entry,params_ADI_ILMN_z_exit,params_ADI_ILMN_z_stop_scaler,params_ADI_ILMN_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_ILMN_beta_win,params_HON_ILMN_stop_loss,params_HON_ILMN_trade_freq,params_HON_ILMN_z_entry,params_HON_ILMN_z_exit,params_HON_ILMN_z_stop_scaler,params_HON_ILMN_z_win,params_IDXX_ODFL_beta_win,params_IDXX_ODFL_stop_loss,params_IDXX_ODFL_trade_freq,params_IDXX_ODFL_z_entry,params_IDXX_ODFL_z_exit,params_IDXX_ODFL_z_stop_scaler,params_IDXX_ODFL_z_win,params_NFLX_PCAR_beta_win,params_NFLX_PCAR_stop_loss,params_NFLX_PCAR_trade_freq,params_NFLX_PCAR_z_entry,params_NFLX_PCAR_z_exit,params_NFLX_PCAR_z_stop_scaler,params_NFLX_PCAR_z_win,params_NFLX_SBUX_beta_win,params_NFLX_SBUX_stop_loss,params_NFLX_SBUX_trade_freq,params_NFLX_SBUX_z_entry,params_NFLX_SBUX_z_exit,params_NFLX_SBUX_z_stop_scaler,params_NFLX_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.02867183985715208,2025-06-16 00:20:00.251418,2025-06-16 00:20:12.070759,0 days 00:00:11.819341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,296.0,0.025,10m,1.5,0.9,1.6,248.0,344,0.05,5m,1.3,0.9,1.1,504,0.2,3,COMPLETE
1,1,-18.14642659859503,2025-06-16 00:20:12.110704,2025-06-16 00:20:18.725957,0 days 00:00:06.615253,488.0,0.05,7m,1.4,1.4,1.6,512.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,,,,,,,,216.0,0.025,8m,0.8,1.0,2.0,712.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,0.3,9,COMPLETE
2,2,0.9149770285595683,2025-06-16 00:20:18.791939,2025-06-16 00:20:25.700787,0 days 00:00:06.908848,920.0,0.025,9m,0.7,0.7,2.0,608.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,,,,,,,,384.0,0.05,9m,1.3,1.0,1.5,384.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,584,0.025,8m,1.3,0.6,1.6,376,0.15000000000000002,9,COMPLETE
3,3,-1.3650266331942407,2025-06-16 00:20:25.779090,2025-06-16 00:20:28.890171,0 days 00:00:03.111081,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,264,0.05,10m,1.5,0.5,1.6,720,0.05,4,COMPLETE
4,4,-0.26393041006249035,2025-06-16 00:20:28.951080,2025-06-16 00:20:35.107293,0 days 00:00:06.156213,392.0,0.025,5m,1.4,0.8,1.1,144.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,88.0,0.025,8m,1.5,0.7,1.3,848.0,,,,,,,,816.0,0.05,7m,1.5,1.3,2.0,1008.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,0.4,8,COMPLETE
5,5,-21.993542090323682,2025-06-16 00:20:35.177606,2025-06-16 00:20:39.813671,0 days 00:00:04.636065,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,792,0.025,5m,1.5,1.0,1.6,528,0.35000000000000003,6,COMPLETE
6,6,-0.7339631145487473,2025-06-16 00:20:39.880238,2025-06-16 00:20:43.497734,0 days 00:00:03.617496,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,608,0.05,2m,1.4,1.5,1.3,472,0.4,4,COMPLETE
7,7,1.7523641216313377,2025-06-16 00:20:43.568948,2025-06-16 00:20:52.276231,0 days 00:00:08.707283,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,0.3,4,COMPLETE
8,8,0.5052357923299973,2025-06-16 00:20:52.410460,2025-06-16 00:20:56.719866,0 days 00:00:04.309406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,704,0.05,7m,0.5,0.8,1.9000000000000001,256,0.3,2,COMPLETE
9,9,0.8391079408440254,2025-06-16 00:20:56.844328,2025-06-16 00:21:04.133759,0 days 00:00:07.289431,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,560,0.025,4m,0.5,0.6,1.3,528,0.1,7,COMPLETE
