,number,value,datetime_start,datetime_complete,duration,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_AVGO_ILMN_beta_win,params_AVGO_ILMN_stop_loss,params_AVGO_ILMN_trade_freq,params_AVGO_ILMN_z_entry,params_AVGO_ILMN_z_exit,params_AVGO_ILMN_z_stop_scaler,params_AVGO_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_LCID_ZM_beta_win,params_LCID_ZM_stop_loss,params_LCID_ZM_trade_freq,params_LCID_ZM_z_entry,params_LCID_ZM_z_exit,params_LCID_ZM_z_stop_scaler,params_LCID_ZM_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PAYX_ZM_beta_win,params_PAYX_ZM_stop_loss,params_PAYX_ZM_trade_freq,params_PAYX_ZM_z_entry,params_PAYX_ZM_z_exit,params_PAYX_ZM_z_stop_scaler,params_PAYX_ZM_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.025372050917922672,2025-06-16 00:20:01.584293,2025-06-16 00:20:13.209351,0 days 00:00:11.625058,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,296.0,0.025,10m,1.5,0.9,1.6,248.0,0.2,3,COMPLETE
1,1,-26.817434300007093,2025-06-16 00:20:13.275845,2025-06-16 00:20:20.528754,0 days 00:00:07.252909,576.0,0.025,10m,0.7,1.3,1.1,384.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,,,,,,,,488.0,0.05,7m,1.4,1.4,1.6,512.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,0.3,9,COMPLETE
2,2,-1.0121629511344405,2025-06-16 00:20:20.608348,2025-06-16 00:20:27.652887,0 days 00:00:07.044539,496.0,0.05,7m,1.5,1.1,1.6,672.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,,,,,,,,920.0,0.025,9m,0.7,0.7,2.0,608.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,584,0.025,8m,1.3,0.6,1.6,376,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,0.15000000000000002,9,COMPLETE
3,3,0.8477282514637379,2025-06-16 00:20:27.712462,2025-06-16 00:20:30.861045,0 days 00:00:03.148583,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,144.0,0.05,4m,0.5,0.7,1.5,632.0,0.05,4,COMPLETE
4,4,-0.4971994913093678,2025-06-16 00:20:30.941170,2025-06-16 00:20:37.225306,0 days 00:00:06.284136,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,,,,,,,,392.0,0.025,5m,1.4,0.8,1.1,144.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,864.0,0.05,2m,1.4,0.9,2.0,168.0,0.4,8,COMPLETE
5,5,-28.70315721300541,2025-06-16 00:20:37.310852,2025-06-16 00:20:42.572408,0 days 00:00:05.261556,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,792,0.025,5m,1.5,1.0,1.6,528,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,0.35000000000000003,6,COMPLETE
6,6,-1.0444207753294403,2025-06-16 00:20:42.636256,2025-06-16 00:20:49.883178,0 days 00:00:07.246922,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,0.4,4,COMPLETE
7,7,-1.1925885458900223,2025-06-16 00:20:50.025424,2025-06-16 00:20:58.342176,0 days 00:00:08.316752,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,264.0,0.025,5m,1.3,0.6,1.5,240.0,0.3,4,COMPLETE
8,8,-0.826316568645517,2025-06-16 00:20:58.459527,2025-06-16 00:21:00.796618,0 days 00:00:02.337091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,0.3,2,COMPLETE
9,9,-3.8258225926959537,2025-06-16 00:21:00.889315,2025-06-16 00:21:06.311830,0 days 00:00:05.422515,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,560,0.025,4m,0.5,0.6,1.3,528,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,0.1,7,COMPLETE
