,number,value,datetime_start,datetime_complete,duration,params_ADI_ZM_beta_win,params_ADI_ZM_stop_loss,params_ADI_ZM_trade_freq,params_ADI_ZM_z_entry,params_ADI_ZM_z_exit,params_ADI_ZM_z_stop_scaler,params_ADI_ZM_z_win,params_ANSS_ZM_beta_win,params_ANSS_ZM_stop_loss,params_ANSS_ZM_trade_freq,params_ANSS_ZM_z_entry,params_ANSS_ZM_z_exit,params_ANSS_ZM_z_stop_scaler,params_ANSS_ZM_z_win,params_ASML_ZM_beta_win,params_ASML_ZM_stop_loss,params_ASML_ZM_trade_freq,params_ASML_ZM_z_entry,params_ASML_ZM_z_exit,params_ASML_ZM_z_stop_scaler,params_ASML_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_CDNS_ZM_beta_win,params_CDNS_ZM_stop_loss,params_CDNS_ZM_trade_freq,params_CDNS_ZM_z_entry,params_CDNS_ZM_z_exit,params_CDNS_ZM_z_stop_scaler,params_CDNS_ZM_z_win,params_CPRT_ZM_beta_win,params_CPRT_ZM_stop_loss,params_CPRT_ZM_trade_freq,params_CPRT_ZM_z_entry,params_CPRT_ZM_z_exit,params_CPRT_ZM_z_stop_scaler,params_CPRT_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_MSFT_ZM_beta_win,params_MSFT_ZM_stop_loss,params_MSFT_ZM_trade_freq,params_MSFT_ZM_z_entry,params_MSFT_ZM_z_exit,params_MSFT_ZM_z_stop_scaler,params_MSFT_ZM_z_win,params_SGEN_ZM_beta_win,params_SGEN_ZM_stop_loss,params_SGEN_ZM_trade_freq,params_SGEN_ZM_z_entry,params_SGEN_ZM_z_exit,params_SGEN_ZM_z_stop_scaler,params_SGEN_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.5803129243864907,2025-06-16 00:20:01.114215,2025-06-16 00:20:12.705549,0 days 00:00:11.591334,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-13.892981936612479,2025-06-16 00:20:12.760667,2025-06-16 00:20:19.787892,0 days 00:00:07.027225,40.0,0.05,1m,0.6,0.6,1.1,416.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,576.0,0.025,10m,0.7,1.3,1.1,384.0,,,,,,,,216.0,0.025,8m,0.8,1.0,2.0,712.0,0.3,9,COMPLETE
2,2,-3.9512566733769834,2025-06-16 00:20:19.863535,2025-06-16 00:20:27.043978,0 days 00:00:07.180443,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,584,0.025,8m,1.3,0.6,1.6,376,496.0,0.05,7m,1.5,1.1,1.6,672.0,,,,,,,,384.0,0.05,9m,1.3,1.0,1.5,384.0,0.15000000000000002,9,COMPLETE
3,3,-1.2916363755953446,2025-06-16 00:20:27.105410,2025-06-16 00:20:30.227881,0 days 00:00:03.122471,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-1.3011932961075876,2025-06-16 00:20:30.301400,2025-06-16 00:20:36.579821,0 days 00:00:06.278421,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,864.0,0.05,2m,1.4,0.9,2.0,168.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,88.0,0.025,8m,1.5,0.7,1.3,848.0,0.4,8,COMPLETE
5,5,-13.814281381301466,2025-06-16 00:20:36.645707,2025-06-16 00:20:41.897216,0 days 00:00:05.251509,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,0.35000000000000003,6,COMPLETE
6,6,-2.3416342797263363,2025-06-16 00:20:41.963398,2025-06-16 00:20:47.770417,0 days 00:00:05.807019,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,0.9761425070107477,2025-06-16 00:20:47.900168,2025-06-16 00:20:56.646264,0 days 00:00:08.746096,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-5.354217047188669,2025-06-16 00:20:56.765915,2025-06-16 00:20:59.853649,0 days 00:00:03.087734,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-4.229739378124579,2025-06-16 00:20:59.936067,2025-06-16 00:21:05.781346,0 days 00:00:05.845279,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,560,0.025,4m,0.5,0.6,1.3,528,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,0.1,7,COMPLETE
10,10,-2.7811489353376415,2025-06-16 00:21:05.840451,2025-06-16 00:21:12.463448,0 days 00:00:06.622997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,1.3,1.1,48,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-18.480795789456423,2025-06-16 00:21:12.519410,2025-06-16 00:21:15.904208,0 days 00:00:03.384798,768.0,0.025,8m,1.2000000000000002,1.5,1.4000000000000001,1024.0,,,,,,,,,,,,,,,360.0,0.025,5m,1.1,1.5,1.7000000000000002,48.0,,,,,,,,,,,,,,,336,0.05,1m,0.8,1.0,1.1,984,1008.0,0.05,2m,1.4,0.5,1.5,440.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
12,12,-1.3568096031229238,2025-06-16 00:21:15.964384,2025-06-16 00:21:18.814436,0 days 00:00:02.850052,,,,,,,,,,,,,,,,,,,,,,336.0,0.025,7m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,400,0.05,3m,1.1,1.2000000000000002,1.3,56,392.0,0.05,1m,1.2000000000000002,0.8,1.3,216.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
13,13,1.1891503683891973,2025-06-16 00:21:18.871008,2025-06-16 00:21:23.214170,0 days 00:00:04.343162,408.0,0.025,7m,0.8,1.0,2.0,32.0,912.0,0.025,2m,1.5,1.5,2.0,48.0,,,,,,,,520.0,0.025,10m,1.2000000000000002,0.5,1.6,88.0,,,,,,,,,,,,,,,144,0.05,5m,0.8,0.9,1.2000000000000002,232,16.0,0.05,5m,1.2000000000000002,0.8,1.4000000000000001,584.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
14,14,-1.10027679504234,2025-06-16 00:21:23.283145,2025-06-16 00:21:28.637332,0 days 00:00:05.354187,448.0,0.025,7m,0.8,1.0,2.0,600.0,968.0,0.025,2m,1.5,1.5,2.0,24.0,,,,,,,,536.0,0.025,5m,1.1,0.5,1.4000000000000001,16.0,,,,,,,,,,,,,,,88,0.05,9m,0.7,1.4,1.4000000000000001,184,16.0,0.05,5m,1.1,0.8,1.7000000000000002,632.0,,,,,,,,1016.0,0.05,5m,1.0,1.4,2.0,16.0,0.25,6,COMPLETE
15,15,-1.140910972031254,2025-06-16 00:21:28.716345,2025-06-16 00:21:33.303741,0 days 00:00:04.587396,440.0,0.025,3m,1.2000000000000002,1.2000000000000002,1.7000000000000002,56.0,688.0,0.025,2m,1.3,1.3,1.7000000000000002,40.0,,,,,,,,544.0,0.025,6m,1.2000000000000002,0.5,1.7000000000000002,144.0,,,,,,,,,,,,,,,136,0.05,5m,0.7,1.1,1.2000000000000002,216,1000.0,0.05,2m,1.2000000000000002,0.9,1.4000000000000001,888.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
16,16,-1.1371657399851767,2025-06-16 00:21:33.367918,2025-06-16 00:21:38.248905,0 days 00:00:04.880987,256.0,0.025,4m,0.8,0.8,1.8000000000000003,632.0,32.0,0.025,10m,1.2000000000000002,1.2000000000000002,1.8000000000000003,344.0,,,,,,,,24.0,0.025,9m,0.9,0.7,1.1,408.0,,,,,,,,,,,,,,,448,0.05,7m,0.9,0.9,1.4000000000000001,312,704.0,0.025,5m,1.0,1.5,1.8000000000000003,520.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
17,17,-28.927217235931327,2025-06-16 00:21:38.356435,2025-06-16 00:21:44.651804,0 days 00:00:06.295369,720.0,0.025,7m,1.1,1.5,1.6,24.0,664.0,0.05,5m,1.2000000000000002,0.5,1.5,752.0,,,,,,,,688.0,0.025,5m,1.2000000000000002,0.5,1.5,136.0,,,,,,,,520.0,0.025,1m,1.3,0.5,1.1,24.0,200,0.05,9m,0.6,1.2000000000000002,2.0,112,760.0,0.05,9m,1.3,1.3,1.3,768.0,,,,,,,,576.0,0.05,3m,0.5,0.5,1.8000000000000003,328.0,0.35000000000000003,7,COMPLETE
18,18,-15.850464896123938,2025-06-16 00:21:44.723811,2025-06-16 00:21:53.369823,0 days 00:00:08.646012,544.0,0.025,7m,0.5,1.1,2.0,704.0,1008.0,0.025,1m,0.5,1.3,1.1,248.0,1024.0,0.025,3m,1.5,0.5,2.0,984.0,456.0,0.025,10m,1.0,0.8,1.3,360.0,16.0,0.05,3m,0.6,1.5,1.1,1024.0,480.0,0.025,5m,1.1,1.5,1.4000000000000001,632.0,440,0.05,2m,0.9,0.8,1.2000000000000002,720,544.0,0.05,5m,0.9,1.2000000000000002,2.0,552.0,488.0,0.025,8m,1.5,0.6,1.5,688.0,784.0,0.05,10m,1.0,1.5,1.1,32.0,0.1,10,COMPLETE
19,19,-0.08821206947253628,2025-06-16 00:21:53.432286,2025-06-16 00:21:54.304856,0 days 00:00:00.872570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,0.05,8m,0.6,1.1,1.4000000000000001,336,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
20,20,-1.8311158488879138,2025-06-16 00:21:54.359634,2025-06-16 00:21:56.898495,0 days 00:00:02.538861,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,7m,1.2000000000000002,1.2000000000000002,1.7000000000000002,720.0,,,,,,,,,,,,,,,24,0.025,6m,0.7,1.4,1.8000000000000003,144,856.0,0.025,2m,1.1,0.8,1.4000000000000001,840.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
