,number,value,datetime_start,datetime_complete,duration,params_ABNB_ADSK_beta_win,params_ABNB_ADSK_stop_loss,params_ABNB_ADSK_trade_freq,params_ABNB_ADSK_z_entry,params_ABNB_ADSK_z_exit,params_ABNB_ADSK_z_stop_scaler,params_ABNB_ADSK_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CTSH_TEAM_beta_win,params_CTSH_TEAM_stop_loss,params_CTSH_TEAM_trade_freq,params_CTSH_TEAM_z_entry,params_CTSH_TEAM_z_exit,params_CTSH_TEAM_z_stop_scaler,params_CTSH_TEAM_z_win,params_DXCM_FANG_beta_win,params_DXCM_FANG_stop_loss,params_DXCM_FANG_trade_freq,params_DXCM_FANG_z_entry,params_DXCM_FANG_z_exit,params_DXCM_FANG_z_stop_scaler,params_DXCM_FANG_z_win,params_ENPH_TEAM_beta_win,params_ENPH_TEAM_stop_loss,params_ENPH_TEAM_trade_freq,params_ENPH_TEAM_z_entry,params_ENPH_TEAM_z_exit,params_ENPH_TEAM_z_stop_scaler,params_ENPH_TEAM_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.530080557767031,2025-06-16 00:21:38.015858,2025-06-16 00:22:04.488513,0 days 00:00:26.472655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,0.05,8m,1.5,1.1,1.6,840,,,,,,,,264.0,0.05,5m,0.6,0.7,1.7000000000000002,48.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,0.4,3,COMPLETE
1,1,-11.283645589761571,2025-06-16 00:22:04.541326,2025-06-16 00:22:11.331919,0 days 00:00:06.790593,,,,,,,,,,,,,,,216.0,0.025,8m,0.8,1.0,2.0,712.0,,,,,,,,576,0.05,10m,1.1,0.8,1.9000000000000001,856,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,168.0,0.05,10m,0.8,0.8,1.3,352.0,576,0.025,10m,0.7,1.3,1.1,384,488.0,0.05,7m,1.4,1.4,1.6,512.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,0.4,7,COMPLETE
2,2,-0.4511026348670155,2025-06-16 00:22:11.410931,2025-06-16 00:22:19.857067,0 days 00:00:08.446136,928.0,0.025,6m,0.6,1.1,1.1,680.0,288.0,0.05,6m,0.7,1.2000000000000002,2.0,328.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,760.0,0.05,8m,1.4,1.2000000000000002,1.4000000000000001,608.0,248,0.05,9m,1.1,0.7,1.4000000000000001,352,96.0,0.05,9m,0.7,1.0,1.1,560.0,1016.0,0.05,5m,0.5,1.2000000000000002,1.3,704.0,496,0.05,7m,1.5,1.1,1.6,672,920.0,0.025,9m,0.7,0.7,2.0,608.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,0.3,10,COMPLETE
3,3,-0.1449294772292103,2025-06-16 00:22:19.938208,2025-06-16 00:22:23.319731,0 days 00:00:03.381523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,0.025,8m,1.1,0.7,1.2000000000000002,160,,,,,,,,368.0,0.025,6m,0.8,1.1,1.2000000000000002,672.0,816,0.05,4m,1.4,0.6,1.9000000000000001,80,,,,,,,,472.0,0.025,5m,0.6,0.7,1.2000000000000002,1000.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
4,4,0.33761129114797145,2025-06-16 00:22:23.419507,2025-06-16 00:22:32.876569,0 days 00:00:09.457062,1000.0,0.025,3m,1.5,1.5,1.1,184.0,544.0,0.05,6m,0.7,1.4,1.5,256.0,776.0,0.05,7m,1.3,1.0,2.0,536.0,608.0,0.025,6m,1.2000000000000002,0.8,1.6,320.0,200,0.025,2m,1.3,1.3,1.7000000000000002,16,384.0,0.05,6m,1.3,1.0,1.4000000000000001,328.0,504.0,0.05,3m,0.8,1.1,1.7000000000000002,728.0,88,0.025,8m,1.5,0.7,1.3,848,960.0,0.05,10m,0.7,1.5,1.3,432.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,768.0,0.05,2m,1.5,0.8,1.9000000000000001,176.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,0.35000000000000003,10,COMPLETE
5,5,-1.9980115911031855,2025-06-16 00:22:32.937789,2025-06-16 00:22:36.862565,0 days 00:00:03.924776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.05,6m,0.5,0.6,2.0,96,,,,,,,,280.0,0.05,6m,1.4,0.9,1.7000000000000002,776.0,384,0.025,4m,0.7,1.3,1.6,128,,,,,,,,128.0,0.05,10m,1.2000000000000002,0.8,1.4000000000000001,56.0,,,,,,,,792.0,0.025,9m,1.2000000000000002,1.5,1.3,544.0,0.5,3,COMPLETE
6,6,0.2067680033731878,2025-06-16 00:22:36.933573,2025-06-16 00:22:44.888654,0 days 00:00:07.955081,,,,,,,,1016.0,0.05,7m,1.3,0.6,1.8000000000000003,264.0,640.0,0.05,2m,0.8,0.6,1.9000000000000001,472.0,,,,,,,,544,0.025,2m,0.7,0.7,1.5,64,632.0,0.025,1m,0.8,1.5,1.8000000000000003,720.0,416.0,0.025,1m,1.3,1.3,1.9000000000000001,424.0,632,0.05,8m,1.0,0.6,1.7000000000000002,352,680.0,0.05,3m,0.6,0.7,1.9000000000000001,200.0,808.0,0.05,1m,1.0,1.4,2.0,416.0,680.0,0.025,10m,1.4,1.1,1.9000000000000001,536.0,408.0,0.05,10m,1.2000000000000002,1.3,1.6,32.0,0.45,8,COMPLETE
7,7,-1.2530742317053816,2025-06-16 00:22:44.956855,2025-06-16 00:22:52.641030,0 days 00:00:07.684175,,,,,,,,248.0,0.05,3m,0.5,1.3,2.0,624.0,760.0,0.025,7m,1.3,1.5,1.7000000000000002,1024.0,,,,,,,,504,0.05,5m,0.7,0.5,1.3,408,304.0,0.025,10m,1.1,0.8,1.9000000000000001,264.0,984.0,0.05,2m,0.9,1.2000000000000002,1.5,520.0,232,0.025,6m,1.4,0.7,1.5,344,464.0,0.05,10m,0.8,0.9,1.4000000000000001,920.0,776.0,0.025,5m,0.5,0.7,1.1,592.0,312.0,0.05,7m,0.5,1.5,1.3,48.0,472.0,0.05,1m,1.5,1.5,1.1,400.0,0.1,8,COMPLETE
8,8,-0.2780653645248216,2025-06-16 00:22:52.716565,2025-06-16 00:22:59.717550,0 days 00:00:07.000985,,,,,,,,,,,,,,,984.0,0.025,7m,0.7,1.2000000000000002,1.2000000000000002,272.0,,,,,,,,208,0.025,10m,1.0,1.1,1.2000000000000002,592,448.0,0.025,5m,1.0,1.1,1.7000000000000002,880.0,776.0,0.025,6m,1.2000000000000002,1.1,1.5,416.0,56,0.05,5m,0.9,1.1,1.3,32,456.0,0.025,8m,1.2000000000000002,1.1,1.3,1008.0,32.0,0.025,10m,1.3,0.6,1.9000000000000001,200.0,800.0,0.025,10m,1.4,1.3,1.3,808.0,1000.0,0.05,2m,1.4,1.0,1.1,1000.0,0.05,7,COMPLETE
9,9,0.39663033117111024,2025-06-16 00:22:59.785555,2025-06-16 00:23:05.253844,0 days 00:00:05.468289,,,,,,,,,,,,,,,48.0,0.05,2m,0.9,1.0,1.1,744.0,,,,,,,,688,0.025,8m,1.1,1.5,1.8000000000000003,128,728.0,0.025,4m,1.0,0.9,1.4000000000000001,520.0,584.0,0.025,6m,0.8,0.6,1.6,328.0,776,0.05,5m,1.1,1.2000000000000002,1.5,88,,,,,,,,232.0,0.025,2m,0.8,1.3,1.1,536.0,,,,,,,,632.0,0.05,10m,0.6,0.7,1.5,648.0,0.25,5,COMPLETE
10,10,0.11816213446916807,2025-06-16 00:23:05.344006,2025-06-16 00:23:07.196358,0 days 00:00:01.852352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,0.05,4m,1.5,1.0,1.6,920,,,,,,,,,,,,,,,976,0.05,2m,1.2000000000000002,1.5,1.1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
11,11,1.8430631263019246,2025-06-16 00:23:07.257865,2025-06-16 00:23:12.652941,0 days 00:00:05.395076,,,,,,,,,,,,,,,64.0,0.05,2m,0.5,0.6,1.1,48.0,,,,,,,,752,0.025,8m,1.5,1.5,1.8000000000000003,712,,,,,,,,24.0,0.025,8m,0.5,0.5,2.0,40.0,784,0.05,5m,1.2000000000000002,0.9,2.0,560,,,,,,,,312.0,0.025,2m,0.9,1.1,1.7000000000000002,696.0,,,,,,,,96.0,0.05,6m,0.6,0.6,1.9000000000000001,656.0,0.2,4,COMPLETE
12,12,0.18182381458453867,2025-06-16 00:23:12.747482,2025-06-16 00:23:18.055263,0 days 00:00:05.307781,,,,,,,,,,,,,,,32.0,0.05,10m,0.5,0.5,1.4000000000000001,64.0,,,,,,,,40,0.025,8m,1.5,1.5,1.7000000000000002,688,,,,,,,,24.0,0.025,8m,0.5,0.5,2.0,16.0,336,0.05,5m,1.2000000000000002,0.9,2.0,664,,,,,,,,384.0,0.025,9m,1.0,1.1,1.7000000000000002,824.0,,,,,,,,32.0,0.025,6m,0.5,0.5,2.0,688.0,0.2,4,COMPLETE
13,13,-41.22972898916158,2025-06-16 00:23:18.148289,2025-06-16 00:23:23.559278,0 days 00:00:05.410989,,,,,,,,,,,,,,,400.0,0.025,1m,0.5,0.7,1.3,32.0,,,,,,,,824,0.05,1m,1.3,1.2000000000000002,1.6,768,,,,,,,,32.0,0.025,5m,0.6,0.7,1.9000000000000001,40.0,776,0.05,9m,1.3,0.9,1.8000000000000003,544,,,,,,,,288.0,0.025,6m,0.8,1.1,1.6,696.0,,,,,,,,48.0,0.05,6m,0.8,0.5,1.9000000000000001,760.0,0.15000000000000002,4,COMPLETE
14,14,0.3581927595302466,2025-06-16 00:23:23.620569,2025-06-16 00:23:27.281587,0 days 00:00:03.661018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,0.025,7m,1.4,1.3,1.8000000000000003,968,,,,,,,,200.0,0.05,8m,1.1,0.5,2.0,1024.0,1000,0.05,3m,0.5,0.9,1.3,528,,,,,,,,608.0,0.025,2m,1.2000000000000002,1.0,1.7000000000000002,264.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
15,15,0.6835092624143795,2025-06-16 00:23:27.362101,2025-06-16 00:23:33.796158,0 days 00:00:06.434057,,,,,,,,,,,,,,,280.0,0.05,3m,1.1,0.8,1.7000000000000002,232.0,,,,,,,,1008,0.05,3m,1.3,1.0,2.0,1024,1024.0,0.05,8m,1.5,0.5,1.1,40.0,152.0,0.025,4m,0.6,0.7,1.8000000000000003,176.0,448,0.05,1m,1.0,0.8,2.0,712,,,,,,,,536.0,0.025,8m,0.9,1.1,1.5,776.0,,,,,,,,224.0,0.05,6m,0.8,1.0,1.8000000000000003,408.0,0.3,5,COMPLETE
