,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_GILD_ZM_beta_win,params_GILD_ZM_stop_loss,params_GILD_ZM_trade_freq,params_GILD_ZM_z_entry,params_GILD_ZM_z_exit,params_GILD_ZM_z_stop_scaler,params_GILD_ZM_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_JD_ZM_beta_win,params_JD_ZM_stop_loss,params_JD_ZM_trade_freq,params_JD_ZM_z_entry,params_JD_ZM_z_exit,params_JD_ZM_z_stop_scaler,params_JD_ZM_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5221489773585408,2025-06-16 00:30:11.930116,2025-06-16 00:30:14.532903,0 days 00:00:02.602787,296.0,0.025,10m,1.5,0.9,1.6,248.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-23.206044758983907,2025-06-16 00:30:14.618903,2025-06-16 00:30:22.091783,0 days 00:00:07.472880,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,,,,,,,,216.0,0.025,8m,0.8,1.0,2.0,712.0,0.3,9,COMPLETE
2,2,-9.849453816711346,2025-06-16 00:30:22.152664,2025-06-16 00:30:29.881854,0 days 00:00:07.729190,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,584,0.025,8m,1.3,0.6,1.6,376,488.0,0.05,7m,0.6,1.4,1.3,352.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,,,,,,,,384.0,0.05,9m,1.3,1.0,1.5,384.0,0.15000000000000002,9,COMPLETE
3,3,-1.3613931131052268,2025-06-16 00:30:29.942988,2025-06-16 00:30:33.481677,0 days 00:00:03.538689,144.0,0.05,4m,0.5,0.7,1.5,632.0,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-4.678466560998503,2025-06-16 00:30:33.550311,2025-06-16 00:30:40.263267,0 days 00:00:06.712956,864.0,0.05,2m,1.4,0.9,2.0,168.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,,,,,,,,392.0,0.025,5m,1.4,0.8,1.1,144.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,88.0,0.025,8m,1.5,0.7,1.3,848.0,0.4,8,COMPLETE
5,5,-27.4837280844155,2025-06-16 00:30:40.322859,2025-06-16 00:30:45.556341,0 days 00:00:05.233482,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,0.35000000000000003,6,COMPLETE
6,6,-2.947258318075701,2025-06-16 00:30:45.608192,2025-06-16 00:30:48.998127,0 days 00:00:03.389935,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-2.722738027461184,2025-06-16 00:30:49.032614,2025-06-16 00:30:52.461504,0 days 00:00:03.428890,264.0,0.025,5m,1.3,0.6,1.5,240.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-6.292564435477892,2025-06-16 00:30:52.512427,2025-06-16 00:30:54.313924,0 days 00:00:01.801497,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-5.633202431322646,2025-06-16 00:30:54.364735,2025-06-16 00:31:00.203439,0 days 00:00:05.838704,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,,,,,,,,344.0,0.025,10m,0.7,1.0,1.5,40.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,0.1,7,COMPLETE
