,number,value,datetime_start,datetime_complete,duration,params_COST_MU_beta_win,params_COST_MU_stop_loss,params_COST_MU_trade_freq,params_COST_MU_z_entry,params_COST_MU_z_exit,params_COST_MU_z_stop_scaler,params_COST_MU_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_EXC_TEAM_beta_win,params_EXC_TEAM_stop_loss,params_EXC_TEAM_trade_freq,params_EXC_TEAM_z_entry,params_EXC_TEAM_z_exit,params_EXC_TEAM_z_stop_scaler,params_EXC_TEAM_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MSFT_TTWO_beta_win,params_MSFT_TTWO_stop_loss,params_MSFT_TTWO_trade_freq,params_MSFT_TTWO_z_entry,params_MSFT_TTWO_z_exit,params_MSFT_TTWO_z_stop_scaler,params_MSFT_TTWO_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_WBA_WBD_beta_win,params_WBA_WBD_stop_loss,params_WBA_WBD_trade_freq,params_WBA_WBD_z_entry,params_WBA_WBD_z_exit,params_WBA_WBD_z_stop_scaler,params_WBA_WBD_z_win,params_ZS_EXC_beta_win,params_ZS_EXC_stop_loss,params_ZS_EXC_trade_freq,params_ZS_EXC_z_entry,params_ZS_EXC_z_exit,params_ZS_EXC_z_stop_scaler,params_ZS_EXC_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.1492674486514664,2025-06-16 00:35:00.572476,2025-06-16 00:35:02.831415,0 days 00:00:02.258939,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,0.2,3,COMPLETE
1,1,-6.845364918271978,2025-06-16 00:35:02.891122,2025-06-16 00:35:09.478894,0 days 00:00:06.587772,216.0,0.025,8m,0.8,1.0,2.0,712.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,,,,,,,,40.0,0.05,1m,0.6,0.6,1.1,416.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,0.3,9,COMPLETE
2,2,-0.5674393996583856,2025-06-16 00:35:09.532354,2025-06-16 00:35:16.212320,0 days 00:00:06.679966,384.0,0.05,9m,1.3,1.0,1.5,384.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,584,0.025,8m,1.3,0.6,1.6,376,,,,,,,,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,0.15000000000000002,9,COMPLETE
3,3,-1.8711900669225094,2025-06-16 00:35:16.269751,2025-06-16 00:35:19.403053,0 days 00:00:03.133302,,,,,,,,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,0.05,4,COMPLETE
4,4,-2.7850396212827566,2025-06-16 00:35:19.468278,2025-06-16 00:35:25.046426,0 days 00:00:05.578148,88.0,0.025,8m,1.5,0.7,1.3,848.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,0.4,8,COMPLETE
5,5,-7.956075053644697,2025-06-16 00:35:25.104923,2025-06-16 00:35:29.224068,0 days 00:00:04.119145,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.44184659493607964,2025-06-16 00:35:29.285363,2025-06-16 00:35:32.199610,0 days 00:00:02.914247,,,,,,,,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,0.4,4,COMPLETE
7,7,-1.9615357153447999,2025-06-16 00:35:32.263945,2025-06-16 00:35:35.120778,0 days 00:00:02.856833,,,,,,,,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,0.3,4,COMPLETE
8,8,-0.6580415404899691,2025-06-16 00:35:35.184287,2025-06-16 00:35:36.660044,0 days 00:00:01.475757,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-8.488700739682052,2025-06-16 00:35:36.721398,2025-06-16 00:35:41.553037,0 days 00:00:04.831639,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,0.1,7,COMPLETE
10,10,-3.7321488548524124,2025-06-16 00:35:41.599489,2025-06-16 00:35:50.286420,0 days 00:00:08.686931,,,,,,,,,,,,,,,,,,,,,,32,0.05,1m,1.0,0.9,1.1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-1.936546731694901,2025-06-16 00:35:50.444265,2025-06-16 00:35:54.525830,0 days 00:00:04.081565,,,,,,,,,,,,,,,,,,,,,,392,0.05,2m,1.2000000000000002,1.5,1.3,784,,,,,,,,232.0,0.025,2m,0.8,0.9,1.4000000000000001,1024.0,656.0,0.025,7m,1.5,1.5,1.1,872.0,,,,,,,,696.0,0.05,4m,1.2000000000000002,0.5,1.3,1008.0,,,,,,,,0.2,4,COMPLETE
12,12,-0.26420227490172055,2025-06-16 00:35:54.641076,2025-06-16 00:36:01.472180,0 days 00:00:06.831104,,,,,,,,,,,,,,,,,,,,,,768,0.05,3m,1.3,1.5,1.3,248,,,,,,,,,,,,,,,504.0,0.025,6m,1.0,0.9,1.7000000000000002,736.0,,,,,,,,392.0,0.05,1m,1.5,0.8,1.4000000000000001,432.0,,,,,,,,0.5,3,COMPLETE
13,13,0.10975268231194807,2025-06-16 00:36:01.610002,2025-06-16 00:36:06.360770,0 days 00:00:04.750768,,,,,,,,,,,,,,,,,,,,,,896,0.05,3m,1.1,1.2000000000000002,1.2000000000000002,24,,,,,,,,,,,,,,,448.0,0.025,6m,1.1,0.9,1.7000000000000002,88.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
14,14,-1.9216149928009847,2025-06-16 00:36:06.482242,2025-06-16 00:36:08.911627,0 days 00:00:02.429385,,,,,,,,,,,,,,,,,,,,,,1008,0.05,5m,0.9,1.2000000000000002,1.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
15,15,0.5374755893700419,2025-06-16 00:36:09.060077,2025-06-16 00:36:13.552529,0 days 00:00:04.492452,,,,,,,,,,,,,,,,,,,,,,880,0.05,3m,0.8,1.1,1.4000000000000001,992,,,,,,,,,,,,,,,400.0,0.025,10m,1.1,1.1,1.7000000000000002,24.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
16,16,0.6737070858703622,2025-06-16 00:36:13.707975,2025-06-16 00:36:16.985199,0 days 00:00:03.277224,,,,,,,,,,,,,,,,,,,,,,888,0.05,3m,0.8,1.3,1.4000000000000001,968,,,,,,,,,,,,,,,464.0,0.025,6m,1.1,1.2000000000000002,1.7000000000000002,32.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
17,17,-4.305084248783943,2025-06-16 00:36:17.084732,2025-06-16 00:36:21.406352,0 days 00:00:04.321620,1024.0,0.05,6m,0.5,1.5,2.0,56.0,,,,,,,,1008.0,0.025,1m,1.5,1.5,2.0,112.0,880,0.05,9m,0.7,1.3,1.4000000000000001,1016,,,,,,,,816.0,0.05,7m,1.2000000000000002,1.1,1.9000000000000001,24.0,600.0,0.025,9m,1.0,1.2000000000000002,1.8000000000000003,40.0,,,,,,,,72.0,0.05,9m,1.1,0.8,1.9000000000000001,88.0,,,,,,,,0.4,6,COMPLETE
18,18,-1.8001588393609447,2025-06-16 00:36:21.478663,2025-06-16 00:36:22.964392,0 days 00:00:01.485729,,,,,,,,,,,,,,,,,,,,,,712,0.05,3m,0.8,1.3,1.4000000000000001,880,,,,,,,,,,,,,,,416.0,0.025,10m,0.9,1.4,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
19,19,1.1320901189042085,2025-06-16 00:36:23.038620,2025-06-16 00:36:23.878144,0 days 00:00:00.839524,,,,,,,,,,,,,,,,,,,,,,856,0.05,3m,0.8,1.0,1.8000000000000003,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
20,20,-1.333169917373506,2025-06-16 00:36:23.900422,2025-06-16 00:36:24.785166,0 days 00:00:00.884744,,,,,,,,,,,,,,,,,,,,,,664,0.025,3m,0.7,1.0,1.9000000000000001,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
21,21,1.4117481167819523,2025-06-16 00:36:24.848601,2025-06-16 00:36:26.885128,0 days 00:00:02.036527,,,,,,,,,,,,,,,,,,,,,,872,0.05,3m,0.8,1.1,1.8000000000000003,928,,,,,,,,,,,,,,,256.0,0.025,8m,1.2000000000000002,1.1,1.7000000000000002,384.0,,,,,,,,1008.0,0.05,5m,0.9,1.5,2.0,560.0,,,,,,,,0.45,3,COMPLETE
22,22,0.17975697925739303,2025-06-16 00:36:26.941958,2025-06-16 00:36:29.182542,0 days 00:00:02.240584,,,,,,,,,,,,,,,,,,,,,,808,0.05,3m,0.8,1.4,1.8000000000000003,880,,,,,,,,,,,,,,,40.0,0.025,8m,1.2000000000000002,1.1,1.6,424.0,,,,,,,,976.0,0.05,5m,0.9,1.5,1.7000000000000002,552.0,,,,,,,,0.45,3,COMPLETE
23,23,-2.120259613358612,2025-06-16 00:36:29.233578,2025-06-16 00:36:32.618890,0 days 00:00:03.385312,,,,,,,,,,,,,,,48.0,0.025,2m,0.5,0.5,1.1,32.0,944,0.05,3m,0.9,1.1,2.0,712,,,,,,,,416.0,0.025,3m,0.5,1.5,1.7000000000000002,640.0,232.0,0.025,6m,1.2000000000000002,1.3,1.8000000000000003,360.0,,,,,,,,840.0,0.05,5m,0.5,0.9,1.8000000000000003,872.0,,,,,,,,0.45,5,COMPLETE
24,24,-1.3385421526931558,2025-06-16 00:36:32.672974,2025-06-16 00:36:33.497288,0 days 00:00:00.824314,,,,,,,,,,,,,,,,,,,,,,1024,0.05,6m,0.7,1.1,1.8000000000000003,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
25,25,-6.597062883588326,2025-06-16 00:36:33.561237,2025-06-16 00:36:36.158543,0 days 00:00:02.597306,,,,,,,,,,,,,,,,,,,,,,480,0.05,1m,0.9,1.0,1.7000000000000002,944,,,,,,,,,,,,,,,544.0,0.025,8m,0.9,1.5,1.4000000000000001,160.0,,,,,,,,608.0,0.05,5m,0.9,1.4,2.0,520.0,,,,,,,,0.45,3,COMPLETE
26,26,-4.95299037879028,2025-06-16 00:36:36.224206,2025-06-16 00:36:47.064633,0 days 00:00:10.840427,,,,,,,,,,,,,,,688.0,0.05,8m,1.2000000000000002,1.2000000000000002,1.7000000000000002,736.0,824,0.05,9m,0.6,1.3,1.5,656,,,,,,,,24.0,0.05,4m,1.5,1.5,2.0,32.0,184.0,0.025,1m,1.1,1.1,1.9000000000000001,624.0,,,,,,,,864.0,0.05,2m,1.3,1.2000000000000002,2.0,216.0,,,,,,,,0.35000000000000003,5,COMPLETE
27,27,-1.3725969918158685,2025-06-16 00:36:47.202296,2025-06-16 00:36:52.187129,0 days 00:00:04.984833,,,,,,,,,,,,,,,,,,,,,,920,0.05,4m,0.6,1.4,2.0,808,,,,,,,,,,,,,,,744.0,0.025,5m,1.3,1.3,1.6,144.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
28,28,-0.09715487029936352,2025-06-16 00:36:52.318451,2025-06-16 00:36:54.870466,0 days 00:00:02.552015,,,,,,,,,,,,,,,,,,,,,,736,0.05,8m,0.8,0.9,1.8000000000000003,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
29,29,-2.597968659210548,2025-06-16 00:36:55.012352,2025-06-16 00:36:59.591781,0 days 00:00:04.579429,,,,,,,,,,,,,,,,,,,,,,640,0.05,3m,1.1,0.8,1.7000000000000002,720,,,,,,,,,,,,,,,344.0,0.025,2m,0.9,1.0,1.9000000000000001,504.0,,,,,,,,720.0,0.05,7m,1.0,1.5,1.7000000000000002,560.0,,,,,,,,0.45,3,COMPLETE
