,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_KLAC_beta_win,params_DASH_KLAC_stop_loss,params_DASH_KLAC_trade_freq,params_DASH_KLAC_z_entry,params_DASH_KLAC_z_exit,params_DASH_KLAC_z_stop_scaler,params_DASH_KLAC_z_win,params_DASH_LRCX_beta_win,params_DASH_LRCX_stop_loss,params_DASH_LRCX_trade_freq,params_DASH_LRCX_z_entry,params_DASH_LRCX_z_exit,params_DASH_LRCX_z_stop_scaler,params_DASH_LRCX_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_PYPL_GFS_beta_win,params_PYPL_GFS_stop_loss,params_PYPL_GFS_trade_freq,params_PYPL_GFS_z_entry,params_PYPL_GFS_z_exit,params_PYPL_GFS_z_stop_scaler,params_PYPL_GFS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.20713570088273903,2025-06-16 00:37:02.748743,2025-06-16 00:37:04.986998,0 days 00:00:02.238255,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,344,0.05,5m,1.3,0.9,1.1,504,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-15.121088159534947,2025-06-16 00:37:05.038684,2025-06-16 00:37:11.080165,0 days 00:00:06.041481,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,576.0,0.025,10m,0.7,1.3,1.1,384.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,,,,,,,,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,0.3,9,COMPLETE
2,2,0.5474761043181989,2025-06-16 00:37:11.129286,2025-06-16 00:37:20.666541,0 days 00:00:09.537255,96.0,0.05,9m,0.7,1.0,1.1,560.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,584,0.025,8m,1.3,0.6,1.6,376,496.0,0.05,7m,1.5,1.1,1.6,672.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,,,,,,,,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,0.15000000000000002,9,COMPLETE
3,3,-7.020623639546412,2025-06-16 00:37:20.794820,2025-06-16 00:37:29.361343,0 days 00:00:08.566523,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,264,0.05,10m,1.5,0.5,1.6,720,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,1.1300947167537012,2025-06-16 00:37:29.505566,2025-06-16 00:37:41.518673,0 days 00:00:12.013107,816.0,0.05,7m,1.5,1.3,2.0,1008.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,0.4,8,COMPLETE
5,5,-18.158706007338857,2025-06-16 00:37:41.597851,2025-06-16 00:37:45.795583,0 days 00:00:04.197732,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,792,0.025,5m,1.5,1.0,1.6,528,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,0.35000000000000003,6,COMPLETE
6,6,-0.004748075206740728,2025-06-16 00:37:45.877138,2025-06-16 00:37:48.973811,0 days 00:00:03.096673,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,608,0.05,2m,1.4,1.5,1.3,472,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-5.119868518034665,2025-06-16 00:37:49.036719,2025-06-16 00:37:52.015214,0 days 00:00:02.978495,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-4.577047525352374,2025-06-16 00:37:52.096868,2025-06-16 00:37:53.802624,0 days 00:00:01.705756,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-3.7777317526000145,2025-06-16 00:37:53.872005,2025-06-16 00:37:58.875493,0 days 00:00:05.003488,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,560,0.025,4m,0.5,0.6,1.3,528,344.0,0.025,10m,0.7,1.0,1.5,40.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,,,,,,,,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,0.1,7,COMPLETE
