,number,value,datetime_start,datetime_complete,duration,params_AMAT_META_beta_win,params_AMAT_META_stop_loss,params_AMAT_META_trade_freq,params_AMAT_META_z_entry,params_AMAT_META_z_exit,params_AMAT_META_z_stop_scaler,params_AMAT_META_z_win,params_AMAT_NVDA_beta_win,params_AMAT_NVDA_stop_loss,params_AMAT_NVDA_trade_freq,params_AMAT_NVDA_z_entry,params_AMAT_NVDA_z_exit,params_AMAT_NVDA_z_stop_scaler,params_AMAT_NVDA_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_AZN_MRNA_beta_win,params_AZN_MRNA_stop_loss,params_AZN_MRNA_trade_freq,params_AZN_MRNA_z_entry,params_AZN_MRNA_z_exit,params_AZN_MRNA_z_stop_scaler,params_AZN_MRNA_z_win,params_AZN_VRSK_beta_win,params_AZN_VRSK_stop_loss,params_AZN_VRSK_trade_freq,params_AZN_VRSK_z_entry,params_AZN_VRSK_z_exit,params_AZN_VRSK_z_stop_scaler,params_AZN_VRSK_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.29527438339553735,2025-06-16 00:37:46.066159,2025-06-16 00:37:48.483201,0 days 00:00:02.417042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,320.0,0.05,6m,1.4,0.6,1.1,320.0,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,0.2,3,COMPLETE
1,1,-16.162795688543603,2025-06-16 00:37:48.599243,2025-06-16 00:37:55.104777,0 days 00:00:06.505534,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,,,,,,,,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,576.0,0.025,10m,0.7,1.3,1.1,384.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,0.3,9,COMPLETE
2,2,-0.04344260647647811,2025-06-16 00:37:55.171111,2025-06-16 00:38:01.313375,0 days 00:00:06.142264,96.0,0.05,9m,0.7,1.0,1.1,560.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,,,,,,,,488.0,0.05,7m,0.6,1.4,1.3,352.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,584,0.025,8m,1.3,0.6,1.6,376,496.0,0.05,7m,1.5,1.1,1.6,672.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,0.15000000000000002,9,COMPLETE
3,3,-3.1096261529256295,2025-06-16 00:38:01.364981,2025-06-16 00:38:04.216656,0 days 00:00:02.851675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,264,0.05,10m,1.5,0.5,1.6,720,848.0,0.025,6m,0.9,1.3,1.1,672.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,0.05,4,COMPLETE
4,4,2.7668872425838664,2025-06-16 00:38:04.296892,2025-06-16 00:38:09.779675,0 days 00:00:05.482783,816.0,0.05,7m,1.5,1.3,2.0,1008.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,,,,,,,,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,0.4,8,COMPLETE
5,5,-23.766221391135346,2025-06-16 00:38:09.840304,2025-06-16 00:38:13.881835,0 days 00:00:04.041531,,,,,,,,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,792,0.025,5m,1.5,1.0,1.6,528,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,0.35000000000000003,6,COMPLETE
6,6,0.47934756751691776,2025-06-16 00:38:13.946003,2025-06-16 00:38:16.773764,0 days 00:00:02.827761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,608,0.05,2m,1.4,1.5,1.3,472,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,0.4,4,COMPLETE
7,7,2.962047619884491,2025-06-16 00:38:16.841723,2025-06-16 00:38:19.874913,0 days 00:00:03.033190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,0.3,4,COMPLETE
8,8,-2.7761901525602,2025-06-16 00:38:19.939985,2025-06-16 00:38:21.497799,0 days 00:00:01.557814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,0.3,2,COMPLETE
9,9,-3.318037860131252,2025-06-16 00:38:21.548344,2025-06-16 00:38:26.596802,0 days 00:00:05.048458,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,560,0.025,4m,0.5,0.6,1.3,528,344.0,0.025,10m,0.7,1.0,1.5,40.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,0.1,7,COMPLETE
