,number,value,datetime_start,datetime_complete,duration,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5855084130872977,2025-06-16 00:38:21.413995,2025-06-16 00:38:23.900676,0 days 00:00:02.486681,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,0.2,3,COMPLETE
1,1,-2.5387480858050187,2025-06-16 00:38:23.971981,2025-06-16 00:38:30.655335,0 days 00:00:06.683354,488.0,0.05,7m,1.4,1.4,1.6,512.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,216.0,0.025,8m,0.8,1.0,2.0,712.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,,,,,,,,576.0,0.025,10m,0.7,1.3,1.1,384.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,0.3,9,COMPLETE
2,2,-3.0938360946535237,2025-06-16 00:38:30.737501,2025-06-16 00:38:37.423840,0 days 00:00:06.686339,920.0,0.025,9m,0.7,0.7,2.0,608.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,584,0.025,8m,1.3,0.6,1.6,376,384.0,0.05,9m,1.3,1.0,1.5,384.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,,,,,,,,496.0,0.05,7m,1.5,1.1,1.6,672.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,0.15000000000000002,9,COMPLETE
3,3,-1.8703562196968204,2025-06-16 00:38:37.480674,2025-06-16 00:38:40.514215,0 days 00:00:03.033541,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,0.05,4,COMPLETE
4,4,-3.194745507068897,2025-06-16 00:38:40.561457,2025-06-16 00:38:46.416262,0 days 00:00:05.854805,392.0,0.025,5m,1.4,0.8,1.1,144.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,88.0,0.025,8m,1.5,0.7,1.3,848.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,,,,,,,,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,0.4,8,COMPLETE
5,5,-4.626839899061724,2025-06-16 00:38:46.471939,2025-06-16 00:38:50.985643,0 days 00:00:04.513704,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,792,0.025,5m,1.5,1.0,1.6,528,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,0.28108195433586486,2025-06-16 00:38:51.045827,2025-06-16 00:38:54.230101,0 days 00:00:03.184274,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,0.4,4,COMPLETE
7,7,-2.719745370296341,2025-06-16 00:38:54.272436,2025-06-16 00:38:57.414293,0 days 00:00:03.141857,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,0.3,4,COMPLETE
8,8,0.8055372605076447,2025-06-16 00:38:57.493153,2025-06-16 00:38:59.055042,0 days 00:00:01.561889,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-8.368061332479652,2025-06-16 00:38:59.105927,2025-06-16 00:39:04.432550,0 days 00:00:05.326623,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,560,0.025,4m,0.5,0.6,1.3,528,584.0,0.025,1m,1.3,0.8,1.1,744.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,0.1,7,COMPLETE
