,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_NFLX_beta_win,params_AMZN_NFLX_stop_loss,params_AMZN_NFLX_trade_freq,params_AMZN_NFLX_z_entry,params_AMZN_NFLX_z_exit,params_AMZN_NFLX_z_stop_scaler,params_AMZN_NFLX_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_LULU_TTD_beta_win,params_LULU_TTD_stop_loss,params_LULU_TTD_trade_freq,params_LULU_TTD_z_entry,params_LULU_TTD_z_exit,params_LULU_TTD_z_stop_scaler,params_LULU_TTD_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.41271077685268276,2025-06-16 00:40:11.653425,2025-06-16 00:40:14.745243,0 days 00:00:03.091818,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,328,0.05,8m,1.5,1.1,1.6,840,296.0,0.025,10m,1.5,0.9,1.6,248.0,0.15000000000000002,3,COMPLETE
1,1,0.6446128476348048,2025-06-16 00:40:14.807488,2025-06-16 00:40:16.441190,0 days 00:00:01.633702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288,576,0.025,10m,0.7,1.3,1.1,384,,,,,,,,0.05,1,COMPLETE
2,2,-5.928090336327402,2025-06-16 00:40:16.486297,2025-06-16 00:40:20.936353,0 days 00:00:04.450056,,,,,,,,,,,,,,,,,,,,,,304.0,0.05,6m,1.5,0.5,1.1,488.0,256.0,0.025,7m,1.0,0.7,1.1,744.0,,,,,,,,,,,,,,,880.0,0.025,5m,1.1,1.3,1.9000000000000001,848.0,104,0.05,9m,0.5,1.5,1.2000000000000002,144,440,0.05,7m,1.2000000000000002,1.5,1.3,360,1008.0,0.05,5m,1.2000000000000002,1.0,1.4000000000000001,272.0,0.3,5,COMPLETE
3,3,-1.0126213789296719,2025-06-16 00:40:21.037873,2025-06-16 00:40:24.742769,0 days 00:00:03.704896,,,,,,,,,,,,,,,,,,,,,,1008.0,0.025,5m,1.1,0.9,1.9000000000000001,576.0,880.0,0.025,3m,0.6,1.2000000000000002,1.8000000000000003,456.0,,,,,,,,,,,,,,,,,,,,,,832,0.025,6m,1.1,1.0,2.0,112,552,0.025,1m,0.8,0.6,1.6,1000,272.0,0.05,9m,1.4,0.5,1.3,536.0,0.4,4,COMPLETE
4,4,-10.689413787323367,2025-06-16 00:40:24.811132,2025-06-16 00:40:29.937027,0 days 00:00:05.125895,,,,,,,,56.0,0.05,2m,1.0,0.7,1.1,272.0,,,,,,,,1000.0,0.05,5m,0.8,1.1,1.3,744.0,280.0,0.05,3m,1.0,1.1,1.3,608.0,,,,,,,,,,,,,,,960.0,0.05,8m,1.0,0.7,1.4000000000000001,56.0,472,0.05,5m,1.4,0.7,1.7000000000000002,776,400,0.025,4m,0.5,0.7,1.5,824,32.0,0.025,5m,1.1,1.3,1.6,216.0,0.2,6,COMPLETE
5,5,-4.883232559579494,2025-06-16 00:40:30.000079,2025-06-16 00:40:37.553314,0 days 00:00:07.553235,1016.0,0.025,5m,1.5,0.6,1.3,768.0,112.0,0.05,9m,1.3,0.6,1.6,496.0,920.0,0.05,3m,0.5,0.8,1.7000000000000002,352.0,896.0,0.025,9m,1.5,0.6,2.0,472.0,184.0,0.025,1m,1.4,1.1,1.7000000000000002,136.0,,,,,,,,992.0,0.05,6m,0.8,1.0,1.4000000000000001,256.0,152.0,0.05,4m,1.3,0.8,1.5,672.0,512,0.025,6m,0.9,1.0,2.0,744,792,0.025,5m,1.5,1.0,1.6,528,744.0,0.025,10m,1.2000000000000002,1.2000000000000002,1.2000000000000002,232.0,0.4,9,COMPLETE
6,6,-4.6247577122516645,2025-06-16 00:40:37.608243,2025-06-16 00:40:42.994257,0 days 00:00:05.386014,,,,,,,,608.0,0.05,2m,1.4,1.5,1.3,472.0,,,,,,,,864.0,0.05,7m,0.9,0.5,1.3,104.0,416.0,0.05,2m,0.8,1.3,1.8000000000000003,232.0,,,,,,,,,,,,,,,104.0,0.025,4m,1.1,1.3,1.3,720.0,368,0.05,8m,0.6,0.7,1.7000000000000002,216,672,0.05,4m,1.4,0.6,1.2000000000000002,776,272.0,0.025,10m,0.6,0.5,2.0,632.0,0.35000000000000003,6,COMPLETE
7,7,-3.994182716755238,2025-06-16 00:40:43.060710,2025-06-16 00:40:49.701213,0 days 00:00:06.640503,488.0,0.025,5m,1.5,1.5,1.9000000000000001,920.0,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,392.0,0.05,7m,0.6,1.2000000000000002,1.1,104.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,544.0,0.025,9m,1.2000000000000002,0.7,1.1,152.0,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,216,0.05,2m,0.6,1.1,1.3,976,744,0.025,8m,1.0,1.2000000000000002,1.6,792,544.0,0.025,6m,0.6,0.6,2.0,88.0,0.2,8,COMPLETE
8,8,0.9712090262944004,2025-06-16 00:40:49.786337,2025-06-16 00:40:51.958251,0 days 00:00:02.171914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,0.05,3m,1.5,1.0,1.2000000000000002,216,872,0.05,10m,0.8,1.3,1.6,32,720.0,0.025,3m,0.8,0.5,1.3,848.0,0.45,2,COMPLETE
9,9,0.5906710615558904,2025-06-16 00:40:52.042458,2025-06-16 00:40:56.460838,0 days 00:00:04.418380,,,,,,,,,,,,,,,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,192.0,0.025,6m,0.7,1.3,1.2000000000000002,504.0,,,,,,,,,,,,,,,472.0,0.025,2m,0.9,0.5,1.8000000000000003,304.0,264,0.025,6m,0.8,0.9,1.1,536,104,0.05,10m,0.8,0.5,1.1,360,584.0,0.025,1m,1.3,0.8,1.1,744.0,0.05,5,COMPLETE
