,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DDOG_ROP_beta_win,params_DDOG_ROP_stop_loss,params_DDOG_ROP_trade_freq,params_DDOG_ROP_z_entry,params_DDOG_ROP_z_exit,params_DDOG_ROP_z_stop_scaler,params_DDOG_ROP_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.43109711023283165,2025-06-16 00:43:53.378417,2025-06-16 00:43:55.852777,0 days 00:00:02.474360,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,344,0.05,5m,1.3,0.9,1.1,504,0.2,3,COMPLETE
1,1,-16.335818248514563,2025-06-16 00:43:55.912060,2025-06-16 00:44:02.591417,0 days 00:00:06.679357,576.0,0.025,10m,0.7,1.3,1.1,384.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,,,,,,,,40.0,0.05,1m,0.6,0.6,1.1,416.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,0.3,9,COMPLETE
2,2,-0.9741785999034689,2025-06-16 00:44:02.642346,2025-06-16 00:44:09.535268,0 days 00:00:06.892922,496.0,0.05,7m,1.5,1.1,1.6,672.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,,,,,,,,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,584,0.025,8m,1.3,0.6,1.6,376,0.15000000000000002,9,COMPLETE
3,3,-0.1961142883582755,2025-06-16 00:44:09.612211,2025-06-16 00:44:12.743904,0 days 00:00:03.131693,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,264,0.05,10m,1.5,0.5,1.6,720,0.05,4,COMPLETE
4,4,1.6496256341774402,2025-06-16 00:44:12.804175,2025-06-16 00:44:18.876758,0 days 00:00:06.072583,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,864.0,0.05,2m,1.4,0.9,2.0,168.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,0.4,8,COMPLETE
5,5,-32.82168493889456,2025-06-16 00:44:18.952569,2025-06-16 00:44:23.395741,0 days 00:00:04.443172,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,792,0.025,5m,1.5,1.0,1.6,528,0.35000000000000003,6,COMPLETE
6,6,1.1983470627312005,2025-06-16 00:44:23.455674,2025-06-16 00:44:26.470395,0 days 00:00:03.014721,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,608,0.05,2m,1.4,1.5,1.3,472,0.4,4,COMPLETE
7,7,0.8785845038645106,2025-06-16 00:44:26.540539,2025-06-16 00:44:29.473489,0 days 00:00:02.932950,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,0.3,4,COMPLETE
8,8,0.7572698044676974,2025-06-16 00:44:29.563774,2025-06-16 00:44:31.064287,0 days 00:00:01.500513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,704,0.05,7m,0.5,0.8,1.9000000000000001,256,0.3,2,COMPLETE
9,9,-5.46757790408316,2025-06-16 00:44:31.119764,2025-06-16 00:44:36.220094,0 days 00:00:05.100330,344.0,0.025,10m,0.7,1.0,1.5,40.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,,,,,,,,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,560,0.025,4m,0.5,0.6,1.3,528,0.1,7,COMPLETE
