,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_DASH_GEHC_beta_win,params_DASH_GEHC_stop_loss,params_DASH_GEHC_trade_freq,params_DASH_GEHC_z_entry,params_DASH_GEHC_z_exit,params_DASH_GEHC_z_stop_scaler,params_DASH_GEHC_z_win,params_FANG_WBD_beta_win,params_FANG_WBD_stop_loss,params_FANG_WBD_trade_freq,params_FANG_WBD_z_entry,params_FANG_WBD_z_exit,params_FANG_WBD_z_stop_scaler,params_FANG_WBD_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_PAYX_PYPL_beta_win,params_PAYX_PYPL_stop_loss,params_PAYX_PYPL_trade_freq,params_PAYX_PYPL_z_entry,params_PAYX_PYPL_z_exit,params_PAYX_PYPL_z_stop_scaler,params_PAYX_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.0698498883131403,2025-06-16 00:46:39.180771,2025-06-16 00:46:41.432945,0 days 00:00:02.252174,320.0,0.05,6m,1.4,0.6,1.1,320.0,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,0.2,3,COMPLETE
1,1,-22.074539045259638,2025-06-16 00:46:41.500104,2025-06-16 00:46:48.222810,0 days 00:00:06.722706,576.0,0.025,10m,0.7,1.3,1.1,384.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,,,,,,,,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,0.3,9,COMPLETE
2,2,-2.795100098171109,2025-06-16 00:46:48.292650,2025-06-16 00:46:55.164512,0 days 00:00:06.871862,496.0,0.05,7m,1.5,1.1,1.6,672.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,,,,,,,,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,584,0.025,8m,1.3,0.6,1.6,376,0.15000000000000002,9,COMPLETE
3,3,0.6412361169357675,2025-06-16 00:46:55.222270,2025-06-16 00:46:58.175966,0 days 00:00:02.953696,848.0,0.025,6m,0.9,1.3,1.1,672.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,0.05,4,COMPLETE
4,4,-1.7304228992795325,2025-06-16 00:46:58.250719,2025-06-16 00:47:04.189725,0 days 00:00:05.939006,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,0.4,8,COMPLETE
5,5,-17.570037544592456,2025-06-16 00:47:04.275185,2025-06-16 00:47:08.907750,0 days 00:00:04.632565,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,0.35000000000000003,6,COMPLETE
6,6,0.044215912163638425,2025-06-16 00:47:08.992224,2025-06-16 00:47:11.981935,0 days 00:00:02.989711,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,0.4,4,COMPLETE
7,7,-2.9916151277663903,2025-06-16 00:47:12.038501,2025-06-16 00:47:15.114831,0 days 00:00:03.076330,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,0.3,4,COMPLETE
8,8,-0.9008456350909294,2025-06-16 00:47:15.184389,2025-06-16 00:47:16.656203,0 days 00:00:01.471814,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,0.3,2,COMPLETE
9,9,-2.4615175606216577,2025-06-16 00:47:16.707013,2025-06-16 00:47:22.139576,0 days 00:00:05.432563,344.0,0.025,10m,0.7,1.0,1.5,40.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,0.1,7,COMPLETE
