,number,value,datetime_start,datetime_complete,duration,params_ARM_ROP_beta_win,params_ARM_ROP_stop_loss,params_ARM_ROP_trade_freq,params_ARM_ROP_z_entry,params_ARM_ROP_z_exit,params_ARM_ROP_z_stop_scaler,params_ARM_ROP_z_win,params_AVGO_ROP_beta_win,params_AVGO_ROP_stop_loss,params_AVGO_ROP_trade_freq,params_AVGO_ROP_z_entry,params_AVGO_ROP_z_exit,params_AVGO_ROP_z_stop_scaler,params_AVGO_ROP_z_win,params_COST_ROP_beta_win,params_COST_ROP_stop_loss,params_COST_ROP_trade_freq,params_COST_ROP_z_entry,params_COST_ROP_z_exit,params_COST_ROP_z_stop_scaler,params_COST_ROP_z_win,params_FTNT_ROP_beta_win,params_FTNT_ROP_stop_loss,params_FTNT_ROP_trade_freq,params_FTNT_ROP_z_entry,params_FTNT_ROP_z_exit,params_FTNT_ROP_z_stop_scaler,params_FTNT_ROP_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_IDXX_ON_beta_win,params_IDXX_ON_stop_loss,params_IDXX_ON_trade_freq,params_IDXX_ON_z_entry,params_IDXX_ON_z_exit,params_IDXX_ON_z_stop_scaler,params_IDXX_ON_z_win,params_ISRG_ROP_beta_win,params_ISRG_ROP_stop_loss,params_ISRG_ROP_trade_freq,params_ISRG_ROP_z_entry,params_ISRG_ROP_z_exit,params_ISRG_ROP_z_stop_scaler,params_ISRG_ROP_z_win,params_NFLX_ROP_beta_win,params_NFLX_ROP_stop_loss,params_NFLX_ROP_trade_freq,params_NFLX_ROP_z_entry,params_NFLX_ROP_z_exit,params_NFLX_ROP_z_stop_scaler,params_NFLX_ROP_z_win,params_NVDA_ROP_beta_win,params_NVDA_ROP_stop_loss,params_NVDA_ROP_trade_freq,params_NVDA_ROP_z_entry,params_NVDA_ROP_z_exit,params_NVDA_ROP_z_stop_scaler,params_NVDA_ROP_z_win,params_PANW_ROP_beta_win,params_PANW_ROP_stop_loss,params_PANW_ROP_trade_freq,params_PANW_ROP_z_entry,params_PANW_ROP_z_exit,params_PANW_ROP_z_stop_scaler,params_PANW_ROP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.028446934325108614,2025-06-16 00:49:43.189495,2025-06-16 00:49:45.884103,0 days 00:00:02.694608,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-24.21156930806539,2025-06-16 00:49:45.938657,2025-06-16 00:49:53.457428,0 days 00:00:07.518771,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,,,,,,,,488.0,0.05,7m,1.4,1.4,1.6,512.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,0.3,9,COMPLETE
2,2,-5.904251351500767,2025-06-16 00:49:53.547203,2025-06-16 00:50:00.680773,0 days 00:00:07.133570,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,584,0.025,8m,1.3,0.6,1.6,376,96.0,0.05,9m,0.7,1.0,1.1,560.0,,,,,,,,920.0,0.025,9m,0.7,0.7,2.0,608.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,0.15000000000000002,9,COMPLETE
3,3,-2.6102383143107066,2025-06-16 00:50:00.737380,2025-06-16 00:50:04.125008,0 days 00:00:03.387628,144.0,0.05,4m,0.5,0.7,1.5,632.0,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-7.0632592548276225,2025-06-16 00:50:04.196816,2025-06-16 00:50:10.715304,0 days 00:00:06.518488,864.0,0.05,2m,1.4,0.9,2.0,168.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,88.0,0.025,8m,1.5,0.7,1.3,848.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,816.0,0.05,7m,1.5,1.3,2.0,1008.0,,,,,,,,392.0,0.025,5m,1.4,0.8,1.1,144.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,0.4,8,COMPLETE
5,5,-24.906945702072004,2025-06-16 00:50:10.781331,2025-06-16 00:50:15.515656,0 days 00:00:04.734325,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,,,,,,,,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,0.35000000000000003,6,COMPLETE
6,6,-0.0007017809026456498,2025-06-16 00:50:15.568255,2025-06-16 00:50:18.788691,0 days 00:00:03.220436,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-3.747656664183604,2025-06-16 00:50:18.838238,2025-06-16 00:50:22.012110,0 days 00:00:03.173872,264.0,0.025,5m,1.3,0.6,1.5,240.0,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,0.6437252772687372,2025-06-16 00:50:22.108623,2025-06-16 00:50:23.776739,0 days 00:00:01.668116,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-10.99933931830548,2025-06-16 00:50:23.830461,2025-06-16 00:50:29.389000,0 days 00:00:05.558539,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,584.0,0.025,1m,1.3,0.8,1.1,744.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,560,0.025,4m,0.5,0.6,1.3,528,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,0.1,7,COMPLETE
