,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_ON_beta_win,params_AMZN_ON_stop_loss,params_AMZN_ON_trade_freq,params_AMZN_ON_z_entry,params_AMZN_ON_z_exit,params_AMZN_ON_z_stop_scaler,params_AMZN_ON_z_win,params_GFS_EXC_beta_win,params_GFS_EXC_stop_loss,params_GFS_EXC_trade_freq,params_GFS_EXC_z_entry,params_GFS_EXC_z_exit,params_GFS_EXC_z_stop_scaler,params_GFS_EXC_z_win,params_GOOGL_ON_beta_win,params_GOOGL_ON_stop_loss,params_GOOGL_ON_trade_freq,params_GOOGL_ON_z_entry,params_GOOGL_ON_z_exit,params_GOOGL_ON_z_stop_scaler,params_GOOGL_ON_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_GOOG_ON_beta_win,params_GOOG_ON_stop_loss,params_GOOG_ON_trade_freq,params_GOOG_ON_z_entry,params_GOOG_ON_z_exit,params_GOOG_ON_z_stop_scaler,params_GOOG_ON_z_win,params_NXPI_ANSS_beta_win,params_NXPI_ANSS_stop_loss,params_NXPI_ANSS_trade_freq,params_NXPI_ANSS_z_entry,params_NXPI_ANSS_z_exit,params_NXPI_ANSS_z_stop_scaler,params_NXPI_ANSS_z_win,params_WBD_ANSS_beta_win,params_WBD_ANSS_stop_loss,params_WBD_ANSS_trade_freq,params_WBD_ANSS_z_entry,params_WBD_ANSS_z_exit,params_WBD_ANSS_z_stop_scaler,params_WBD_ANSS_z_win,params_WDAY_ANSS_beta_win,params_WDAY_ANSS_stop_loss,params_WDAY_ANSS_trade_freq,params_WDAY_ANSS_z_entry,params_WDAY_ANSS_z_exit,params_WDAY_ANSS_z_stop_scaler,params_WDAY_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.3998782501801167,2025-06-16 00:52:38.943720,2025-06-16 00:52:41.489796,0 days 00:00:02.546076,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,0.2,3,COMPLETE
1,1,-21.616051788318252,2025-06-16 00:52:41.616796,2025-06-16 00:52:48.878731,0 days 00:00:07.261935,,,,,,,,984,0.025,6m,1.0,1.2000000000000002,1.6,592,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,0.3,9,COMPLETE
2,2,-1.2772641866117687,2025-06-16 00:52:48.944689,2025-06-16 00:52:56.105032,0 days 00:00:07.160343,,,,,,,,584,0.025,8m,1.3,0.6,1.6,376,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,0.15000000000000002,9,COMPLETE
3,3,-1.1577696881040218,2025-06-16 00:52:56.161749,2025-06-16 00:52:59.487960,0 days 00:00:03.326211,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,0.05,4,COMPLETE
4,4,-2.2915090473809303,2025-06-16 00:52:59.563107,2025-06-16 00:53:06.026493,0 days 00:00:06.463386,,,,,,,,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,864.0,0.05,2m,1.4,0.9,2.0,168.0,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,,,,,,,,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,0.4,8,COMPLETE
5,5,-13.193191766368741,2025-06-16 00:53:06.089979,2025-06-16 00:53:11.405960,0 days 00:00:05.315981,,,,,,,,792,0.025,5m,1.5,1.0,1.6,528,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,,,,,,,,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-4.94919595926105,2025-06-16 00:53:11.459371,2025-06-16 00:53:19.177156,0 days 00:00:07.717785,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,0.4,4,COMPLETE
7,7,-3.9084128444445527,2025-06-16 00:53:19.297837,2025-06-16 00:53:28.634668,0 days 00:00:09.336831,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,0.3,4,COMPLETE
8,8,-3.199056786573414,2025-06-16 00:53:28.766403,2025-06-16 00:53:32.870003,0 days 00:00:04.103600,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-8.762200617563247,2025-06-16 00:53:32.968234,2025-06-16 00:53:39.395480,0 days 00:00:06.427246,,,,,,,,560,0.025,4m,0.5,0.6,1.3,528,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,264.0,0.025,6m,0.8,0.9,1.1,536.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,,,,,,,,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,0.1,7,COMPLETE
