,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_MRVL_beta_win,params_AMZN_MRVL_stop_loss,params_AMZN_MRVL_trade_freq,params_AMZN_MRVL_z_entry,params_AMZN_MRVL_z_exit,params_AMZN_MRVL_z_stop_scaler,params_AMZN_MRVL_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_CSCO_FTNT_beta_win,params_CSCO_FTNT_stop_loss,params_CSCO_FTNT_trade_freq,params_CSCO_FTNT_z_entry,params_CSCO_FTNT_z_exit,params_CSCO_FTNT_z_stop_scaler,params_CSCO_FTNT_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.29415066732295797,2025-06-16 00:54:18.732343,2025-06-16 00:54:21.430398,0 days 00:00:02.698055,,,,,,,,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,6m,1.4,0.6,1.1,320.0,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,0.2,3,COMPLETE
1,1,-19.165608095613877,2025-06-16 00:54:21.501536,2025-06-16 00:54:28.751026,0 days 00:00:07.249490,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,488.0,0.05,7m,1.4,1.4,1.6,512.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,576.0,0.025,10m,0.7,1.3,1.1,384.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,,,,,,,,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,0.3,9,COMPLETE
2,2,-2.3750688919340788,2025-06-16 00:54:28.825045,2025-06-16 00:54:36.149026,0 days 00:00:07.323981,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,584,0.025,8m,1.3,0.6,1.6,376,920.0,0.025,9m,0.7,0.7,2.0,608.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,496.0,0.05,7m,1.5,1.1,1.6,672.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,,,,,,,,96.0,0.05,9m,0.7,1.0,1.1,560.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,0.15000000000000002,9,COMPLETE
3,3,-3.3228975794413844,2025-06-16 00:54:36.212679,2025-06-16 00:54:39.484544,0 days 00:00:03.271865,,,,,,,,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,848.0,0.025,6m,0.9,1.3,1.1,672.0,,,,,,,,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,0.05,4,COMPLETE
4,4,-10.416333680800571,2025-06-16 00:54:39.557383,2025-06-16 00:54:46.289993,0 days 00:00:06.732610,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,392.0,0.025,5m,1.4,0.8,1.1,144.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,,,,,,,,,,,,,,,816.0,0.05,7m,1.5,1.3,2.0,1008.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,0.4,8,COMPLETE
5,5,-33.81510119795943,2025-06-16 00:54:46.341160,2025-06-16 00:54:51.111487,0 days 00:00:04.770327,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,792,0.025,5m,1.5,1.0,1.6,528,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,,,,,,,,,,,,,,,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,0.35000000000000003,6,COMPLETE
6,6,-2.254287335474866,2025-06-16 00:54:51.202260,2025-06-16 00:54:54.497077,0 days 00:00:03.294817,,,,,,,,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,,,,,,,,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,0.4,4,COMPLETE
7,7,-8.070456805137542,2025-06-16 00:54:54.545903,2025-06-16 00:54:58.064533,0 days 00:00:03.518630,,,,,,,,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,,,,,,,,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,0.3,4,COMPLETE
8,8,-1.5650857209417475,2025-06-16 00:54:58.126058,2025-06-16 00:54:59.645695,0 days 00:00:01.519637,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,0.3,2,COMPLETE
9,9,-7.975958441183942,2025-06-16 00:54:59.699953,2025-06-16 00:55:05.486007,0 days 00:00:05.786054,264.0,0.025,6m,0.8,0.9,1.1,536.0,560,0.025,4m,0.5,0.6,1.3,528,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,344.0,0.025,10m,0.7,1.0,1.5,40.0,,,,,,,,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,0.1,7,COMPLETE
