,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.25334754927335323,2025-06-16 00:59:17.855907,2025-06-16 00:59:20.467503,0 days 00:00:02.611596,320.0,0.05,6m,1.4,0.6,1.1,320.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,0.2,3,COMPLETE
1,1,-5.544665427175669,2025-06-16 00:59:20.538961,2025-06-16 00:59:27.340450,0 days 00:00:06.801489,576.0,0.025,10m,0.7,1.3,1.1,384.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,40.0,0.05,1m,0.6,0.6,1.1,416.0,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,,,,,,,,0.3,9,COMPLETE
2,2,1.3833026642424324,2025-06-16 00:59:27.400367,2025-06-16 00:59:34.026978,0 days 00:00:06.626611,496.0,0.05,7m,1.5,1.1,1.6,672.0,584,0.025,8m,1.3,0.6,1.6,376,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,,,,,,,,0.15000000000000002,9,COMPLETE
3,3,-1.3642170567693876,2025-06-16 00:59:34.091821,2025-06-16 00:59:37.234018,0 days 00:00:03.142197,848.0,0.025,6m,0.9,1.3,1.1,672.0,264,0.05,10m,1.5,0.5,1.6,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.05,10m,0.9,1.3,1.5,224.0,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,0.05,4,COMPLETE
4,4,-0.6957261854934848,2025-06-16 00:59:37.291600,2025-06-16 00:59:43.214442,0 days 00:00:05.922842,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,,,,,,,,816.0,0.05,7m,1.5,1.3,2.0,1008.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,864.0,0.05,2m,1.4,0.9,2.0,168.0,,,,,,,,0.4,8,COMPLETE
5,5,-22.65902005517659,2025-06-16 00:59:43.285609,2025-06-16 00:59:47.951985,0 days 00:00:04.666376,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,792,0.025,5m,1.5,1.0,1.6,528,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,,,,,,,,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,0.35000000000000003,6,COMPLETE
6,6,-0.2299453703325787,2025-06-16 00:59:48.019068,2025-06-16 00:59:51.176957,0 days 00:00:03.157889,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,608,0.05,2m,1.4,1.5,1.3,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,0.4,4,COMPLETE
7,7,-1.6221784208104304,2025-06-16 00:59:51.239507,2025-06-16 00:59:54.380247,0 days 00:00:03.140740,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,0.3,4,COMPLETE
8,8,-0.37642732771217546,2025-06-16 00:59:54.464311,2025-06-16 00:59:56.002628,0 days 00:00:01.538317,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,0.3,2,COMPLETE
9,9,0.8807603913606769,2025-06-16 00:59:56.072605,2025-06-16 01:00:01.513247,0 days 00:00:05.440642,344.0,0.025,10m,0.7,1.0,1.5,40.0,560,0.025,4m,0.5,0.6,1.3,528,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,,,,,,,,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,,,,,,,,0.1,7,COMPLETE
