,number,value,datetime_start,datetime_complete,duration,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_ASML_TXN_beta_win,params_ASML_TXN_stop_loss,params_ASML_TXN_trade_freq,params_ASML_TXN_z_entry,params_ASML_TXN_z_exit,params_ASML_TXN_z_stop_scaler,params_ASML_TXN_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_AVGO_XEL_beta_win,params_AVGO_XEL_stop_loss,params_AVGO_XEL_trade_freq,params_AVGO_XEL_z_entry,params_AVGO_XEL_z_exit,params_AVGO_XEL_z_stop_scaler,params_AVGO_XEL_z_win,params_CHTR_MDLZ_beta_win,params_CHTR_MDLZ_stop_loss,params_CHTR_MDLZ_trade_freq,params_CHTR_MDLZ_z_entry,params_CHTR_MDLZ_z_exit,params_CHTR_MDLZ_z_stop_scaler,params_CHTR_MDLZ_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_PYPL_beta_win,params_ILMN_PYPL_stop_loss,params_ILMN_PYPL_trade_freq,params_ILMN_PYPL_z_entry,params_ILMN_PYPL_z_exit,params_ILMN_PYPL_z_stop_scaler,params_ILMN_PYPL_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KLAC_TXN_beta_win,params_KLAC_TXN_stop_loss,params_KLAC_TXN_trade_freq,params_KLAC_TXN_z_entry,params_KLAC_TXN_z_exit,params_KLAC_TXN_z_stop_scaler,params_KLAC_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_MU_TXN_beta_win,params_MU_TXN_stop_loss,params_MU_TXN_trade_freq,params_MU_TXN_z_entry,params_MU_TXN_z_exit,params_MU_TXN_z_stop_scaler,params_MU_TXN_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.6745578400649478,2025-06-21 19:04:40.611221,2025-06-21 19:04:51.375736,0 days 00:00:10.764515,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-0.9070828517441984,2025-06-21 19:04:51.460767,2025-06-21 19:04:53.812572,0 days 00:00:02.351805,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,-0.009188787868703268,2025-06-21 19:04:53.883835,2025-06-21 19:04:54.909960,0 days 00:00:01.026125,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-2.8060421432463434,2025-06-21 19:04:54.985683,2025-06-21 19:05:02.031223,0 days 00:00:07.045540,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,,,,,,,,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,,,,,,,,6976,0.015,4m,2.0,0.4,2.0,192,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,0.15000000000000002,17,COMPLETE
4,4,-0.7302408426153011,2025-06-21 19:05:02.074569,2025-06-21 19:05:05.446108,0 days 00:00:03.371539,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,-1.0087302370977598,2025-06-21 19:05:05.509010,2025-06-21 19:05:09.539296,0 days 00:00:04.030286,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,3376.0,0.02,4m,1.2,0.4,2.0,624.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,,,,,,,,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,0.25,10,COMPLETE
6,6,-0.29527304822517036,2025-06-21 19:05:09.613308,2025-06-21 19:05:12.518624,0 days 00:00:02.905316,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-0.7477010417640888,2025-06-21 19:05:12.583267,2025-06-21 19:05:16.707637,0 days 00:00:04.124370,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,7808.0,0.01,5m,1.2,0.0,1.5,320.0,3344.0,0.02,1m,1.0,0.0,0.5,472.0,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,,,,,,,,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,0.5,10,COMPLETE
8,8,-2.871592501660716,2025-06-21 19:05:16.794721,2025-06-21 19:05:24.122656,0 days 00:00:07.327935,,,,,,,,6856.0,0.02,5m,1.8,1.0,1.5,184.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,,,,,,,,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,5056.0,0.015,4m,1.8,0.2,1.5,888.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,0.15000000000000002,18,COMPLETE
9,9,-1.8265292460476716,2025-06-21 19:05:24.201115,2025-06-21 19:05:26.434824,0 days 00:00:02.233709,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
