,number,value,datetime_start,datetime_complete,duration,params_ADP_CTAS_beta_win,params_ADP_CTAS_stop_loss,params_ADP_CTAS_trade_freq,params_ADP_CTAS_z_entry,params_ADP_CTAS_z_exit,params_ADP_CTAS_z_stop_scaler,params_ADP_CTAS_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_AMD_PTON_beta_win,params_AMD_PTON_stop_loss,params_AMD_PTON_trade_freq,params_AMD_PTON_z_entry,params_AMD_PTON_z_exit,params_AMD_PTON_z_stop_scaler,params_AMD_PTON_z_win,params_CMCSA_PTON_beta_win,params_CMCSA_PTON_stop_loss,params_CMCSA_PTON_trade_freq,params_CMCSA_PTON_z_entry,params_CMCSA_PTON_z_exit,params_CMCSA_PTON_z_stop_scaler,params_CMCSA_PTON_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_CMCSA_XLNX_beta_win,params_CMCSA_XLNX_stop_loss,params_CMCSA_XLNX_trade_freq,params_CMCSA_XLNX_z_entry,params_CMCSA_XLNX_z_exit,params_CMCSA_XLNX_z_stop_scaler,params_CMCSA_XLNX_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_JD_CTAS_beta_win,params_JD_CTAS_stop_loss,params_JD_CTAS_trade_freq,params_JD_CTAS_z_entry,params_JD_CTAS_z_exit,params_JD_CTAS_z_stop_scaler,params_JD_CTAS_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_QCOM_CTAS_beta_win,params_QCOM_CTAS_stop_loss,params_QCOM_CTAS_trade_freq,params_QCOM_CTAS_z_entry,params_QCOM_CTAS_z_exit,params_QCOM_CTAS_z_stop_scaler,params_QCOM_CTAS_z_win,params_ROST_CTAS_beta_win,params_ROST_CTAS_stop_loss,params_ROST_CTAS_trade_freq,params_ROST_CTAS_z_entry,params_ROST_CTAS_z_exit,params_ROST_CTAS_z_stop_scaler,params_ROST_CTAS_z_win,params_SBUX_CTAS_beta_win,params_SBUX_CTAS_stop_loss,params_SBUX_CTAS_trade_freq,params_SBUX_CTAS_z_entry,params_SBUX_CTAS_z_exit,params_SBUX_CTAS_z_stop_scaler,params_SBUX_CTAS_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_VRTX_CHKP_beta_win,params_VRTX_CHKP_stop_loss,params_VRTX_CHKP_trade_freq,params_VRTX_CHKP_z_entry,params_VRTX_CHKP_z_exit,params_VRTX_CHKP_z_stop_scaler,params_VRTX_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.1053225524559883,2025-06-21 19:04:38.825446,2025-06-21 19:04:49.534631,0 days 00:00:10.709185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,0.05,6,COMPLETE
1,1,-1.49148884256858,2025-06-21 19:04:49.579480,2025-06-21 19:04:51.736527,0 days 00:00:02.157047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,0.5,6,COMPLETE
2,2,-0.10971294621295406,2025-06-21 19:04:51.793098,2025-06-21 19:04:52.713452,0 days 00:00:00.920354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,0.3518425968899775,2025-06-21 19:04:52.775604,2025-06-21 19:04:59.898527,0 days 00:00:07.122923,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,,,,,,,,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,6976,0.015,4m,2.0,0.4,2.0,192,,,,,,,,5032.0,0.01,1m,1.0,0.4,2.0,216.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,,,,,,,,3072.0,0.015,3m,1.4,0.0,0.5,664.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,0.15000000000000002,17,COMPLETE
4,4,-0.0483099042705729,2025-06-21 19:04:59.989980,2025-06-21 19:05:03.331541,0 days 00:00:03.341561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,0.35000000000000003,8,COMPLETE
5,5,-2.0760940964508903,2025-06-21 19:05:03.437420,2025-06-21 19:05:07.734197,0 days 00:00:04.296777,,,,,,,,,,,,,,,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,,,,,,,,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,2008.0,0.015,5m,3.0,0.8,1.5,376.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,0.25,10,COMPLETE
6,6,0.4388279269635317,2025-06-21 19:05:07.826723,2025-06-21 19:05:10.658832,0 days 00:00:02.832109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,0.4,7,COMPLETE
7,7,-0.741435551383444,2025-06-21 19:05:10.731104,2025-06-21 19:05:14.886293,0 days 00:00:04.155189,,,,,,,,,,,,,,,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,,,,,,,,7808.0,0.01,5m,1.2,0.0,1.5,320.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,2792.0,0.015,5m,2.6,0.0,1.0,280.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,0.5,10,COMPLETE
8,8,-1.9263732769633826,2025-06-21 19:05:14.952592,2025-06-21 19:05:22.524122,0 days 00:00:07.571530,2232.0,0.02,2m,1.6,0.4,2.0,120.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,,,,,,,,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,2456.0,0.015,3m,1.6,0.4,0.5,496.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,,,,,,,,4152.0,0.02,2m,3.0,0.2,0.5,424.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,0.15000000000000002,18,COMPLETE
9,9,-2.4256266411446847,2025-06-21 19:05:22.606538,2025-06-21 19:05:24.673262,0 days 00:00:02.066724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,0.25,5,COMPLETE
