,number,value,datetime_start,datetime_complete,duration,params_ADP_PCAR_beta_win,params_ADP_PCAR_stop_loss,params_ADP_PCAR_trade_freq,params_ADP_PCAR_z_entry,params_ADP_PCAR_z_exit,params_ADP_PCAR_z_stop_scaler,params_ADP_PCAR_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_CERN_TMUS_beta_win,params_CERN_TMUS_stop_loss,params_CERN_TMUS_trade_freq,params_CERN_TMUS_z_entry,params_CERN_TMUS_z_exit,params_CERN_TMUS_z_stop_scaler,params_CERN_TMUS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CMCSA_MU_beta_win,params_CMCSA_MU_stop_loss,params_CMCSA_MU_trade_freq,params_CMCSA_MU_z_entry,params_CMCSA_MU_z_exit,params_CMCSA_MU_z_stop_scaler,params_CMCSA_MU_z_win,params_CMCSA_PDD_beta_win,params_CMCSA_PDD_stop_loss,params_CMCSA_PDD_trade_freq,params_CMCSA_PDD_z_entry,params_CMCSA_PDD_z_exit,params_CMCSA_PDD_z_stop_scaler,params_CMCSA_PDD_z_win,params_CMCSA_PEP_beta_win,params_CMCSA_PEP_stop_loss,params_CMCSA_PEP_trade_freq,params_CMCSA_PEP_z_entry,params_CMCSA_PEP_z_exit,params_CMCSA_PEP_z_stop_scaler,params_CMCSA_PEP_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_LULU_PDD_beta_win,params_LULU_PDD_stop_loss,params_LULU_PDD_trade_freq,params_LULU_PDD_z_entry,params_LULU_PDD_z_exit,params_LULU_PDD_z_stop_scaler,params_LULU_PDD_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_MRNA_PDD_beta_win,params_MRNA_PDD_stop_loss,params_MRNA_PDD_trade_freq,params_MRNA_PDD_z_entry,params_MRNA_PDD_z_exit,params_MRNA_PDD_z_stop_scaler,params_MRNA_PDD_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_PDD_CHKP_beta_win,params_PDD_CHKP_stop_loss,params_PDD_CHKP_trade_freq,params_PDD_CHKP_z_entry,params_PDD_CHKP_z_exit,params_PDD_CHKP_z_stop_scaler,params_PDD_CHKP_z_win,params_TEAM_ASML_beta_win,params_TEAM_ASML_stop_loss,params_TEAM_ASML_trade_freq,params_TEAM_ASML_z_entry,params_TEAM_ASML_z_exit,params_TEAM_ASML_z_stop_scaler,params_TEAM_ASML_z_win,params_TSLA_ANSS_beta_win,params_TSLA_ANSS_stop_loss,params_TSLA_ANSS_trade_freq,params_TSLA_ANSS_z_entry,params_TSLA_ANSS_z_exit,params_TSLA_ANSS_z_stop_scaler,params_TSLA_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.02215035462939964,2025-06-21 19:04:38.480518,2025-06-21 19:04:49.096557,0 days 00:00:10.616039,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,0.05,6,COMPLETE
1,1,0.9071752560426501,2025-06-21 19:04:49.136023,2025-06-21 19:04:50.918160,0 days 00:00:01.782137,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,0.5,6,COMPLETE
2,2,0.07814042126467075,2025-06-21 19:04:50.982362,2025-06-21 19:04:51.783090,0 days 00:00:00.800728,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,0.2748305351944025,2025-06-21 19:04:51.843173,2025-06-21 19:04:58.126319,0 days 00:00:06.283146,,,,,,,,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,,,,,,,,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,6976,0.015,4m,2.0,0.4,2.0,192,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,,,,,,,,4720.0,0.015,5m,1.0,0.2,2.0,872.0,0.15000000000000002,17,COMPLETE
4,4,0.21180851916490911,2025-06-21 19:04:58.208770,2025-06-21 19:05:01.500842,0 days 00:00:03.292072,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,0.35000000000000003,8,COMPLETE
5,5,-1.2442522902690767,2025-06-21 19:05:01.562626,2025-06-21 19:05:05.339967,0 days 00:00:03.777341,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,3376.0,0.02,4m,1.2,0.4,2.0,624.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,,,,,,,,3568.0,0.02,2m,1.6,0.8,1.5,216.0,0.25,10,COMPLETE
6,6,0.1994522831220424,2025-06-21 19:05:05.402196,2025-06-21 19:05:08.085668,0 days 00:00:02.683472,,,,,,,,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,0.4,7,COMPLETE
7,7,-2.4463717764578004,2025-06-21 19:05:08.155701,2025-06-21 19:05:11.893175,0 days 00:00:03.737474,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,3344.0,0.02,1m,1.0,0.0,0.5,472.0,,,,,,,,,,,,,,,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,7808.0,0.01,5m,1.2,0.0,1.5,320.0,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,,,,,,,,6824.0,0.01,1m,1.0,0.0,0.5,568.0,0.5,10,COMPLETE
8,8,-2.0474803056049447,2025-06-21 19:05:11.969880,2025-06-21 19:05:18.844658,0 days 00:00:06.874778,,,,,,,,4448.0,0.02,1m,1.2,0.8,2.0,248.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,1272.0,0.02,4m,3.0,1.0,1.5,568.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,,,,,,,,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,0.15000000000000002,18,COMPLETE
9,9,-3.1584243569099133,2025-06-21 19:05:18.923721,2025-06-21 19:05:21.021110,0 days 00:00:02.097389,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
