,number,value,datetime_start,datetime_complete,duration,params_AEP_DOCU_beta_win,params_AEP_DOCU_stop_loss,params_AEP_DOCU_trade_freq,params_AEP_DOCU_z_entry,params_AEP_DOCU_z_exit,params_AEP_DOCU_z_stop_scaler,params_AEP_DOCU_z_win,params_AEP_IDXX_beta_win,params_AEP_IDXX_stop_loss,params_AEP_IDXX_trade_freq,params_AEP_IDXX_z_entry,params_AEP_IDXX_z_exit,params_AEP_IDXX_z_stop_scaler,params_AEP_IDXX_z_win,params_ATVI_INTC_beta_win,params_ATVI_INTC_stop_loss,params_ATVI_INTC_trade_freq,params_ATVI_INTC_z_entry,params_ATVI_INTC_z_exit,params_ATVI_INTC_z_stop_scaler,params_ATVI_INTC_z_win,params_CDNS_EXC_beta_win,params_CDNS_EXC_stop_loss,params_CDNS_EXC_trade_freq,params_CDNS_EXC_z_entry,params_CDNS_EXC_z_exit,params_CDNS_EXC_z_stop_scaler,params_CDNS_EXC_z_win,params_CERN_ROST_beta_win,params_CERN_ROST_stop_loss,params_CERN_ROST_trade_freq,params_CERN_ROST_z_entry,params_CERN_ROST_z_exit,params_CERN_ROST_z_stop_scaler,params_CERN_ROST_z_win,params_CHKP_DOCU_beta_win,params_CHKP_DOCU_stop_loss,params_CHKP_DOCU_trade_freq,params_CHKP_DOCU_z_entry,params_CHKP_DOCU_z_exit,params_CHKP_DOCU_z_stop_scaler,params_CHKP_DOCU_z_win,params_CHTR_IDXX_beta_win,params_CHTR_IDXX_stop_loss,params_CHTR_IDXX_trade_freq,params_CHTR_IDXX_z_entry,params_CHTR_IDXX_z_exit,params_CHTR_IDXX_z_stop_scaler,params_CHTR_IDXX_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CRWD_OKTA_beta_win,params_CRWD_OKTA_stop_loss,params_CRWD_OKTA_trade_freq,params_CRWD_OKTA_z_entry,params_CRWD_OKTA_z_exit,params_CRWD_OKTA_z_stop_scaler,params_CRWD_OKTA_z_win,params_CSCO_ISRG_beta_win,params_CSCO_ISRG_stop_loss,params_CSCO_ISRG_trade_freq,params_CSCO_ISRG_z_entry,params_CSCO_ISRG_z_exit,params_CSCO_ISRG_z_stop_scaler,params_CSCO_ISRG_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_DOCU_IDXX_beta_win,params_DOCU_IDXX_stop_loss,params_DOCU_IDXX_trade_freq,params_DOCU_IDXX_z_entry,params_DOCU_IDXX_z_exit,params_DOCU_IDXX_z_stop_scaler,params_DOCU_IDXX_z_win,params_DOCU_SBUX_beta_win,params_DOCU_SBUX_stop_loss,params_DOCU_SBUX_trade_freq,params_DOCU_SBUX_z_entry,params_DOCU_SBUX_z_exit,params_DOCU_SBUX_z_stop_scaler,params_DOCU_SBUX_z_win,params_EXC_LULU_beta_win,params_EXC_LULU_stop_loss,params_EXC_LULU_trade_freq,params_EXC_LULU_z_entry,params_EXC_LULU_z_exit,params_EXC_LULU_z_stop_scaler,params_EXC_LULU_z_win,params_EXC_MSFT_beta_win,params_EXC_MSFT_stop_loss,params_EXC_MSFT_trade_freq,params_EXC_MSFT_z_entry,params_EXC_MSFT_z_exit,params_EXC_MSFT_z_stop_scaler,params_EXC_MSFT_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_HON_IDXX_beta_win,params_HON_IDXX_stop_loss,params_HON_IDXX_trade_freq,params_HON_IDXX_z_entry,params_HON_IDXX_z_exit,params_HON_IDXX_z_stop_scaler,params_HON_IDXX_z_win,params_IDXX_SBUX_beta_win,params_IDXX_SBUX_stop_loss,params_IDXX_SBUX_trade_freq,params_IDXX_SBUX_z_entry,params_IDXX_SBUX_z_exit,params_IDXX_SBUX_z_stop_scaler,params_IDXX_SBUX_z_win,params_LRCX_MU_beta_win,params_LRCX_MU_stop_loss,params_LRCX_MU_trade_freq,params_LRCX_MU_z_entry,params_LRCX_MU_z_exit,params_LRCX_MU_z_stop_scaler,params_LRCX_MU_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PYPL_XLNX_beta_win,params_PYPL_XLNX_stop_loss,params_PYPL_XLNX_trade_freq,params_PYPL_XLNX_z_entry,params_PYPL_XLNX_z_exit,params_PYPL_XLNX_z_stop_scaler,params_PYPL_XLNX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.08125271431180296,2025-06-21 19:04:39.113569,2025-06-21 19:04:49.934554,0 days 00:00:10.820985,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,1720,0.02,3m,2.4000000000000004,0.8,1.0,320,3184.0,0.02,5m,1.2,0.0,1.5,920.0,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
1,1,-3.392226639004369,2025-06-21 19:04:50.000130,2025-06-21 19:04:54.821002,0 days 00:00:04.820872,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,2816,0.015,4m,2.8,0.6000000000000001,1.5,624,1640.0,0.01,2m,2.6,1.0,2.0,944.0,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,5256.0,0.01,4m,3.0,0.6000000000000001,1.5,576.0,,,,,,,,7768,0.015,2m,2.2,0.6000000000000001,1.0,816,,,,,,,,,,,,,,,1368.0,0.015,1m,3.0,0.2,1.5,192.0,3424.0,0.015,1m,1.6,0.2,1.5,400.0,2200.0,0.015,1m,1.8,0.4,1.5,488.0,,,,,,,,,,,,,,,4784.0,0.015,4m,1.2,1.0,2.0,360.0,1960.0,0.015,4m,3.0,0.2,0.5,104.0,8112.0,0.01,4m,1.0,0.4,1.5,144.0,6416.0,0.02,2m,1.4,0.4,0.5,920.0,,,,,,,,4632.0,0.01,2m,3.0,0.4,2.0,648.0,0.2,13,COMPLETE
2,2,-1.421525607424186,2025-06-21 19:04:54.906955,2025-06-21 19:05:02.118973,0 days 00:00:07.212018,1632.0,0.01,2m,1.8,0.8,2.0,256.0,4816.0,0.02,3m,2.6,1.0,1.0,504.0,1520,0.01,2m,1.8,1.0,1.5,192,1040.0,0.02,2m,1.0,0.2,1.5,256.0,7128.0,0.02,3m,1.2,0.8,1.5,480.0,7504.0,0.02,2m,1.2,0.6000000000000001,0.5,696.0,,,,,,,,7704,0.015,4m,1.2,0.2,2.0,616,3408.0,0.02,5m,1.4,0.4,2.0,624.0,,,,,,,,2920.0,0.01,1m,1.2,0.6000000000000001,2.0,176.0,2624.0,0.02,3m,1.4,1.0,1.0,840.0,1552.0,0.02,5m,2.4000000000000004,1.0,2.0,952.0,5608.0,0.02,3m,3.0,0.8,2.0,1000.0,6696.0,0.02,4m,2.8,0.0,2.0,128.0,7992.0,0.015,5m,1.6,0.6000000000000001,1.0,760.0,3888.0,0.02,2m,2.6,0.4,1.0,408.0,3600.0,0.015,5m,1.0,0.6000000000000001,0.5,584.0,3544.0,0.02,4m,1.6,0.0,2.0,520.0,2584.0,0.01,4m,2.4000000000000004,0.2,1.5,696.0,1312.0,0.02,1m,1.4,0.4,1.0,560.0,0.45,18,COMPLETE
3,3,-5.738524931949562,2025-06-21 19:05:02.176934,2025-06-21 19:05:07.469442,0 days 00:00:05.292508,,,,,,,,7968.0,0.02,4m,1.6,0.4,1.0,296.0,1656,0.02,1m,1.0,0.2,0.5,416,4304.0,0.02,4m,2.2,0.8,1.0,856.0,2416.0,0.02,5m,2.4000000000000004,0.8,1.0,192.0,6304.0,0.02,5m,1.8,0.2,2.0,960.0,,,,,,,,5576,0.015,1m,1.6,0.6000000000000001,1.5,904,,,,,,,,,,,,,,,5840.0,0.02,1m,2.2,1.0,0.5,464.0,3064.0,0.02,4m,1.4,0.0,2.0,272.0,2336.0,0.015,5m,2.4000000000000004,0.0,1.0,216.0,,,,,,,,,,,,,,,3440.0,0.015,2m,1.6,0.8,0.5,104.0,1280.0,0.015,4m,1.6,0.6000000000000001,1.0,472.0,2576.0,0.015,1m,1.4,0.8,2.0,168.0,6232.0,0.01,2m,2.6,0.6000000000000001,2.0,80.0,,,,,,,,3520.0,0.01,2m,1.2,0.2,1.5,256.0,0.3,13,COMPLETE
4,4,1.175972874855117,2025-06-21 19:05:07.561581,2025-06-21 19:05:09.786294,0 days 00:00:02.224713,,,,,,,,7624.0,0.01,4m,1.4,0.0,2.0,368.0,3248,0.015,4m,2.6,1.0,2.0,96,3320.0,0.02,3m,2.0,0.8,2.0,624.0,6000.0,0.02,2m,2.8,1.0,0.5,136.0,,,,,,,,,,,,,,,2968,0.015,4m,1.8,0.2,1.0,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2952.0,0.015,4m,1.2,0.8,1.5,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
5,5,-2.270851871840169,2025-06-21 19:05:09.847629,2025-06-21 19:05:16.116993,0 days 00:00:06.269364,4288.0,0.02,1m,1.2,1.0,0.5,408.0,6520.0,0.02,2m,2.4000000000000004,1.0,0.5,568.0,1976,0.01,1m,2.8,0.0,1.0,304,1640.0,0.02,5m,2.4000000000000004,0.0,0.5,216.0,2760.0,0.02,5m,1.2,0.2,2.0,416.0,7344.0,0.02,4m,1.6,0.6000000000000001,1.5,176.0,,,,,,,,2488,0.015,2m,1.2,0.6000000000000001,0.5,976,7296.0,0.01,3m,1.0,1.0,1.5,352.0,,,,,,,,6136.0,0.01,3m,1.0,0.8,2.0,840.0,4872.0,0.015,4m,1.0,0.2,1.0,552.0,2752.0,0.02,3m,1.6,0.8,1.5,112.0,1200.0,0.01,2m,2.0,0.4,2.0,312.0,,,,,,,,6432.0,0.015,5m,1.8,0.6000000000000001,1.5,912.0,6352.0,0.015,4m,2.4000000000000004,0.2,2.0,792.0,4328.0,0.02,5m,3.0,0.6000000000000001,1.0,96.0,4000.0,0.02,1m,1.6,0.6000000000000001,2.0,520.0,,,,,,,,6616.0,0.02,1m,2.0,1.0,2.0,448.0,0.25,16,COMPLETE
6,6,-0.4482709631315702,2025-06-21 19:05:16.213188,2025-06-21 19:05:19.093026,0 days 00:00:02.879838,,,,,,,,6048.0,0.02,5m,2.2,0.8,0.5,720.0,6176,0.015,5m,1.6,1.0,0.5,272,4768.0,0.02,2m,1.4,0.2,1.0,112.0,1552.0,0.02,2m,1.6,0.6000000000000001,2.0,928.0,,,,,,,,,,,,,,,4928,0.015,1m,2.0,1.0,1.5,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4072.0,0.015,2m,2.4000000000000004,0.8,1.0,600.0,2304.0,0.02,4m,1.4,0.8,0.5,528.0,,,,,,,,,,,,,,,,,,,,,,0.45,6,COMPLETE
7,7,-4.755717399978031,2025-06-21 19:05:19.149007,2025-06-21 19:05:23.272413,0 days 00:00:04.123406,,,,,,,,5384.0,0.015,2m,1.4,1.0,0.5,112.0,3176,0.01,1m,1.0,0.2,1.5,752,4952.0,0.01,2m,2.0,0.8,2.0,312.0,1416.0,0.015,3m,2.6,0.8,1.0,152.0,,,,,,,,,,,,,,,6000,0.01,1m,1.4,0.2,1.5,552,,,,,,,,,,,,,,,7600.0,0.01,4m,1.8,1.0,1.0,416.0,,,,,,,,5840.0,0.015,1m,2.2,0.0,2.0,288.0,,,,,,,,,,,,,,,3640.0,0.02,2m,1.2,1.0,0.5,816.0,7816.0,0.01,1m,1.0,0.8,1.0,944.0,3448.0,0.01,2m,1.2,0.8,1.0,888.0,3008.0,0.01,3m,1.0,0.4,1.0,336.0,,,,,,,,,,,,,,,0.1,10,COMPLETE
8,8,-0.021249456864888883,2025-06-21 19:05:23.369624,2025-06-21 19:05:26.760764,0 days 00:00:03.391140,,,,,,,,2344.0,0.015,5m,1.2,1.0,1.0,816.0,6472,0.015,3m,1.6,0.4,2.0,768,5096.0,0.01,5m,1.0,1.0,0.5,592.0,4080.0,0.015,3m,2.0,0.4,2.0,728.0,,,,,,,,,,,,,,,3176,0.015,5m,2.6,0.6000000000000001,0.5,424,,,,,,,,,,,,,,,6328.0,0.01,5m,2.2,0.6000000000000001,0.5,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2744.0,0.02,5m,1.2,0.6000000000000001,1.5,752.0,7136.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,6000.0,0.02,1m,2.8,0.0,2.0,128.0,,,,,,,,,,,,,,,,,,,,,,0.45,8,COMPLETE
9,9,-3.853189785829008,2025-06-21 19:05:26.847272,2025-06-21 19:05:33.668647,0 days 00:00:06.821375,2832.0,0.01,5m,2.0,0.6000000000000001,1.0,704.0,7232.0,0.02,4m,1.2,0.4,1.5,64.0,3704,0.015,3m,2.8,0.6000000000000001,0.5,1024,6592.0,0.01,2m,2.6,1.0,0.5,680.0,5328.0,0.015,3m,2.0,0.6000000000000001,1.5,488.0,6208.0,0.02,1m,2.0,0.0,2.0,432.0,3248.0,0.02,4m,1.6,0.2,1.5,920.0,4192,0.01,3m,2.8,0.0,0.5,120,5056.0,0.02,1m,2.6,0.6000000000000001,1.0,944.0,7208.0,0.02,2m,1.0,0.6000000000000001,2.0,256.0,2808.0,0.015,2m,1.8,0.0,0.5,408.0,1128.0,0.01,2m,3.0,1.0,1.5,88.0,4200.0,0.02,2m,1.0,0.2,1.0,712.0,3368.0,0.015,4m,1.4,0.6000000000000001,1.0,544.0,3688.0,0.02,2m,2.4000000000000004,1.0,2.0,488.0,4784.0,0.02,3m,1.2,0.4,2.0,808.0,6592.0,0.01,3m,2.8,0.8,1.0,824.0,3888.0,0.01,5m,2.2,0.4,1.0,736.0,2568.0,0.02,2m,1.6,0.8,0.5,560.0,5152.0,0.02,5m,3.0,0.6000000000000001,1.0,600.0,1488.0,0.01,4m,2.0,0.6000000000000001,0.5,240.0,0.05,20,COMPLETE
