,number,value,datetime_start,datetime_complete,duration,params_AAPL_XEL_beta_win,params_AAPL_XEL_stop_loss,params_AAPL_XEL_trade_freq,params_AAPL_XEL_z_entry,params_AAPL_XEL_z_exit,params_AAPL_XEL_z_stop_scaler,params_AAPL_XEL_z_win,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_BIIB_MELI_beta_win,params_BIIB_MELI_stop_loss,params_BIIB_MELI_trade_freq,params_BIIB_MELI_z_entry,params_BIIB_MELI_z_exit,params_BIIB_MELI_z_stop_scaler,params_BIIB_MELI_z_win,params_BIIB_MTCH_beta_win,params_BIIB_MTCH_stop_loss,params_BIIB_MTCH_trade_freq,params_BIIB_MTCH_z_entry,params_BIIB_MTCH_z_exit,params_BIIB_MTCH_z_stop_scaler,params_BIIB_MTCH_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_COST_PANW_beta_win,params_COST_PANW_stop_loss,params_COST_PANW_trade_freq,params_COST_PANW_z_entry,params_COST_PANW_z_exit,params_COST_PANW_z_stop_scaler,params_COST_PANW_z_win,params_CPRT_WDAY_beta_win,params_CPRT_WDAY_stop_loss,params_CPRT_WDAY_trade_freq,params_CPRT_WDAY_z_entry,params_CPRT_WDAY_z_exit,params_CPRT_WDAY_z_stop_scaler,params_CPRT_WDAY_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MCHP_NXPI_beta_win,params_MCHP_NXPI_stop_loss,params_MCHP_NXPI_trade_freq,params_MCHP_NXPI_z_entry,params_MCHP_NXPI_z_exit,params_MCHP_NXPI_z_stop_scaler,params_MCHP_NXPI_z_win,params_MSFT_ODFL_beta_win,params_MSFT_ODFL_stop_loss,params_MSFT_ODFL_trade_freq,params_MSFT_ODFL_z_entry,params_MSFT_ODFL_z_exit,params_MSFT_ODFL_z_stop_scaler,params_MSFT_ODFL_z_win,params_MTCH_OKTA_beta_win,params_MTCH_OKTA_stop_loss,params_MTCH_OKTA_trade_freq,params_MTCH_OKTA_z_entry,params_MTCH_OKTA_z_exit,params_MTCH_OKTA_z_stop_scaler,params_MTCH_OKTA_z_win,params_MTCH_SWKS_beta_win,params_MTCH_SWKS_stop_loss,params_MTCH_SWKS_trade_freq,params_MTCH_SWKS_z_entry,params_MTCH_SWKS_z_exit,params_MTCH_SWKS_z_stop_scaler,params_MTCH_SWKS_z_win,params_MTCH_ZM_beta_win,params_MTCH_ZM_stop_loss,params_MTCH_ZM_trade_freq,params_MTCH_ZM_z_entry,params_MTCH_ZM_z_exit,params_MTCH_ZM_z_stop_scaler,params_MTCH_ZM_z_win,params_PEP_XEL_beta_win,params_PEP_XEL_stop_loss,params_PEP_XEL_trade_freq,params_PEP_XEL_z_entry,params_PEP_XEL_z_exit,params_PEP_XEL_z_stop_scaler,params_PEP_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.6978393435749694,2025-06-21 19:04:37.411936,2025-06-21 19:04:48.678653,0 days 00:00:11.266717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,0.05,6,COMPLETE
1,1,-1.7188493881548852,2025-06-21 19:04:48.694639,2025-06-21 19:04:50.284210,0 days 00:00:01.589571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,0.5,6,COMPLETE
2,2,-0.0202826770613426,2025-06-21 19:04:50.345280,2025-06-21 19:04:51.159400,0 days 00:00:00.814120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,0.1,2,COMPLETE
3,3,0.5769970136906758,2025-06-21 19:04:51.211753,2025-06-21 19:04:57.930354,0 days 00:00:06.718601,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,,,,,,,,4720.0,0.015,5m,1.0,0.2,2.0,872.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,,,,,,,,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,,,,,,,,1848.0,0.02,5m,3.0,1.0,1.5,568.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,6976,0.015,4m,2.0,0.4,2.0,192,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,0.15000000000000002,17,COMPLETE
4,4,0.5536413163761199,2025-06-21 19:04:58.012764,2025-06-21 19:05:01.538334,0 days 00:00:03.525570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,0.4587176292148241,2025-06-21 19:05:01.611840,2025-06-21 19:05:05.617794,0 days 00:00:04.005954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,8016,0.015,4m,1.4,0.2,0.5,152,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,0.25,10,COMPLETE
6,6,0.1972803093169916,2025-06-21 19:05:05.676609,2025-06-21 19:05:08.557182,0 days 00:00:02.880573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,2264.0,0.02,2m,3.0,0.0,1.5,944.0,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,0.4,7,COMPLETE
7,7,-1.2845256943387486,2025-06-21 19:05:08.626437,2025-06-21 19:05:12.608410,0 days 00:00:03.981973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,7808.0,0.01,5m,1.2,0.0,1.5,320.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,2632,0.01,5m,2.2,0.2,1.5,528,3344.0,0.02,1m,1.0,0.0,0.5,472.0,0.5,10,COMPLETE
8,8,0.9355542823596,2025-06-21 19:05:12.673786,2025-06-21 19:05:19.997513,0 days 00:00:07.323727,7784.0,0.02,2m,3.0,0.2,2.0,408.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,,,,,,,,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,,,,,,,,3040.0,0.01,2m,2.6,0.4,1.0,72.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,0.15000000000000002,18,COMPLETE
9,9,-1.4496847322255317,2025-06-21 19:05:20.089965,2025-06-21 19:05:22.342437,0 days 00:00:02.252472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,0.25,5,COMPLETE
