,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ADSK_LRCX_beta_win,params_ADSK_LRCX_stop_loss,params_ADSK_LRCX_trade_freq,params_ADSK_LRCX_z_entry,params_ADSK_LRCX_z_exit,params_ADSK_LRCX_z_stop_scaler,params_ADSK_LRCX_z_win,params_ALGN_NFLX_beta_win,params_ALGN_NFLX_stop_loss,params_ALGN_NFLX_trade_freq,params_ALGN_NFLX_z_entry,params_ALGN_NFLX_z_exit,params_ALGN_NFLX_z_stop_scaler,params_ALGN_NFLX_z_win,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_AMD_NFLX_beta_win,params_AMD_NFLX_stop_loss,params_AMD_NFLX_trade_freq,params_AMD_NFLX_z_entry,params_AMD_NFLX_z_exit,params_AMD_NFLX_z_stop_scaler,params_AMD_NFLX_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_ATVI_MRNA_beta_win,params_ATVI_MRNA_stop_loss,params_ATVI_MRNA_trade_freq,params_ATVI_MRNA_z_entry,params_ATVI_MRNA_z_exit,params_ATVI_MRNA_z_stop_scaler,params_ATVI_MRNA_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_BIIB_CPRT_beta_win,params_BIIB_CPRT_stop_loss,params_BIIB_CPRT_trade_freq,params_BIIB_CPRT_z_entry,params_BIIB_CPRT_z_exit,params_BIIB_CPRT_z_stop_scaler,params_BIIB_CPRT_z_win,params_BIIB_EBAY_beta_win,params_BIIB_EBAY_stop_loss,params_BIIB_EBAY_trade_freq,params_BIIB_EBAY_z_entry,params_BIIB_EBAY_z_exit,params_BIIB_EBAY_z_stop_scaler,params_BIIB_EBAY_z_win,params_BIIB_FISV_beta_win,params_BIIB_FISV_stop_loss,params_BIIB_FISV_trade_freq,params_BIIB_FISV_z_entry,params_BIIB_FISV_z_exit,params_BIIB_FISV_z_stop_scaler,params_BIIB_FISV_z_win,params_BIIB_KLAC_beta_win,params_BIIB_KLAC_stop_loss,params_BIIB_KLAC_trade_freq,params_BIIB_KLAC_z_entry,params_BIIB_KLAC_z_exit,params_BIIB_KLAC_z_stop_scaler,params_BIIB_KLAC_z_win,params_CSCO_EBAY_beta_win,params_CSCO_EBAY_stop_loss,params_CSCO_EBAY_trade_freq,params_CSCO_EBAY_z_entry,params_CSCO_EBAY_z_exit,params_CSCO_EBAY_z_stop_scaler,params_CSCO_EBAY_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_FISV_beta_win,params_EBAY_FISV_stop_loss,params_EBAY_FISV_trade_freq,params_EBAY_FISV_z_entry,params_EBAY_FISV_z_exit,params_EBAY_FISV_z_stop_scaler,params_EBAY_FISV_z_win,params_EBAY_MSFT_beta_win,params_EBAY_MSFT_stop_loss,params_EBAY_MSFT_trade_freq,params_EBAY_MSFT_z_entry,params_EBAY_MSFT_z_exit,params_EBAY_MSFT_z_stop_scaler,params_EBAY_MSFT_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_EXC_NTES_beta_win,params_EXC_NTES_stop_loss,params_EXC_NTES_trade_freq,params_EXC_NTES_z_entry,params_EXC_NTES_z_exit,params_EXC_NTES_z_stop_scaler,params_EXC_NTES_z_win,params_FAST_TXN_beta_win,params_FAST_TXN_stop_loss,params_FAST_TXN_trade_freq,params_FAST_TXN_z_entry,params_FAST_TXN_z_exit,params_FAST_TXN_z_stop_scaler,params_FAST_TXN_z_win,params_FB_MRNA_beta_win,params_FB_MRNA_stop_loss,params_FB_MRNA_trade_freq,params_FB_MRNA_z_entry,params_FB_MRNA_z_exit,params_FB_MRNA_z_stop_scaler,params_FB_MRNA_z_win,params_FB_NTES_beta_win,params_FB_NTES_stop_loss,params_FB_NTES_trade_freq,params_FB_NTES_z_entry,params_FB_NTES_z_exit,params_FB_NTES_z_stop_scaler,params_FB_NTES_z_win,params_FB_PYPL_beta_win,params_FB_PYPL_stop_loss,params_FB_PYPL_trade_freq,params_FB_PYPL_z_entry,params_FB_PYPL_z_exit,params_FB_PYPL_z_stop_scaler,params_FB_PYPL_z_win,params_FISV_HON_beta_win,params_FISV_HON_stop_loss,params_FISV_HON_trade_freq,params_FISV_HON_z_entry,params_FISV_HON_z_exit,params_FISV_HON_z_stop_scaler,params_FISV_HON_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MCHP_CPRT_beta_win,params_MCHP_CPRT_stop_loss,params_MCHP_CPRT_trade_freq,params_MCHP_CPRT_z_entry,params_MCHP_CPRT_z_exit,params_MCHP_CPRT_z_stop_scaler,params_MCHP_CPRT_z_win,params_MRNA_NTES_beta_win,params_MRNA_NTES_stop_loss,params_MRNA_NTES_trade_freq,params_MRNA_NTES_z_entry,params_MRNA_NTES_z_exit,params_MRNA_NTES_z_stop_scaler,params_MRNA_NTES_z_win,params_MSFT_CPRT_beta_win,params_MSFT_CPRT_stop_loss,params_MSFT_CPRT_trade_freq,params_MSFT_CPRT_z_entry,params_MSFT_CPRT_z_exit,params_MSFT_CPRT_z_stop_scaler,params_MSFT_CPRT_z_win,params_MTCH_NFLX_beta_win,params_MTCH_NFLX_stop_loss,params_MTCH_NFLX_trade_freq,params_MTCH_NFLX_z_entry,params_MTCH_NFLX_z_exit,params_MTCH_NFLX_z_stop_scaler,params_MTCH_NFLX_z_win,params_MTCH_NTES_beta_win,params_MTCH_NTES_stop_loss,params_MTCH_NTES_trade_freq,params_MTCH_NTES_z_entry,params_MTCH_NTES_z_exit,params_MTCH_NTES_z_stop_scaler,params_MTCH_NTES_z_win,params_OKTA_ZS_beta_win,params_OKTA_ZS_stop_loss,params_OKTA_ZS_trade_freq,params_OKTA_ZS_z_entry,params_OKTA_ZS_z_exit,params_OKTA_ZS_z_stop_scaler,params_OKTA_ZS_z_win,params_PDD_NTES_beta_win,params_PDD_NTES_stop_loss,params_PDD_NTES_trade_freq,params_PDD_NTES_z_entry,params_PDD_NTES_z_exit,params_PDD_NTES_z_stop_scaler,params_PDD_NTES_z_win,params_PYPL_MRNA_beta_win,params_PYPL_MRNA_stop_loss,params_PYPL_MRNA_trade_freq,params_PYPL_MRNA_z_entry,params_PYPL_MRNA_z_exit,params_PYPL_MRNA_z_stop_scaler,params_PYPL_MRNA_z_win,params_PYPL_NTES_beta_win,params_PYPL_NTES_stop_loss,params_PYPL_NTES_trade_freq,params_PYPL_NTES_z_entry,params_PYPL_NTES_z_exit,params_PYPL_NTES_z_stop_scaler,params_PYPL_NTES_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_ROST_MRNA_beta_win,params_ROST_MRNA_stop_loss,params_ROST_MRNA_trade_freq,params_ROST_MRNA_z_entry,params_ROST_MRNA_z_exit,params_ROST_MRNA_z_stop_scaler,params_ROST_MRNA_z_win,params_TEAM_ZS_beta_win,params_TEAM_ZS_stop_loss,params_TEAM_ZS_trade_freq,params_TEAM_ZS_z_entry,params_TEAM_ZS_z_exit,params_TEAM_ZS_z_stop_scaler,params_TEAM_ZS_z_win,params_ZM_NTES_beta_win,params_ZM_NTES_stop_loss,params_ZM_NTES_trade_freq,params_ZM_NTES_z_entry,params_ZM_NTES_z_exit,params_ZM_NTES_z_stop_scaler,params_ZM_NTES_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.2644096462527935,2025-06-21 19:14:36.245192,2025-06-21 19:14:40.820115,0 days 00:00:04.574923,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,3896.0,0.02,4m,1.2,0.0,2.0,152.0,4408.0,0.02,3m,2.6,0.6000000000000001,2.0,144.0,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,7608.0,0.015,4m,3.0,0.8,1.5,664.0,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,1912.0,0.01,4m,2.6,0.0,0.5,536.0,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464.0,0.01,1m,1.0,1.0,2.0,600.0,,,,,,,,,,,,,,,,,,,,,,1720,0.02,3m,2.4000000000000004,0.8,1.0,320,,,,,,,,0.15000000000000002,6,COMPLETE
1,1,-1.4593993651939339,2025-06-21 19:14:40.898892,2025-06-21 19:14:48.269440,0 days 00:00:07.370548,1368.0,0.015,1m,3.0,0.2,1.5,192.0,,,,,,,,,,,,,,,3672.0,0.015,1m,2.0,0.4,1.5,816.0,6480.0,0.015,2m,1.4,0.0,0.5,624.0,,,,,,,,8112,0.01,4m,1.0,0.4,1.5,144,,,,,,,,3904.0,0.01,4m,1.8,0.4,1.5,952.0,,,,,,,,,,,,,,,3424.0,0.015,1m,1.6,0.2,1.5,400.0,6416.0,0.02,2m,1.4,0.4,0.5,920.0,3800.0,0.02,2m,3.0,0.6000000000000001,0.5,896.0,,,,,,,,4784.0,0.015,4m,1.2,1.0,2.0,360.0,2816.0,0.015,4m,2.8,0.6000000000000001,1.5,624.0,5256.0,0.01,4m,3.0,0.6000000000000001,1.5,576.0,,,,,,,,,,,,,,,2200.0,0.015,1m,1.8,0.4,1.5,488.0,,,,,,,,2752.0,0.01,1m,3.0,0.8,1.0,248.0,5272.0,0.015,4m,1.0,0.2,0.5,784.0,,,,,,,,,,,,,,,4632.0,0.01,2m,3.0,0.4,2.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672.0,0.01,1m,1.0,1.0,1.5,744.0,,,,,,,,1664.0,0.015,1m,1.6,0.6000000000000001,0.5,928.0,,,,,,,,,,,,,,,7832.0,0.015,2m,1.6,0.4,1.0,704.0,7208,0.02,5m,2.8,0.4,0.5,480,6016.0,0.015,3m,1.0,0.6000000000000001,0.5,968.0,0.25,10,COMPLETE
2,2,-0.44151557929116336,2025-06-21 19:14:48.349014,2025-06-21 19:14:59.473659,0 days 00:00:11.124645,2624.0,0.02,3m,1.4,1.0,1.0,840.0,1552.0,0.02,5m,3.0,0.2,1.0,856.0,6416.0,0.01,3m,1.2,0.0,1.0,920.0,6584.0,0.015,4m,1.6,0.2,0.5,576.0,7640.0,0.02,2m,1.6,0.2,0.5,712.0,3072.0,0.015,1m,2.4000000000000004,0.4,1.5,544.0,7504,0.02,2m,1.2,0.6000000000000001,0.5,696,2032.0,0.02,1m,2.0,0.8,1.5,600.0,5816.0,0.015,4m,2.4000000000000004,0.0,2.0,440.0,,,,,,,,,,,,,,,1520.0,0.01,2m,1.8,1.0,1.5,192.0,3408.0,0.02,5m,1.4,0.4,2.0,624.0,2072.0,0.01,1m,1.4,0.0,1.5,672.0,,,,,,,,1632.0,0.01,2m,1.8,0.8,2.0,256.0,7032.0,0.01,2m,2.2,1.0,1.0,656.0,6696.0,0.02,4m,2.8,0.0,2.0,128.0,7024.0,0.02,1m,1.0,0.4,1.0,824.0,4472.0,0.01,3m,1.6,0.6000000000000001,1.5,744.0,5608.0,0.02,3m,3.0,0.8,2.0,1000.0,7896.0,0.015,5m,1.6,1.0,2.0,392.0,3224.0,0.01,3m,1.0,0.4,0.5,872.0,1496.0,0.01,4m,1.4,0.0,1.5,104.0,4144.0,0.01,3m,1.4,0.0,0.5,840.0,,,,,,,,2584.0,0.01,4m,2.4000000000000004,0.2,1.5,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2344.0,0.02,3m,1.0,0.6000000000000001,1.5,1000.0,7648.0,0.02,1m,2.6,0.0,2.0,976.0,4240.0,0.01,2m,2.6,1.0,1.0,360.0,4480.0,0.01,4m,1.6,0.6000000000000001,1.0,632.0,,,,,,,,1480.0,0.02,1m,2.0,0.2,1.0,744.0,1976,0.015,4m,1.6,0.0,1.0,920,1688.0,0.01,4m,2.2,0.8,1.0,736.0,0.3,15,COMPLETE
3,3,0.5299442634173746,2025-06-21 19:14:59.563938,2025-06-21 19:15:01.040308,0 days 00:00:01.476370,1320.0,0.015,2m,1.6,0.4,0.5,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152,0.01,4m,3.0,0.8,1.5,184,,,,,,,,1936.0,0.01,2m,1.2,0.8,1.0,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7264,0.02,3m,3.0,1.0,2.0,720,,,,,,,,0.05,2,COMPLETE
4,4,-0.22867250092435873,2025-06-21 19:15:01.103916,2025-06-21 19:15:03.934248,0 days 00:00:02.830332,5344.0,0.015,4m,2.6,1.0,1.0,312.0,,,,,,,,,,,,,,,7120.0,0.01,3m,2.0,0.4,0.5,656.0,,,,,,,,,,,,,,,7928,0.01,2m,2.4000000000000004,0.8,0.5,736,,,,,,,,2064.0,0.02,5m,2.8,0.0,1.0,736.0,,,,,,,,,,,,,,,,,,,,,,2024.0,0.01,5m,1.4,0.0,1.0,720.0,,,,,,,,,,,,,,,7576.0,0.015,2m,1.8,0.4,1.0,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640.0,0.02,5m,2.0,0.6000000000000001,0.5,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128,0.01,3m,2.6,0.4,1.0,1000,,,,,,,,0.4,4,COMPLETE
5,5,-4.587891681204661,2025-06-21 19:15:03.987830,2025-06-21 19:15:18.036875,0 days 00:00:14.049045,1200.0,0.01,2m,2.0,0.4,2.0,312.0,5688.0,0.01,1m,2.0,0.4,2.0,464.0,1216.0,0.015,1m,1.2,0.4,2.0,264.0,3864.0,0.02,3m,2.0,0.8,2.0,480.0,1352.0,0.01,5m,1.8,0.6000000000000001,0.5,80.0,5808.0,0.015,3m,2.6,0.2,1.5,824.0,7296,0.01,3m,1.0,1.0,1.5,352,2488.0,0.01,2m,1.6,0.2,0.5,152.0,6432.0,0.015,1m,1.4,0.4,1.0,864.0,4232.0,0.015,2m,1.0,0.2,0.5,400.0,4536.0,0.015,3m,1.4,0.2,2.0,232.0,4248.0,0.02,1m,2.4000000000000004,0.8,1.5,792.0,4240.0,0.015,1m,2.0,0.6000000000000001,1.5,344.0,4464.0,0.01,1m,2.4000000000000004,0.2,1.0,888.0,3720.0,0.02,5m,1.4,0.0,1.0,904.0,1976.0,0.01,1m,2.8,0.0,1.0,304.0,6968.0,0.02,1m,1.2,0.4,0.5,848.0,4584.0,0.01,4m,2.0,0.0,0.5,576.0,6072.0,0.01,4m,2.8,0.4,1.5,688.0,4768.0,0.02,5m,2.0,0.2,2.0,688.0,3216.0,0.02,4m,1.0,1.0,1.0,464.0,4632.0,0.02,3m,2.4000000000000004,0.0,1.0,624.0,5912.0,0.01,5m,2.0,0.8,2.0,784.0,3816.0,0.01,4m,1.0,0.2,0.5,256.0,1856.0,0.02,4m,1.2,0.2,1.5,280.0,,,,,,,,1744.0,0.015,4m,1.8,0.6000000000000001,1.5,768.0,2552.0,0.015,1m,1.4,0.6000000000000001,1.0,336.0,,,,,,,,3120.0,0.01,3m,1.0,1.0,1.0,96.0,7432.0,0.01,4m,1.4,0.6000000000000001,1.5,72.0,3688.0,0.015,1m,2.6,0.6000000000000001,1.5,560.0,8024.0,0.01,1m,2.0,0.0,1.5,872.0,6464.0,0.02,2m,2.4000000000000004,0.4,2.0,336.0,4760.0,0.015,2m,2.6,0.4,1.5,152.0,4344.0,0.02,1m,2.4000000000000004,0.0,2.0,72.0,2176.0,0.01,5m,2.0,0.8,0.5,88.0,2016.0,0.02,4m,1.0,0.0,1.5,376.0,8024,0.02,5m,1.4,0.2,1.5,344,4200.0,0.015,3m,1.0,1.0,2.0,264.0,0.25,19,COMPLETE
6,6,-1.0882595286384067,2025-06-21 19:15:18.115535,2025-06-21 19:15:32.763983,0 days 00:00:14.648448,3040.0,0.01,1m,2.8,0.8,1.0,992.0,5512.0,0.01,3m,1.4,0.8,1.5,496.0,6720.0,0.015,5m,1.4,0.8,1.5,352.0,5592.0,0.02,2m,1.8,0.2,1.5,184.0,2592.0,0.015,3m,1.4,0.8,1.0,944.0,3528.0,0.015,1m,1.6,0.2,2.0,584.0,1408,0.01,1m,2.8,0.4,1.5,72,1160.0,0.02,3m,1.0,0.4,0.5,680.0,4576.0,0.01,4m,1.6,0.2,1.0,888.0,4624.0,0.01,1m,1.2,0.2,1.5,888.0,4008.0,0.01,3m,2.4000000000000004,0.6000000000000001,0.5,216.0,6432.0,0.01,1m,2.2,0.6000000000000001,0.5,528.0,2264.0,0.02,2m,2.0,1.0,2.0,656.0,2064.0,0.02,1m,1.2,0.4,1.5,128.0,1800.0,0.01,1m,2.6,0.6000000000000001,1.5,472.0,5376.0,0.01,1m,1.2,0.2,1.0,664.0,3232.0,0.01,4m,2.0,0.6000000000000001,0.5,160.0,5312.0,0.015,3m,1.8,0.2,1.5,120.0,3472.0,0.02,2m,1.2,1.0,1.0,984.0,5312.0,0.015,2m,1.8,0.4,2.0,488.0,8032.0,0.02,5m,1.2,0.8,2.0,1008.0,8016.0,0.01,5m,2.6,0.0,1.0,728.0,4440.0,0.01,3m,3.0,0.6000000000000001,0.5,808.0,1032.0,0.015,1m,1.4,0.8,1.0,216.0,3944.0,0.02,3m,3.0,0.2,0.5,664.0,3376.0,0.01,5m,2.2,0.8,2.0,152.0,4592.0,0.01,3m,1.8,0.4,1.0,576.0,7728.0,0.02,3m,1.0,0.2,0.5,968.0,7440.0,0.02,4m,1.4,0.8,1.0,768.0,5840.0,0.02,3m,2.4000000000000004,0.8,1.5,960.0,5448.0,0.015,1m,1.0,0.8,1.0,656.0,4104.0,0.02,1m,1.0,0.0,1.0,784.0,4040.0,0.01,5m,2.4000000000000004,0.2,0.5,720.0,3440.0,0.02,4m,2.6,0.2,2.0,920.0,2336.0,0.01,4m,3.0,0.2,1.5,216.0,2288.0,0.02,3m,2.2,0.8,2.0,568.0,7584.0,0.02,3m,1.4,0.6000000000000001,1.0,288.0,3552.0,0.015,5m,2.4000000000000004,0.8,2.0,792.0,3952,0.02,2m,1.4,0.8,2.0,624,3952.0,0.02,1m,1.8,0.6000000000000001,1.5,1024.0,0.3,20,COMPLETE
7,7,-0.593505471772364,2025-06-21 19:15:32.830848,2025-06-21 19:15:47.009423,0 days 00:00:14.178575,4152.0,0.02,1m,2.0,1.0,0.5,552.0,6056.0,0.015,3m,2.6,0.6000000000000001,1.5,776.0,7264.0,0.015,3m,3.0,0.6000000000000001,1.5,456.0,2720.0,0.01,1m,2.6,0.8,1.0,352.0,2792.0,0.015,2m,2.6,0.6000000000000001,0.5,784.0,8168.0,0.015,1m,2.6,0.2,1.0,864.0,4632,0.015,5m,2.0,1.0,1.5,216,5528.0,0.01,4m,1.0,0.4,0.5,808.0,5016.0,0.02,1m,2.0,0.6000000000000001,1.5,440.0,6792.0,0.02,5m,1.0,0.6000000000000001,1.0,352.0,3440.0,0.02,2m,2.0,0.2,1.5,920.0,6176.0,0.015,1m,1.0,0.6000000000000001,1.5,248.0,5616.0,0.015,2m,1.6,0.0,1.0,752.0,3472.0,0.01,4m,1.8,0.4,0.5,744.0,4184.0,0.015,1m,2.2,0.4,1.0,208.0,3592.0,0.02,5m,2.8,0.6000000000000001,1.0,672.0,8144.0,0.015,1m,2.6,0.0,0.5,728.0,2856.0,0.01,1m,1.4,0.0,2.0,872.0,5880.0,0.01,4m,1.4,0.8,1.0,104.0,6456.0,0.02,4m,2.4000000000000004,0.0,0.5,712.0,6160.0,0.015,3m,2.6,1.0,2.0,440.0,4184.0,0.01,4m,1.2,0.6000000000000001,1.5,992.0,7880.0,0.01,3m,2.6,0.6000000000000001,1.5,784.0,3256.0,0.015,1m,2.2,0.6000000000000001,1.0,944.0,3944.0,0.02,3m,1.0,0.6000000000000001,0.5,808.0,,,,,,,,7304.0,0.01,2m,1.8,0.4,1.0,664.0,2696.0,0.01,1m,1.2,1.0,2.0,136.0,,,,,,,,8120.0,0.02,2m,2.4000000000000004,0.4,1.5,680.0,2296.0,0.02,1m,2.6,0.6000000000000001,0.5,384.0,3912.0,0.02,5m,1.6,0.0,0.5,800.0,4824.0,0.02,3m,2.0,0.8,2.0,112.0,7304.0,0.01,4m,2.2,0.2,1.5,824.0,3600.0,0.02,1m,1.0,0.0,1.0,656.0,6464.0,0.02,2m,3.0,0.2,1.5,160.0,2360.0,0.015,3m,2.8,0.8,2.0,568.0,5272.0,0.02,3m,2.6,1.0,1.0,632.0,4928,0.02,5m,1.6,0.8,2.0,96,4264.0,0.01,5m,1.2,1.0,1.5,456.0,0.2,19,COMPLETE
8,8,1.0496219626334644,2025-06-21 19:15:47.071974,2025-06-21 19:15:50.264201,0 days 00:00:03.192227,5736.0,0.01,2m,1.6,0.2,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6256,0.01,4m,2.0,0.2,1.5,592,,,,,,,,6280.0,0.01,4m,2.0,0.8,2.0,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4488,0.015,4m,2.0,0.0,1.5,376,,,,,,,,0.45,2,COMPLETE
9,9,-1.5961325972569371,2025-06-21 19:15:50.367447,2025-06-21 19:16:07.281297,0 days 00:00:16.913850,5712.0,0.01,2m,2.2,0.8,1.0,856.0,6280.0,0.02,5m,2.8,0.4,2.0,928.0,4032.0,0.02,1m,1.6,0.2,2.0,232.0,4456.0,0.02,4m,2.2,0.8,2.0,952.0,2632.0,0.015,2m,1.4,0.2,1.5,792.0,2360.0,0.015,2m,1.0,1.0,1.5,848.0,7456,0.015,3m,2.8,0.8,1.0,248,2088.0,0.01,2m,1.2,0.2,1.0,640.0,7224.0,0.01,1m,3.0,0.8,1.0,688.0,,,,,,,,5864.0,0.02,2m,1.2,0.2,1.5,760.0,5760.0,0.015,5m,1.2,1.0,1.0,576.0,3904.0,0.015,1m,1.8,0.8,1.5,672.0,3560.0,0.015,4m,2.6,0.4,2.0,896.0,,,,,,,,1032.0,0.01,5m,2.2,0.0,1.0,528.0,2704.0,0.01,1m,2.0,0.8,2.0,856.0,7768.0,0.01,5m,1.0,0.2,2.0,80.0,6448.0,0.015,1m,2.8,0.4,1.5,152.0,1400.0,0.02,2m,1.8,1.0,1.0,648.0,2328.0,0.01,1m,2.2,0.0,2.0,736.0,5632.0,0.01,3m,1.6,0.4,2.0,880.0,3768.0,0.02,4m,2.6,0.4,1.0,432.0,7384.0,0.015,2m,1.0,0.8,0.5,440.0,5040.0,0.02,4m,2.2,0.4,2.0,480.0,,,,,,,,4616.0,0.01,5m,2.8,1.0,1.0,576.0,7584.0,0.015,2m,1.8,0.6000000000000001,0.5,480.0,,,,,,,,,,,,,,,7216.0,0.01,4m,2.0,0.4,0.5,120.0,7352.0,0.01,1m,1.6,0.2,2.0,72.0,1232.0,0.01,5m,1.6,0.2,2.0,200.0,7032.0,0.015,4m,2.6,0.6000000000000001,2.0,928.0,7480.0,0.015,5m,1.2,0.8,0.5,528.0,5904.0,0.015,5m,2.2,0.8,1.0,616.0,,,,,,,,1080.0,0.01,5m,1.8,0.6000000000000001,1.5,736.0,6424,0.015,4m,2.4000000000000004,1.0,1.0,720,7408.0,0.02,4m,1.8,0.4,1.0,368.0,0.1,17,COMPLETE
