,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_BIDU_ZM_beta_win,params_BIDU_ZM_stop_loss,params_BIDU_ZM_trade_freq,params_BIDU_ZM_z_entry,params_BIDU_ZM_z_exit,params_BIDU_ZM_z_stop_scaler,params_BIDU_ZM_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_EBAY_WDAY_beta_win,params_EBAY_WDAY_stop_loss,params_EBAY_WDAY_trade_freq,params_EBAY_WDAY_z_entry,params_EBAY_WDAY_z_exit,params_EBAY_WDAY_z_stop_scaler,params_EBAY_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ISRG_SWKS_beta_win,params_ISRG_SWKS_stop_loss,params_ISRG_SWKS_trade_freq,params_ISRG_SWKS_z_entry,params_ISRG_SWKS_z_exit,params_ISRG_SWKS_z_stop_scaler,params_ISRG_SWKS_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_MNST_WBA_beta_win,params_MNST_WBA_stop_loss,params_MNST_WBA_trade_freq,params_MNST_WBA_z_entry,params_MNST_WBA_z_exit,params_MNST_WBA_z_stop_scaler,params_MNST_WBA_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.5561659397610911,2025-06-21 19:16:35.854857,2025-06-21 19:16:38.246779,0 days 00:00:02.391922,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-0.6028368761907528,2025-06-21 19:16:38.298133,2025-06-21 19:16:40.288714,0 days 00:00:01.990581,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,0.012259293071659547,2025-06-21 19:16:40.361839,2025-06-21 19:16:41.184608,0 days 00:00:00.822769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-3.0919889826130245,2025-06-21 19:16:41.240345,2025-06-21 19:16:47.031436,0 days 00:00:05.791091,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,6976,0.015,4m,2.0,0.4,2.0,192,,,,,,,,,,,,,,,0.15000000000000002,17,COMPLETE
4,4,1.380155980228288,2025-06-21 19:16:47.123446,2025-06-21 19:16:49.920528,0 days 00:00:02.797082,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,0.7845815510749202,2025-06-21 19:16:49.999548,2025-06-21 19:16:53.215705,0 days 00:00:03.216157,3376.0,0.02,4m,1.2,0.4,2.0,624.0,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,,,,,,,,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,,,,,,,,0.25,10,COMPLETE
6,6,2.429210719022347,2025-06-21 19:16:53.282054,2025-06-21 19:16:55.868922,0 days 00:00:02.586868,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-1.436104509486,2025-06-21 19:16:55.944406,2025-06-21 19:16:59.268130,0 days 00:00:03.323724,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,3344.0,0.02,1m,1.0,0.0,0.5,472.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,7808.0,0.01,5m,1.2,0.0,1.5,320.0,,,,,,,,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,,,,,,,,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,,,,,,,,0.5,10,COMPLETE
8,8,0.6500733351081064,2025-06-21 19:16:59.334722,2025-06-21 19:17:05.761954,0 days 00:00:06.427232,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,,,,,,,,6856.0,0.02,5m,1.8,1.0,1.5,184.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,2456.0,0.015,3m,1.6,0.4,0.5,496.0,,,,,,,,0.15000000000000002,18,COMPLETE
9,9,-0.23491507085555025,2025-06-21 19:17:05.823722,2025-06-21 19:17:07.494876,0 days 00:00:01.671154,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,0.25,5,COMPLETE
