,number,value,datetime_start,datetime_complete,duration,params_AAPL_COST_beta_win,params_AAPL_COST_stop_loss,params_AAPL_COST_trade_freq,params_AAPL_COST_z_entry,params_AAPL_COST_z_exit,params_AAPL_COST_z_stop_scaler,params_AAPL_COST_z_win,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_AZN_DLTR_beta_win,params_AZN_DLTR_stop_loss,params_AZN_DLTR_trade_freq,params_AZN_DLTR_z_entry,params_AZN_DLTR_z_exit,params_AZN_DLTR_z_stop_scaler,params_AZN_DLTR_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_CMCSA_INTC_beta_win,params_CMCSA_INTC_stop_loss,params_CMCSA_INTC_trade_freq,params_CMCSA_INTC_z_entry,params_CMCSA_INTC_z_exit,params_CMCSA_INTC_z_stop_scaler,params_CMCSA_INTC_z_win,params_CSX_PAYX_beta_win,params_CSX_PAYX_stop_loss,params_CSX_PAYX_trade_freq,params_CSX_PAYX_z_entry,params_CSX_PAYX_z_exit,params_CSX_PAYX_z_stop_scaler,params_CSX_PAYX_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_DLTR_KHC_beta_win,params_DLTR_KHC_stop_loss,params_DLTR_KHC_trade_freq,params_DLTR_KHC_z_entry,params_DLTR_KHC_z_exit,params_DLTR_KHC_z_stop_scaler,params_DLTR_KHC_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_MU_beta_win,params_EA_MU_stop_loss,params_EA_MU_trade_freq,params_EA_MU_z_entry,params_EA_MU_z_exit,params_EA_MU_z_stop_scaler,params_EA_MU_z_win,params_FISV_INTU_beta_win,params_FISV_INTU_stop_loss,params_FISV_INTU_trade_freq,params_FISV_INTU_z_entry,params_FISV_INTU_z_exit,params_FISV_INTU_z_stop_scaler,params_FISV_INTU_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_WDAY_beta_win,params_INTU_WDAY_stop_loss,params_INTU_WDAY_trade_freq,params_INTU_WDAY_z_entry,params_INTU_WDAY_z_exit,params_INTU_WDAY_z_stop_scaler,params_INTU_WDAY_z_win,params_NTES_VRTX_beta_win,params_NTES_VRTX_stop_loss,params_NTES_VRTX_trade_freq,params_NTES_VRTX_z_entry,params_NTES_VRTX_z_exit,params_NTES_VRTX_z_stop_scaler,params_NTES_VRTX_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_PYPL_WDAY_beta_win,params_PYPL_WDAY_stop_loss,params_PYPL_WDAY_trade_freq,params_PYPL_WDAY_z_entry,params_PYPL_WDAY_z_exit,params_PYPL_WDAY_z_stop_scaler,params_PYPL_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.43509734807751044,2025-06-21 19:20:24.664889,2025-06-21 19:20:26.781558,0 days 00:00:02.116669,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,0.05,6,COMPLETE
1,1,-2.4411378819970633,2025-06-21 19:20:26.870923,2025-06-21 19:20:28.890667,0 days 00:00:02.019744,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,0.5,6,COMPLETE
2,2,-0.057745612915556334,2025-06-21 19:20:28.957416,2025-06-21 19:20:29.829407,0 days 00:00:00.871991,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,1.0567211350607546,2025-06-21 19:20:29.908329,2025-06-21 19:20:35.312512,0 days 00:00:05.404183,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,,,,,,,,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,,,,,,,,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,6976,0.015,4m,2.0,0.4,2.0,192,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,0.15000000000000002,17,COMPLETE
4,4,-0.10748320293446322,2025-06-21 19:20:35.422981,2025-06-21 19:20:37.895598,0 days 00:00:02.472617,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,0.35000000000000003,8,COMPLETE
5,5,-1.3424495409533004,2025-06-21 19:20:37.976175,2025-06-21 19:20:41.223231,0 days 00:00:03.247056,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,3376.0,0.02,4m,1.2,0.4,2.0,624.0,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,,,,,,,,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,,,,,,,,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,0.25,10,COMPLETE
6,6,0.10839804499643885,2025-06-21 19:20:41.320193,2025-06-21 19:20:43.848936,0 days 00:00:02.528743,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,0.4,7,COMPLETE
7,7,1.75140680960535,2025-06-21 19:20:43.956830,2025-06-21 19:20:46.985343,0 days 00:00:03.028513,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,,,,,,,,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,7808.0,0.01,5m,1.2,0.0,1.5,320.0,,,,,,,,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,0.5,10,COMPLETE
8,8,-2.320314991662416,2025-06-21 19:20:47.082642,2025-06-21 19:20:52.705583,0 days 00:00:05.622941,,,,,,,,6856.0,0.02,5m,1.8,1.0,1.5,184.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,,,,,,,,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,0.15000000000000002,18,COMPLETE
9,9,-1.6594597063821155,2025-06-21 19:20:52.809112,2025-06-21 19:20:54.524829,0 days 00:00:01.715717,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,0.25,5,COMPLETE
10,10,-0.53702914752638,2025-06-21 19:20:54.602330,2025-06-21 19:20:59.471323,0 days 00:00:04.868993,,,,,,,,4336.0,0.015,1m,1.0,1.0,2.0,464.0,1112.0,0.01,3m,2.2,1.0,1.5,352.0,,,,,,,,1152.0,0.01,4m,2.0,1.0,0.5,96.0,,,,,,,,1704.0,0.02,1m,1.0,0.0,0.5,936.0,8104.0,0.01,4m,3.0,0.2,1.0,944.0,,,,,,,,,,,,,,,1464.0,0.02,1m,2.8,1.0,2.0,144.0,1120,0.01,1m,3.0,0.0,1.5,304,7704.0,0.01,1m,1.2,1.0,0.5,992.0,6848.0,0.02,2m,1.0,0.0,0.5,88.0,8136.0,0.01,1m,1.0,0.0,1.0,88.0,7584.0,0.02,1m,1.0,0.0,0.5,1000.0,6128.0,0.01,3m,2.0,0.0,0.5,192.0,,,,,,,,4832.0,0.02,4m,2.6,1.0,0.5,968.0,3192.0,0.01,5m,3.0,1.0,0.5,64.0,0.5,14,COMPLETE
11,11,-1.11234209716253,2025-06-21 19:20:59.571339,2025-06-21 19:21:04.573075,0 days 00:00:05.001736,,,,,,,,3152.0,0.015,1m,3.0,0.0,2.0,992.0,4632.0,0.01,5m,2.4000000000000004,0.4,1.0,568.0,,,,,,,,2536.0,0.015,3m,3.0,0.4,1.0,320.0,,,,,,,,3184.0,0.01,4m,1.6,0.0,2.0,432.0,1992.0,0.015,5m,3.0,0.4,1.0,1008.0,,,,,,,,,,,,,,,7784.0,0.01,4m,1.0,0.6000000000000001,0.5,944.0,2232,0.02,4m,2.4000000000000004,0.2,2.0,96,1144.0,0.015,4m,3.0,0.0,2.0,64.0,1056.0,0.015,1m,2.4000000000000004,0.0,1.0,776.0,5856.0,0.015,5m,1.8,0.4,2.0,456.0,1024.0,0.02,5m,2.8,1.0,2.0,560.0,5160.0,0.015,4m,1.0,0.2,1.0,1008.0,,,,,,,,1128.0,0.01,3m,1.0,0.6000000000000001,0.5,688.0,4240.0,0.01,1m,1.0,0.6000000000000001,0.5,80.0,0.15000000000000002,14,COMPLETE
12,12,0.28745200442644325,2025-06-21 19:21:04.674815,2025-06-21 19:21:12.259516,0 days 00:00:07.584701,8128.0,0.015,1m,1.8,0.8,1.0,216.0,2776.0,0.015,4m,1.4,0.4,2.0,800.0,4840.0,0.015,2m,2.4000000000000004,0.8,0.5,688.0,6352.0,0.015,4m,3.0,0.0,1.0,96.0,1080.0,0.015,2m,2.0,0.4,1.5,80.0,1808.0,0.02,3m,1.2,0.2,1.0,104.0,4272.0,0.015,1m,1.0,1.0,2.0,520.0,6528.0,0.015,5m,2.4000000000000004,0.4,1.0,768.0,7248.0,0.01,4m,3.0,1.0,0.5,1024.0,7960.0,0.02,4m,3.0,1.0,2.0,1000.0,6904.0,0.015,2m,1.2,0.6000000000000001,0.5,592.0,2808,0.01,4m,2.0,0.0,2.0,264,1792.0,0.015,2m,1.8,0.6000000000000001,2.0,528.0,4112.0,0.015,1m,2.6,0.4,2.0,520.0,6376.0,0.015,5m,1.8,0.4,2.0,600.0,4376.0,0.015,5m,1.8,1.0,2.0,576.0,4488.0,0.015,5m,1.4,0.0,1.0,464.0,1296.0,0.01,3m,1.0,0.0,1.0,1000.0,1136.0,0.01,3m,1.4,0.6000000000000001,1.0,136.0,5880.0,0.01,1m,1.0,0.8,2.0,376.0,0.35000000000000003,20,COMPLETE
13,13,0.6039561994298651,2025-06-21 19:21:12.363299,2025-06-21 19:21:17.392309,0 days 00:00:05.029010,,,,,,,,4456.0,0.015,2m,3.0,0.0,1.5,840.0,3240.0,0.01,3m,1.8,0.4,1.0,432.0,,,,,,,,3704.0,0.01,5m,2.4000000000000004,1.0,1.5,408.0,,,,,,,,7936.0,0.015,2m,2.2,0.4,1.0,344.0,4760.0,0.015,3m,1.8,0.2,2.0,856.0,,,,,,,,,,,,,,,5016.0,0.02,5m,2.0,0.0,1.0,624.0,8080,0.01,3m,2.8,0.4,1.5,664,3768.0,0.02,3m,2.4000000000000004,0.4,1.5,448.0,2624.0,0.02,3m,1.8,0.4,0.5,224.0,4248.0,0.01,5m,1.4,0.6000000000000001,2.0,360.0,1040.0,0.02,3m,3.0,0.6000000000000001,1.5,208.0,7784.0,0.015,2m,1.2,0.2,0.5,952.0,,,,,,,,3520.0,0.01,1m,1.8,0.0,1.5,568.0,3160.0,0.01,1m,3.0,0.4,1.5,1000.0,0.2,14,COMPLETE
