,number,value,datetime_start,datetime_complete,duration,params_AAPL_PANW_beta_win,params_AAPL_PANW_stop_loss,params_AAPL_PANW_trade_freq,params_AAPL_PANW_z_entry,params_AAPL_PANW_z_exit,params_AAPL_PANW_z_stop_scaler,params_AAPL_PANW_z_win,params_ADI_PDD_beta_win,params_ADI_PDD_stop_loss,params_ADI_PDD_trade_freq,params_ADI_PDD_z_entry,params_ADI_PDD_z_exit,params_ADI_PDD_z_stop_scaler,params_ADI_PDD_z_win,params_AEP_ATVI_beta_win,params_AEP_ATVI_stop_loss,params_AEP_ATVI_trade_freq,params_AEP_ATVI_z_entry,params_AEP_ATVI_z_exit,params_AEP_ATVI_z_stop_scaler,params_AEP_ATVI_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_AMZN_ORLY_beta_win,params_AMZN_ORLY_stop_loss,params_AMZN_ORLY_trade_freq,params_AMZN_ORLY_z_entry,params_AMZN_ORLY_z_exit,params_AMZN_ORLY_z_stop_scaler,params_AMZN_ORLY_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_ATVI_JD_beta_win,params_ATVI_JD_stop_loss,params_ATVI_JD_trade_freq,params_ATVI_JD_z_entry,params_ATVI_JD_z_exit,params_ATVI_JD_z_stop_scaler,params_ATVI_JD_z_win,params_AVGO_PDD_beta_win,params_AVGO_PDD_stop_loss,params_AVGO_PDD_trade_freq,params_AVGO_PDD_z_entry,params_AVGO_PDD_z_exit,params_AVGO_PDD_z_stop_scaler,params_AVGO_PDD_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_DXCM_SGEN_beta_win,params_DXCM_SGEN_stop_loss,params_DXCM_SGEN_trade_freq,params_DXCM_SGEN_z_entry,params_DXCM_SGEN_z_exit,params_DXCM_SGEN_z_stop_scaler,params_DXCM_SGEN_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GILD_MNST_beta_win,params_GILD_MNST_stop_loss,params_GILD_MNST_trade_freq,params_GILD_MNST_z_entry,params_GILD_MNST_z_exit,params_GILD_MNST_z_stop_scaler,params_GILD_MNST_z_win,params_HON_TEAM_beta_win,params_HON_TEAM_stop_loss,params_HON_TEAM_trade_freq,params_HON_TEAM_z_entry,params_HON_TEAM_z_exit,params_HON_TEAM_z_stop_scaler,params_HON_TEAM_z_win,params_KHC_ZS_beta_win,params_KHC_ZS_stop_loss,params_KHC_ZS_trade_freq,params_KHC_ZS_z_entry,params_KHC_ZS_z_exit,params_KHC_ZS_z_stop_scaler,params_KHC_ZS_z_win,params_MRNA_ZS_beta_win,params_MRNA_ZS_stop_loss,params_MRNA_ZS_trade_freq,params_MRNA_ZS_z_entry,params_MRNA_ZS_z_exit,params_MRNA_ZS_z_stop_scaler,params_MRNA_ZS_z_win,params_ORLY_SGEN_beta_win,params_ORLY_SGEN_stop_loss,params_ORLY_SGEN_trade_freq,params_ORLY_SGEN_z_entry,params_ORLY_SGEN_z_exit,params_ORLY_SGEN_z_stop_scaler,params_ORLY_SGEN_z_win,params_ORLY_TEAM_beta_win,params_ORLY_TEAM_stop_loss,params_ORLY_TEAM_trade_freq,params_ORLY_TEAM_z_entry,params_ORLY_TEAM_z_exit,params_ORLY_TEAM_z_stop_scaler,params_ORLY_TEAM_z_win,params_PEP_SGEN_beta_win,params_PEP_SGEN_stop_loss,params_PEP_SGEN_trade_freq,params_PEP_SGEN_z_entry,params_PEP_SGEN_z_exit,params_PEP_SGEN_z_stop_scaler,params_PEP_SGEN_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.7532035962436069,2025-06-21 19:20:55.204966,2025-06-21 19:20:57.589350,0 days 00:00:02.384384,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-3.03657153938241,2025-06-21 19:20:57.658292,2025-06-21 19:20:59.938116,0 days 00:00:02.279824,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,0.037937237981930605,2025-06-21 19:20:59.991725,2025-06-21 19:21:00.919490,0 days 00:00:00.927765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-4.483217975876397,2025-06-21 19:21:00.984568,2025-06-21 19:21:07.388678,0 days 00:00:06.404110,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,,,,,,,,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,6976,0.015,4m,2.0,0.4,2.0,192,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,,,,,,,,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,0.15000000000000002,17,COMPLETE
4,4,-1.5218729676472573,2025-06-21 19:21:07.461181,2025-06-21 19:21:10.861086,0 days 00:00:03.399905,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,-2.6906132161646137,2025-06-21 19:21:10.941227,2025-06-21 19:21:14.791506,0 days 00:00:03.850279,,,,,,,,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,2008.0,0.015,5m,3.0,0.8,1.5,376.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,,,,,,,,,,,,,,,0.25,10,COMPLETE
6,6,-0.21996793109299512,2025-06-21 19:21:14.874588,2025-06-21 19:21:17.661033,0 days 00:00:02.786445,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-1.168129600414309,2025-06-21 19:21:17.736288,2025-06-21 19:21:24.764406,0 days 00:00:07.028118,,,,,,,,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,2792.0,0.015,5m,2.6,0.0,1.0,280.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,7808.0,0.01,5m,1.2,0.0,1.5,320.0,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,,,,,,,,,,,,,,,0.5,10,COMPLETE
8,8,-1.441472555441972,2025-06-21 19:21:24.879342,2025-06-21 19:21:36.831466,0 days 00:00:11.952124,5056.0,0.015,4m,1.8,0.2,1.5,888.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,,,,,,,,7784.0,0.02,2m,3.0,0.2,2.0,408.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,2232.0,0.02,2m,1.6,0.4,2.0,120.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,,,,,,,,6856.0,0.02,5m,1.8,1.0,1.5,184.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,0.15000000000000002,18,COMPLETE
9,9,-0.7542573201070522,2025-06-21 19:21:36.899207,2025-06-21 19:21:39.131627,0 days 00:00:02.232420,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
