,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_AEP_beta_win,params_ABNB_AEP_stop_loss,params_ABNB_AEP_trade_freq,params_ABNB_AEP_z_entry,params_ABNB_AEP_z_exit,params_ABNB_AEP_z_stop_scaler,params_ABNB_AEP_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_AVGO_beta_win,params_ADP_AVGO_stop_loss,params_ADP_AVGO_trade_freq,params_ADP_AVGO_z_entry,params_ADP_AVGO_z_exit,params_ADP_AVGO_z_stop_scaler,params_ADP_AVGO_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_ANSS_REGN_beta_win,params_ANSS_REGN_stop_loss,params_ANSS_REGN_trade_freq,params_ANSS_REGN_z_entry,params_ANSS_REGN_z_exit,params_ANSS_REGN_z_stop_scaler,params_ANSS_REGN_z_win,params_AVGO_HON_beta_win,params_AVGO_HON_stop_loss,params_AVGO_HON_trade_freq,params_AVGO_HON_z_entry,params_AVGO_HON_z_exit,params_AVGO_HON_z_stop_scaler,params_AVGO_HON_z_win,params_AVGO_PAYX_beta_win,params_AVGO_PAYX_stop_loss,params_AVGO_PAYX_trade_freq,params_AVGO_PAYX_z_entry,params_AVGO_PAYX_z_exit,params_AVGO_PAYX_z_stop_scaler,params_AVGO_PAYX_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_CDNS_INTU_beta_win,params_CDNS_INTU_stop_loss,params_CDNS_INTU_trade_freq,params_CDNS_INTU_z_entry,params_CDNS_INTU_z_exit,params_CDNS_INTU_z_stop_scaler,params_CDNS_INTU_z_win,params_CPRT_INTU_beta_win,params_CPRT_INTU_stop_loss,params_CPRT_INTU_trade_freq,params_CPRT_INTU_z_entry,params_CPRT_INTU_z_exit,params_CPRT_INTU_z_stop_scaler,params_CPRT_INTU_z_win,params_CRWD_KLAC_beta_win,params_CRWD_KLAC_stop_loss,params_CRWD_KLAC_trade_freq,params_CRWD_KLAC_z_entry,params_CRWD_KLAC_z_exit,params_CRWD_KLAC_z_stop_scaler,params_CRWD_KLAC_z_win,params_CTSH_EBAY_beta_win,params_CTSH_EBAY_stop_loss,params_CTSH_EBAY_trade_freq,params_CTSH_EBAY_z_entry,params_CTSH_EBAY_z_exit,params_CTSH_EBAY_z_stop_scaler,params_CTSH_EBAY_z_win,params_DXCM_KLAC_beta_win,params_DXCM_KLAC_stop_loss,params_DXCM_KLAC_trade_freq,params_DXCM_KLAC_z_entry,params_DXCM_KLAC_z_exit,params_DXCM_KLAC_z_stop_scaler,params_DXCM_KLAC_z_win,params_GFS_KHC_beta_win,params_GFS_KHC_stop_loss,params_GFS_KHC_trade_freq,params_GFS_KHC_z_entry,params_GFS_KHC_z_exit,params_GFS_KHC_z_stop_scaler,params_GFS_KHC_z_win,params_HON_SNPS_beta_win,params_HON_SNPS_stop_loss,params_HON_SNPS_trade_freq,params_HON_SNPS_z_entry,params_HON_SNPS_z_exit,params_HON_SNPS_z_stop_scaler,params_HON_SNPS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MELI_SNPS_beta_win,params_MELI_SNPS_stop_loss,params_MELI_SNPS_trade_freq,params_MELI_SNPS_z_entry,params_MELI_SNPS_z_exit,params_MELI_SNPS_z_stop_scaler,params_MELI_SNPS_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_ODFL_TEAM_beta_win,params_ODFL_TEAM_stop_loss,params_ODFL_TEAM_trade_freq,params_ODFL_TEAM_z_entry,params_ODFL_TEAM_z_exit,params_ODFL_TEAM_z_stop_scaler,params_ODFL_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.10682203673437468,2025-06-21 19:22:10.049774,2025-06-21 19:22:13.225205,0 days 00:00:03.175431,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,1720,0.02,3m,2.4000000000000004,0.8,1.0,320,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,0.5,6,COMPLETE
1,1,-2.823227037412502,2025-06-21 19:22:13.300178,2025-06-21 19:22:19.239788,0 days 00:00:05.939610,4632.0,0.01,2m,3.0,0.4,2.0,648.0,3424.0,0.015,1m,1.6,0.2,1.5,400.0,5256.0,0.01,4m,3.0,0.6000000000000001,1.5,576.0,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,6416.0,0.02,2m,1.4,0.4,0.5,920.0,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,8112.0,0.01,4m,1.0,0.4,1.5,144.0,,,,,,,,2200.0,0.015,1m,1.8,0.4,1.5,488.0,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,1368.0,0.015,1m,3.0,0.2,1.5,192.0,,,,,,,,,,,,,,,4784.0,0.015,4m,1.2,1.0,2.0,360.0,7768,0.015,2m,2.2,0.6000000000000001,1.0,816,,,,,,,,2816,0.015,4m,2.8,0.6000000000000001,1.5,624,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,0.2,13,COMPLETE
2,2,-3.787185630758202,2025-06-21 19:22:19.329576,2025-06-21 19:22:27.260807,0 days 00:00:07.931231,1312.0,0.02,1m,1.4,0.4,1.0,560.0,2624.0,0.02,3m,1.4,1.0,1.0,840.0,7504.0,0.02,2m,1.2,0.6000000000000001,0.5,696.0,7128.0,0.02,3m,1.2,0.8,1.5,480.0,3544.0,0.02,4m,1.6,0.0,2.0,520.0,6696.0,0.02,4m,2.8,0.0,2.0,128.0,,,,,,,,1040.0,0.02,2m,1.0,0.2,1.5,256.0,3600.0,0.015,5m,1.0,0.6000000000000001,0.5,584.0,2584.0,0.01,4m,2.4000000000000004,0.2,1.5,696.0,1552.0,0.02,5m,2.4000000000000004,1.0,2.0,952.0,3888.0,0.02,2m,2.6,0.4,1.0,408.0,3408.0,0.02,5m,1.4,0.4,2.0,624.0,2920.0,0.01,1m,1.2,0.6000000000000001,2.0,176.0,,,,,,,,1632.0,0.01,2m,1.8,0.8,2.0,256.0,7992.0,0.015,5m,1.6,0.6000000000000001,1.0,760.0,7704,0.015,4m,1.2,0.2,2.0,616,5608.0,0.02,3m,3.0,0.8,2.0,1000.0,1520,0.01,2m,1.8,1.0,1.5,192,4816.0,0.02,3m,2.6,1.0,1.0,504.0,0.45,18,COMPLETE
3,3,-2.2600982456795795,2025-06-21 19:22:27.362937,2025-06-21 19:22:33.084334,0 days 00:00:05.721397,3520.0,0.01,2m,1.2,0.2,1.5,256.0,3064.0,0.02,4m,1.4,0.0,2.0,272.0,6304.0,0.02,5m,1.8,0.2,2.0,960.0,2416.0,0.02,5m,2.4000000000000004,0.8,1.0,192.0,6232.0,0.01,2m,2.6,0.6000000000000001,2.0,80.0,,,,,,,,,,,,,,,4304.0,0.02,4m,2.2,0.8,1.0,856.0,2576.0,0.015,1m,1.4,0.8,2.0,168.0,,,,,,,,2336.0,0.015,5m,2.4000000000000004,0.0,1.0,216.0,1280.0,0.015,4m,1.6,0.6000000000000001,1.0,472.0,,,,,,,,5840.0,0.02,1m,2.2,1.0,0.5,464.0,,,,,,,,,,,,,,,3440.0,0.015,2m,1.6,0.8,0.5,104.0,5576,0.015,1m,1.6,0.6000000000000001,1.5,904,,,,,,,,1656,0.02,1m,1.0,0.2,0.5,416,7968.0,0.02,4m,1.6,0.4,1.0,296.0,0.3,13,COMPLETE
4,4,-0.21975187299357932,2025-06-21 19:22:33.168344,2025-06-21 19:22:35.868370,0 days 00:00:02.700026,,,,,,,,,,,,,,,,,,,,,,6000.0,0.02,2m,2.8,1.0,0.5,136.0,,,,,,,,,,,,,,,,,,,,,,3320.0,0.02,3m,2.0,0.8,2.0,624.0,,,,,,,,,,,,,,,,,,,,,,2952.0,0.015,4m,1.2,0.8,1.5,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968,0.015,4m,1.8,0.2,1.0,912,,,,,,,,3248,0.015,4m,2.6,1.0,2.0,96,7624.0,0.01,4m,1.4,0.0,2.0,368.0,0.35000000000000003,5,COMPLETE
5,5,-2.6629639080155756,2025-06-21 19:22:35.954779,2025-06-21 19:22:43.427905,0 days 00:00:07.473126,6616.0,0.02,1m,2.0,1.0,2.0,448.0,4872.0,0.015,4m,1.0,0.2,1.0,552.0,7344.0,0.02,4m,1.6,0.6000000000000001,1.5,176.0,2760.0,0.02,5m,1.2,0.2,2.0,416.0,4000.0,0.02,1m,1.6,0.6000000000000001,2.0,520.0,,,,,,,,,,,,,,,1640.0,0.02,5m,2.4000000000000004,0.0,0.5,216.0,4328.0,0.02,5m,3.0,0.6000000000000001,1.0,96.0,,,,,,,,2752.0,0.02,3m,1.6,0.8,1.5,112.0,6352.0,0.015,4m,2.4000000000000004,0.2,2.0,792.0,7296.0,0.01,3m,1.0,1.0,1.5,352.0,6136.0,0.01,3m,1.0,0.8,2.0,840.0,,,,,,,,4288.0,0.02,1m,1.2,1.0,0.5,408.0,6432.0,0.015,5m,1.8,0.6000000000000001,1.5,912.0,2488,0.015,2m,1.2,0.6000000000000001,0.5,976,1200.0,0.01,2m,2.0,0.4,2.0,312.0,1976,0.01,1m,2.8,0.0,1.0,304,6520.0,0.02,2m,2.4000000000000004,1.0,0.5,568.0,0.25,16,COMPLETE
6,6,-0.3670353101673755,2025-06-21 19:22:43.512426,2025-06-21 19:22:46.505644,0 days 00:00:02.993218,,,,,,,,,,,,,,,,,,,,,,1552.0,0.02,2m,1.6,0.6000000000000001,2.0,928.0,,,,,,,,,,,,,,,,,,,,,,4768.0,0.02,2m,1.4,0.2,1.0,112.0,2304.0,0.02,4m,1.4,0.8,0.5,528.0,,,,,,,,,,,,,,,4072.0,0.015,2m,2.4000000000000004,0.8,1.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4928,0.015,1m,2.0,1.0,1.5,696,,,,,,,,6176,0.015,5m,1.6,1.0,0.5,272,6048.0,0.02,5m,2.2,0.8,0.5,720.0,0.45,6,COMPLETE
7,7,-1.2480909146914736,2025-06-21 19:22:46.597930,2025-06-21 19:22:51.378092,0 days 00:00:04.780162,,,,,,,,,,,,,,,,,,,,,,1416.0,0.015,3m,2.6,0.8,1.0,152.0,3008.0,0.01,3m,1.0,0.4,1.0,336.0,,,,,,,,,,,,,,,4952.0,0.01,2m,2.0,0.8,2.0,312.0,3448.0,0.01,2m,1.2,0.8,1.0,888.0,,,,,,,,5840.0,0.015,1m,2.2,0.0,2.0,288.0,7816.0,0.01,1m,1.0,0.8,1.0,944.0,,,,,,,,7600.0,0.01,4m,1.8,1.0,1.0,416.0,,,,,,,,,,,,,,,3640.0,0.02,2m,1.2,1.0,0.5,816.0,6000,0.01,1m,1.4,0.2,1.5,552,,,,,,,,3176,0.01,1m,1.0,0.2,1.5,752,5384.0,0.015,2m,1.4,1.0,0.5,112.0,0.1,10,COMPLETE
8,8,-0.26163832017449934,2025-06-21 19:22:51.460439,2025-06-21 19:22:55.194676,0 days 00:00:03.734237,,,,,,,,,,,,,,,,,,,,,,4080.0,0.015,3m,2.0,0.4,2.0,728.0,,,,,,,,,,,,,,,,,,,,,,5096.0,0.01,5m,1.0,1.0,0.5,592.0,6000.0,0.02,1m,2.8,0.0,2.0,128.0,,,,,,,,,,,,,,,7136.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,,,,,,,,6328.0,0.01,5m,2.2,0.6000000000000001,0.5,568.0,,,,,,,,,,,,,,,2744.0,0.02,5m,1.2,0.6000000000000001,1.5,752.0,3176,0.015,5m,2.6,0.6000000000000001,0.5,424,,,,,,,,6472,0.015,3m,1.6,0.4,2.0,768,2344.0,0.015,5m,1.2,1.0,1.0,816.0,0.45,8,COMPLETE
9,9,-1.7780603098899652,2025-06-21 19:22:55.264021,2025-06-21 19:23:03.734895,0 days 00:00:08.470874,1488.0,0.01,4m,2.0,0.6000000000000001,0.5,240.0,1128.0,0.01,2m,3.0,1.0,1.5,88.0,6208.0,0.02,1m,2.0,0.0,2.0,432.0,5328.0,0.015,3m,2.0,0.6000000000000001,1.5,488.0,2568.0,0.02,2m,1.6,0.8,0.5,560.0,3688.0,0.02,2m,2.4000000000000004,1.0,2.0,488.0,7208.0,0.02,2m,1.0,0.6000000000000001,2.0,256.0,6592.0,0.01,2m,2.6,1.0,0.5,680.0,3888.0,0.01,5m,2.2,0.4,1.0,736.0,5152.0,0.02,5m,3.0,0.6000000000000001,1.0,600.0,4200.0,0.02,2m,1.0,0.2,1.0,712.0,6592.0,0.01,3m,2.8,0.8,1.0,824.0,5056.0,0.02,1m,2.6,0.6000000000000001,1.0,944.0,2808.0,0.015,2m,1.8,0.0,0.5,408.0,3248.0,0.02,4m,1.6,0.2,1.5,920.0,2832.0,0.01,5m,2.0,0.6000000000000001,1.0,704.0,4784.0,0.02,3m,1.2,0.4,2.0,808.0,4192,0.01,3m,2.8,0.0,0.5,120,3368.0,0.015,4m,1.4,0.6000000000000001,1.0,544.0,3704,0.015,3m,2.8,0.6000000000000001,0.5,1024,7232.0,0.02,4m,1.2,0.4,1.5,64.0,0.05,20,COMPLETE
