,number,value,datetime_start,datetime_complete,duration,params_AAPL_CTAS_beta_win,params_AAPL_CTAS_stop_loss,params_AAPL_CTAS_trade_freq,params_AAPL_CTAS_z_entry,params_AAPL_CTAS_z_exit,params_AAPL_CTAS_z_stop_scaler,params_AAPL_CTAS_z_win,params_AAPL_META_beta_win,params_AAPL_META_stop_loss,params_AAPL_META_trade_freq,params_AAPL_META_z_entry,params_AAPL_META_z_exit,params_AAPL_META_z_stop_scaler,params_AAPL_META_z_win,params_ABNB_ADI_beta_win,params_ABNB_ADI_stop_loss,params_ABNB_ADI_trade_freq,params_ABNB_ADI_z_entry,params_ABNB_ADI_z_exit,params_ABNB_ADI_z_stop_scaler,params_ABNB_ADI_z_win,params_ADBE_DXCM_beta_win,params_ADBE_DXCM_stop_loss,params_ADBE_DXCM_trade_freq,params_ADBE_DXCM_z_entry,params_ADBE_DXCM_z_exit,params_ADBE_DXCM_z_stop_scaler,params_ADBE_DXCM_z_win,params_ADBE_WDAY_beta_win,params_ADBE_WDAY_stop_loss,params_ADBE_WDAY_trade_freq,params_ADBE_WDAY_z_entry,params_ADBE_WDAY_z_exit,params_ADBE_WDAY_z_stop_scaler,params_ADBE_WDAY_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_COST_DXCM_beta_win,params_COST_DXCM_stop_loss,params_COST_DXCM_trade_freq,params_COST_DXCM_z_entry,params_COST_DXCM_z_exit,params_COST_DXCM_z_stop_scaler,params_COST_DXCM_z_win,params_CSCO_ADI_beta_win,params_CSCO_ADI_stop_loss,params_CSCO_ADI_trade_freq,params_CSCO_ADI_z_entry,params_CSCO_ADI_z_exit,params_CSCO_ADI_z_stop_scaler,params_CSCO_ADI_z_win,params_CSGP_DXCM_beta_win,params_CSGP_DXCM_stop_loss,params_CSGP_DXCM_trade_freq,params_CSGP_DXCM_z_entry,params_CSGP_DXCM_z_exit,params_CSGP_DXCM_z_stop_scaler,params_CSGP_DXCM_z_win,params_CSX_DXCM_beta_win,params_CSX_DXCM_stop_loss,params_CSX_DXCM_trade_freq,params_CSX_DXCM_z_entry,params_CSX_DXCM_z_exit,params_CSX_DXCM_z_stop_scaler,params_CSX_DXCM_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_NFLX_DXCM_beta_win,params_NFLX_DXCM_stop_loss,params_NFLX_DXCM_trade_freq,params_NFLX_DXCM_z_entry,params_NFLX_DXCM_z_exit,params_NFLX_DXCM_z_stop_scaler,params_NFLX_DXCM_z_win,params_SIRI_ADI_beta_win,params_SIRI_ADI_stop_loss,params_SIRI_ADI_trade_freq,params_SIRI_ADI_z_entry,params_SIRI_ADI_z_exit,params_SIRI_ADI_z_stop_scaler,params_SIRI_ADI_z_win,params_TTD_CTAS_beta_win,params_TTD_CTAS_stop_loss,params_TTD_CTAS_trade_freq,params_TTD_CTAS_z_entry,params_TTD_CTAS_z_exit,params_TTD_CTAS_z_stop_scaler,params_TTD_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-1.08569594650539,2025-06-21 19:27:40.965177,2025-06-21 19:27:43.268085,0 days 00:00:02.302908,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-0.6361862706692862,2025-06-21 19:27:43.352665,2025-06-21 19:27:45.579735,0 days 00:00:02.227070,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,-0.10776485811161957,2025-06-21 19:27:45.649898,2025-06-21 19:27:46.599610,0 days 00:00:00.949712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,0.6079063318189554,2025-06-21 19:27:46.668876,2025-06-21 19:27:53.250744,0 days 00:00:06.581868,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,,,,,,,,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,6976,0.015,4m,2.0,0.4,2.0,192,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,,,,,,,,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,0.15000000000000002,17,COMPLETE
4,4,0.4810527820517674,2025-06-21 19:27:53.350617,2025-06-21 19:27:56.232386,0 days 00:00:02.881769,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,0.4022788410841738,2025-06-21 19:27:56.318390,2025-06-21 19:28:00.266277,0 days 00:00:03.947887,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,,,,,,,,,,,,,,,0.25,10,COMPLETE
6,6,-2.3485252542858923,2025-06-21 19:28:00.361586,2025-06-21 19:28:03.001648,0 days 00:00:02.640062,2264.0,0.02,2m,3.0,0.0,1.5,944.0,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-2.8279641623820657,2025-06-21 19:28:03.083116,2025-06-21 19:28:06.957569,0 days 00:00:03.874453,7808.0,0.01,5m,1.2,0.0,1.5,320.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,3344.0,0.02,1m,1.0,0.0,0.5,472.0,,,,,,,,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,,,,,,,,,,,,,,,0.5,10,COMPLETE
8,8,-1.8454325491284282,2025-06-21 19:28:07.048471,2025-06-21 19:28:13.778099,0 days 00:00:06.729628,1272.0,0.02,4m,3.0,1.0,1.5,568.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,,,,,,,,5056.0,0.015,4m,1.8,0.2,1.5,888.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,7784.0,0.02,2m,3.0,0.2,2.0,408.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,,,,,,,,6856.0,0.02,5m,1.8,1.0,1.5,184.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,0.15000000000000002,18,COMPLETE
9,9,-2.368748568513828,2025-06-21 19:28:13.874797,2025-06-21 19:28:16.149193,0 days 00:00:02.274396,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
