,number,value,datetime_start,datetime_complete,duration,params_AAPL_DDOG_beta_win,params_AAPL_DDOG_stop_loss,params_AAPL_DDOG_trade_freq,params_AAPL_DDOG_z_entry,params_AAPL_DDOG_z_exit,params_AAPL_DDOG_z_stop_scaler,params_AAPL_DDOG_z_win,params_AAPL_MCHP_beta_win,params_AAPL_MCHP_stop_loss,params_AAPL_MCHP_trade_freq,params_AAPL_MCHP_z_entry,params_AAPL_MCHP_z_exit,params_AAPL_MCHP_z_stop_scaler,params_AAPL_MCHP_z_win,params_AAPL_PYPL_beta_win,params_AAPL_PYPL_stop_loss,params_AAPL_PYPL_trade_freq,params_AAPL_PYPL_z_entry,params_AAPL_PYPL_z_exit,params_AAPL_PYPL_z_stop_scaler,params_AAPL_PYPL_z_win,params_ABNB_ON_beta_win,params_ABNB_ON_stop_loss,params_ABNB_ON_trade_freq,params_ABNB_ON_z_entry,params_ABNB_ON_z_exit,params_ABNB_ON_z_stop_scaler,params_ABNB_ON_z_win,params_ADI_DDOG_beta_win,params_ADI_DDOG_stop_loss,params_ADI_DDOG_trade_freq,params_ADI_DDOG_z_entry,params_ADI_DDOG_z_exit,params_ADI_DDOG_z_stop_scaler,params_ADI_DDOG_z_win,params_ADI_PYPL_beta_win,params_ADI_PYPL_stop_loss,params_ADI_PYPL_trade_freq,params_ADI_PYPL_z_entry,params_ADI_PYPL_z_exit,params_ADI_PYPL_z_stop_scaler,params_ADI_PYPL_z_win,params_ADP_CMCSA_beta_win,params_ADP_CMCSA_stop_loss,params_ADP_CMCSA_trade_freq,params_ADP_CMCSA_z_entry,params_ADP_CMCSA_z_exit,params_ADP_CMCSA_z_stop_scaler,params_ADP_CMCSA_z_win,params_ADP_MAR_beta_win,params_ADP_MAR_stop_loss,params_ADP_MAR_trade_freq,params_ADP_MAR_z_entry,params_ADP_MAR_z_exit,params_ADP_MAR_z_stop_scaler,params_ADP_MAR_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CDNS_ZS_beta_win,params_CDNS_ZS_stop_loss,params_CDNS_ZS_trade_freq,params_CDNS_ZS_z_entry,params_CDNS_ZS_z_exit,params_CDNS_ZS_z_stop_scaler,params_CDNS_ZS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DDOG_PYPL_beta_win,params_DDOG_PYPL_stop_loss,params_DDOG_PYPL_trade_freq,params_DDOG_PYPL_z_entry,params_DDOG_PYPL_z_exit,params_DDOG_PYPL_z_stop_scaler,params_DDOG_PYPL_z_win,params_EXC_ORLY_beta_win,params_EXC_ORLY_stop_loss,params_EXC_ORLY_trade_freq,params_EXC_ORLY_z_entry,params_EXC_ORLY_z_exit,params_EXC_ORLY_z_stop_scaler,params_EXC_ORLY_z_win,params_IDXX_PYPL_beta_win,params_IDXX_PYPL_stop_loss,params_IDXX_PYPL_trade_freq,params_IDXX_PYPL_z_entry,params_IDXX_PYPL_z_exit,params_IDXX_PYPL_z_stop_scaler,params_IDXX_PYPL_z_win,params_INTU_VRSK_beta_win,params_INTU_VRSK_stop_loss,params_INTU_VRSK_trade_freq,params_INTU_VRSK_z_entry,params_INTU_VRSK_z_exit,params_INTU_VRSK_z_stop_scaler,params_INTU_VRSK_z_win,params_ISRG_PYPL_beta_win,params_ISRG_PYPL_stop_loss,params_ISRG_PYPL_trade_freq,params_ISRG_PYPL_z_entry,params_ISRG_PYPL_z_exit,params_ISRG_PYPL_z_stop_scaler,params_ISRG_PYPL_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.23978015741777403,2025-06-21 19:33:42.671010,2025-06-21 19:33:44.762605,0 days 00:00:02.091595,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-1.3274902361681171,2025-06-21 19:33:44.913595,2025-06-21 19:33:48.945741,0 days 00:00:04.032146,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,0.04506172505901666,2025-06-21 19:33:49.076505,2025-06-21 19:33:50.983108,0 days 00:00:01.906603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-3.908952376023849,2025-06-21 19:33:51.115380,2025-06-21 19:33:59.555099,0 days 00:00:08.439719,1848.0,0.02,5m,3.0,1.0,1.5,568.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,,,,,,,,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,6976,0.015,4m,2.0,0.4,2.0,192,3072.0,0.015,3m,1.4,0.0,0.5,664.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,,,,,,,,0.15000000000000002,17,COMPLETE
4,4,1.3190298552823945,2025-06-21 19:33:59.651618,2025-06-21 19:34:02.730847,0 days 00:00:03.079229,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,-0.5097992930572202,2025-06-21 19:34:02.808390,2025-06-21 19:34:06.437550,0 days 00:00:03.629160,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,,,,,,,,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,0.25,10,COMPLETE
6,6,-1.199931423872791,2025-06-21 19:34:06.515069,2025-06-21 19:34:09.337589,0 days 00:00:02.822520,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,,,,,,,,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-3.669967652303333,2025-06-21 19:34:09.436047,2025-06-21 19:34:12.763409,0 days 00:00:03.327362,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,,,,,,,,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,7808.0,0.01,5m,1.2,0.0,1.5,320.0,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,0.5,10,COMPLETE
8,8,-0.294434517572042,2025-06-21 19:34:12.853920,2025-06-21 19:34:19.041575,0 days 00:00:06.187655,3040.0,0.01,2m,2.6,0.4,1.0,72.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,,,,,,,,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,4152.0,0.02,2m,3.0,0.2,0.5,424.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,,,,,,,,0.15000000000000002,18,COMPLETE
9,9,0.7598737476070738,2025-06-21 19:34:19.136845,2025-06-21 19:34:21.112240,0 days 00:00:01.975395,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
