,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_AAPL_ROP_beta_win,params_AAPL_ROP_stop_loss,params_AAPL_ROP_trade_freq,params_AAPL_ROP_z_entry,params_AAPL_ROP_z_exit,params_AAPL_ROP_z_stop_scaler,params_AAPL_ROP_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_ADI_CTSH_beta_win,params_ADI_CTSH_stop_loss,params_ADI_CTSH_trade_freq,params_ADI_CTSH_z_entry,params_ADI_CTSH_z_exit,params_ADI_CTSH_z_stop_scaler,params_ADI_CTSH_z_win,params_ADI_MCHP_beta_win,params_ADI_MCHP_stop_loss,params_ADI_MCHP_trade_freq,params_ADI_MCHP_z_entry,params_ADI_MCHP_z_exit,params_ADI_MCHP_z_stop_scaler,params_ADI_MCHP_z_win,params_AMAT_CDW_beta_win,params_AMAT_CDW_stop_loss,params_AMAT_CDW_trade_freq,params_AMAT_CDW_z_entry,params_AMAT_CDW_z_exit,params_AMAT_CDW_z_stop_scaler,params_AMAT_CDW_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_AMZN_MCHP_beta_win,params_AMZN_MCHP_stop_loss,params_AMZN_MCHP_trade_freq,params_AMZN_MCHP_z_entry,params_AMZN_MCHP_z_exit,params_AMZN_MCHP_z_stop_scaler,params_AMZN_MCHP_z_win,params_BKNG_CSX_beta_win,params_BKNG_CSX_stop_loss,params_BKNG_CSX_trade_freq,params_BKNG_CSX_z_entry,params_BKNG_CSX_z_exit,params_BKNG_CSX_z_stop_scaler,params_BKNG_CSX_z_win,params_BKNG_DLTR_beta_win,params_BKNG_DLTR_stop_loss,params_BKNG_DLTR_trade_freq,params_BKNG_DLTR_z_entry,params_BKNG_DLTR_z_exit,params_BKNG_DLTR_z_stop_scaler,params_BKNG_DLTR_z_win,params_BKNG_IDXX_beta_win,params_BKNG_IDXX_stop_loss,params_BKNG_IDXX_trade_freq,params_BKNG_IDXX_z_entry,params_BKNG_IDXX_z_exit,params_BKNG_IDXX_z_stop_scaler,params_BKNG_IDXX_z_win,params_BKNG_KHC_beta_win,params_BKNG_KHC_stop_loss,params_BKNG_KHC_trade_freq,params_BKNG_KHC_z_entry,params_BKNG_KHC_z_exit,params_BKNG_KHC_z_stop_scaler,params_BKNG_KHC_z_win,params_BKNG_MCHP_beta_win,params_BKNG_MCHP_stop_loss,params_BKNG_MCHP_trade_freq,params_BKNG_MCHP_z_entry,params_BKNG_MCHP_z_exit,params_BKNG_MCHP_z_stop_scaler,params_BKNG_MCHP_z_win,params_BKNG_NXPI_beta_win,params_BKNG_NXPI_stop_loss,params_BKNG_NXPI_trade_freq,params_BKNG_NXPI_z_entry,params_BKNG_NXPI_z_exit,params_BKNG_NXPI_z_stop_scaler,params_BKNG_NXPI_z_win,params_CDW_MCHP_beta_win,params_CDW_MCHP_stop_loss,params_CDW_MCHP_trade_freq,params_CDW_MCHP_z_entry,params_CDW_MCHP_z_exit,params_CDW_MCHP_z_stop_scaler,params_CDW_MCHP_z_win,params_COST_CSX_beta_win,params_COST_CSX_stop_loss,params_COST_CSX_trade_freq,params_COST_CSX_z_entry,params_COST_CSX_z_exit,params_COST_CSX_z_stop_scaler,params_COST_CSX_z_win,params_CTSH_MCHP_beta_win,params_CTSH_MCHP_stop_loss,params_CTSH_MCHP_trade_freq,params_CTSH_MCHP_z_entry,params_CTSH_MCHP_z_exit,params_CTSH_MCHP_z_stop_scaler,params_CTSH_MCHP_z_win,params_DASH_DDOG_beta_win,params_DASH_DDOG_stop_loss,params_DASH_DDOG_trade_freq,params_DASH_DDOG_z_entry,params_DASH_DDOG_z_exit,params_DASH_DDOG_z_stop_scaler,params_DASH_DDOG_z_win,params_DASH_MDB_beta_win,params_DASH_MDB_stop_loss,params_DASH_MDB_trade_freq,params_DASH_MDB_z_entry,params_DASH_MDB_z_exit,params_DASH_MDB_z_stop_scaler,params_DASH_MDB_z_win,params_INTU_MCHP_beta_win,params_INTU_MCHP_stop_loss,params_INTU_MCHP_trade_freq,params_INTU_MCHP_z_entry,params_INTU_MCHP_z_exit,params_INTU_MCHP_z_stop_scaler,params_INTU_MCHP_z_win,params_MAR_MCHP_beta_win,params_MAR_MCHP_stop_loss,params_MAR_MCHP_trade_freq,params_MAR_MCHP_z_entry,params_MAR_MCHP_z_exit,params_MAR_MCHP_z_stop_scaler,params_MAR_MCHP_z_win,params_ROP_TTWO_beta_win,params_ROP_TTWO_stop_loss,params_ROP_TTWO_trade_freq,params_ROP_TTWO_z_entry,params_ROP_TTWO_z_exit,params_ROP_TTWO_z_stop_scaler,params_ROP_TTWO_z_win,params_SPLK_WBD_beta_win,params_SPLK_WBD_stop_loss,params_SPLK_WBD_trade_freq,params_SPLK_WBD_z_entry,params_SPLK_WBD_z_exit,params_SPLK_WBD_z_stop_scaler,params_SPLK_WBD_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.8092757599053501,2025-06-21 19:34:32.743019,2025-06-21 19:34:35.886963,0 days 00:00:03.143944,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,6816.0,0.01,4m,1.6,0.0,0.5,400.0,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,1720,0.02,3m,2.4000000000000004,0.8,1.0,320,7608.0,0.015,4m,3.0,0.8,1.5,664.0,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,1912.0,0.01,4m,2.6,0.0,0.5,536.0,0.25,6,COMPLETE
1,1,-1.7438883988476654,2025-06-21 19:34:35.981553,2025-06-21 19:34:37.594145,0 days 00:00:01.612592,,,,,,,,,,,,,,,1960,0.015,4m,3.0,0.2,0.5,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800,0.015,1m,2.8,0.6000000000000001,1.5,552,8112.0,0.01,4m,1.0,0.4,1.5,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
2,2,-0.862892644555008,2025-06-21 19:34:37.682326,2025-06-21 19:34:39.909130,0 days 00:00:02.226804,,,,,,,,,,,,,,,8112,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,2m,2.8,0.0,1.0,872.0,,,,,,,,2520.0,0.015,4m,1.4,0.8,2.0,496.0,,,,,,,,,,,,,,,4064,0.015,1m,2.4000000000000004,1.0,0.5,392,7944.0,0.015,3m,3.0,0.6000000000000001,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,7592.0,0.015,2m,2.2,0.0,0.5,552.0,0.2,3,COMPLETE
3,3,-1.4469997702119437,2025-06-21 19:34:39.990339,2025-06-21 19:34:43.129498,0 days 00:00:03.139159,,,,,,,,,,,,,,,4720,0.015,5m,1.0,0.2,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,,,,,,,,6400,0.015,4m,1.4,0.6000000000000001,0.5,912,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,,,,,,,,,,,,,,,1848.0,0.02,5m,3.0,1.0,1.5,568.0,0.15000000000000002,6,COMPLETE
4,4,-3.969861045465986,2025-06-21 19:34:43.218387,2025-06-21 19:34:48.978920,0 days 00:00:05.760533,,,,,,,,,,,,,,,2848,0.01,1m,1.2,0.4,0.5,112,,,,,,,,,,,,,,,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,3032.0,0.01,4m,2.6,0.6000000000000001,1.5,600.0,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,7376.0,0.02,4m,2.2,0.4,1.5,320.0,3520.0,0.02,2m,2.2,0.8,1.5,776.0,7152.0,0.015,2m,1.4,0.2,0.5,648.0,3952.0,0.015,3m,2.2,0.6000000000000001,1.0,792.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,5680,0.015,3m,1.6,0.4,0.5,840,3536.0,0.02,2m,1.6,0.6000000000000001,0.5,688.0,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,5336.0,0.02,3m,3.0,0.0,0.5,496.0,5152.0,0.01,5m,2.0,0.6000000000000001,1.0,832.0,0.15000000000000002,13,COMPLETE
5,5,-2.674817183145636,2025-06-21 19:34:49.062352,2025-06-21 19:34:53.803658,0 days 00:00:04.741306,,,,,,,,,,,,,,,3568,0.02,2m,1.6,0.8,1.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856.0,0.02,2m,1.6,0.2,1.0,408.0,5728.0,0.01,4m,3.0,1.0,1.5,448.0,,,,,,,,,,,,,,,7880.0,0.01,1m,2.2,0.0,0.5,304.0,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,4384.0,0.01,1m,2.0,0.4,1.0,376.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,2008.0,0.015,5m,3.0,0.8,1.5,376.0,7728.0,0.01,2m,2.6,0.0,2.0,808.0,3896,0.01,2m,1.6,0.8,2.0,272,7032.0,0.015,4m,1.2,1.0,2.0,1000.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,2048.0,0.015,4m,2.4000000000000004,0.4,0.5,720.0,0.25,10,COMPLETE
6,6,-1.8821997730504505,2025-06-21 19:34:53.875577,2025-06-21 19:35:00.903217,0 days 00:00:07.027640,,,,,,,,,,,,,,,7616,0.01,3m,1.2,1.0,1.0,256,,,,,,,,4400.0,0.01,5m,3.0,1.0,2.0,920.0,2192.0,0.01,4m,1.4,1.0,1.0,928.0,3688.0,0.015,3m,2.0,0.6000000000000001,2.0,640.0,1024.0,0.02,1m,3.0,1.0,2.0,760.0,5872.0,0.015,4m,1.2,0.0,1.0,136.0,3184.0,0.015,2m,2.4000000000000004,0.4,0.5,544.0,3472.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.5,856.0,5704.0,0.01,4m,1.4,0.2,2.0,968.0,6520.0,0.02,5m,2.4000000000000004,0.8,2.0,808.0,6008.0,0.01,2m,3.0,0.2,0.5,352.0,7104.0,0.02,4m,1.2,0.4,1.5,584.0,2008.0,0.015,3m,1.4,1.0,2.0,672.0,7944.0,0.02,3m,1.6,0.4,0.5,608.0,1360,0.01,1m,2.2,0.8,1.0,872,4320.0,0.01,3m,2.6,0.0,1.5,464.0,1856.0,0.02,3m,2.6,0.6000000000000001,0.5,264.0,1616.0,0.015,2m,1.6,0.0,0.5,224.0,3424.0,0.01,4m,3.0,0.8,1.5,648.0,7104.0,0.01,2m,1.6,0.8,1.5,80.0,0.3,17,COMPLETE
7,7,-0.8964882291388923,2025-06-21 19:35:00.964456,2025-06-21 19:35:06.892440,0 days 00:00:05.927984,,,,,,,,,,,,,,,4720,0.02,2m,2.2,1.0,1.0,936,,,,,,,,7600.0,0.01,4m,1.8,1.0,1.0,416.0,,,,,,,,4952.0,0.01,2m,2.0,0.8,2.0,312.0,7816.0,0.01,1m,1.0,0.8,1.0,944.0,3392.0,0.015,5m,1.4,0.4,1.0,880.0,,,,,,,,3448.0,0.01,2m,1.2,0.8,1.0,888.0,6000.0,0.01,1m,1.4,0.2,1.5,552.0,3600.0,0.015,2m,3.0,0.4,2.0,656.0,2640.0,0.01,4m,1.2,0.0,1.0,840.0,6208.0,0.01,4m,1.6,0.0,2.0,816.0,2440.0,0.02,4m,1.8,0.4,2.0,288.0,1416.0,0.015,3m,2.6,0.8,1.0,152.0,3640,0.02,2m,1.2,1.0,0.5,816,3008.0,0.01,3m,1.0,0.4,1.0,336.0,5304.0,0.015,3m,1.2,0.4,1.0,808.0,,,,,,,,5384.0,0.015,2m,1.4,1.0,0.5,112.0,5840.0,0.015,1m,2.2,0.0,2.0,288.0,0.2,14,COMPLETE
8,8,-0.6003232406181304,2025-06-21 19:35:06.989219,2025-06-21 19:35:17.959839,0 days 00:00:10.970620,,,,,,,,,,,,,,,1384,0.015,1m,2.2,0.6000000000000001,1.0,368,,,,,,,,6600.0,0.015,1m,2.6,0.6000000000000001,2.0,280.0,,,,,,,,7048.0,0.02,5m,1.8,0.0,2.0,984.0,6472.0,0.015,3m,1.6,0.4,2.0,768.0,6000.0,0.02,1m,2.8,0.0,2.0,128.0,1928.0,0.02,3m,2.8,0.0,0.5,200.0,3640.0,0.02,5m,2.6,0.8,2.0,408.0,6328.0,0.01,5m,2.2,0.6000000000000001,0.5,568.0,3176.0,0.015,5m,2.6,0.6000000000000001,0.5,424.0,2344.0,0.015,5m,1.2,1.0,1.0,816.0,4080.0,0.015,3m,2.0,0.4,2.0,728.0,7136.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,2744.0,0.02,5m,1.2,0.6000000000000001,1.5,752.0,2576,0.015,1m,1.8,0.8,1.5,784,7456.0,0.015,4m,1.4,0.4,1.0,224.0,5096.0,0.01,5m,1.0,1.0,0.5,592.0,,,,,,,,4952.0,0.02,5m,2.2,0.4,1.5,320.0,5896.0,0.015,2m,2.0,0.8,0.5,520.0,0.3,15,COMPLETE
9,9,-4.097092233741653,2025-06-21 19:35:18.119722,2025-06-21 19:35:32.092062,0 days 00:00:13.972340,6368.0,0.02,5m,1.2,0.4,1.5,928.0,3752.0,0.01,2m,1.2,0.2,1.0,840.0,2568,0.02,2m,1.6,0.8,0.5,560,5704.0,0.01,5m,1.6,0.8,0.5,488.0,1264.0,0.02,5m,2.2,0.2,2.0,888.0,2288.0,0.02,3m,3.0,0.2,0.5,1000.0,7208.0,0.02,2m,1.0,0.6000000000000001,2.0,256.0,3688.0,0.02,2m,2.4000000000000004,1.0,2.0,488.0,5056.0,0.02,1m,2.6,0.6000000000000001,1.0,944.0,4448.0,0.01,2m,2.0,0.4,1.5,480.0,3704.0,0.015,3m,2.8,0.6000000000000001,0.5,1024.0,3368.0,0.015,4m,1.4,0.6000000000000001,1.0,544.0,4200.0,0.02,2m,1.0,0.2,1.0,712.0,2832.0,0.01,5m,2.0,0.6000000000000001,1.0,704.0,1488.0,0.01,4m,2.0,0.6000000000000001,0.5,240.0,6208.0,0.02,1m,2.0,0.0,2.0,432.0,5152.0,0.02,5m,3.0,0.6000000000000001,1.0,600.0,7544,0.015,2m,1.8,0.0,2.0,872,4752.0,0.02,4m,2.4000000000000004,0.0,0.5,608.0,1128.0,0.01,2m,3.0,1.0,1.5,88.0,4280.0,0.01,3m,2.6,0.4,2.0,872.0,3248.0,0.02,4m,1.6,0.2,1.5,920.0,2384.0,0.01,1m,1.4,0.8,1.0,248.0,0.45,20,COMPLETE
