,number,value,datetime_start,datetime_complete,duration,params_AAPL_DASH_beta_win,params_AAPL_DASH_stop_loss,params_AAPL_DASH_trade_freq,params_AAPL_DASH_z_entry,params_AAPL_DASH_z_exit,params_AAPL_DASH_z_stop_scaler,params_AAPL_DASH_z_win,params_ADBE_FANG_beta_win,params_ADBE_FANG_stop_loss,params_ADBE_FANG_trade_freq,params_ADBE_FANG_z_entry,params_ADBE_FANG_z_exit,params_ADBE_FANG_z_stop_scaler,params_ADBE_FANG_z_win,params_AVGO_MAR_beta_win,params_AVGO_MAR_stop_loss,params_AVGO_MAR_trade_freq,params_AVGO_MAR_z_entry,params_AVGO_MAR_z_exit,params_AVGO_MAR_z_stop_scaler,params_AVGO_MAR_z_win,params_CDW_KLAC_beta_win,params_CDW_KLAC_stop_loss,params_CDW_KLAC_trade_freq,params_CDW_KLAC_z_entry,params_CDW_KLAC_z_exit,params_CDW_KLAC_z_stop_scaler,params_CDW_KLAC_z_win,params_CDW_LRCX_beta_win,params_CDW_LRCX_stop_loss,params_CDW_LRCX_trade_freq,params_CDW_LRCX_z_entry,params_CDW_LRCX_z_exit,params_CDW_LRCX_z_stop_scaler,params_CDW_LRCX_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_MAR_beta_win,params_CRWD_MAR_stop_loss,params_CRWD_MAR_trade_freq,params_CRWD_MAR_z_entry,params_CRWD_MAR_z_exit,params_CRWD_MAR_z_stop_scaler,params_CRWD_MAR_z_win,params_CSX_ROST_beta_win,params_CSX_ROST_stop_loss,params_CSX_ROST_trade_freq,params_CSX_ROST_z_entry,params_CSX_ROST_z_exit,params_CSX_ROST_z_stop_scaler,params_CSX_ROST_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_EA_ON_beta_win,params_EA_ON_stop_loss,params_EA_ON_trade_freq,params_EA_ON_z_entry,params_EA_ON_z_exit,params_EA_ON_z_stop_scaler,params_EA_ON_z_win,params_GEHC_ODFL_beta_win,params_GEHC_ODFL_stop_loss,params_GEHC_ODFL_trade_freq,params_GEHC_ODFL_z_entry,params_GEHC_ODFL_z_exit,params_GEHC_ODFL_z_stop_scaler,params_GEHC_ODFL_z_win,params_HON_ON_beta_win,params_HON_ON_stop_loss,params_HON_ON_trade_freq,params_HON_ON_z_entry,params_HON_ON_z_exit,params_HON_ON_z_stop_scaler,params_HON_ON_z_win,params_IDXX_ON_beta_win,params_IDXX_ON_stop_loss,params_IDXX_ON_trade_freq,params_IDXX_ON_z_entry,params_IDXX_ON_z_exit,params_IDXX_ON_z_stop_scaler,params_IDXX_ON_z_win,params_INTC_ON_beta_win,params_INTC_ON_stop_loss,params_INTC_ON_trade_freq,params_INTC_ON_z_entry,params_INTC_ON_z_exit,params_INTC_ON_z_stop_scaler,params_INTC_ON_z_win,params_ISRG_MAR_beta_win,params_ISRG_MAR_stop_loss,params_ISRG_MAR_trade_freq,params_ISRG_MAR_z_entry,params_ISRG_MAR_z_exit,params_ISRG_MAR_z_stop_scaler,params_ISRG_MAR_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_ON_WDAY_beta_win,params_ON_WDAY_stop_loss,params_ON_WDAY_trade_freq,params_ON_WDAY_z_entry,params_ON_WDAY_z_exit,params_ON_WDAY_z_stop_scaler,params_ON_WDAY_z_win,params_ORLY_WBD_beta_win,params_ORLY_WBD_stop_loss,params_ORLY_WBD_trade_freq,params_ORLY_WBD_z_entry,params_ORLY_WBD_z_exit,params_ORLY_WBD_z_stop_scaler,params_ORLY_WBD_z_win,params_SBUX_TMUS_beta_win,params_SBUX_TMUS_stop_loss,params_SBUX_TMUS_trade_freq,params_SBUX_TMUS_z_entry,params_SBUX_TMUS_z_exit,params_SBUX_TMUS_z_stop_scaler,params_SBUX_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.30770966664612304,2025-06-21 19:36:05.222511,2025-06-21 19:36:07.646988,0 days 00:00:02.424477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,6816.0,0.01,4m,1.6,0.0,0.5,400.0,1496.0,0.01,3m,1.8,0.2,1.5,624.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-0.950809880979185,2025-06-21 19:36:07.720740,2025-06-21 19:36:10.267331,0 days 00:00:02.546591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,-0.10063782249929314,2025-06-21 19:36:10.358457,2025-06-21 19:36:11.454629,0 days 00:00:01.096172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-2.2353433595970387,2025-06-21 19:36:11.545283,2025-06-21 19:36:18.442801,0 days 00:00:06.897518,,,,,,,,,,,,,,,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,,,,,,,,5032.0,0.01,1m,1.0,0.4,2.0,216.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,6976,0.015,4m,2.0,0.4,2.0,192,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,0.15000000000000002,17,COMPLETE
4,4,0.38871162148603594,2025-06-21 19:36:18.512226,2025-06-21 19:36:22.030323,0 days 00:00:03.518097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,3520.0,0.02,2m,2.2,0.8,1.5,776.0,1320.0,0.02,2m,2.0,0.2,0.5,312.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,-0.03753924085368516,2025-06-21 19:36:22.121066,2025-06-21 19:36:26.054902,0 days 00:00:03.933836,,,,,,,,,,,,,,,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,6360.0,0.02,5m,2.2,0.2,1.0,680.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,8016,0.015,4m,1.4,0.2,0.5,152,3376.0,0.02,4m,1.2,0.4,2.0,624.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,0.25,10,COMPLETE
6,6,-2.057395755335271,2025-06-21 19:36:26.133475,2025-06-21 19:36:29.071410,0 days 00:00:02.937935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,5408.0,0.02,5m,1.0,1.0,1.5,200.0,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,4840,0.015,5m,1.6,0.8,1.5,416,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-2.776767527414265,2025-06-21 19:36:29.164711,2025-06-21 19:36:33.473083,0 days 00:00:04.308372,,,,,,,,,,,,,,,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,,,,,,,,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,2296.0,0.02,1m,1.6,0.4,2.0,984.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,7808.0,0.01,5m,1.2,0.0,1.5,320.0,2632,0.01,5m,2.2,0.2,1.5,528,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,0.5,10,COMPLETE
8,8,0.6675218605240687,2025-06-21 19:36:33.547324,2025-06-21 19:36:40.986119,0 days 00:00:07.438795,,,,,,,,2456.0,0.015,3m,1.6,0.4,0.5,496.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,,,,,,,,7320.0,0.015,1m,1.6,0.0,1.5,808.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,0.15000000000000002,18,COMPLETE
9,9,-2.092017588431164,2025-06-21 19:36:41.080923,2025-06-21 19:36:43.178741,0 days 00:00:02.097818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,3440.0,0.02,3m,1.0,0.0,0.5,648.0,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
