,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMGN_DASH_beta_win,params_AMGN_DASH_stop_loss,params_AMGN_DASH_trade_freq,params_AMGN_DASH_z_entry,params_AMGN_DASH_z_exit,params_AMGN_DASH_z_stop_scaler,params_AMGN_DASH_z_win,params_ASML_SNPS_beta_win,params_ASML_SNPS_stop_loss,params_ASML_SNPS_trade_freq,params_ASML_SNPS_z_entry,params_ASML_SNPS_z_exit,params_ASML_SNPS_z_stop_scaler,params_ASML_SNPS_z_win,params_AZN_FTNT_beta_win,params_AZN_FTNT_stop_loss,params_AZN_FTNT_trade_freq,params_AZN_FTNT_z_entry,params_AZN_FTNT_z_exit,params_AZN_FTNT_z_stop_scaler,params_AZN_FTNT_z_win,params_AZN_INTC_beta_win,params_AZN_INTC_stop_loss,params_AZN_INTC_trade_freq,params_AZN_INTC_z_entry,params_AZN_INTC_z_exit,params_AZN_INTC_z_stop_scaler,params_AZN_INTC_z_win,params_AZN_MCHP_beta_win,params_AZN_MCHP_stop_loss,params_AZN_MCHP_trade_freq,params_AZN_MCHP_z_entry,params_AZN_MCHP_z_exit,params_AZN_MCHP_z_stop_scaler,params_AZN_MCHP_z_win,params_CCEP_MCHP_beta_win,params_CCEP_MCHP_stop_loss,params_CCEP_MCHP_trade_freq,params_CCEP_MCHP_z_entry,params_CCEP_MCHP_z_exit,params_CCEP_MCHP_z_stop_scaler,params_CCEP_MCHP_z_win,params_CEG_MCHP_beta_win,params_CEG_MCHP_stop_loss,params_CEG_MCHP_trade_freq,params_CEG_MCHP_z_entry,params_CEG_MCHP_z_exit,params_CEG_MCHP_z_stop_scaler,params_CEG_MCHP_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_GOOGL_DLTR_beta_win,params_GOOGL_DLTR_stop_loss,params_GOOGL_DLTR_trade_freq,params_GOOGL_DLTR_z_entry,params_GOOGL_DLTR_z_exit,params_GOOGL_DLTR_z_stop_scaler,params_GOOGL_DLTR_z_win,params_GOOG_DLTR_beta_win,params_GOOG_DLTR_stop_loss,params_GOOG_DLTR_trade_freq,params_GOOG_DLTR_z_entry,params_GOOG_DLTR_z_exit,params_GOOG_DLTR_z_stop_scaler,params_GOOG_DLTR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_REGN_beta_win,params_HON_REGN_stop_loss,params_HON_REGN_trade_freq,params_HON_REGN_z_entry,params_HON_REGN_z_exit,params_HON_REGN_z_stop_scaler,params_HON_REGN_z_win,params_ILMN_MCHP_beta_win,params_ILMN_MCHP_stop_loss,params_ILMN_MCHP_trade_freq,params_ILMN_MCHP_z_entry,params_ILMN_MCHP_z_exit,params_ILMN_MCHP_z_stop_scaler,params_ILMN_MCHP_z_win,params_INTC_CSX_beta_win,params_INTC_CSX_stop_loss,params_INTC_CSX_trade_freq,params_INTC_CSX_z_entry,params_INTC_CSX_z_exit,params_INTC_CSX_z_stop_scaler,params_INTC_CSX_z_win,params_INTC_MCHP_beta_win,params_INTC_MCHP_stop_loss,params_INTC_MCHP_trade_freq,params_INTC_MCHP_z_entry,params_INTC_MCHP_z_exit,params_INTC_MCHP_z_stop_scaler,params_INTC_MCHP_z_win,params_LIN_SMCI_beta_win,params_LIN_SMCI_stop_loss,params_LIN_SMCI_trade_freq,params_LIN_SMCI_z_entry,params_LIN_SMCI_z_exit,params_LIN_SMCI_z_stop_scaler,params_LIN_SMCI_z_win,params_LRCX_META_beta_win,params_LRCX_META_stop_loss,params_LRCX_META_trade_freq,params_LRCX_META_z_entry,params_LRCX_META_z_exit,params_LRCX_META_z_stop_scaler,params_LRCX_META_z_win,params_MRNA_MCHP_beta_win,params_MRNA_MCHP_stop_loss,params_MRNA_MCHP_trade_freq,params_MRNA_MCHP_z_entry,params_MRNA_MCHP_z_exit,params_MRNA_MCHP_z_stop_scaler,params_MRNA_MCHP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.08586688124965965,2025-06-21 19:37:48.766394,2025-06-21 19:37:51.121469,0 days 00:00:02.355075,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,0.05,6,COMPLETE
1,1,2.0960706274455503,2025-06-21 19:37:51.232726,2025-06-21 19:37:53.606734,0 days 00:00:02.374008,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,0.5,6,COMPLETE
2,2,-0.05301490296131342,2025-06-21 19:37:53.687183,2025-06-21 19:37:54.552021,0 days 00:00:00.864838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-2.984322765884832,2025-06-21 19:37:54.625277,2025-06-21 19:38:01.162703,0 days 00:00:06.537426,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,,,,,,,,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,,,,,,,,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,,,,,,,,5032.0,0.01,1m,1.0,0.4,2.0,216.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,6976,0.015,4m,2.0,0.4,2.0,192,3072.0,0.015,3m,1.4,0.0,0.5,664.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,0.15000000000000002,17,COMPLETE
4,4,-0.9664148417213066,2025-06-21 19:38:01.257462,2025-06-21 19:38:04.206970,0 days 00:00:02.949508,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,0.35000000000000003,8,COMPLETE
5,5,-1.8068653762461013,2025-06-21 19:38:04.274117,2025-06-21 19:38:08.171607,0 days 00:00:03.897490,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,0.25,10,COMPLETE
6,6,-0.38233352135474274,2025-06-21 19:38:08.244121,2025-06-21 19:38:10.953199,0 days 00:00:02.709078,2264.0,0.02,2m,3.0,0.0,1.5,944.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,0.4,7,COMPLETE
7,7,1.265129418554601,2025-06-21 19:38:11.022717,2025-06-21 19:38:14.633342,0 days 00:00:03.610625,7808.0,0.01,5m,1.2,0.0,1.5,320.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,,,,,,,,,,,,,,,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,0.5,10,COMPLETE
8,8,-0.07143713860965438,2025-06-21 19:38:14.716858,2025-06-21 19:38:24.592925,0 days 00:00:09.876067,1272.0,0.02,4m,3.0,1.0,1.5,568.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,,,,,,,,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,,,,,,,,7320.0,0.015,1m,1.6,0.0,1.5,808.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,4152.0,0.02,2m,3.0,0.2,0.5,424.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,0.15000000000000002,18,COMPLETE
9,9,-0.4031953960622835,2025-06-21 19:38:24.757219,2025-06-21 19:38:29.671600,0 days 00:00:04.914381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,0.25,5,COMPLETE
