,number,value,datetime_start,datetime_complete,duration,params_ADP_BIIB_beta_win,params_ADP_BIIB_stop_loss,params_ADP_BIIB_trade_freq,params_ADP_BIIB_z_entry,params_ADP_BIIB_z_exit,params_ADP_BIIB_z_stop_scaler,params_ADP_BIIB_z_win,params_ADP_NXPI_beta_win,params_ADP_NXPI_stop_loss,params_ADP_NXPI_trade_freq,params_ADP_NXPI_z_entry,params_ADP_NXPI_z_exit,params_ADP_NXPI_z_stop_scaler,params_ADP_NXPI_z_win,params_AEP_NXPI_beta_win,params_AEP_NXPI_stop_loss,params_AEP_NXPI_trade_freq,params_AEP_NXPI_z_entry,params_AEP_NXPI_z_exit,params_AEP_NXPI_z_stop_scaler,params_AEP_NXPI_z_win,params_AMAT_GOOGL_beta_win,params_AMAT_GOOGL_stop_loss,params_AMAT_GOOGL_trade_freq,params_AMAT_GOOGL_z_entry,params_AMAT_GOOGL_z_exit,params_AMAT_GOOGL_z_stop_scaler,params_AMAT_GOOGL_z_win,params_AMAT_GOOG_beta_win,params_AMAT_GOOG_stop_loss,params_AMAT_GOOG_trade_freq,params_AMAT_GOOG_z_entry,params_AMAT_GOOG_z_exit,params_AMAT_GOOG_z_stop_scaler,params_AMAT_GOOG_z_win,params_BIIB_GEHC_beta_win,params_BIIB_GEHC_stop_loss,params_BIIB_GEHC_trade_freq,params_BIIB_GEHC_z_entry,params_BIIB_GEHC_z_exit,params_BIIB_GEHC_z_stop_scaler,params_BIIB_GEHC_z_win,params_BIIB_NXPI_beta_win,params_BIIB_NXPI_stop_loss,params_BIIB_NXPI_trade_freq,params_BIIB_NXPI_z_entry,params_BIIB_NXPI_z_exit,params_BIIB_NXPI_z_stop_scaler,params_BIIB_NXPI_z_win,params_BKR_ODFL_beta_win,params_BKR_ODFL_stop_loss,params_BKR_ODFL_trade_freq,params_BKR_ODFL_z_entry,params_BKR_ODFL_z_exit,params_BKR_ODFL_z_stop_scaler,params_BKR_ODFL_z_win,params_CHTR_ODFL_beta_win,params_CHTR_ODFL_stop_loss,params_CHTR_ODFL_trade_freq,params_CHTR_ODFL_z_entry,params_CHTR_ODFL_z_exit,params_CHTR_ODFL_z_stop_scaler,params_CHTR_ODFL_z_win,params_CTAS_LIN_beta_win,params_CTAS_LIN_stop_loss,params_CTAS_LIN_trade_freq,params_CTAS_LIN_z_entry,params_CTAS_LIN_z_exit,params_CTAS_LIN_z_stop_scaler,params_CTAS_LIN_z_win,params_CTSH_ODFL_beta_win,params_CTSH_ODFL_stop_loss,params_CTSH_ODFL_trade_freq,params_CTSH_ODFL_z_entry,params_CTSH_ODFL_z_exit,params_CTSH_ODFL_z_stop_scaler,params_CTSH_ODFL_z_win,params_FTNT_SBUX_beta_win,params_FTNT_SBUX_stop_loss,params_FTNT_SBUX_trade_freq,params_FTNT_SBUX_z_entry,params_FTNT_SBUX_z_exit,params_FTNT_SBUX_z_stop_scaler,params_FTNT_SBUX_z_win,params_GEHC_NXPI_beta_win,params_GEHC_NXPI_stop_loss,params_GEHC_NXPI_trade_freq,params_GEHC_NXPI_z_entry,params_GEHC_NXPI_z_exit,params_GEHC_NXPI_z_stop_scaler,params_GEHC_NXPI_z_win,params_GFS_KDP_beta_win,params_GFS_KDP_stop_loss,params_GFS_KDP_trade_freq,params_GFS_KDP_z_entry,params_GFS_KDP_z_exit,params_GFS_KDP_z_stop_scaler,params_GFS_KDP_z_win,params_GOOG_LRCX_beta_win,params_GOOG_LRCX_stop_loss,params_GOOG_LRCX_trade_freq,params_GOOG_LRCX_z_entry,params_GOOG_LRCX_z_exit,params_GOOG_LRCX_z_stop_scaler,params_GOOG_LRCX_z_win,params_INTC_NXPI_beta_win,params_INTC_NXPI_stop_loss,params_INTC_NXPI_trade_freq,params_INTC_NXPI_z_entry,params_INTC_NXPI_z_exit,params_INTC_NXPI_z_stop_scaler,params_INTC_NXPI_z_win,params_KDP_NXPI_beta_win,params_KDP_NXPI_stop_loss,params_KDP_NXPI_trade_freq,params_KDP_NXPI_z_entry,params_KDP_NXPI_z_exit,params_KDP_NXPI_z_stop_scaler,params_KDP_NXPI_z_win,params_MDLZ_NXPI_beta_win,params_MDLZ_NXPI_stop_loss,params_MDLZ_NXPI_trade_freq,params_MDLZ_NXPI_z_entry,params_MDLZ_NXPI_z_exit,params_MDLZ_NXPI_z_stop_scaler,params_MDLZ_NXPI_z_win,params_MRNA_NXPI_beta_win,params_MRNA_NXPI_stop_loss,params_MRNA_NXPI_trade_freq,params_MRNA_NXPI_z_entry,params_MRNA_NXPI_z_exit,params_MRNA_NXPI_z_stop_scaler,params_MRNA_NXPI_z_win,params_SMCI_XEL_beta_win,params_SMCI_XEL_stop_loss,params_SMCI_XEL_trade_freq,params_SMCI_XEL_z_entry,params_SMCI_XEL_z_exit,params_SMCI_XEL_z_stop_scaler,params_SMCI_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.6661369873070977,2025-06-21 19:39:12.180403,2025-06-21 19:39:14.608381,0 days 00:00:02.427978,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-0.9071402398042574,2025-06-21 19:39:14.698892,2025-06-21 19:39:17.164490,0 days 00:00:02.465598,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,0.0056224306358578745,2025-06-21 19:39:17.580095,2025-06-21 19:39:18.463180,0 days 00:00:00.883085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-3.141621105875318,2025-06-21 19:39:18.539729,2025-06-21 19:39:24.867270,0 days 00:00:06.327541,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,,,,,,,,2624.0,0.015,2m,3.0,0.2,2.0,792.0,,,,,,,,3072.0,0.015,3m,1.4,0.0,0.5,664.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,,,,,,,,5032.0,0.01,1m,1.0,0.4,2.0,216.0,6976,0.015,4m,2.0,0.4,2.0,192,3408.0,0.02,4m,2.8,0.2,1.5,184.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,0.15000000000000002,17,COMPLETE
4,4,-0.7879794770081424,2025-06-21 19:39:24.969123,2025-06-21 19:39:28.248066,0 days 00:00:03.278943,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,,,,,,,,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,,,,,,,,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,0.1495255418158614,2025-06-21 19:39:28.320216,2025-06-21 19:39:32.218507,0 days 00:00:03.898291,2008.0,0.015,5m,3.0,0.8,1.5,376.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,,,,,,,,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,,,,,,,,,,,,,,,0.25,10,COMPLETE
6,6,-1.7245066286857484,2025-06-21 19:39:32.289788,2025-06-21 19:39:35.049673,0 days 00:00:02.759885,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,,,,,,,,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-0.9334547647723398,2025-06-21 19:39:35.112850,2025-06-21 19:39:38.723994,0 days 00:00:03.611144,2792.0,0.015,5m,2.6,0.0,1.0,280.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,5680.0,0.015,4m,2.8,0.2,0.5,784.0,3344.0,0.02,1m,1.0,0.0,0.5,472.0,,,,,,,,,,,,,,,7808.0,0.01,5m,1.2,0.0,1.5,320.0,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,,,,,,,,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,,,,,,,,,,,,,,,0.5,10,COMPLETE
8,8,1.2647457019246349,2025-06-21 19:39:38.800391,2025-06-21 19:39:45.359715,0 days 00:00:06.559324,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,,,,,,,,6856.0,0.02,5m,1.8,1.0,1.5,184.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,,,,,,,,7320.0,0.015,1m,1.6,0.0,1.5,808.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,2272.0,0.02,1m,1.8,0.8,2.0,448.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,0.15000000000000002,18,COMPLETE
9,9,-2.2165089334694135,2025-06-21 19:39:45.467982,2025-06-21 19:39:47.343944,0 days 00:00:01.875962,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
