,number,value,datetime_start,datetime_complete,duration,params_ADSK_CRWD_beta_win,params_ADSK_CRWD_stop_loss,params_ADSK_CRWD_trade_freq,params_ADSK_CRWD_z_entry,params_ADSK_CRWD_z_exit,params_ADSK_CRWD_z_stop_scaler,params_ADSK_CRWD_z_win,params_APP_CRWD_beta_win,params_APP_CRWD_stop_loss,params_APP_CRWD_trade_freq,params_APP_CRWD_z_entry,params_APP_CRWD_z_exit,params_APP_CRWD_z_stop_scaler,params_APP_CRWD_z_win,params_AXON_CRWD_beta_win,params_AXON_CRWD_stop_loss,params_AXON_CRWD_trade_freq,params_AXON_CRWD_z_entry,params_AXON_CRWD_z_exit,params_AXON_CRWD_z_stop_scaler,params_AXON_CRWD_z_win,params_BIIB_CRWD_beta_win,params_BIIB_CRWD_stop_loss,params_BIIB_CRWD_trade_freq,params_BIIB_CRWD_z_entry,params_BIIB_CRWD_z_exit,params_BIIB_CRWD_z_stop_scaler,params_BIIB_CRWD_z_win,params_BKNG_CRWD_beta_win,params_BKNG_CRWD_stop_loss,params_BKNG_CRWD_trade_freq,params_BKNG_CRWD_z_entry,params_BKNG_CRWD_z_exit,params_BKNG_CRWD_z_stop_scaler,params_BKNG_CRWD_z_win,params_COST_CTSH_beta_win,params_COST_CTSH_stop_loss,params_COST_CTSH_trade_freq,params_COST_CTSH_z_entry,params_COST_CTSH_z_exit,params_COST_CTSH_z_stop_scaler,params_COST_CTSH_z_win,params_CRWD_CSCO_beta_win,params_CRWD_CSCO_stop_loss,params_CRWD_CSCO_trade_freq,params_CRWD_CSCO_z_entry,params_CRWD_CSCO_z_exit,params_CRWD_CSCO_z_stop_scaler,params_CRWD_CSCO_z_win,params_CRWD_DASH_beta_win,params_CRWD_DASH_stop_loss,params_CRWD_DASH_trade_freq,params_CRWD_DASH_z_entry,params_CRWD_DASH_z_exit,params_CRWD_DASH_z_stop_scaler,params_CRWD_DASH_z_win,params_CRWD_FTNT_beta_win,params_CRWD_FTNT_stop_loss,params_CRWD_FTNT_trade_freq,params_CRWD_FTNT_z_entry,params_CRWD_FTNT_z_exit,params_CRWD_FTNT_z_stop_scaler,params_CRWD_FTNT_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_NFLX_beta_win,params_CRWD_NFLX_stop_loss,params_CRWD_NFLX_trade_freq,params_CRWD_NFLX_z_entry,params_CRWD_NFLX_z_exit,params_CRWD_NFLX_z_stop_scaler,params_CRWD_NFLX_z_win,params_CRWD_NXPI_beta_win,params_CRWD_NXPI_stop_loss,params_CRWD_NXPI_trade_freq,params_CRWD_NXPI_z_entry,params_CRWD_NXPI_z_exit,params_CRWD_NXPI_z_stop_scaler,params_CRWD_NXPI_z_win,params_CRWD_ORLY_beta_win,params_CRWD_ORLY_stop_loss,params_CRWD_ORLY_trade_freq,params_CRWD_ORLY_z_entry,params_CRWD_ORLY_z_exit,params_CRWD_ORLY_z_stop_scaler,params_CRWD_ORLY_z_win,params_CRWD_PLTR_beta_win,params_CRWD_PLTR_stop_loss,params_CRWD_PLTR_trade_freq,params_CRWD_PLTR_z_entry,params_CRWD_PLTR_z_exit,params_CRWD_PLTR_z_stop_scaler,params_CRWD_PLTR_z_win,params_CRWD_PYPL_beta_win,params_CRWD_PYPL_stop_loss,params_CRWD_PYPL_trade_freq,params_CRWD_PYPL_z_entry,params_CRWD_PYPL_z_exit,params_CRWD_PYPL_z_stop_scaler,params_CRWD_PYPL_z_win,params_HON_ISRG_beta_win,params_HON_ISRG_stop_loss,params_HON_ISRG_trade_freq,params_HON_ISRG_z_entry,params_HON_ISRG_z_exit,params_HON_ISRG_z_stop_scaler,params_HON_ISRG_z_win,params_LULU_MRVL_beta_win,params_LULU_MRVL_stop_loss,params_LULU_MRVL_trade_freq,params_LULU_MRVL_z_entry,params_LULU_MRVL_z_exit,params_LULU_MRVL_z_stop_scaler,params_LULU_MRVL_z_win,params_LULU_ON_beta_win,params_LULU_ON_stop_loss,params_LULU_ON_trade_freq,params_LULU_ON_z_entry,params_LULU_ON_z_exit,params_LULU_ON_z_stop_scaler,params_LULU_ON_z_win,params_MRVL_ON_beta_win,params_MRVL_ON_stop_loss,params_MRVL_ON_trade_freq,params_MRVL_ON_z_entry,params_MRVL_ON_z_exit,params_MRVL_ON_z_stop_scaler,params_MRVL_ON_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.4312749103658433,2025-06-21 19:46:11.848794,2025-06-21 19:46:14.387871,0 days 00:00:02.539077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,3344,0.015,5m,2.6,0.4,0.5,528,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
1,1,-2.0581075332939083,2025-06-21 19:46:14.454328,2025-06-21 19:46:16.962775,0 days 00:00:02.508447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,1640.0,0.01,2m,2.6,1.0,2.0,944.0,5968,0.015,1m,1.6,1.0,2.0,752,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
2,2,-0.015418553747889925,2025-06-21 19:46:17.053571,2025-06-21 19:46:18.024910,0 days 00:00:00.971339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-0.9324047598240791,2025-06-21 19:46:18.095676,2025-06-21 19:46:25.357817,0 days 00:00:07.262141,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,6976,0.015,4m,2.0,0.4,2.0,192,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,,,,,,,,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,,,,,,,,,,,,,,,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,0.15000000000000002,17,COMPLETE
4,4,-0.8576401415700623,2025-06-21 19:46:25.451559,2025-06-21 19:46:28.647809,0 days 00:00:03.196250,,,,,,,,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,,,,,,,,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,-0.9915093295144887,2025-06-21 19:46:28.704239,2025-06-21 19:46:32.789625,0 days 00:00:04.085386,,,,,,,,,,,,,,,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,4528.0,0.015,3m,2.0,0.0,2.0,608.0,8016,0.015,4m,1.4,0.2,0.5,152,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,0.25,10,COMPLETE
6,6,-1.157920300980994,2025-06-21 19:46:32.858965,2025-06-21 19:46:35.896190,0 days 00:00:03.037225,,,,,,,,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,3112.0,0.01,4m,1.4,0.0,1.5,312.0,4840,0.015,5m,1.6,0.8,1.5,416,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,7,COMPLETE
7,7,-1.1270217677755425,2025-06-21 19:46:35.956425,2025-06-21 19:46:39.871184,0 days 00:00:03.914759,,,,,,,,,,,,,,,7808.0,0.01,5m,1.2,0.0,1.5,320.0,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,,,,,,,,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,2712.0,0.01,1m,3.0,0.8,0.5,952.0,2632,0.01,5m,2.2,0.2,1.5,528,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,0.5,10,COMPLETE
8,8,-2.2655227312283035,2025-06-21 19:46:39.934168,2025-06-21 19:46:47.098917,0 days 00:00:07.164749,4152.0,0.02,2m,3.0,0.2,0.5,424.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,4448.0,0.02,1m,1.2,0.8,2.0,248.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,5368.0,0.015,4m,2.0,0.0,1.5,384.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,,,,,,,,,,,,,,,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,0.15000000000000002,18,COMPLETE
9,9,-1.1542313989739552,2025-06-21 19:46:47.189142,2025-06-21 19:46:49.169827,0 days 00:00:01.980685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,1752.0,0.02,4m,1.8,0.2,1.0,344.0,6392,0.02,5m,1.0,0.2,0.5,608,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
