,number,value,datetime_start,datetime_complete,duration,params_ADP_ZS_beta_win,params_ADP_ZS_stop_loss,params_ADP_ZS_trade_freq,params_ADP_ZS_z_entry,params_ADP_ZS_z_exit,params_ADP_ZS_z_stop_scaler,params_ADP_ZS_z_win,params_AMGN_PDD_beta_win,params_AMGN_PDD_stop_loss,params_AMGN_PDD_trade_freq,params_AMGN_PDD_z_entry,params_AMGN_PDD_z_exit,params_AMGN_PDD_z_stop_scaler,params_AMGN_PDD_z_win,params_AMZN_LULU_beta_win,params_AMZN_LULU_stop_loss,params_AMZN_LULU_trade_freq,params_AMZN_LULU_z_entry,params_AMZN_LULU_z_exit,params_AMZN_LULU_z_stop_scaler,params_AMZN_LULU_z_win,params_ANSS_GFS_beta_win,params_ANSS_GFS_stop_loss,params_ANSS_GFS_trade_freq,params_ANSS_GFS_z_entry,params_ANSS_GFS_z_exit,params_ANSS_GFS_z_stop_scaler,params_ANSS_GFS_z_win,params_CSCO_KLAC_beta_win,params_CSCO_KLAC_stop_loss,params_CSCO_KLAC_trade_freq,params_CSCO_KLAC_z_entry,params_CSCO_KLAC_z_exit,params_CSCO_KLAC_z_stop_scaler,params_CSCO_KLAC_z_win,params_CSX_MDB_beta_win,params_CSX_MDB_stop_loss,params_CSX_MDB_trade_freq,params_CSX_MDB_z_entry,params_CSX_MDB_z_exit,params_CSX_MDB_z_stop_scaler,params_CSX_MDB_z_win,params_CSX_SNPS_beta_win,params_CSX_SNPS_stop_loss,params_CSX_SNPS_trade_freq,params_CSX_SNPS_z_entry,params_CSX_SNPS_z_exit,params_CSX_SNPS_z_stop_scaler,params_CSX_SNPS_z_win,params_CTSH_IDXX_beta_win,params_CTSH_IDXX_stop_loss,params_CTSH_IDXX_trade_freq,params_CTSH_IDXX_z_entry,params_CTSH_IDXX_z_exit,params_CTSH_IDXX_z_stop_scaler,params_CTSH_IDXX_z_win,params_CTSH_LRCX_beta_win,params_CTSH_LRCX_stop_loss,params_CTSH_LRCX_trade_freq,params_CTSH_LRCX_z_entry,params_CTSH_LRCX_z_exit,params_CTSH_LRCX_z_stop_scaler,params_CTSH_LRCX_z_win,params_DXCM_ISRG_beta_win,params_DXCM_ISRG_stop_loss,params_DXCM_ISRG_trade_freq,params_DXCM_ISRG_z_entry,params_DXCM_ISRG_z_exit,params_DXCM_ISRG_z_stop_scaler,params_DXCM_ISRG_z_win,params_GEHC_IDXX_beta_win,params_GEHC_IDXX_stop_loss,params_GEHC_IDXX_trade_freq,params_GEHC_IDXX_z_entry,params_GEHC_IDXX_z_exit,params_GEHC_IDXX_z_stop_scaler,params_GEHC_IDXX_z_win,params_GEHC_LRCX_beta_win,params_GEHC_LRCX_stop_loss,params_GEHC_LRCX_trade_freq,params_GEHC_LRCX_z_entry,params_GEHC_LRCX_z_exit,params_GEHC_LRCX_z_stop_scaler,params_GEHC_LRCX_z_win,params_GEHC_QCOM_beta_win,params_GEHC_QCOM_stop_loss,params_GEHC_QCOM_trade_freq,params_GEHC_QCOM_z_entry,params_GEHC_QCOM_z_exit,params_GEHC_QCOM_z_stop_scaler,params_GEHC_QCOM_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LIN_MELI_beta_win,params_LIN_MELI_stop_loss,params_LIN_MELI_trade_freq,params_LIN_MELI_z_entry,params_LIN_MELI_z_exit,params_LIN_MELI_z_stop_scaler,params_LIN_MELI_z_win,params_LIN_PDD_beta_win,params_LIN_PDD_stop_loss,params_LIN_PDD_trade_freq,params_LIN_PDD_z_entry,params_LIN_PDD_z_exit,params_LIN_PDD_z_stop_scaler,params_LIN_PDD_z_win,params_MAR_WDAY_beta_win,params_MAR_WDAY_stop_loss,params_MAR_WDAY_trade_freq,params_MAR_WDAY_z_entry,params_MAR_WDAY_z_exit,params_MAR_WDAY_z_stop_scaler,params_MAR_WDAY_z_win,params_MELI_PDD_beta_win,params_MELI_PDD_stop_loss,params_MELI_PDD_trade_freq,params_MELI_PDD_z_entry,params_MELI_PDD_z_exit,params_MELI_PDD_z_stop_scaler,params_MELI_PDD_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_VRSK_ZS_beta_win,params_VRSK_ZS_stop_loss,params_VRSK_ZS_trade_freq,params_VRSK_ZS_z_entry,params_VRSK_ZS_z_exit,params_VRSK_ZS_z_stop_scaler,params_VRSK_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.24205885369028232,2025-06-21 19:48:01.193226,2025-06-21 19:48:03.422040,0 days 00:00:02.228814,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,0.05,6,COMPLETE
1,1,0.25256735196589375,2025-06-21 19:48:03.478832,2025-06-21 19:48:05.753085,0 days 00:00:02.274253,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,0.5,6,COMPLETE
2,2,-0.07752497211831559,2025-06-21 19:48:05.797521,2025-06-21 19:48:06.824974,0 days 00:00:01.027453,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,-1.1654856901803263,2025-06-21 19:48:06.878614,2025-06-21 19:48:12.633215,0 days 00:00:05.754601,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,4720.0,0.015,5m,1.0,0.2,2.0,872.0,,,,,,,,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,6976,0.015,4m,2.0,0.4,2.0,192,,,,,,,,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,3072.0,0.015,3m,1.4,0.0,0.5,664.0,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,,,,,,,,3408.0,0.02,4m,2.8,0.2,1.5,184.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,0.15000000000000002,17,COMPLETE
4,4,0.7767288702678159,2025-06-21 19:48:12.686261,2025-06-21 19:48:15.531968,0 days 00:00:02.845707,7248.0,0.02,2m,3.0,0.0,2.0,496.0,1320.0,0.02,2m,2.0,0.2,0.5,312.0,8136.0,0.01,5m,1.0,0.8,0.5,720.0,,,,,,,,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,,,,,,,,,,,,,,,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,0.35000000000000003,8,COMPLETE
5,5,0.2206538924453044,2025-06-21 19:48:15.569439,2025-06-21 19:48:19.189686,0 days 00:00:03.620247,2672.0,0.02,2m,1.4,0.8,1.0,992.0,6360.0,0.02,5m,2.2,0.2,1.0,680.0,3568.0,0.02,2m,1.6,0.8,1.5,216.0,,,,,,,,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,,,,,,,,,,,,,,,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,,,,,,,,,,,,,,,,,,,,,,3376.0,0.02,4m,1.2,0.4,2.0,624.0,,,,,,,,0.25,10,COMPLETE
6,6,0.2157973911655092,2025-06-21 19:48:19.266554,2025-06-21 19:48:21.749219,0 days 00:00:02.482665,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,3416.0,0.02,5m,2.6,0.2,2.0,800.0,,,,,,,,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,,,,,,,,,,,,,,,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,0.4,7,COMPLETE
7,7,-0.8053990414374937,2025-06-21 19:48:21.784962,2025-06-21 19:48:25.179310,0 days 00:00:03.394348,2128.0,0.02,2m,1.8,1.0,1.5,96.0,2296.0,0.02,1m,1.6,0.4,2.0,984.0,6824.0,0.01,1m,1.0,0.0,0.5,568.0,,,,,,,,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,,,,,,,,,,,,,,,3344.0,0.02,1m,1.0,0.0,0.5,472.0,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,7808.0,0.01,5m,1.2,0.0,1.5,320.0,,,,,,,,,,,,,,,,,,,,,,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,,,,,,,,0.5,10,COMPLETE
8,8,-0.9334597006204259,2025-06-21 19:48:25.257705,2025-06-21 19:48:31.168987,0 days 00:00:05.911282,4448.0,0.02,1m,1.2,0.8,2.0,248.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,,,,,,,,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,,,,,,,,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,1272.0,0.02,4m,3.0,1.0,1.5,568.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,0.15000000000000002,18,COMPLETE
9,9,-2.7651795670192363,2025-06-21 19:48:31.223563,2025-06-21 19:48:32.919438,0 days 00:00:01.695875,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,0.25,5,COMPLETE
