,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSCO_beta_win,params_AAPL_CSCO_stop_loss,params_AAPL_CSCO_trade_freq,params_AAPL_CSCO_z_entry,params_AAPL_CSCO_z_exit,params_AAPL_CSCO_z_stop_scaler,params_AAPL_CSCO_z_win,params_ADI_CERN_beta_win,params_ADI_CERN_stop_loss,params_ADI_CERN_trade_freq,params_ADI_CERN_z_entry,params_ADI_CERN_z_exit,params_ADI_CERN_z_stop_scaler,params_ADI_CERN_z_win,params_ADSK_CSCO_beta_win,params_ADSK_CSCO_stop_loss,params_ADSK_CSCO_trade_freq,params_ADSK_CSCO_z_entry,params_ADSK_CSCO_z_exit,params_ADSK_CSCO_z_stop_scaler,params_ADSK_CSCO_z_win,params_AMAT_CERN_beta_win,params_AMAT_CERN_stop_loss,params_AMAT_CERN_trade_freq,params_AMAT_CERN_z_entry,params_AMAT_CERN_z_exit,params_AMAT_CERN_z_stop_scaler,params_AMAT_CERN_z_win,params_AMAT_CSCO_beta_win,params_AMAT_CSCO_stop_loss,params_AMAT_CSCO_trade_freq,params_AMAT_CSCO_z_entry,params_AMAT_CSCO_z_exit,params_AMAT_CSCO_z_stop_scaler,params_AMAT_CSCO_z_win,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_CERN_beta_win,params_ANSS_CERN_stop_loss,params_ANSS_CERN_trade_freq,params_ANSS_CERN_z_entry,params_ANSS_CERN_z_exit,params_ANSS_CERN_z_stop_scaler,params_ANSS_CERN_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_BKNG_CSCO_beta_win,params_BKNG_CSCO_stop_loss,params_BKNG_CSCO_trade_freq,params_BKNG_CSCO_z_entry,params_BKNG_CSCO_z_exit,params_BKNG_CSCO_z_stop_scaler,params_BKNG_CSCO_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CERN_CSCO_beta_win,params_CERN_CSCO_stop_loss,params_CERN_CSCO_trade_freq,params_CERN_CSCO_z_entry,params_CERN_CSCO_z_exit,params_CERN_CSCO_z_stop_scaler,params_CERN_CSCO_z_win,params_CERN_DOCU_beta_win,params_CERN_DOCU_stop_loss,params_CERN_DOCU_trade_freq,params_CERN_DOCU_z_entry,params_CERN_DOCU_z_exit,params_CERN_DOCU_z_stop_scaler,params_CERN_DOCU_z_win,params_CERN_MELI_beta_win,params_CERN_MELI_stop_loss,params_CERN_MELI_trade_freq,params_CERN_MELI_z_entry,params_CERN_MELI_z_exit,params_CERN_MELI_z_stop_scaler,params_CERN_MELI_z_win,params_CERN_PYPL_beta_win,params_CERN_PYPL_stop_loss,params_CERN_PYPL_trade_freq,params_CERN_PYPL_z_entry,params_CERN_PYPL_z_exit,params_CERN_PYPL_z_stop_scaler,params_CERN_PYPL_z_win,params_CHTR_FISV_beta_win,params_CHTR_FISV_stop_loss,params_CHTR_FISV_trade_freq,params_CHTR_FISV_z_entry,params_CHTR_FISV_z_exit,params_CHTR_FISV_z_stop_scaler,params_CHTR_FISV_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_CTSH_SBUX_beta_win,params_CTSH_SBUX_stop_loss,params_CTSH_SBUX_trade_freq,params_CTSH_SBUX_z_entry,params_CTSH_SBUX_z_exit,params_CTSH_SBUX_z_stop_scaler,params_CTSH_SBUX_z_win,params_CTSH_XLNX_beta_win,params_CTSH_XLNX_stop_loss,params_CTSH_XLNX_trade_freq,params_CTSH_XLNX_z_entry,params_CTSH_XLNX_z_exit,params_CTSH_XLNX_z_stop_scaler,params_CTSH_XLNX_z_win,params_EBAY_INCY_beta_win,params_EBAY_INCY_stop_loss,params_EBAY_INCY_trade_freq,params_EBAY_INCY_z_entry,params_EBAY_INCY_z_exit,params_EBAY_INCY_z_stop_scaler,params_EBAY_INCY_z_win,params_EXC_VRTX_beta_win,params_EXC_VRTX_stop_loss,params_EXC_VRTX_trade_freq,params_EXC_VRTX_z_entry,params_EXC_VRTX_z_exit,params_EXC_VRTX_z_stop_scaler,params_EXC_VRTX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_QCOM_beta_win,params_NXPI_QCOM_stop_loss,params_NXPI_QCOM_trade_freq,params_NXPI_QCOM_z_entry,params_NXPI_QCOM_z_exit,params_NXPI_QCOM_z_stop_scaler,params_NXPI_QCOM_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0116507679578626,2025-06-22 16:06:19.248763,2025-06-22 16:06:46.952185,0 days 00:00:27.703422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064.0,0.035,2m,3.0,0.0,0.5,544.0,3464.0,0.02,1m,1.0,1.0,2.0,632.0,1496,0.02,3m,1.8,0.2,1.5,656,,,,,,,,5560,0.03,2m,2.0,0.6000000000000001,1.0,808,,,,,,,,6816,0.02,4m,1.6,0.0,0.5,440,,,,,,,,6912.0,0.045000000000000005,4m,2.6,1.0,0.5,632.0,,,,,,,,4408.0,0.04,3m,2.6,0.6000000000000001,2.0,208.0,,,,,,,,7608,0.03,4m,3.0,0.8,1.5,688,3896,0.05,4m,1.2,0.0,2.0,208,,,,,,,,1768.0,0.01,2m,1.0,0.0,2.0,144.0,1912,0.01,4m,2.6,0.0,0.5,568,1720,0.05,3m,2.4000000000000004,0.8,1.0,368,,,,,,,,3344,0.025,5m,2.6,0.4,0.5,560,,,,,,,,1024,0.01,1m,1.6,0.6000000000000001,2.0,712,3184,0.04,5m,1.2,0.0,1.5,928,3552.0,0.045000000000000005,1m,2.0,0.2,0.5,528.0,0.1,16,COMPLETE
1,1,0.9538752191178697,2025-06-22 16:06:46.976565,2025-06-22 16:07:15.778685,0 days 00:00:28.802120,2376.0,0.02,4m,1.0,0.0,1.0,984.0,,,,,,,,5672.0,0.01,3m,2.8,0.8,0.5,208.0,1968.0,0.035,1m,1.4,0.8,0.5,976.0,4896.0,0.05,4m,2.6,0.0,2.0,224.0,3776.0,0.025,4m,1.0,0.2,1.0,848.0,2752.0,0.02,1m,3.0,0.8,1.0,296.0,1664.0,0.035,1m,1.6,0.6000000000000001,0.5,936.0,4632,0.01,2m,3.0,0.4,2.0,672,4208.0,0.01,1m,2.8,0.6000000000000001,0.5,760.0,2816,0.035,4m,2.8,0.6000000000000001,1.5,648,4984.0,0.03,2m,1.6,0.6000000000000001,0.5,328.0,5256,0.015,4m,3.0,0.6000000000000001,1.5,608,4328.0,0.035,2m,1.4,0.6000000000000001,1.5,776.0,6016.0,0.025,3m,1.0,0.6000000000000001,0.5,968.0,,,,,,,,6480.0,0.035,2m,1.4,0.0,0.5,648.0,7568.0,0.015,2m,2.4000000000000004,1.0,2.0,968.0,3904,0.015,4m,1.8,0.4,1.5,960,3672,0.035,1m,2.0,0.4,1.5,832,,,,,,,,7832.0,0.035,2m,1.6,0.4,1.0,720.0,5272,0.025,4m,1.0,0.2,0.5,800,7208,0.04,5m,2.8,0.4,0.5,512,3000.0,0.015,3m,1.2,0.6000000000000001,0.5,400.0,2200,0.03,1m,1.8,0.4,1.5,528,2240.0,0.03,1m,2.8,0.6000000000000001,1.5,240.0,3800,0.05,2m,3.0,0.6000000000000001,0.5,904,3424,0.03,1m,1.6,0.2,1.5,440,2672.0,0.02,1m,1.0,1.0,1.5,760.0,0.25,27,COMPLETE
2,2,1.0019670604266395,2025-06-22 16:07:15.855542,2025-06-22 16:07:39.971980,0 days 00:00:24.116438,4088.0,0.05,3m,1.0,0.0,2.0,200.0,,,,,,,,6528.0,0.035,5m,1.6,0.6000000000000001,0.5,672.0,4472.0,0.02,3m,1.6,0.6000000000000001,1.5,760.0,2648.0,0.02,4m,1.2,0.4,0.5,824.0,7648.0,0.045000000000000005,1m,2.6,0.0,2.0,976.0,2344.0,0.05,3m,1.0,0.6000000000000001,1.5,1008.0,3224.0,0.02,3m,1.0,0.4,0.5,880.0,1552,0.04,5m,3.0,0.2,1.0,864,6416.0,0.01,3m,1.2,0.0,1.0,928.0,1976,0.03,4m,1.6,0.0,1.0,928,4800.0,0.05,3m,1.2,0.0,2.0,192.0,4144,0.015,3m,1.4,0.0,0.5,856,1272.0,0.02,1m,2.8,0.8,2.0,504.0,7896.0,0.035,5m,1.6,1.0,2.0,432.0,,,,,,,,1480.0,0.045000000000000005,1m,2.0,0.2,1.0,760.0,2952.0,0.015,4m,1.0,0.8,1.0,224.0,6584,0.035,4m,1.6,0.2,0.5,608,7640,0.05,2m,1.6,0.2,0.5,728,,,,,,,,1688.0,0.02,4m,2.2,0.8,1.0,752.0,4240,0.01,2m,2.6,1.0,1.0,400,1496,0.02,4m,1.4,0.0,1.5,160,5376.0,0.05,5m,1.2,0.4,2.0,856.0,2032,0.05,1m,2.0,0.8,1.5,624,7264.0,0.03,3m,3.0,0.0,1.5,800.0,5816,0.035,4m,2.4000000000000004,0.0,2.0,480,3072,0.025,1m,2.4000000000000004,0.4,1.5,576,4480.0,0.015,4m,1.6,0.6000000000000001,1.0,656.0,0.35000000000000003,27,COMPLETE
3,3,1.0009273881242773,2025-06-22 16:07:40.027795,2025-06-22 16:08:02.517299,0 days 00:00:22.489504,4320.0,0.035,4m,1.0,0.0,2.0,440.0,,,,,,,,,,,,,,,6808.0,0.03,4m,2.2,0.0,0.5,432.0,7776.0,0.01,3m,3.0,1.0,1.0,216.0,6312.0,0.02,2m,2.6,1.0,1.5,1024.0,3904.0,0.015,1m,2.6,0.8,2.0,488.0,1080.0,0.025,1m,2.0,0.4,1.0,840.0,6544,0.01,4m,1.2,0.8,2.0,408,5888.0,0.01,4m,1.2,0.0,1.5,352.0,2400,0.02,3m,2.6,1.0,2.0,224,7344.0,0.015,5m,1.6,0.4,0.5,216.0,6184,0.01,1m,2.0,0.8,1.5,816,7424.0,0.015,1m,1.8,0.4,1.0,392.0,2560.0,0.045000000000000005,2m,2.2,0.0,0.5,800.0,,,,,,,,3696.0,0.015,5m,1.4,0.2,1.0,984.0,6192.0,0.025,4m,1.8,0.6000000000000001,1.0,528.0,2328,0.035,5m,1.4,0.2,1.0,720,3600,0.02,5m,1.4,0.8,0.5,1016,,,,,,,,1456.0,0.015,1m,2.0,0.8,1.0,408.0,7176,0.05,3m,1.4,0.6000000000000001,1.0,512,1512,0.03,2m,2.4000000000000004,0.2,0.5,288,,,,,,,,7960,0.045000000000000005,5m,2.2,1.0,2.0,256,,,,,,,,7560,0.04,4m,2.8,0.2,0.5,760,4784,0.03,5m,2.8,0.6000000000000001,1.0,952,4248.0,0.02,2m,1.8,0.0,1.5,384.0,0.05,24,COMPLETE
4,4,0.9315034672873377,2025-06-22 16:08:02.587874,2025-06-22 16:08:27.777039,0 days 00:00:25.189165,1256.0,0.02,1m,3.0,0.8,1.0,992.0,,,,,,,,,,,,,,,3568.0,0.03,1m,1.2,0.0,1.0,472.0,3800.0,0.01,1m,1.0,1.0,2.0,592.0,6544.0,0.015,5m,1.8,1.0,0.5,248.0,4192.0,0.04,2m,2.0,0.6000000000000001,1.5,608.0,4112.0,0.025,5m,2.0,0.6000000000000001,1.5,896.0,5328,0.04,5m,1.8,0.2,0.5,560,6024.0,0.02,4m,1.8,0.4,0.5,688.0,1960,0.01,3m,1.0,0.0,1.0,720,4712.0,0.025,1m,2.6,0.0,1.0,448.0,5728,0.03,2m,1.8,0.4,1.5,248,2344.0,0.04,3m,2.2,0.0,0.5,560.0,1040.0,0.025,3m,1.8,0.6000000000000001,2.0,256.0,,,,,,,,1488.0,0.035,2m,1.0,0.2,0.5,880.0,5848.0,0.01,5m,1.4,0.2,1.5,160.0,2104,0.035,3m,3.0,1.0,1.5,1000,5720,0.025,2m,2.0,0.0,1.5,680,,,,,,,,6664.0,0.04,2m,2.6,0.2,1.5,944.0,5472,0.015,2m,1.8,0.2,0.5,304,7008,0.05,4m,1.2,0.2,0.5,352,7568.0,0.02,5m,2.0,0.4,2.0,800.0,7648,0.035,3m,2.6,0.8,1.0,752,5816.0,0.035,4m,2.2,0.2,1.5,584.0,7504,0.01,2m,2.4000000000000004,0.8,1.0,296,4024,0.035,4m,2.0,0.0,2.0,920,5592.0,0.045000000000000005,1m,2.8,0.0,0.5,808.0,0.25,26,COMPLETE
5,5,0.9614026559215384,2025-06-22 16:08:27.814424,2025-06-22 16:08:41.179411,0 days 00:00:13.364987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6752.0,0.03,4m,1.8,0.6000000000000001,0.5,312.0,2376.0,0.015,5m,2.4000000000000004,1.0,1.5,376.0,5760,0.04,3m,1.2,0.0,0.5,368,,,,,,,,2432,0.045000000000000005,5m,2.2,0.4,0.5,728,,,,,,,,7008,0.01,1m,1.6,1.0,0.5,856,,,,,,,,,,,,,,,,,,,,,,4280.0,0.02,2m,1.6,0.0,1.5,744.0,,,,,,,,3664,0.045000000000000005,5m,3.0,1.0,0.5,640,3344,0.01,3m,1.2,0.4,1.5,320,,,,,,,,2152.0,0.04,5m,2.0,1.0,1.0,952.0,3976,0.05,5m,1.8,0.0,1.5,856,2712,0.03,2m,1.6,0.6000000000000001,1.0,848,,,,,,,,5088,0.05,1m,1.6,0.0,1.5,408,,,,,,,,4848,0.035,5m,1.8,0.6000000000000001,2.0,232,5224,0.025,5m,1.0,0.6000000000000001,0.5,960,1576.0,0.015,1m,1.0,0.0,0.5,128.0,0.4,15,COMPLETE
6,6,0.9241835497027405,2025-06-22 16:08:41.215631,2025-06-22 16:08:58.242842,0 days 00:00:17.027211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.0,0.025,1m,1.0,0.8,1.0,688.0,5312.0,0.025,2m,1.8,0.4,2.0,528.0,2336,0.015,4m,3.0,0.2,1.5,272,7440.0,0.04,4m,1.4,0.8,1.0,792.0,3552,0.035,5m,2.4000000000000004,0.8,2.0,808,,,,,,,,2592,0.03,3m,1.4,0.8,1.0,944,,,,,,,,7584.0,0.04,3m,1.4,0.6000000000000001,1.0,336.0,,,,,,,,3440.0,0.045000000000000005,4m,2.6,0.2,2.0,928.0,,,,,,,,2288,0.05,3m,2.2,0.8,2.0,600,6720,0.025,5m,1.4,0.8,1.5,400,,,,,,,,4104.0,0.04,1m,1.0,0.0,1.0,800.0,8016,0.01,5m,2.6,0.0,1.0,744,3952,0.05,1m,1.8,0.6000000000000001,1.5,1024,,,,,,,,5592,0.04,2m,1.8,0.2,1.5,240,,,,,,,,4040,0.02,5m,2.4000000000000004,0.2,0.5,744,4440,0.02,3m,3.0,0.6000000000000001,0.5,824,4624.0,0.015,1m,1.2,0.2,1.5,904.0,0.3,17,COMPLETE
7,7,0.9295484159761966,2025-06-22 16:08:58.282574,2025-06-22 16:09:31.044138,0 days 00:00:32.761564,3600.0,0.05,1m,1.0,0.0,1.0,680.0,,,,,,,,5272.0,0.05,3m,2.6,1.0,1.0,656.0,4184.0,0.035,1m,2.2,0.4,1.0,264.0,2720.0,0.015,1m,2.6,0.8,1.0,392.0,8120.0,0.04,2m,2.4000000000000004,0.4,1.5,704.0,6056.0,0.025,3m,2.6,0.6000000000000001,1.5,792.0,5880.0,0.02,4m,1.4,0.8,1.0,168.0,4152,0.045000000000000005,1m,2.0,1.0,0.5,584,3440.0,0.045000000000000005,2m,2.0,0.2,1.5,928.0,6160,0.025,3m,2.6,1.0,2.0,480,4928.0,0.045000000000000005,5m,1.6,0.8,2.0,160.0,3592,0.045000000000000005,5m,2.8,0.6000000000000001,1.0,696,3256.0,0.035,1m,2.2,0.6000000000000001,1.0,952.0,2696.0,0.015,1m,1.2,1.0,2.0,200.0,4264.0,0.015,5m,1.2,1.0,1.5,488.0,5528.0,0.01,4m,1.0,0.4,0.5,824.0,5016.0,0.04,1m,2.0,0.6000000000000001,1.5,480.0,6176,0.03,1m,1.0,0.6000000000000001,1.5,296,3472,0.01,4m,1.8,0.4,0.5,760,4824.0,0.05,3m,2.0,0.8,2.0,168.0,3944.0,0.045000000000000005,3m,1.0,0.6000000000000001,0.5,824.0,8144,0.03,1m,2.6,0.0,0.5,752,2856,0.015,1m,1.4,0.0,2.0,880,7880.0,0.02,3m,2.6,0.6000000000000001,1.5,800.0,4632,0.03,5m,2.0,1.0,1.5,272,2792.0,0.035,2m,2.6,0.6000000000000001,0.5,800.0,7304,0.02,2m,1.8,0.4,1.0,688,5616,0.03,2m,1.6,0.0,1.0,768,8168.0,0.03,1m,2.6,0.2,1.0,872.0,0.4,29,COMPLETE
8,8,0.9706621015748403,2025-06-22 16:09:31.091462,2025-06-22 16:09:41.324364,0 days 00:00:10.232902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736.0,0.02,2m,1.6,0.2,1.0,808.0,1944,0.025,5m,2.2,0.0,0.5,672,,,,,,,,5496,0.025,2m,2.6,0.4,0.5,416,,,,,,,,7768,0.04,5m,2.2,0.0,1.0,608,,,,,,,,,,,,,,,,,,,,,,4488.0,0.035,4m,2.0,0.0,1.5,416.0,,,,,,,,1080,0.03,3m,2.0,0.2,2.0,640,6256,0.01,4m,2.0,0.2,1.5,624,,,,,,,,,,,,,,,6992,0.01,1m,2.8,0.2,1.5,744,3248,0.02,3m,1.2,0.8,1.5,216,,,,,,,,7632,0.05,4m,2.4000000000000004,0.4,2.0,336,,,,,,,,6496,0.04,4m,1.0,0.6000000000000001,0.5,640,5584,0.045000000000000005,2m,1.4,0.6000000000000001,0.5,176,,,,,,,,0.4,12,COMPLETE
9,9,0.9799685347795266,2025-06-22 16:09:41.358270,2025-06-22 16:10:04.240116,0 days 00:00:22.881846,2632.0,0.035,2m,1.4,0.2,1.5,808.0,,,,,,,,,,,,,,,5864.0,0.05,2m,1.2,0.2,1.5,776.0,7480.0,0.03,5m,1.2,0.8,0.5,568.0,6424.0,0.035,4m,2.4000000000000004,1.0,1.0,736.0,2088.0,0.02,2m,1.2,0.2,1.0,664.0,3560.0,0.035,4m,2.6,0.4,2.0,904.0,7456,0.035,3m,2.8,0.8,1.0,304,7584.0,0.035,2m,1.8,0.6000000000000001,0.5,512.0,3904,0.03,1m,1.8,0.8,1.5,696,7224.0,0.02,1m,3.0,0.8,1.0,712.0,5712,0.01,2m,2.2,0.8,1.0,864,4456.0,0.05,4m,2.2,0.8,2.0,960.0,2360.0,0.035,2m,1.0,1.0,1.5,864.0,,,,,,,,6448.0,0.025,1m,2.8,0.4,1.5,208.0,7384.0,0.025,2m,1.0,0.8,0.5,480.0,7768,0.02,5m,1.0,0.2,2.0,144,2704,0.015,1m,2.0,0.8,2.0,872,,,,,,,,6280.0,0.045000000000000005,5m,2.8,0.4,2.0,936.0,5760,0.035,5m,1.2,1.0,1.0,608,4616,0.015,5m,2.8,1.0,1.0,608,,,,,,,,4928,0.045000000000000005,5m,3.0,0.6000000000000001,0.5,792,,,,,,,,2328,0.01,1m,2.2,0.0,2.0,760,1032,0.015,5m,2.2,0.0,1.0,560,5040.0,0.05,4m,2.2,0.4,2.0,512.0,0.2,24,COMPLETE
