,number,value,datetime_start,datetime_complete,duration,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_AMD_ISRG_beta_win,params_AMD_ISRG_stop_loss,params_AMD_ISRG_trade_freq,params_AMD_ISRG_z_entry,params_AMD_ISRG_z_exit,params_AMD_ISRG_z_stop_scaler,params_AMD_ISRG_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ANSS_OKTA_beta_win,params_ANSS_OKTA_stop_loss,params_ANSS_OKTA_trade_freq,params_ANSS_OKTA_z_entry,params_ANSS_OKTA_z_exit,params_ANSS_OKTA_z_stop_scaler,params_ANSS_OKTA_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_ASML_INTU_beta_win,params_ASML_INTU_stop_loss,params_ASML_INTU_trade_freq,params_ASML_INTU_z_entry,params_ASML_INTU_z_exit,params_ASML_INTU_z_stop_scaler,params_ASML_INTU_z_win,params_ASML_TXN_beta_win,params_ASML_TXN_stop_loss,params_ASML_TXN_trade_freq,params_ASML_TXN_z_entry,params_ASML_TXN_z_exit,params_ASML_TXN_z_stop_scaler,params_ASML_TXN_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_AVGO_XEL_beta_win,params_AVGO_XEL_stop_loss,params_AVGO_XEL_trade_freq,params_AVGO_XEL_z_entry,params_AVGO_XEL_z_exit,params_AVGO_XEL_z_stop_scaler,params_AVGO_XEL_z_win,params_BIDU_ILMN_beta_win,params_BIDU_ILMN_stop_loss,params_BIDU_ILMN_trade_freq,params_BIDU_ILMN_z_entry,params_BIDU_ILMN_z_exit,params_BIDU_ILMN_z_stop_scaler,params_BIDU_ILMN_z_win,params_CHTR_MDLZ_beta_win,params_CHTR_MDLZ_stop_loss,params_CHTR_MDLZ_trade_freq,params_CHTR_MDLZ_z_entry,params_CHTR_MDLZ_z_exit,params_CHTR_MDLZ_z_stop_scaler,params_CHTR_MDLZ_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_EBAY_NFLX_beta_win,params_EBAY_NFLX_stop_loss,params_EBAY_NFLX_trade_freq,params_EBAY_NFLX_z_entry,params_EBAY_NFLX_z_exit,params_EBAY_NFLX_z_stop_scaler,params_EBAY_NFLX_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_NFLX_beta_win,params_ILMN_NFLX_stop_loss,params_ILMN_NFLX_trade_freq,params_ILMN_NFLX_z_entry,params_ILMN_NFLX_z_exit,params_ILMN_NFLX_z_stop_scaler,params_ILMN_NFLX_z_win,params_ILMN_PYPL_beta_win,params_ILMN_PYPL_stop_loss,params_ILMN_PYPL_trade_freq,params_ILMN_PYPL_z_entry,params_ILMN_PYPL_z_exit,params_ILMN_PYPL_z_stop_scaler,params_ILMN_PYPL_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KLAC_TXN_beta_win,params_KLAC_TXN_stop_loss,params_KLAC_TXN_trade_freq,params_KLAC_TXN_z_entry,params_KLAC_TXN_z_exit,params_KLAC_TXN_z_stop_scaler,params_KLAC_TXN_z_win,params_LRCX_MCHP_beta_win,params_LRCX_MCHP_stop_loss,params_LRCX_MCHP_trade_freq,params_LRCX_MCHP_z_entry,params_LRCX_MCHP_z_exit,params_LRCX_MCHP_z_stop_scaler,params_LRCX_MCHP_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_MTCH_REGN_beta_win,params_MTCH_REGN_stop_loss,params_MTCH_REGN_trade_freq,params_MTCH_REGN_z_entry,params_MTCH_REGN_z_exit,params_MTCH_REGN_z_stop_scaler,params_MTCH_REGN_z_win,params_MU_TXN_beta_win,params_MU_TXN_stop_loss,params_MU_TXN_trade_freq,params_MU_TXN_z_entry,params_MU_TXN_z_exit,params_MU_TXN_z_stop_scaler,params_MU_TXN_z_win,params_MU_XEL_beta_win,params_MU_XEL_stop_loss,params_MU_XEL_trade_freq,params_MU_XEL_z_entry,params_MU_XEL_z_exit,params_MU_XEL_z_stop_scaler,params_MU_XEL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_REGN_TEAM_beta_win,params_REGN_TEAM_stop_loss,params_REGN_TEAM_trade_freq,params_REGN_TEAM_z_entry,params_REGN_TEAM_z_exit,params_REGN_TEAM_z_stop_scaler,params_REGN_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.8132791500967778,2025-06-22 16:06:20.633074,2025-06-22 16:06:48.256766,0 days 00:00:27.623692,4408.0,0.04,3m,2.6,0.6000000000000001,2.0,208.0,,,,,,,,3344,0.025,5m,2.6,0.4,0.5,560,,,,,,,,7608,0.03,4m,3.0,0.8,1.5,688,,,,,,,,,,,,,,,1024,0.01,1m,1.6,0.6000000000000001,2.0,712,1720,0.05,3m,2.4000000000000004,0.8,1.0,368,,,,,,,,1768.0,0.01,2m,1.0,0.0,2.0,144.0,3896,0.05,4m,1.2,0.0,2.0,208,3464.0,0.02,1m,1.0,1.0,2.0,632.0,5560,0.03,2m,2.0,0.6000000000000001,1.0,808,,,,,,,,,,,,,,,1496,0.02,3m,1.8,0.2,1.5,656,,,,,,,,,,,,,,,6816,0.02,4m,1.6,0.0,0.5,440,3184,0.04,5m,1.2,0.0,1.5,928,1912,0.01,4m,2.6,0.0,0.5,568,6912.0,0.045000000000000005,4m,2.6,1.0,0.5,632.0,3552.0,0.045000000000000005,1m,2.0,0.2,0.5,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3064.0,0.035,2m,3.0,0.0,0.5,544.0,,,,,,,,0.1,16,COMPLETE
1,1,0.9464318102779175,2025-06-22 16:06:48.297926,2025-06-22 16:07:18.523806,0 days 00:00:30.225880,6480.0,0.035,2m,1.4,0.0,0.5,648.0,,,,,,,,2200,0.03,1m,1.8,0.4,1.5,528,4328.0,0.035,2m,1.4,0.6000000000000001,1.5,776.0,3904,0.015,4m,1.8,0.4,1.5,960,3776.0,0.025,4m,1.0,0.2,1.0,848.0,2376.0,0.02,4m,1.0,0.0,1.0,984.0,3800,0.05,2m,3.0,0.6000000000000001,0.5,904,7208,0.04,5m,2.8,0.4,0.5,512,4896.0,0.05,4m,2.6,0.0,2.0,224.0,7832.0,0.035,2m,1.6,0.4,1.0,720.0,3672,0.035,1m,2.0,0.4,1.5,832,1664.0,0.035,1m,1.6,0.6000000000000001,0.5,936.0,2816,0.035,4m,2.8,0.6000000000000001,1.5,648,7568.0,0.015,2m,2.4000000000000004,1.0,2.0,968.0,5672.0,0.01,3m,2.8,0.8,0.5,208.0,4632,0.01,2m,3.0,0.4,2.0,672,4208.0,0.01,1m,2.8,0.6000000000000001,0.5,760.0,1968.0,0.035,1m,1.4,0.8,0.5,976.0,5256,0.015,4m,3.0,0.6000000000000001,1.5,608,3424,0.03,1m,1.6,0.2,1.5,440,5272,0.025,4m,1.0,0.2,0.5,800,6016.0,0.025,3m,1.0,0.6000000000000001,0.5,968.0,2672.0,0.02,1m,1.0,1.0,1.5,760.0,,,,,,,,3000.0,0.015,3m,1.2,0.6000000000000001,0.5,400.0,,,,,,,,4984.0,0.03,2m,1.6,0.6000000000000001,0.5,328.0,2752.0,0.02,1m,3.0,0.8,1.0,296.0,2240.0,0.03,1m,2.8,0.6000000000000001,1.5,240.0,0.25,27,COMPLETE
2,2,0.9786995225388809,2025-06-22 16:07:18.590889,2025-06-22 16:07:43.500793,0 days 00:00:24.909904,1480.0,0.045000000000000005,1m,2.0,0.2,1.0,760.0,,,,,,,,2032,0.05,1m,2.0,0.8,1.5,624,1272.0,0.02,1m,2.8,0.8,2.0,504.0,6584,0.035,4m,1.6,0.2,0.5,608,7648.0,0.045000000000000005,1m,2.6,0.0,2.0,976.0,4088.0,0.05,3m,1.0,0.0,2.0,200.0,5816,0.035,4m,2.4000000000000004,0.0,2.0,480,1496,0.02,4m,1.4,0.0,1.5,160,2648.0,0.02,4m,1.2,0.4,0.5,824.0,1688.0,0.02,4m,2.2,0.8,1.0,752.0,7640,0.05,2m,1.6,0.2,0.5,728,3224.0,0.02,3m,1.0,0.4,0.5,880.0,1976,0.03,4m,1.6,0.0,1.0,928,2952.0,0.015,4m,1.0,0.8,1.0,224.0,6528.0,0.035,5m,1.6,0.6000000000000001,0.5,672.0,1552,0.04,5m,3.0,0.2,1.0,864,6416.0,0.01,3m,1.2,0.0,1.0,928.0,4472.0,0.02,3m,1.6,0.6000000000000001,1.5,760.0,4144,0.015,3m,1.4,0.0,0.5,856,3072,0.025,1m,2.4000000000000004,0.4,1.5,576,4240,0.01,2m,2.6,1.0,1.0,400,7896.0,0.035,5m,1.6,1.0,2.0,432.0,4480.0,0.015,4m,1.6,0.6000000000000001,1.0,656.0,,,,,,,,5376.0,0.05,5m,1.2,0.4,2.0,856.0,,,,,,,,4800.0,0.05,3m,1.2,0.0,2.0,192.0,2344.0,0.05,3m,1.0,0.6000000000000001,1.5,1008.0,7264.0,0.03,3m,3.0,0.0,1.5,800.0,0.35000000000000003,27,COMPLETE
3,3,0.9101904208481829,2025-06-22 16:07:43.555788,2025-06-22 16:08:06.554652,0 days 00:00:22.998864,3696.0,0.015,5m,1.4,0.2,1.0,984.0,,,,,,,,7960,0.045000000000000005,5m,2.2,1.0,2.0,256,7424.0,0.015,1m,1.8,0.4,1.0,392.0,2328,0.035,5m,1.4,0.2,1.0,720,6312.0,0.02,2m,2.6,1.0,1.5,1024.0,4320.0,0.035,4m,1.0,0.0,2.0,440.0,7560,0.04,4m,2.8,0.2,0.5,760,1512,0.03,2m,2.4000000000000004,0.2,0.5,288,7776.0,0.01,3m,3.0,1.0,1.0,216.0,1456.0,0.015,1m,2.0,0.8,1.0,408.0,3600,0.02,5m,1.4,0.8,0.5,1016,1080.0,0.025,1m,2.0,0.4,1.0,840.0,2400,0.02,3m,2.6,1.0,2.0,224,6192.0,0.025,4m,1.8,0.6000000000000001,1.0,528.0,,,,,,,,6544,0.01,4m,1.2,0.8,2.0,408,5888.0,0.01,4m,1.2,0.0,1.5,352.0,6808.0,0.03,4m,2.2,0.0,0.5,432.0,6184,0.01,1m,2.0,0.8,1.5,816,4784,0.03,5m,2.8,0.6000000000000001,1.0,952,7176,0.05,3m,1.4,0.6000000000000001,1.0,512,2560.0,0.045000000000000005,2m,2.2,0.0,0.5,800.0,4248.0,0.02,2m,1.8,0.0,1.5,384.0,,,,,,,,,,,,,,,,,,,,,,7344.0,0.015,5m,1.6,0.4,0.5,216.0,3904.0,0.015,1m,2.6,0.8,2.0,488.0,,,,,,,,0.05,24,COMPLETE
4,4,0.9255019014611394,2025-06-22 16:08:06.620549,2025-06-22 16:08:32.380226,0 days 00:00:25.759677,1488.0,0.035,2m,1.0,0.2,0.5,880.0,,,,,,,,7648,0.035,3m,2.6,0.8,1.0,752,2344.0,0.04,3m,2.2,0.0,0.5,560.0,2104,0.035,3m,3.0,1.0,1.5,1000,6544.0,0.015,5m,1.8,1.0,0.5,248.0,1256.0,0.02,1m,3.0,0.8,1.0,992.0,7504,0.01,2m,2.4000000000000004,0.8,1.0,296,7008,0.05,4m,1.2,0.2,0.5,352,3800.0,0.01,1m,1.0,1.0,2.0,592.0,6664.0,0.04,2m,2.6,0.2,1.5,944.0,5720,0.025,2m,2.0,0.0,1.5,680,4112.0,0.025,5m,2.0,0.6000000000000001,1.5,896.0,1960,0.01,3m,1.0,0.0,1.0,720,5848.0,0.01,5m,1.4,0.2,1.5,160.0,,,,,,,,5328,0.04,5m,1.8,0.2,0.5,560,6024.0,0.02,4m,1.8,0.4,0.5,688.0,3568.0,0.03,1m,1.2,0.0,1.0,472.0,5728,0.03,2m,1.8,0.4,1.5,248,4024,0.035,4m,2.0,0.0,2.0,920,5472,0.015,2m,1.8,0.2,0.5,304,1040.0,0.025,3m,1.8,0.6000000000000001,2.0,256.0,5592.0,0.045000000000000005,1m,2.8,0.0,0.5,808.0,,,,,,,,7568.0,0.02,5m,2.0,0.4,2.0,800.0,,,,,,,,4712.0,0.025,1m,2.6,0.0,1.0,448.0,4192.0,0.04,2m,2.0,0.6000000000000001,1.5,608.0,5816.0,0.035,4m,2.2,0.2,1.5,584.0,0.25,26,COMPLETE
5,5,0.9502895405892705,2025-06-22 16:08:32.436054,2025-06-22 16:08:46.733450,0 days 00:00:14.297396,4280.0,0.02,2m,1.6,0.0,1.5,744.0,,,,,,,,5088,0.05,1m,1.6,0.0,1.5,408,,,,,,,,3664,0.045000000000000005,5m,3.0,1.0,0.5,640,,,,,,,,,,,,,,,4848,0.035,5m,1.8,0.6000000000000001,2.0,232,2712,0.03,2m,1.6,0.6000000000000001,1.0,848,,,,,,,,2152.0,0.04,5m,2.0,1.0,1.0,952.0,3344,0.01,3m,1.2,0.4,1.5,320,2376.0,0.015,5m,2.4000000000000004,1.0,1.5,376.0,2432,0.045000000000000005,5m,2.2,0.4,0.5,728,,,,,,,,,,,,,,,5760,0.04,3m,1.2,0.0,0.5,368,,,,,,,,,,,,,,,7008,0.01,1m,1.6,1.0,0.5,856,5224,0.025,5m,1.0,0.6000000000000001,0.5,960,3976,0.05,5m,1.8,0.0,1.5,856,,,,,,,,1576.0,0.015,1m,1.0,0.0,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6752.0,0.03,4m,1.8,0.6000000000000001,0.5,312.0,,,,,,,,0.4,15,COMPLETE
6,6,0.9088674174953622,2025-06-22 16:08:46.788232,2025-06-22 16:09:03.778533,0 days 00:00:16.990301,3440.0,0.045000000000000005,4m,2.6,0.2,2.0,928.0,,,,,,,,5592,0.04,2m,1.8,0.2,1.5,240,,,,,,,,2288,0.05,3m,2.2,0.8,2.0,600,,,,,,,,,,,,,,,4040,0.02,5m,2.4000000000000004,0.2,0.5,744,3952,0.05,1m,1.8,0.6000000000000001,1.5,1024,,,,,,,,4104.0,0.04,1m,1.0,0.0,1.0,800.0,6720,0.025,5m,1.4,0.8,1.5,400,5312.0,0.025,2m,1.8,0.4,2.0,528.0,3552,0.035,5m,2.4000000000000004,0.8,2.0,808,,,,,,,,,,,,,,,2336,0.015,4m,3.0,0.2,1.5,272,7440.0,0.04,4m,1.4,0.8,1.0,792.0,,,,,,,,2592,0.03,3m,1.4,0.8,1.0,944,4440,0.02,3m,3.0,0.6000000000000001,0.5,824,8016,0.01,5m,2.6,0.0,1.0,744,7584.0,0.04,3m,1.4,0.6000000000000001,1.0,336.0,4624.0,0.015,1m,1.2,0.2,1.5,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5448.0,0.025,1m,1.0,0.8,1.0,688.0,,,,,,,,0.3,17,COMPLETE
7,7,0.9221419430574398,2025-06-22 16:09:03.810425,2025-06-22 16:09:37.502543,0 days 00:00:33.692118,5528.0,0.01,4m,1.0,0.4,0.5,824.0,4824.0,0.05,3m,2.0,0.8,2.0,168.0,4632,0.03,5m,2.0,1.0,1.5,272,3256.0,0.035,1m,2.2,0.6000000000000001,1.0,952.0,6176,0.03,1m,1.0,0.6000000000000001,1.5,296,8120.0,0.04,2m,2.4000000000000004,0.4,1.5,704.0,3600.0,0.05,1m,1.0,0.0,1.0,680.0,7304,0.02,2m,1.8,0.4,1.0,688,2856,0.015,1m,1.4,0.0,2.0,880,2720.0,0.015,1m,2.6,0.8,1.0,392.0,3944.0,0.045000000000000005,3m,1.0,0.6000000000000001,0.5,824.0,3472,0.01,4m,1.8,0.4,0.5,760,5880.0,0.02,4m,1.4,0.8,1.0,168.0,6160,0.025,3m,2.6,1.0,2.0,480,5016.0,0.04,1m,2.0,0.6000000000000001,1.5,480.0,5272.0,0.05,3m,2.6,1.0,1.0,656.0,4152,0.045000000000000005,1m,2.0,1.0,0.5,584,3440.0,0.045000000000000005,2m,2.0,0.2,1.5,928.0,4184.0,0.035,1m,2.2,0.4,1.0,264.0,3592,0.045000000000000005,5m,2.8,0.6000000000000001,1.0,696,5616,0.03,2m,1.6,0.0,1.0,768,8144,0.03,1m,2.6,0.0,0.5,752,2696.0,0.015,1m,1.2,1.0,2.0,200.0,8168.0,0.03,1m,2.6,0.2,1.0,872.0,4264.0,0.015,5m,1.2,1.0,1.5,488.0,7880.0,0.02,3m,2.6,0.6000000000000001,1.5,800.0,,,,,,,,4928.0,0.045000000000000005,5m,1.6,0.8,2.0,160.0,6056.0,0.025,3m,2.6,0.6000000000000001,1.5,792.0,2792.0,0.035,2m,2.6,0.6000000000000001,0.5,800.0,0.4,29,COMPLETE
8,8,0.9909876282055662,2025-06-22 16:09:37.610668,2025-06-22 16:09:47.966405,0 days 00:00:10.355737,4488.0,0.035,4m,2.0,0.0,1.5,416.0,,,,,,,,7632,0.05,4m,2.4000000000000004,0.4,2.0,336,,,,,,,,1080,0.03,3m,2.0,0.2,2.0,640,,,,,,,,,,,,,,,6496,0.04,4m,1.0,0.6000000000000001,0.5,640,3248,0.02,3m,1.2,0.8,1.5,216,,,,,,,,,,,,,,,6256,0.01,4m,2.0,0.2,1.5,624,5736.0,0.02,2m,1.6,0.2,1.0,808.0,5496,0.025,2m,2.6,0.4,0.5,416,,,,,,,,,,,,,,,1944,0.025,5m,2.2,0.0,0.5,672,,,,,,,,,,,,,,,7768,0.04,5m,2.2,0.0,1.0,608,5584,0.045000000000000005,2m,1.4,0.6000000000000001,0.5,176,6992,0.01,1m,2.8,0.2,1.5,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,12,COMPLETE
9,9,0.9774177598108696,2025-06-22 16:09:48.008798,2025-06-22 16:10:11.709174,0 days 00:00:23.700376,6448.0,0.025,1m,2.8,0.4,1.5,208.0,,,,,,,,4928,0.045000000000000005,5m,3.0,0.6000000000000001,0.5,792,4456.0,0.05,4m,2.2,0.8,2.0,960.0,7768,0.02,5m,1.0,0.2,2.0,144,6424.0,0.035,4m,2.4000000000000004,1.0,1.0,736.0,2632.0,0.035,2m,1.4,0.2,1.5,808.0,2328,0.01,1m,2.2,0.0,2.0,760,4616,0.015,5m,2.8,1.0,1.0,608,7480.0,0.03,5m,1.2,0.8,0.5,568.0,6280.0,0.045000000000000005,5m,2.8,0.4,2.0,936.0,2704,0.015,1m,2.0,0.8,2.0,872,3560.0,0.035,4m,2.6,0.4,2.0,904.0,3904,0.03,1m,1.8,0.8,1.5,696,7384.0,0.025,2m,1.0,0.8,0.5,480.0,,,,,,,,7456,0.035,3m,2.8,0.8,1.0,304,7584.0,0.035,2m,1.8,0.6000000000000001,0.5,512.0,5864.0,0.05,2m,1.2,0.2,1.5,776.0,5712,0.01,2m,2.2,0.8,1.0,864,1032,0.015,5m,2.2,0.0,1.0,560,5760,0.035,5m,1.2,1.0,1.0,608,2360.0,0.035,2m,1.0,1.0,1.5,864.0,5040.0,0.05,4m,2.2,0.4,2.0,512.0,,,,,,,,,,,,,,,,,,,,,,7224.0,0.02,1m,3.0,0.8,1.0,712.0,2088.0,0.02,2m,1.2,0.2,1.0,664.0,,,,,,,,0.2,24,COMPLETE
