,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_QCOM_beta_win,params_ADP_QCOM_stop_loss,params_ADP_QCOM_trade_freq,params_ADP_QCOM_z_entry,params_ADP_QCOM_z_exit,params_ADP_QCOM_z_stop_scaler,params_ADP_QCOM_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_ATVI_NFLX_beta_win,params_ATVI_NFLX_stop_loss,params_ATVI_NFLX_trade_freq,params_ATVI_NFLX_z_entry,params_ATVI_NFLX_z_exit,params_ATVI_NFLX_z_stop_scaler,params_ATVI_NFLX_z_win,params_AVGO_CTAS_beta_win,params_AVGO_CTAS_stop_loss,params_AVGO_CTAS_trade_freq,params_AVGO_CTAS_z_entry,params_AVGO_CTAS_z_exit,params_AVGO_CTAS_z_stop_scaler,params_AVGO_CTAS_z_win,params_BIDU_CTAS_beta_win,params_BIDU_CTAS_stop_loss,params_BIDU_CTAS_trade_freq,params_BIDU_CTAS_z_entry,params_BIDU_CTAS_z_exit,params_BIDU_CTAS_z_stop_scaler,params_BIDU_CTAS_z_win,params_CERN_INCY_beta_win,params_CERN_INCY_stop_loss,params_CERN_INCY_trade_freq,params_CERN_INCY_z_entry,params_CERN_INCY_z_exit,params_CERN_INCY_z_stop_scaler,params_CERN_INCY_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CMCSA_FOXA_beta_win,params_CMCSA_FOXA_stop_loss,params_CMCSA_FOXA_trade_freq,params_CMCSA_FOXA_z_entry,params_CMCSA_FOXA_z_exit,params_CMCSA_FOXA_z_stop_scaler,params_CMCSA_FOXA_z_win,params_CMCSA_FOX_beta_win,params_CMCSA_FOX_stop_loss,params_CMCSA_FOX_trade_freq,params_CMCSA_FOX_z_entry,params_CMCSA_FOX_z_exit,params_CMCSA_FOX_z_stop_scaler,params_CMCSA_FOX_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CSCO_ROST_beta_win,params_CSCO_ROST_stop_loss,params_CSCO_ROST_trade_freq,params_CSCO_ROST_z_entry,params_CSCO_ROST_z_exit,params_CSCO_ROST_z_stop_scaler,params_CSCO_ROST_z_win,params_EBAY_KLAC_beta_win,params_EBAY_KLAC_stop_loss,params_EBAY_KLAC_trade_freq,params_EBAY_KLAC_z_entry,params_EBAY_KLAC_z_exit,params_EBAY_KLAC_z_stop_scaler,params_EBAY_KLAC_z_win,params_EBAY_MCHP_beta_win,params_EBAY_MCHP_stop_loss,params_EBAY_MCHP_trade_freq,params_EBAY_MCHP_z_entry,params_EBAY_MCHP_z_exit,params_EBAY_MCHP_z_stop_scaler,params_EBAY_MCHP_z_win,params_EBAY_MXIM_beta_win,params_EBAY_MXIM_stop_loss,params_EBAY_MXIM_trade_freq,params_EBAY_MXIM_z_entry,params_EBAY_MXIM_z_exit,params_EBAY_MXIM_z_stop_scaler,params_EBAY_MXIM_z_win,params_FISV_QCOM_beta_win,params_FISV_QCOM_stop_loss,params_FISV_QCOM_trade_freq,params_FISV_QCOM_z_entry,params_FISV_QCOM_z_exit,params_FISV_QCOM_z_stop_scaler,params_FISV_QCOM_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_PAYX_beta_win,params_JD_PAYX_stop_loss,params_JD_PAYX_trade_freq,params_JD_PAYX_z_entry,params_JD_PAYX_z_exit,params_JD_PAYX_z_stop_scaler,params_JD_PAYX_z_win,params_KHC_MAR_beta_win,params_KHC_MAR_stop_loss,params_KHC_MAR_trade_freq,params_KHC_MAR_z_entry,params_KHC_MAR_z_exit,params_KHC_MAR_z_stop_scaler,params_KHC_MAR_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_KHC_SBUX_beta_win,params_KHC_SBUX_stop_loss,params_KHC_SBUX_trade_freq,params_KHC_SBUX_z_entry,params_KHC_SBUX_z_exit,params_KHC_SBUX_z_stop_scaler,params_KHC_SBUX_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MNST_ROST_beta_win,params_MNST_ROST_stop_loss,params_MNST_ROST_trade_freq,params_MNST_ROST_z_entry,params_MNST_ROST_z_exit,params_MNST_ROST_z_stop_scaler,params_MNST_ROST_z_win,params_NXPI_ROST_beta_win,params_NXPI_ROST_stop_loss,params_NXPI_ROST_trade_freq,params_NXPI_ROST_z_entry,params_NXPI_ROST_z_exit,params_NXPI_ROST_z_stop_scaler,params_NXPI_ROST_z_win,params_ORLY_ROST_beta_win,params_ORLY_ROST_stop_loss,params_ORLY_ROST_trade_freq,params_ORLY_ROST_z_entry,params_ORLY_ROST_z_exit,params_ORLY_ROST_z_stop_scaler,params_ORLY_ROST_z_win,params_PAYX_QCOM_beta_win,params_PAYX_QCOM_stop_loss,params_PAYX_QCOM_trade_freq,params_PAYX_QCOM_z_entry,params_PAYX_QCOM_z_exit,params_PAYX_QCOM_z_stop_scaler,params_PAYX_QCOM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9683359533170225,2025-06-22 16:06:23.321970,2025-06-22 16:06:50.865608,0 days 00:00:27.543638,3064.0,0.035,2m,3.0,0.0,0.5,544.0,,,,,,,,4408.0,0.04,3m,2.6,0.6000000000000001,2.0,208.0,,,,,,,,,,,,,,,,,,,,,,1496,0.02,3m,1.8,0.2,1.5,656,3552.0,0.045000000000000005,1m,2.0,0.2,0.5,528.0,,,,,,,,,,,,,,,3184,0.04,5m,1.2,0.0,1.5,928,,,,,,,,,,,,,,,5560,0.03,2m,2.0,0.6000000000000001,1.0,808,,,,,,,,3896,0.05,4m,1.2,0.0,2.0,208,6912.0,0.045000000000000005,4m,2.6,1.0,0.5,632.0,,,,,,,,3344,0.025,5m,2.6,0.4,0.5,560,7608,0.03,4m,3.0,0.8,1.5,688,,,,,,,,6816,0.02,4m,1.6,0.0,0.5,440,1912,0.01,4m,2.6,0.0,0.5,568,1768.0,0.01,2m,1.0,0.0,2.0,144.0,3464.0,0.02,1m,1.0,1.0,2.0,632.0,1024,0.01,1m,1.6,0.6000000000000001,2.0,712,1720,0.05,3m,2.4000000000000004,0.8,1.0,368,,,,,,,,,,,,,,,,,,,,,,0.1,16,COMPLETE
1,1,0.9188220295321389,2025-06-22 16:06:50.909536,2025-06-22 16:07:22.801565,0 days 00:00:31.892029,2752.0,0.02,1m,3.0,0.8,1.0,296.0,5672.0,0.01,3m,2.8,0.8,0.5,208.0,6480.0,0.035,2m,1.4,0.0,0.5,648.0,,,,,,,,3000.0,0.015,3m,1.2,0.6000000000000001,0.5,400.0,4208.0,0.01,1m,2.8,0.6000000000000001,0.5,760.0,4632,0.01,2m,3.0,0.4,2.0,672,2672.0,0.02,1m,1.0,1.0,1.5,760.0,4896.0,0.05,4m,2.6,0.0,2.0,224.0,4328.0,0.035,2m,1.4,0.6000000000000001,1.5,776.0,3424,0.03,1m,1.6,0.2,1.5,440,,,,,,,,2376.0,0.02,4m,1.0,0.0,1.0,984.0,2816,0.035,4m,2.8,0.6000000000000001,1.5,648,7568.0,0.015,2m,2.4000000000000004,1.0,2.0,968.0,3672,0.035,1m,2.0,0.4,1.5,832,6016.0,0.025,3m,1.0,0.6000000000000001,0.5,968.0,4984.0,0.03,2m,1.6,0.6000000000000001,0.5,328.0,2200,0.03,1m,1.8,0.4,1.5,528,3904,0.015,4m,1.8,0.4,1.5,960,1968.0,0.035,1m,1.4,0.8,0.5,976.0,5256,0.015,4m,3.0,0.6000000000000001,1.5,608,5272,0.025,4m,1.0,0.2,0.5,800,7832.0,0.035,2m,1.6,0.4,1.0,720.0,1664.0,0.035,1m,1.6,0.6000000000000001,0.5,936.0,3800,0.05,2m,3.0,0.6000000000000001,0.5,904,7208,0.04,5m,2.8,0.4,0.5,512,,,,,,,,3776.0,0.025,4m,1.0,0.2,1.0,848.0,2240.0,0.03,1m,2.8,0.6000000000000001,1.5,240.0,0.25,27,COMPLETE
2,2,1.0028155156665441,2025-06-22 16:07:22.869169,2025-06-22 16:07:49.525345,0 days 00:00:26.656176,2344.0,0.05,3m,1.0,0.6000000000000001,1.5,1008.0,6528.0,0.035,5m,1.6,0.6000000000000001,0.5,672.0,1480.0,0.045000000000000005,1m,2.0,0.2,1.0,760.0,,,,,,,,5376.0,0.05,5m,1.2,0.4,2.0,856.0,6416.0,0.01,3m,1.2,0.0,1.0,928.0,1552,0.04,5m,3.0,0.2,1.0,864,4480.0,0.015,4m,1.6,0.6000000000000001,1.0,656.0,2648.0,0.02,4m,1.2,0.4,0.5,824.0,1272.0,0.02,1m,2.8,0.8,2.0,504.0,3072,0.025,1m,2.4000000000000004,0.4,1.5,576,,,,,,,,4088.0,0.05,3m,1.0,0.0,2.0,200.0,1976,0.03,4m,1.6,0.0,1.0,928,2952.0,0.015,4m,1.0,0.8,1.0,224.0,7640,0.05,2m,1.6,0.2,0.5,728,7896.0,0.035,5m,1.6,1.0,2.0,432.0,4800.0,0.05,3m,1.2,0.0,2.0,192.0,2032,0.05,1m,2.0,0.8,1.5,624,6584,0.035,4m,1.6,0.2,0.5,608,4472.0,0.02,3m,1.6,0.6000000000000001,1.5,760.0,4144,0.015,3m,1.4,0.0,0.5,856,4240,0.01,2m,2.6,1.0,1.0,400,1688.0,0.02,4m,2.2,0.8,1.0,752.0,3224.0,0.02,3m,1.0,0.4,0.5,880.0,5816,0.035,4m,2.4000000000000004,0.0,2.0,480,1496,0.02,4m,1.4,0.0,1.5,160,,,,,,,,7648.0,0.045000000000000005,1m,2.6,0.0,2.0,976.0,7264.0,0.03,3m,3.0,0.0,1.5,800.0,0.35000000000000003,27,COMPLETE
3,3,0.869399031379073,2025-06-22 16:07:49.603721,2025-06-22 16:08:13.571514,0 days 00:00:23.967793,3904.0,0.015,1m,2.6,0.8,2.0,488.0,,,,,,,,3696.0,0.015,5m,1.4,0.2,1.0,984.0,,,,,,,,,,,,,,,5888.0,0.01,4m,1.2,0.0,1.5,352.0,6544,0.01,4m,1.2,0.8,2.0,408,4248.0,0.02,2m,1.8,0.0,1.5,384.0,7776.0,0.01,3m,3.0,1.0,1.0,216.0,7424.0,0.015,1m,1.8,0.4,1.0,392.0,4784,0.03,5m,2.8,0.6000000000000001,1.0,952,,,,,,,,4320.0,0.035,4m,1.0,0.0,2.0,440.0,2400,0.02,3m,2.6,1.0,2.0,224,6192.0,0.025,4m,1.8,0.6000000000000001,1.0,528.0,3600,0.02,5m,1.4,0.8,0.5,1016,2560.0,0.045000000000000005,2m,2.2,0.0,0.5,800.0,7344.0,0.015,5m,1.6,0.4,0.5,216.0,7960,0.045000000000000005,5m,2.2,1.0,2.0,256,2328,0.035,5m,1.4,0.2,1.0,720,6808.0,0.03,4m,2.2,0.0,0.5,432.0,6184,0.01,1m,2.0,0.8,1.5,816,7176,0.05,3m,1.4,0.6000000000000001,1.0,512,1456.0,0.015,1m,2.0,0.8,1.0,408.0,1080.0,0.025,1m,2.0,0.4,1.0,840.0,7560,0.04,4m,2.8,0.2,0.5,760,1512,0.03,2m,2.4000000000000004,0.2,0.5,288,,,,,,,,6312.0,0.02,2m,2.6,1.0,1.5,1024.0,,,,,,,,0.05,24,COMPLETE
4,4,1.0895559782725963,2025-06-22 16:08:13.618989,2025-06-22 16:08:40.722747,0 days 00:00:27.103758,4192.0,0.04,2m,2.0,0.6000000000000001,1.5,608.0,,,,,,,,1488.0,0.035,2m,1.0,0.2,0.5,880.0,,,,,,,,7568.0,0.02,5m,2.0,0.4,2.0,800.0,6024.0,0.02,4m,1.8,0.4,0.5,688.0,5328,0.04,5m,1.8,0.2,0.5,560,5592.0,0.045000000000000005,1m,2.8,0.0,0.5,808.0,3800.0,0.01,1m,1.0,1.0,2.0,592.0,2344.0,0.04,3m,2.2,0.0,0.5,560.0,4024,0.035,4m,2.0,0.0,2.0,920,,,,,,,,1256.0,0.02,1m,3.0,0.8,1.0,992.0,1960,0.01,3m,1.0,0.0,1.0,720,5848.0,0.01,5m,1.4,0.2,1.5,160.0,5720,0.025,2m,2.0,0.0,1.5,680,1040.0,0.025,3m,1.8,0.6000000000000001,2.0,256.0,4712.0,0.025,1m,2.6,0.0,1.0,448.0,7648,0.035,3m,2.6,0.8,1.0,752,2104,0.035,3m,3.0,1.0,1.5,1000,3568.0,0.03,1m,1.2,0.0,1.0,472.0,5728,0.03,2m,1.8,0.4,1.5,248,5472,0.015,2m,1.8,0.2,0.5,304,6664.0,0.04,2m,2.6,0.2,1.5,944.0,4112.0,0.025,5m,2.0,0.6000000000000001,1.5,896.0,7504,0.01,2m,2.4000000000000004,0.8,1.0,296,7008,0.05,4m,1.2,0.2,0.5,352,,,,,,,,6544.0,0.015,5m,1.8,1.0,0.5,248.0,5816.0,0.035,4m,2.2,0.2,1.5,584.0,0.25,26,COMPLETE
5,5,0.9855867586458961,2025-06-22 16:08:40.789344,2025-06-22 16:08:55.894161,0 days 00:00:15.104817,6752.0,0.03,4m,1.8,0.6000000000000001,0.5,312.0,,,,,,,,4280.0,0.02,2m,1.6,0.0,1.5,744.0,,,,,,,,,,,,,,,,,,,,,,5760,0.04,3m,1.2,0.0,0.5,368,1576.0,0.015,1m,1.0,0.0,0.5,128.0,,,,,,,,,,,,,,,5224,0.025,5m,1.0,0.6000000000000001,0.5,960,,,,,,,,,,,,,,,2432,0.045000000000000005,5m,2.2,0.4,0.5,728,,,,,,,,3344,0.01,3m,1.2,0.4,1.5,320,,,,,,,,,,,,,,,5088,0.05,1m,1.6,0.0,1.5,408,3664,0.045000000000000005,5m,3.0,1.0,0.5,640,,,,,,,,7008,0.01,1m,1.6,1.0,0.5,856,3976,0.05,5m,1.8,0.0,1.5,856,2152.0,0.04,5m,2.0,1.0,1.0,952.0,2376.0,0.015,5m,2.4000000000000004,1.0,1.5,376.0,4848,0.035,5m,1.8,0.6000000000000001,2.0,232,2712,0.03,2m,1.6,0.6000000000000001,1.0,848,,,,,,,,,,,,,,,,,,,,,,0.4,15,COMPLETE
6,6,0.9846141449380973,2025-06-22 16:08:55.952884,2025-06-22 16:09:13.489811,0 days 00:00:17.536927,5448.0,0.025,1m,1.0,0.8,1.0,688.0,,,,,,,,3440.0,0.045000000000000005,4m,2.6,0.2,2.0,928.0,,,,,,,,,,,,,,,7440.0,0.04,4m,1.4,0.8,1.0,792.0,2336,0.015,4m,3.0,0.2,1.5,272,4624.0,0.015,1m,1.2,0.2,1.5,904.0,,,,,,,,,,,,,,,4440,0.02,3m,3.0,0.6000000000000001,0.5,824,,,,,,,,,,,,,,,3552,0.035,5m,2.4000000000000004,0.8,2.0,808,,,,,,,,6720,0.025,5m,1.4,0.8,1.5,400,7584.0,0.04,3m,1.4,0.6000000000000001,1.0,336.0,,,,,,,,5592,0.04,2m,1.8,0.2,1.5,240,2288,0.05,3m,2.2,0.8,2.0,600,,,,,,,,2592,0.03,3m,1.4,0.8,1.0,944,8016,0.01,5m,2.6,0.0,1.0,744,4104.0,0.04,1m,1.0,0.0,1.0,800.0,5312.0,0.025,2m,1.8,0.4,2.0,528.0,4040,0.02,5m,2.4000000000000004,0.2,0.5,744,3952,0.05,1m,1.8,0.6000000000000001,1.5,1024,,,,,,,,,,,,,,,,,,,,,,0.3,17,COMPLETE
7,7,0.9026321494011781,2025-06-22 16:09:13.521150,2025-06-22 16:09:48.753723,0 days 00:00:35.232573,6056.0,0.025,3m,2.6,0.6000000000000001,1.5,792.0,5272.0,0.05,3m,2.6,1.0,1.0,656.0,5528.0,0.01,4m,1.0,0.4,0.5,824.0,4264.0,0.015,5m,1.2,1.0,1.5,488.0,7880.0,0.02,3m,2.6,0.6000000000000001,1.5,800.0,3440.0,0.045000000000000005,2m,2.0,0.2,1.5,928.0,4152,0.045000000000000005,1m,2.0,1.0,0.5,584,8168.0,0.03,1m,2.6,0.2,1.0,872.0,2720.0,0.015,1m,2.6,0.8,1.0,392.0,3256.0,0.035,1m,2.2,0.6000000000000001,1.0,952.0,5616,0.03,2m,1.6,0.0,1.0,768,4824.0,0.05,3m,2.0,0.8,2.0,168.0,3600.0,0.05,1m,1.0,0.0,1.0,680.0,6160,0.025,3m,2.6,1.0,2.0,480,5016.0,0.04,1m,2.0,0.6000000000000001,1.5,480.0,3472,0.01,4m,1.8,0.4,0.5,760,2696.0,0.015,1m,1.2,1.0,2.0,200.0,4928.0,0.045000000000000005,5m,1.6,0.8,2.0,160.0,4632,0.03,5m,2.0,1.0,1.5,272,6176,0.03,1m,1.0,0.6000000000000001,1.5,296,4184.0,0.035,1m,2.2,0.4,1.0,264.0,3592,0.045000000000000005,5m,2.8,0.6000000000000001,1.0,696,8144,0.03,1m,2.6,0.0,0.5,752,3944.0,0.045000000000000005,3m,1.0,0.6000000000000001,0.5,824.0,5880.0,0.02,4m,1.4,0.8,1.0,168.0,7304,0.02,2m,1.8,0.4,1.0,688,2856,0.015,1m,1.4,0.0,2.0,880,,,,,,,,8120.0,0.04,2m,2.4000000000000004,0.4,1.5,704.0,2792.0,0.035,2m,2.6,0.6000000000000001,0.5,800.0,0.4,29,COMPLETE
8,8,0.9980849776235396,2025-06-22 16:09:48.802558,2025-06-22 16:09:59.762804,0 days 00:00:10.960246,,,,,,,,,,,,,,,4488.0,0.035,4m,2.0,0.0,1.5,416.0,,,,,,,,,,,,,,,,,,,,,,1944,0.025,5m,2.2,0.0,0.5,672,,,,,,,,,,,,,,,,,,,,,,5584,0.045000000000000005,2m,1.4,0.6000000000000001,0.5,176,,,,,,,,,,,,,,,5496,0.025,2m,2.6,0.4,0.5,416,,,,,,,,6256,0.01,4m,2.0,0.2,1.5,624,,,,,,,,,,,,,,,7632,0.05,4m,2.4000000000000004,0.4,2.0,336,1080,0.03,3m,2.0,0.2,2.0,640,,,,,,,,7768,0.04,5m,2.2,0.0,1.0,608,6992,0.01,1m,2.8,0.2,1.5,744,,,,,,,,5736.0,0.02,2m,1.6,0.2,1.0,808.0,6496,0.04,4m,1.0,0.6000000000000001,0.5,640,3248,0.02,3m,1.2,0.8,1.5,216,,,,,,,,,,,,,,,,,,,,,,0.4,12,COMPLETE
9,9,1.0010960901921022,2025-06-22 16:09:59.799298,2025-06-22 16:10:24.424956,0 days 00:00:24.625658,2088.0,0.02,2m,1.2,0.2,1.0,664.0,,,,,,,,6448.0,0.025,1m,2.8,0.4,1.5,208.0,,,,,,,,,,,,,,,7584.0,0.035,2m,1.8,0.6000000000000001,0.5,512.0,7456,0.035,3m,2.8,0.8,1.0,304,5040.0,0.05,4m,2.2,0.4,2.0,512.0,7480.0,0.03,5m,1.2,0.8,0.5,568.0,4456.0,0.05,4m,2.2,0.8,2.0,960.0,1032,0.015,5m,2.2,0.0,1.0,560,,,,,,,,2632.0,0.035,2m,1.4,0.2,1.5,808.0,3904,0.03,1m,1.8,0.8,1.5,696,7384.0,0.025,2m,1.0,0.8,0.5,480.0,2704,0.015,1m,2.0,0.8,2.0,872,2360.0,0.035,2m,1.0,1.0,1.5,864.0,7224.0,0.02,1m,3.0,0.8,1.0,712.0,4928,0.045000000000000005,5m,3.0,0.6000000000000001,0.5,792,7768,0.02,5m,1.0,0.2,2.0,144,5864.0,0.05,2m,1.2,0.2,1.5,776.0,5712,0.01,2m,2.2,0.8,1.0,864,5760,0.035,5m,1.2,1.0,1.0,608,6280.0,0.045000000000000005,5m,2.8,0.4,2.0,936.0,3560.0,0.035,4m,2.6,0.4,2.0,904.0,2328,0.01,1m,2.2,0.0,2.0,760,4616,0.015,5m,2.8,1.0,1.0,608,,,,,,,,6424.0,0.035,4m,2.4000000000000004,1.0,1.0,736.0,,,,,,,,0.2,24,COMPLETE
