,number,value,datetime_start,datetime_complete,duration,params_ADP_CTAS_beta_win,params_ADP_CTAS_stop_loss,params_ADP_CTAS_trade_freq,params_ADP_CTAS_z_entry,params_ADP_CTAS_z_exit,params_ADP_CTAS_z_stop_scaler,params_ADP_CTAS_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_AMD_PTON_beta_win,params_AMD_PTON_stop_loss,params_AMD_PTON_trade_freq,params_AMD_PTON_z_entry,params_AMD_PTON_z_exit,params_AMD_PTON_z_stop_scaler,params_AMD_PTON_z_win,params_AMGN_TEAM_beta_win,params_AMGN_TEAM_stop_loss,params_AMGN_TEAM_trade_freq,params_AMGN_TEAM_z_entry,params_AMGN_TEAM_z_exit,params_AMGN_TEAM_z_stop_scaler,params_AMGN_TEAM_z_win,params_CMCSA_PTON_beta_win,params_CMCSA_PTON_stop_loss,params_CMCSA_PTON_trade_freq,params_CMCSA_PTON_z_entry,params_CMCSA_PTON_z_exit,params_CMCSA_PTON_z_stop_scaler,params_CMCSA_PTON_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_CMCSA_VRTX_beta_win,params_CMCSA_VRTX_stop_loss,params_CMCSA_VRTX_trade_freq,params_CMCSA_VRTX_z_entry,params_CMCSA_VRTX_z_exit,params_CMCSA_VRTX_z_stop_scaler,params_CMCSA_VRTX_z_win,params_CMCSA_XLNX_beta_win,params_CMCSA_XLNX_stop_loss,params_CMCSA_XLNX_trade_freq,params_CMCSA_XLNX_z_entry,params_CMCSA_XLNX_z_exit,params_CMCSA_XLNX_z_stop_scaler,params_CMCSA_XLNX_z_win,params_CSCO_CTAS_beta_win,params_CSCO_CTAS_stop_loss,params_CSCO_CTAS_trade_freq,params_CSCO_CTAS_z_entry,params_CSCO_CTAS_z_exit,params_CSCO_CTAS_z_stop_scaler,params_CSCO_CTAS_z_win,params_FB_CTAS_beta_win,params_FB_CTAS_stop_loss,params_FB_CTAS_trade_freq,params_FB_CTAS_z_entry,params_FB_CTAS_z_exit,params_FB_CTAS_z_stop_scaler,params_FB_CTAS_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_JD_CTAS_beta_win,params_JD_CTAS_stop_loss,params_JD_CTAS_trade_freq,params_JD_CTAS_z_entry,params_JD_CTAS_z_exit,params_JD_CTAS_z_stop_scaler,params_JD_CTAS_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_PTON_CTAS_beta_win,params_PTON_CTAS_stop_loss,params_PTON_CTAS_trade_freq,params_PTON_CTAS_z_entry,params_PTON_CTAS_z_exit,params_PTON_CTAS_z_stop_scaler,params_PTON_CTAS_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_QCOM_CTAS_beta_win,params_QCOM_CTAS_stop_loss,params_QCOM_CTAS_trade_freq,params_QCOM_CTAS_z_entry,params_QCOM_CTAS_z_exit,params_QCOM_CTAS_z_stop_scaler,params_QCOM_CTAS_z_win,params_ROST_CTAS_beta_win,params_ROST_CTAS_stop_loss,params_ROST_CTAS_trade_freq,params_ROST_CTAS_z_entry,params_ROST_CTAS_z_exit,params_ROST_CTAS_z_stop_scaler,params_ROST_CTAS_z_win,params_SBUX_CTAS_beta_win,params_SBUX_CTAS_stop_loss,params_SBUX_CTAS_trade_freq,params_SBUX_CTAS_z_entry,params_SBUX_CTAS_z_exit,params_SBUX_CTAS_z_stop_scaler,params_SBUX_CTAS_z_win,params_SPLK_CTAS_beta_win,params_SPLK_CTAS_stop_loss,params_SPLK_CTAS_trade_freq,params_SPLK_CTAS_z_entry,params_SPLK_CTAS_z_exit,params_SPLK_CTAS_z_stop_scaler,params_SPLK_CTAS_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_ZM_CTAS_beta_win,params_ZM_CTAS_stop_loss,params_ZM_CTAS_trade_freq,params_ZM_CTAS_z_entry,params_ZM_CTAS_z_exit,params_ZM_CTAS_z_stop_scaler,params_ZM_CTAS_z_win,params_ZM_TEAM_beta_win,params_ZM_TEAM_stop_loss,params_ZM_TEAM_trade_freq,params_ZM_TEAM_z_entry,params_ZM_TEAM_z_exit,params_ZM_TEAM_z_stop_scaler,params_ZM_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9755890905390311,2025-06-22 16:06:23.521077,2025-06-22 16:06:50.234221,0 days 00:00:26.713144,1768.0,0.01,2m,1.0,0.0,2.0,144.0,3464.0,0.02,1m,1.0,1.0,2.0,632.0,3064.0,0.035,2m,3.0,0.0,0.5,544.0,4408.0,0.04,3m,2.6,0.6000000000000001,2.0,208.0,,,,,,,,6816,0.02,4m,1.6,0.0,0.5,440,3344,0.025,5m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,3184,0.04,5m,1.2,0.0,1.5,928,,,,,,,,,,,,,,,3896,0.05,4m,1.2,0.0,2.0,208,1024,0.01,1m,1.6,0.6000000000000001,2.0,712,5560,0.03,2m,2.0,0.6000000000000001,1.0,808,1912,0.01,4m,2.6,0.0,0.5,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,0.02,3m,1.8,0.2,1.5,656,1720,0.05,3m,2.4000000000000004,0.8,1.0,368,7608,0.03,4m,3.0,0.8,1.5,688,6912.0,0.045000000000000005,4m,2.6,1.0,0.5,632.0,,,,,,,,3552.0,0.045000000000000005,1m,2.0,0.2,0.5,528.0,,,,,,,,,,,,,,,0.1,16,COMPLETE
1,1,0.9383855475158753,2025-06-22 16:06:50.282790,2025-06-22 16:07:20.903211,0 days 00:00:30.620421,7832.0,0.035,2m,1.6,0.4,1.0,720.0,1664.0,0.035,1m,1.6,0.6000000000000001,0.5,936.0,2752.0,0.02,1m,3.0,0.8,1.0,296.0,6480.0,0.035,2m,1.4,0.0,0.5,648.0,,,,,,,,5256,0.015,4m,3.0,0.6000000000000001,1.5,608,2200,0.03,1m,1.8,0.4,1.5,528,1968.0,0.035,1m,1.4,0.8,0.5,976.0,4984.0,0.03,2m,1.6,0.6000000000000001,0.5,328.0,3424,0.03,1m,1.6,0.2,1.5,440,3000.0,0.015,3m,1.2,0.6000000000000001,0.5,400.0,4328.0,0.035,2m,1.4,0.6000000000000001,1.5,776.0,3672,0.035,1m,2.0,0.4,1.5,832,3800,0.05,2m,3.0,0.6000000000000001,0.5,904,2816,0.035,4m,2.8,0.6000000000000001,1.5,648,5272,0.025,4m,1.0,0.2,0.5,800,7568.0,0.015,2m,2.4000000000000004,1.0,2.0,968.0,,,,,,,,4896.0,0.05,4m,2.6,0.0,2.0,224.0,2240.0,0.03,1m,2.8,0.6000000000000001,1.5,240.0,5672.0,0.01,3m,2.8,0.8,0.5,208.0,3776.0,0.025,4m,1.0,0.2,1.0,848.0,4632,0.01,2m,3.0,0.4,2.0,672,7208,0.04,5m,2.8,0.4,0.5,512,3904,0.015,4m,1.8,0.4,1.5,960,6016.0,0.025,3m,1.0,0.6000000000000001,0.5,968.0,4208.0,0.01,1m,2.8,0.6000000000000001,0.5,760.0,2672.0,0.02,1m,1.0,1.0,1.5,760.0,,,,,,,,2376.0,0.02,4m,1.0,0.0,1.0,984.0,0.25,27,COMPLETE
2,2,0.9766012050177639,2025-06-22 16:07:20.948555,2025-06-22 16:07:46.109873,0 days 00:00:25.161318,1688.0,0.02,4m,2.2,0.8,1.0,752.0,3224.0,0.02,3m,1.0,0.4,0.5,880.0,2344.0,0.05,3m,1.0,0.6000000000000001,1.5,1008.0,1480.0,0.045000000000000005,1m,2.0,0.2,1.0,760.0,,,,,,,,4144,0.015,3m,1.4,0.0,0.5,856,2032,0.05,1m,2.0,0.8,1.5,624,4472.0,0.02,3m,1.6,0.6000000000000001,1.5,760.0,4800.0,0.05,3m,1.2,0.0,2.0,192.0,3072,0.025,1m,2.4000000000000004,0.4,1.5,576,5376.0,0.05,5m,1.2,0.4,2.0,856.0,1272.0,0.02,1m,2.8,0.8,2.0,504.0,7640,0.05,2m,1.6,0.2,0.5,728,5816,0.035,4m,2.4000000000000004,0.0,2.0,480,1976,0.03,4m,1.6,0.0,1.0,928,4240,0.01,2m,2.6,1.0,1.0,400,2952.0,0.015,4m,1.0,0.8,1.0,224.0,,,,,,,,2648.0,0.02,4m,1.2,0.4,0.5,824.0,7264.0,0.03,3m,3.0,0.0,1.5,800.0,6528.0,0.035,5m,1.6,0.6000000000000001,0.5,672.0,7648.0,0.045000000000000005,1m,2.6,0.0,2.0,976.0,1552,0.04,5m,3.0,0.2,1.0,864,1496,0.02,4m,1.4,0.0,1.5,160,6584,0.035,4m,1.6,0.2,0.5,608,7896.0,0.035,5m,1.6,1.0,2.0,432.0,6416.0,0.01,3m,1.2,0.0,1.0,928.0,4480.0,0.015,4m,1.6,0.6000000000000001,1.0,656.0,,,,,,,,4088.0,0.05,3m,1.0,0.0,2.0,200.0,0.35000000000000003,27,COMPLETE
3,3,0.9852574690131056,2025-06-22 16:07:46.185609,2025-06-22 16:08:09.432512,0 days 00:00:23.246903,1456.0,0.015,1m,2.0,0.8,1.0,408.0,1080.0,0.025,1m,2.0,0.4,1.0,840.0,3904.0,0.015,1m,2.6,0.8,2.0,488.0,3696.0,0.015,5m,1.4,0.2,1.0,984.0,,,,,,,,6184,0.01,1m,2.0,0.8,1.5,816,7960,0.045000000000000005,5m,2.2,1.0,2.0,256,6808.0,0.03,4m,2.2,0.0,0.5,432.0,7344.0,0.015,5m,1.6,0.4,0.5,216.0,4784,0.03,5m,2.8,0.6000000000000001,1.0,952,,,,,,,,7424.0,0.015,1m,1.8,0.4,1.0,392.0,3600,0.02,5m,1.4,0.8,0.5,1016,7560,0.04,4m,2.8,0.2,0.5,760,2400,0.02,3m,2.6,1.0,2.0,224,7176,0.05,3m,1.4,0.6000000000000001,1.0,512,6192.0,0.025,4m,1.8,0.6000000000000001,1.0,528.0,,,,,,,,7776.0,0.01,3m,3.0,1.0,1.0,216.0,,,,,,,,,,,,,,,6312.0,0.02,2m,2.6,1.0,1.5,1024.0,6544,0.01,4m,1.2,0.8,2.0,408,1512,0.03,2m,2.4000000000000004,0.2,0.5,288,2328,0.035,5m,1.4,0.2,1.0,720,2560.0,0.045000000000000005,2m,2.2,0.0,0.5,800.0,5888.0,0.01,4m,1.2,0.0,1.5,352.0,4248.0,0.02,2m,1.8,0.0,1.5,384.0,,,,,,,,4320.0,0.035,4m,1.0,0.0,2.0,440.0,0.05,24,COMPLETE
4,4,1.0004999955501013,2025-06-22 16:08:09.490046,2025-06-22 16:08:35.803236,0 days 00:00:26.313190,6664.0,0.04,2m,2.6,0.2,1.5,944.0,4112.0,0.025,5m,2.0,0.6000000000000001,1.5,896.0,4192.0,0.04,2m,2.0,0.6000000000000001,1.5,608.0,1488.0,0.035,2m,1.0,0.2,0.5,880.0,,,,,,,,5728,0.03,2m,1.8,0.4,1.5,248,7648,0.035,3m,2.6,0.8,1.0,752,3568.0,0.03,1m,1.2,0.0,1.0,472.0,4712.0,0.025,1m,2.6,0.0,1.0,448.0,4024,0.035,4m,2.0,0.0,2.0,920,7568.0,0.02,5m,2.0,0.4,2.0,800.0,2344.0,0.04,3m,2.2,0.0,0.5,560.0,5720,0.025,2m,2.0,0.0,1.5,680,7504,0.01,2m,2.4000000000000004,0.8,1.0,296,1960,0.01,3m,1.0,0.0,1.0,720,5472,0.015,2m,1.8,0.2,0.5,304,5848.0,0.01,5m,1.4,0.2,1.5,160.0,,,,,,,,3800.0,0.01,1m,1.0,1.0,2.0,592.0,5816.0,0.035,4m,2.2,0.2,1.5,584.0,,,,,,,,6544.0,0.015,5m,1.8,1.0,0.5,248.0,5328,0.04,5m,1.8,0.2,0.5,560,7008,0.05,4m,1.2,0.2,0.5,352,2104,0.035,3m,3.0,1.0,1.5,1000,1040.0,0.025,3m,1.8,0.6000000000000001,2.0,256.0,6024.0,0.02,4m,1.8,0.4,0.5,688.0,5592.0,0.045000000000000005,1m,2.8,0.0,0.5,808.0,,,,,,,,1256.0,0.02,1m,3.0,0.8,1.0,992.0,0.25,26,COMPLETE
5,5,1.0522418088333374,2025-06-22 16:08:35.913887,2025-06-22 16:08:50.262730,0 days 00:00:14.348843,2152.0,0.04,5m,2.0,1.0,1.0,952.0,2376.0,0.015,5m,2.4000000000000004,1.0,1.5,376.0,6752.0,0.03,4m,1.8,0.6000000000000001,0.5,312.0,4280.0,0.02,2m,1.6,0.0,1.5,744.0,,,,,,,,7008,0.01,1m,1.6,1.0,0.5,856,5088,0.05,1m,1.6,0.0,1.5,408,,,,,,,,,,,,,,,5224,0.025,5m,1.0,0.6000000000000001,0.5,960,,,,,,,,,,,,,,,3344,0.01,3m,1.2,0.4,1.5,320,4848,0.035,5m,1.8,0.6000000000000001,2.0,232,2432,0.045000000000000005,5m,2.2,0.4,0.5,728,3976,0.05,5m,1.8,0.0,1.5,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,0.04,3m,1.2,0.0,0.5,368,2712,0.03,2m,1.6,0.6000000000000001,1.0,848,3664,0.045000000000000005,5m,3.0,1.0,0.5,640,,,,,,,,,,,,,,,1576.0,0.015,1m,1.0,0.0,0.5,128.0,,,,,,,,,,,,,,,0.4,15,COMPLETE
6,6,0.9882484736846702,2025-06-22 16:08:50.296420,2025-06-22 16:09:07.093916,0 days 00:00:16.797496,4104.0,0.04,1m,1.0,0.0,1.0,800.0,5312.0,0.025,2m,1.8,0.4,2.0,528.0,5448.0,0.025,1m,1.0,0.8,1.0,688.0,3440.0,0.045000000000000005,4m,2.6,0.2,2.0,928.0,,,,,,,,2592,0.03,3m,1.4,0.8,1.0,944,5592,0.04,2m,1.8,0.2,1.5,240,,,,,,,,,,,,,,,4440,0.02,3m,3.0,0.6000000000000001,0.5,824,,,,,,,,,,,,,,,6720,0.025,5m,1.4,0.8,1.5,400,4040,0.02,5m,2.4000000000000004,0.2,0.5,744,3552,0.035,5m,2.4000000000000004,0.8,2.0,808,8016,0.01,5m,2.6,0.0,1.0,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336,0.015,4m,3.0,0.2,1.5,272,3952,0.05,1m,1.8,0.6000000000000001,1.5,1024,2288,0.05,3m,2.2,0.8,2.0,600,7584.0,0.04,3m,1.4,0.6000000000000001,1.0,336.0,7440.0,0.04,4m,1.4,0.8,1.0,792.0,4624.0,0.015,1m,1.2,0.2,1.5,904.0,,,,,,,,,,,,,,,0.3,17,COMPLETE
7,7,1.0087205145980502,2025-06-22 16:09:07.128069,2025-06-22 16:09:40.469103,0 days 00:00:33.341034,3944.0,0.045000000000000005,3m,1.0,0.6000000000000001,0.5,824.0,5880.0,0.02,4m,1.4,0.8,1.0,168.0,6056.0,0.025,3m,2.6,0.6000000000000001,1.5,792.0,5528.0,0.01,4m,1.0,0.4,0.5,824.0,4264.0,0.015,5m,1.2,1.0,1.5,488.0,3592,0.045000000000000005,5m,2.8,0.6000000000000001,1.0,696,4632,0.03,5m,2.0,1.0,1.5,272,4184.0,0.035,1m,2.2,0.4,1.0,264.0,4928.0,0.045000000000000005,5m,1.6,0.8,2.0,160.0,5616,0.03,2m,1.6,0.0,1.0,768,7880.0,0.02,3m,2.6,0.6000000000000001,1.5,800.0,3256.0,0.035,1m,2.2,0.6000000000000001,1.0,952.0,3472,0.01,4m,1.8,0.4,0.5,760,7304,0.02,2m,1.8,0.4,1.0,688,6160,0.025,3m,2.6,1.0,2.0,480,8144,0.03,1m,2.6,0.0,0.5,752,5016.0,0.04,1m,2.0,0.6000000000000001,1.5,480.0,,,,,,,,2720.0,0.015,1m,2.6,0.8,1.0,392.0,2792.0,0.035,2m,2.6,0.6000000000000001,0.5,800.0,5272.0,0.05,3m,2.6,1.0,1.0,656.0,8120.0,0.04,2m,2.4000000000000004,0.4,1.5,704.0,4152,0.045000000000000005,1m,2.0,1.0,0.5,584,2856,0.015,1m,1.4,0.0,2.0,880,6176,0.03,1m,1.0,0.6000000000000001,1.5,296,2696.0,0.015,1m,1.2,1.0,2.0,200.0,3440.0,0.045000000000000005,2m,2.0,0.2,1.5,928.0,8168.0,0.03,1m,2.6,0.2,1.0,872.0,4824.0,0.05,3m,2.0,0.8,2.0,168.0,3600.0,0.05,1m,1.0,0.0,1.0,680.0,0.4,29,COMPLETE
8,8,0.9596974708329805,2025-06-22 16:09:40.507760,2025-06-22 16:09:51.175657,0 days 00:00:10.667897,,,,,,,,5736.0,0.02,2m,1.6,0.2,1.0,808.0,,,,,,,,4488.0,0.035,4m,2.0,0.0,1.5,416.0,,,,,,,,7768,0.04,5m,2.2,0.0,1.0,608,7632,0.05,4m,2.4000000000000004,0.4,2.0,336,,,,,,,,,,,,,,,5584,0.045000000000000005,2m,1.4,0.6000000000000001,0.5,176,,,,,,,,,,,,,,,6256,0.01,4m,2.0,0.2,1.5,624,6496,0.04,4m,1.0,0.6000000000000001,0.5,640,5496,0.025,2m,2.6,0.4,0.5,416,6992,0.01,1m,2.8,0.2,1.5,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944,0.025,5m,2.2,0.0,0.5,672,3248,0.02,3m,1.2,0.8,1.5,216,1080,0.03,3m,2.0,0.2,2.0,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,12,COMPLETE
9,9,0.973935036414065,2025-06-22 16:09:51.207379,2025-06-22 16:10:14.773705,0 days 00:00:23.566326,6280.0,0.045000000000000005,5m,2.8,0.4,2.0,936.0,3560.0,0.035,4m,2.6,0.4,2.0,904.0,2088.0,0.02,2m,1.2,0.2,1.0,664.0,6448.0,0.025,1m,2.8,0.4,1.5,208.0,,,,,,,,5712,0.01,2m,2.2,0.8,1.0,864,4928,0.045000000000000005,5m,3.0,0.6000000000000001,0.5,792,5864.0,0.05,2m,1.2,0.2,1.5,776.0,7224.0,0.02,1m,3.0,0.8,1.0,712.0,1032,0.015,5m,2.2,0.0,1.0,560,,,,,,,,4456.0,0.05,4m,2.2,0.8,2.0,960.0,2704,0.015,1m,2.0,0.8,2.0,872,2328,0.01,1m,2.2,0.0,2.0,760,3904,0.03,1m,1.8,0.8,1.5,696,5760,0.035,5m,1.2,1.0,1.0,608,7384.0,0.025,2m,1.0,0.8,0.5,480.0,,,,,,,,7480.0,0.03,5m,1.2,0.8,0.5,568.0,,,,,,,,,,,,,,,6424.0,0.035,4m,2.4000000000000004,1.0,1.0,736.0,7456,0.035,3m,2.8,0.8,1.0,304,4616,0.015,5m,2.8,1.0,1.0,608,7768,0.02,5m,1.0,0.2,2.0,144,2360.0,0.035,2m,1.0,1.0,1.5,864.0,7584.0,0.035,2m,1.8,0.6000000000000001,0.5,512.0,5040.0,0.05,4m,2.2,0.4,2.0,512.0,,,,,,,,2632.0,0.035,2m,1.4,0.2,1.5,808.0,0.2,24,COMPLETE
