,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_ADP_PDD_beta_win,params_ADP_PDD_stop_loss,params_ADP_PDD_trade_freq,params_ADP_PDD_z_entry,params_ADP_PDD_z_exit,params_ADP_PDD_z_stop_scaler,params_ADP_PDD_z_win,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_EA_beta_win,params_ALGN_EA_stop_loss,params_ALGN_EA_trade_freq,params_ALGN_EA_z_entry,params_ALGN_EA_z_exit,params_ALGN_EA_z_stop_scaler,params_ALGN_EA_z_win,params_ALGN_QCOM_beta_win,params_ALGN_QCOM_stop_loss,params_ALGN_QCOM_trade_freq,params_ALGN_QCOM_z_entry,params_ALGN_QCOM_z_exit,params_ALGN_QCOM_z_stop_scaler,params_ALGN_QCOM_z_win,params_AMD_QCOM_beta_win,params_AMD_QCOM_stop_loss,params_AMD_QCOM_trade_freq,params_AMD_QCOM_z_entry,params_AMD_QCOM_z_exit,params_AMD_QCOM_z_stop_scaler,params_AMD_QCOM_z_win,params_AVGO_QCOM_beta_win,params_AVGO_QCOM_stop_loss,params_AVGO_QCOM_trade_freq,params_AVGO_QCOM_z_entry,params_AVGO_QCOM_z_exit,params_AVGO_QCOM_z_stop_scaler,params_AVGO_QCOM_z_win,params_BIDU_CSCO_beta_win,params_BIDU_CSCO_stop_loss,params_BIDU_CSCO_trade_freq,params_BIDU_CSCO_z_entry,params_BIDU_CSCO_z_exit,params_BIDU_CSCO_z_stop_scaler,params_BIDU_CSCO_z_win,params_CMCSA_WDAY_beta_win,params_CMCSA_WDAY_stop_loss,params_CMCSA_WDAY_trade_freq,params_CMCSA_WDAY_z_entry,params_CMCSA_WDAY_z_exit,params_CMCSA_WDAY_z_stop_scaler,params_CMCSA_WDAY_z_win,params_DLTR_VRTX_beta_win,params_DLTR_VRTX_stop_loss,params_DLTR_VRTX_trade_freq,params_DLTR_VRTX_z_entry,params_DLTR_VRTX_z_exit,params_DLTR_VRTX_z_stop_scaler,params_DLTR_VRTX_z_win,params_DOCU_ILMN_beta_win,params_DOCU_ILMN_stop_loss,params_DOCU_ILMN_trade_freq,params_DOCU_ILMN_z_entry,params_DOCU_ILMN_z_exit,params_DOCU_ILMN_z_stop_scaler,params_DOCU_ILMN_z_win,params_DOCU_TEAM_beta_win,params_DOCU_TEAM_stop_loss,params_DOCU_TEAM_trade_freq,params_DOCU_TEAM_z_entry,params_DOCU_TEAM_z_exit,params_DOCU_TEAM_z_stop_scaler,params_DOCU_TEAM_z_win,params_FB_PCAR_beta_win,params_FB_PCAR_stop_loss,params_FB_PCAR_trade_freq,params_FB_PCAR_z_entry,params_FB_PCAR_z_exit,params_FB_PCAR_z_stop_scaler,params_FB_PCAR_z_win,params_FISV_VRTX_beta_win,params_FISV_VRTX_stop_loss,params_FISV_VRTX_trade_freq,params_FISV_VRTX_z_entry,params_FISV_VRTX_z_exit,params_FISV_VRTX_z_stop_scaler,params_FISV_VRTX_z_win,params_FOXA_QCOM_beta_win,params_FOXA_QCOM_stop_loss,params_FOXA_QCOM_trade_freq,params_FOXA_QCOM_z_entry,params_FOXA_QCOM_z_exit,params_FOXA_QCOM_z_stop_scaler,params_FOXA_QCOM_z_win,params_FOX_QCOM_beta_win,params_FOX_QCOM_stop_loss,params_FOX_QCOM_trade_freq,params_FOX_QCOM_z_entry,params_FOX_QCOM_z_exit,params_FOX_QCOM_z_stop_scaler,params_FOX_QCOM_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOGL_PCAR_beta_win,params_GOOGL_PCAR_stop_loss,params_GOOGL_PCAR_trade_freq,params_GOOGL_PCAR_z_entry,params_GOOGL_PCAR_z_exit,params_GOOGL_PCAR_z_stop_scaler,params_GOOGL_PCAR_z_win,params_GOOG_PCAR_beta_win,params_GOOG_PCAR_stop_loss,params_GOOG_PCAR_trade_freq,params_GOOG_PCAR_z_entry,params_GOOG_PCAR_z_exit,params_GOOG_PCAR_z_stop_scaler,params_GOOG_PCAR_z_win,params_ILMN_MTCH_beta_win,params_ILMN_MTCH_stop_loss,params_ILMN_MTCH_trade_freq,params_ILMN_MTCH_z_entry,params_ILMN_MTCH_z_exit,params_ILMN_MTCH_z_stop_scaler,params_ILMN_MTCH_z_win,params_ILMN_TEAM_beta_win,params_ILMN_TEAM_stop_loss,params_ILMN_TEAM_trade_freq,params_ILMN_TEAM_z_entry,params_ILMN_TEAM_z_exit,params_ILMN_TEAM_z_stop_scaler,params_ILMN_TEAM_z_win,params_ILMN_VRTX_beta_win,params_ILMN_VRTX_stop_loss,params_ILMN_VRTX_trade_freq,params_ILMN_VRTX_z_entry,params_ILMN_VRTX_z_exit,params_ILMN_VRTX_z_stop_scaler,params_ILMN_VRTX_z_win,params_INTU_VRTX_beta_win,params_INTU_VRTX_stop_loss,params_INTU_VRTX_trade_freq,params_INTU_VRTX_z_entry,params_INTU_VRTX_z_exit,params_INTU_VRTX_z_stop_scaler,params_INTU_VRTX_z_win,params_NVDA_VRTX_beta_win,params_NVDA_VRTX_stop_loss,params_NVDA_VRTX_trade_freq,params_NVDA_VRTX_z_entry,params_NVDA_VRTX_z_exit,params_NVDA_VRTX_z_stop_scaler,params_NVDA_VRTX_z_win,params_PCAR_CDW_beta_win,params_PCAR_CDW_stop_loss,params_PCAR_CDW_trade_freq,params_PCAR_CDW_z_entry,params_PCAR_CDW_z_exit,params_PCAR_CDW_z_stop_scaler,params_PCAR_CDW_z_win,params_PCAR_PAYX_beta_win,params_PCAR_PAYX_stop_loss,params_PCAR_PAYX_trade_freq,params_PCAR_PAYX_z_entry,params_PCAR_PAYX_z_exit,params_PCAR_PAYX_z_stop_scaler,params_PCAR_PAYX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_PYPL_QCOM_beta_win,params_PYPL_QCOM_stop_loss,params_PYPL_QCOM_trade_freq,params_PYPL_QCOM_z_entry,params_PYPL_QCOM_z_exit,params_PYPL_QCOM_z_stop_scaler,params_PYPL_QCOM_z_win,params_REGN_CTAS_beta_win,params_REGN_CTAS_stop_loss,params_REGN_CTAS_trade_freq,params_REGN_CTAS_z_entry,params_REGN_CTAS_z_exit,params_REGN_CTAS_z_stop_scaler,params_REGN_CTAS_z_win,params_TEAM_VRTX_beta_win,params_TEAM_VRTX_stop_loss,params_TEAM_VRTX_trade_freq,params_TEAM_VRTX_z_entry,params_TEAM_VRTX_z_exit,params_TEAM_VRTX_z_stop_scaler,params_TEAM_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9777973521956812,2025-06-22 16:06:22.871181,2025-06-22 16:06:49.469240,0 days 00:00:26.598059,,,,,,,,6816,0.02,4m,1.6,0.0,0.5,440,3344,0.025,5m,2.6,0.4,0.5,560,6912.0,0.045000000000000005,4m,2.6,1.0,0.5,632.0,4408.0,0.04,3m,2.6,0.6000000000000001,2.0,208.0,1720,0.05,3m,2.4000000000000004,0.8,1.0,368,,,,,,,,1496,0.02,3m,1.8,0.2,1.5,656,,,,,,,,,,,,,,,3064.0,0.035,2m,3.0,0.0,0.5,544.0,,,,,,,,3552.0,0.045000000000000005,1m,2.0,0.2,0.5,528.0,1024,0.01,1m,1.6,0.6000000000000001,2.0,712,,,,,,,,7608,0.03,4m,3.0,0.8,1.5,688,1768.0,0.01,2m,1.0,0.0,2.0,144.0,1912,0.01,4m,2.6,0.0,0.5,568,3896,0.05,4m,1.2,0.0,2.0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560,0.03,2m,2.0,0.6000000000000001,1.0,808,3184,0.04,5m,1.2,0.0,1.5,928,3464.0,0.02,1m,1.0,1.0,2.0,632.0,0.1,16,COMPLETE
1,1,0.9949849889357363,2025-06-22 16:06:49.554256,2025-06-22 16:07:18.947454,0 days 00:00:29.393198,4328.0,0.035,2m,1.4,0.6000000000000001,1.5,776.0,5256,0.015,4m,3.0,0.6000000000000001,1.5,608,2200,0.03,1m,1.8,0.4,1.5,528,6016.0,0.025,3m,1.0,0.6000000000000001,0.5,968.0,6480.0,0.035,2m,1.4,0.0,0.5,648.0,7208,0.04,5m,2.8,0.4,0.5,512,3776.0,0.025,4m,1.0,0.2,1.0,848.0,4632,0.01,2m,3.0,0.4,2.0,672,4896.0,0.05,4m,2.6,0.0,2.0,224.0,5672.0,0.01,3m,2.8,0.8,0.5,208.0,2752.0,0.02,1m,3.0,0.8,1.0,296.0,3000.0,0.015,3m,1.2,0.6000000000000001,0.5,400.0,2672.0,0.02,1m,1.0,1.0,1.5,760.0,3800,0.05,2m,3.0,0.6000000000000001,0.5,904,4208.0,0.01,1m,2.8,0.6000000000000001,0.5,760.0,3904,0.015,4m,1.8,0.4,1.5,960,7832.0,0.035,2m,1.6,0.4,1.0,720.0,5272,0.025,4m,1.0,0.2,0.5,800,3672,0.035,1m,2.0,0.4,1.5,832,,,,,,,,,,,,,,,2240.0,0.03,1m,2.8,0.6000000000000001,1.5,240.0,2376.0,0.02,4m,1.0,0.0,1.0,984.0,,,,,,,,7568.0,0.015,2m,2.4000000000000004,1.0,2.0,968.0,1968.0,0.035,1m,1.4,0.8,0.5,976.0,4984.0,0.03,2m,1.6,0.6000000000000001,0.5,328.0,2816,0.035,4m,2.8,0.6000000000000001,1.5,648,3424,0.03,1m,1.6,0.2,1.5,440,1664.0,0.035,1m,1.6,0.6000000000000001,0.5,936.0,0.25,27,COMPLETE
2,2,0.9414215502718997,2025-06-22 16:07:19.028457,2025-06-22 16:07:43.183581,0 days 00:00:24.155124,1272.0,0.02,1m,2.8,0.8,2.0,504.0,4144,0.015,3m,1.4,0.0,0.5,856,2032,0.05,1m,2.0,0.8,1.5,624,7896.0,0.035,5m,1.6,1.0,2.0,432.0,1480.0,0.045000000000000005,1m,2.0,0.2,1.0,760.0,1496,0.02,4m,1.4,0.0,1.5,160,7648.0,0.045000000000000005,1m,2.6,0.0,2.0,976.0,1552,0.04,5m,3.0,0.2,1.0,864,2648.0,0.02,4m,1.2,0.4,0.5,824.0,6528.0,0.035,5m,1.6,0.6000000000000001,0.5,672.0,2344.0,0.05,3m,1.0,0.6000000000000001,1.5,1008.0,5376.0,0.05,5m,1.2,0.4,2.0,856.0,4480.0,0.015,4m,1.6,0.6000000000000001,1.0,656.0,5816,0.035,4m,2.4000000000000004,0.0,2.0,480,6416.0,0.01,3m,1.2,0.0,1.0,928.0,6584,0.035,4m,1.6,0.2,0.5,608,1688.0,0.02,4m,2.2,0.8,1.0,752.0,4240,0.01,2m,2.6,1.0,1.0,400,7640,0.05,2m,1.6,0.2,0.5,728,,,,,,,,,,,,,,,7264.0,0.03,3m,3.0,0.0,1.5,800.0,4088.0,0.05,3m,1.0,0.0,2.0,200.0,,,,,,,,2952.0,0.015,4m,1.0,0.8,1.0,224.0,4472.0,0.02,3m,1.6,0.6000000000000001,1.5,760.0,4800.0,0.05,3m,1.2,0.0,2.0,192.0,1976,0.03,4m,1.6,0.0,1.0,928,3072,0.025,1m,2.4000000000000004,0.4,1.5,576,3224.0,0.02,3m,1.0,0.4,0.5,880.0,0.35000000000000003,27,COMPLETE
3,3,0.8959959445531718,2025-06-22 16:07:43.254933,2025-06-22 16:08:05.743867,0 days 00:00:22.488934,7424.0,0.015,1m,1.8,0.4,1.0,392.0,6184,0.01,1m,2.0,0.8,1.5,816,7960,0.045000000000000005,5m,2.2,1.0,2.0,256,2560.0,0.045000000000000005,2m,2.2,0.0,0.5,800.0,3696.0,0.015,5m,1.4,0.2,1.0,984.0,1512,0.03,2m,2.4000000000000004,0.2,0.5,288,6312.0,0.02,2m,2.6,1.0,1.5,1024.0,6544,0.01,4m,1.2,0.8,2.0,408,7776.0,0.01,3m,3.0,1.0,1.0,216.0,,,,,,,,3904.0,0.015,1m,2.6,0.8,2.0,488.0,,,,,,,,4248.0,0.02,2m,1.8,0.0,1.5,384.0,7560,0.04,4m,2.8,0.2,0.5,760,5888.0,0.01,4m,1.2,0.0,1.5,352.0,2328,0.035,5m,1.4,0.2,1.0,720,1456.0,0.015,1m,2.0,0.8,1.0,408.0,7176,0.05,3m,1.4,0.6000000000000001,1.0,512,3600,0.02,5m,1.4,0.8,0.5,1016,,,,,,,,,,,,,,,,,,,,,,4320.0,0.035,4m,1.0,0.0,2.0,440.0,,,,,,,,6192.0,0.025,4m,1.8,0.6000000000000001,1.0,528.0,6808.0,0.03,4m,2.2,0.0,0.5,432.0,7344.0,0.015,5m,1.6,0.4,0.5,216.0,2400,0.02,3m,2.6,1.0,2.0,224,4784,0.03,5m,2.8,0.6000000000000001,1.0,952,1080.0,0.025,1m,2.0,0.4,1.0,840.0,0.05,24,COMPLETE
4,4,0.9263022101228693,2025-06-22 16:08:05.826048,2025-06-22 16:08:30.748555,0 days 00:00:24.922507,2344.0,0.04,3m,2.2,0.0,0.5,560.0,5728,0.03,2m,1.8,0.4,1.5,248,7648,0.035,3m,2.6,0.8,1.0,752,1040.0,0.025,3m,1.8,0.6000000000000001,2.0,256.0,1488.0,0.035,2m,1.0,0.2,0.5,880.0,7008,0.05,4m,1.2,0.2,0.5,352,6544.0,0.015,5m,1.8,1.0,0.5,248.0,5328,0.04,5m,1.8,0.2,0.5,560,3800.0,0.01,1m,1.0,1.0,2.0,592.0,,,,,,,,4192.0,0.04,2m,2.0,0.6000000000000001,1.5,608.0,7568.0,0.02,5m,2.0,0.4,2.0,800.0,5592.0,0.045000000000000005,1m,2.8,0.0,0.5,808.0,7504,0.01,2m,2.4000000000000004,0.8,1.0,296,6024.0,0.02,4m,1.8,0.4,0.5,688.0,2104,0.035,3m,3.0,1.0,1.5,1000,6664.0,0.04,2m,2.6,0.2,1.5,944.0,5472,0.015,2m,1.8,0.2,0.5,304,5720,0.025,2m,2.0,0.0,1.5,680,,,,,,,,,,,,,,,5816.0,0.035,4m,2.2,0.2,1.5,584.0,1256.0,0.02,1m,3.0,0.8,1.0,992.0,,,,,,,,5848.0,0.01,5m,1.4,0.2,1.5,160.0,3568.0,0.03,1m,1.2,0.0,1.0,472.0,4712.0,0.025,1m,2.6,0.0,1.0,448.0,1960,0.01,3m,1.0,0.0,1.0,720,4024,0.035,4m,2.0,0.0,2.0,920,4112.0,0.025,5m,2.0,0.6000000000000001,1.5,896.0,0.25,26,COMPLETE
5,5,0.9487707633036965,2025-06-22 16:08:30.790803,2025-06-22 16:08:44.225707,0 days 00:00:13.434904,,,,,,,,7008,0.01,1m,1.6,1.0,0.5,856,5088,0.05,1m,1.6,0.0,1.5,408,,,,,,,,4280.0,0.02,2m,1.6,0.0,1.5,744.0,2712,0.03,2m,1.6,0.6000000000000001,1.0,848,,,,,,,,5760,0.04,3m,1.2,0.0,0.5,368,,,,,,,,,,,,,,,6752.0,0.03,4m,1.8,0.6000000000000001,0.5,312.0,,,,,,,,1576.0,0.015,1m,1.0,0.0,0.5,128.0,4848,0.035,5m,1.8,0.6000000000000001,2.0,232,,,,,,,,3664,0.045000000000000005,5m,3.0,1.0,0.5,640,2152.0,0.04,5m,2.0,1.0,1.0,952.0,3976,0.05,5m,1.8,0.0,1.5,856,3344,0.01,3m,1.2,0.4,1.5,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432,0.045000000000000005,5m,2.2,0.4,0.5,728,5224,0.025,5m,1.0,0.6000000000000001,0.5,960,2376.0,0.015,5m,2.4000000000000004,1.0,1.5,376.0,0.4,15,COMPLETE
6,6,0.9675007478094728,2025-06-22 16:08:44.278803,2025-06-22 16:09:00.923673,0 days 00:00:16.644870,,,,,,,,2592,0.03,3m,1.4,0.8,1.0,944,5592,0.04,2m,1.8,0.2,1.5,240,7584.0,0.04,3m,1.4,0.6000000000000001,1.0,336.0,3440.0,0.045000000000000005,4m,2.6,0.2,2.0,928.0,3952,0.05,1m,1.8,0.6000000000000001,1.5,1024,,,,,,,,2336,0.015,4m,3.0,0.2,1.5,272,,,,,,,,,,,,,,,5448.0,0.025,1m,1.0,0.8,1.0,688.0,,,,,,,,4624.0,0.015,1m,1.2,0.2,1.5,904.0,4040,0.02,5m,2.4000000000000004,0.2,0.5,744,7440.0,0.04,4m,1.4,0.8,1.0,792.0,2288,0.05,3m,2.2,0.8,2.0,600,4104.0,0.04,1m,1.0,0.0,1.0,800.0,8016,0.01,5m,2.6,0.0,1.0,744,6720,0.025,5m,1.4,0.8,1.5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552,0.035,5m,2.4000000000000004,0.8,2.0,808,4440,0.02,3m,3.0,0.6000000000000001,0.5,824,5312.0,0.025,2m,1.8,0.4,2.0,528.0,0.3,17,COMPLETE
7,7,0.9606801608618141,2025-06-22 16:09:00.990077,2025-06-22 16:09:33.454493,0 days 00:00:32.464416,3256.0,0.035,1m,2.2,0.6000000000000001,1.0,952.0,3592,0.045000000000000005,5m,2.8,0.6000000000000001,1.0,696,4632,0.03,5m,2.0,1.0,1.5,272,2696.0,0.015,1m,1.2,1.0,2.0,200.0,5528.0,0.01,4m,1.0,0.4,0.5,824.0,2856,0.015,1m,1.4,0.0,2.0,880,8120.0,0.04,2m,2.4000000000000004,0.4,1.5,704.0,4152,0.045000000000000005,1m,2.0,1.0,0.5,584,2720.0,0.015,1m,2.6,0.8,1.0,392.0,5272.0,0.05,3m,2.6,1.0,1.0,656.0,6056.0,0.025,3m,2.6,0.6000000000000001,1.5,792.0,7880.0,0.02,3m,2.6,0.6000000000000001,1.5,800.0,8168.0,0.03,1m,2.6,0.2,1.0,872.0,7304,0.02,2m,1.8,0.4,1.0,688,3440.0,0.045000000000000005,2m,2.0,0.2,1.5,928.0,6176,0.03,1m,1.0,0.6000000000000001,1.5,296,3944.0,0.045000000000000005,3m,1.0,0.6000000000000001,0.5,824.0,8144,0.03,1m,2.6,0.0,0.5,752,3472,0.01,4m,1.8,0.4,0.5,760,4824.0,0.05,3m,2.0,0.8,2.0,168.0,4264.0,0.015,5m,1.2,1.0,1.5,488.0,2792.0,0.035,2m,2.6,0.6000000000000001,0.5,800.0,3600.0,0.05,1m,1.0,0.0,1.0,680.0,,,,,,,,5016.0,0.04,1m,2.0,0.6000000000000001,1.5,480.0,4184.0,0.035,1m,2.2,0.4,1.0,264.0,4928.0,0.045000000000000005,5m,1.6,0.8,2.0,160.0,6160,0.025,3m,2.6,1.0,2.0,480,5616,0.03,2m,1.6,0.0,1.0,768,5880.0,0.02,4m,1.4,0.8,1.0,168.0,0.4,29,COMPLETE
8,8,0.9681033251806198,2025-06-22 16:09:33.511612,2025-06-22 16:09:43.614149,0 days 00:00:10.102537,,,,,,,,7768,0.04,5m,2.2,0.0,1.0,608,7632,0.05,4m,2.4000000000000004,0.4,2.0,336,,,,,,,,4488.0,0.035,4m,2.0,0.0,1.5,416.0,3248,0.02,3m,1.2,0.8,1.5,216,,,,,,,,1944,0.025,5m,2.2,0.0,0.5,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6496,0.04,4m,1.0,0.6000000000000001,0.5,640,,,,,,,,1080,0.03,3m,2.0,0.2,2.0,640,,,,,,,,6992,0.01,1m,2.8,0.2,1.5,744,6256,0.01,4m,2.0,0.2,1.5,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5496,0.025,2m,2.6,0.4,0.5,416,5584,0.045000000000000005,2m,1.4,0.6000000000000001,0.5,176,5736.0,0.02,2m,1.6,0.2,1.0,808.0,0.4,12,COMPLETE
9,9,0.9995444818522282,2025-06-22 16:09:43.671025,2025-06-22 16:10:06.873067,0 days 00:00:23.202042,4456.0,0.05,4m,2.2,0.8,2.0,960.0,5712,0.01,2m,2.2,0.8,1.0,864,4928,0.045000000000000005,5m,3.0,0.6000000000000001,0.5,792,2360.0,0.035,2m,1.0,1.0,1.5,864.0,6448.0,0.025,1m,2.8,0.4,1.5,208.0,4616,0.015,5m,2.8,1.0,1.0,608,6424.0,0.035,4m,2.4000000000000004,1.0,1.0,736.0,7456,0.035,3m,2.8,0.8,1.0,304,7480.0,0.03,5m,1.2,0.8,0.5,568.0,,,,,,,,2088.0,0.02,2m,1.2,0.2,1.0,664.0,,,,,,,,5040.0,0.05,4m,2.2,0.4,2.0,512.0,2328,0.01,1m,2.2,0.0,2.0,760,7584.0,0.035,2m,1.8,0.6000000000000001,0.5,512.0,7768,0.02,5m,1.0,0.2,2.0,144,6280.0,0.045000000000000005,5m,2.8,0.4,2.0,936.0,5760,0.035,5m,1.2,1.0,1.0,608,2704,0.015,1m,2.0,0.8,2.0,872,,,,,,,,,,,,,,,,,,,,,,2632.0,0.035,2m,1.4,0.2,1.5,808.0,,,,,,,,7384.0,0.025,2m,1.0,0.8,0.5,480.0,5864.0,0.05,2m,1.2,0.2,1.5,776.0,7224.0,0.02,1m,3.0,0.8,1.0,712.0,3904,0.03,1m,1.8,0.8,1.5,696,1032,0.015,5m,2.2,0.0,1.0,560,3560.0,0.035,4m,2.6,0.4,2.0,904.0,0.2,24,COMPLETE
