,number,value,datetime_start,datetime_complete,duration,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_HON_SBUX_beta_win,params_HON_SBUX_stop_loss,params_HON_SBUX_trade_freq,params_HON_SBUX_z_entry,params_HON_SBUX_z_exit,params_HON_SBUX_z_stop_scaler,params_HON_SBUX_z_win,params_JD_SBUX_beta_win,params_JD_SBUX_stop_loss,params_JD_SBUX_trade_freq,params_JD_SBUX_z_entry,params_JD_SBUX_z_exit,params_JD_SBUX_z_stop_scaler,params_JD_SBUX_z_win,params_MSFT_CTAS_beta_win,params_MSFT_CTAS_stop_loss,params_MSFT_CTAS_trade_freq,params_MSFT_CTAS_z_entry,params_MSFT_CTAS_z_exit,params_MSFT_CTAS_z_stop_scaler,params_MSFT_CTAS_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_TXN_beta_win,params_PDD_TXN_stop_loss,params_PDD_TXN_trade_freq,params_PDD_TXN_z_entry,params_PDD_TXN_z_exit,params_PDD_TXN_z_stop_scaler,params_PDD_TXN_z_win,params_VRTX_EBAY_beta_win,params_VRTX_EBAY_stop_loss,params_VRTX_EBAY_trade_freq,params_VRTX_EBAY_z_entry,params_VRTX_EBAY_z_exit,params_VRTX_EBAY_z_stop_scaler,params_VRTX_EBAY_z_win,params_VRTX_TXN_beta_win,params_VRTX_TXN_stop_loss,params_VRTX_TXN_trade_freq,params_VRTX_TXN_z_entry,params_VRTX_TXN_z_exit,params_VRTX_TXN_z_stop_scaler,params_VRTX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.011280515342879,2025-06-22 16:56:14.540538,2025-06-22 16:56:29.749402,0 days 00:00:15.208864,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,0.5,3,COMPLETE
1,1,0.9791420729999291,2025-06-22 16:56:29.784732,2025-06-22 16:56:38.650721,0 days 00:00:08.865989,1128.0,0.025,7m,1.2,0.4,2.0,544.0,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,5296.0,0.05,2m,2.8,0.4,1.5,928.0,,,,,,,,,,,,,,,,,,,,,,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,0.35000000000000003,7,COMPLETE
2,2,0.9544638383392507,2025-06-22 16:56:38.700740,2025-06-22 16:56:41.981034,0 days 00:00:03.280294,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,1.0349532781068937,2025-06-22 16:56:42.010697,2025-06-22 16:56:53.395194,0 days 00:00:11.384497,7048.0,0.035,8m,1.4,0.8,1.5,160.0,3408,0.02,6m,1.2,1.0,0.5,880,4664.0,0.03,2m,2.2,1.0,1.0,576.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,0.15000000000000002,10,COMPLETE
4,4,0.9440587671891223,2025-06-22 16:56:53.422871,2025-06-22 16:57:02.262535,0 days 00:00:08.839664,1968.0,0.025,5m,1.0,0.2,1.0,680.0,2848,0.035,2m,1.2,0.4,0.5,176,4312.0,0.04,2m,1.4,0.8,0.5,672.0,,,,,,,,,,,,,,,,,,,,,,3864.0,0.05,9m,1.4,0.2,1.5,624.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,0.1,7,COMPLETE
5,5,1.0506679792414166,2025-06-22 16:57:02.308641,2025-06-22 16:57:10.123147,0 days 00:00:07.814506,2000.0,0.035,5m,2.6,0.2,1.0,712.0,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,8040.0,0.015,6m,3.0,0.0,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,1352.0,0.025,9m,1.0,0.8,2.0,992.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,0.35000000000000003,7,COMPLETE
6,6,0.9065750040115407,2025-06-22 16:57:10.152041,2025-06-22 16:57:20.833505,0 days 00:00:10.681464,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,2672,0.05,3m,1.4,0.8,1.0,992,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,0.1,10,COMPLETE
7,7,0.979884731322786,2025-06-22 16:57:20.868318,2025-06-22 16:57:24.918951,0 days 00:00:04.050633,6144.0,0.05,9m,1.8,0.0,0.5,432.0,1288,0.05,8m,2.8,1.0,1.5,832,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,0.4,4,COMPLETE
8,8,0.9435932730071617,2025-06-22 16:57:24.949479,2025-06-22 16:57:33.334988,0 days 00:00:08.385509,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,5704,0.02,8m,1.4,0.2,2.0,976,4088.0,0.05,7m,1.0,0.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,1664.0,0.03,9m,1.4,0.8,2.0,672.0,0.3,6,COMPLETE
9,9,0.9344287397216622,2025-06-22 16:57:33.363424,2025-06-22 16:57:41.719820,0 days 00:00:08.356396,5728.0,0.03,4m,1.2,0.2,2.0,288.0,4872,0.015,5m,1.0,0.2,1.0,584,7440.0,0.04,4m,3.0,0.4,0.5,304.0,,,,,,,,,,,,,,,,,,,,,,3600.0,0.02,3m,3.0,0.4,2.0,680.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,0.15000000000000002,7,COMPLETE
10,10,1.0,2025-06-22 16:57:41.751448,2025-06-22 16:57:48.279020,0 days 00:00:06.527572,,,,,,,,7840,0.01,9m,2.2,0.0,2.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
11,11,0.9371379923988505,2025-06-22 16:57:48.310369,2025-06-22 16:57:58.980034,0 days 00:00:10.669665,7888.0,0.04,8m,3.0,1.0,1.0,976.0,3792,0.035,9m,2.0,0.8,1.5,376,7808.0,0.02,6m,2.2,0.8,1.0,408.0,8160.0,0.05,9m,1.0,1.0,0.5,976.0,2760.0,0.05,7m,1.0,0.0,1.0,184.0,7416.0,0.01,7m,2.2,1.0,0.5,136.0,1240.0,0.02,6m,2.2,1.0,0.5,216.0,4984.0,0.03,5m,1.6,0.2,1.5,944.0,2472.0,0.01,2m,1.0,0.0,2.0,160.0,8016.0,0.05,3m,2.2,1.0,0.5,592.0,0.2,10,COMPLETE
12,12,0.8740116280770254,2025-06-22 16:57:59.053323,2025-06-22 16:58:09.556860,0 days 00:00:10.503537,3800.0,0.01,8m,2.4000000000000004,0.8,1.5,840.0,2184,0.01,7m,1.8,0.8,1.5,640,6224.0,0.01,6m,2.4000000000000004,1.0,0.5,456.0,1864.0,0.04,4m,2.6,1.0,1.0,160.0,,,,,,,,5936.0,0.015,9m,1.0,0.6000000000000001,1.0,200.0,1320.0,0.01,4m,1.0,0.8,0.5,424.0,8120.0,0.03,8m,1.8,0.4,1.5,360.0,8160.0,0.025,3m,2.0,0.2,1.5,520.0,6392.0,0.025,3m,1.8,0.4,0.5,768.0,0.05,9,COMPLETE
13,13,1.0256284838335832,2025-06-22 16:58:09.586619,2025-06-22 16:58:19.422649,0 days 00:00:09.836030,7768.0,0.04,5m,3.0,0.8,1.5,136.0,4064,0.015,6m,2.4000000000000004,0.6000000000000001,1.5,320,6296.0,0.025,3m,1.8,0.6000000000000001,1.0,128.0,,,,,,,,,,,,,,,3664.0,0.025,8m,2.8,0.6000000000000001,1.5,520.0,5440.0,0.025,6m,2.2,0.6000000000000001,2.0,976.0,4504.0,0.02,6m,1.6,0.4,2.0,432.0,3336.0,0.03,4m,1.4,0.2,1.5,640.0,6144.0,0.025,2m,2.8,0.6000000000000001,1.5,432.0,0.25,8,COMPLETE
14,14,1.0021527561231065,2025-06-22 16:58:19.457209,2025-06-22 16:58:25.822790,0 days 00:00:06.365581,2784.0,0.04,3m,2.4000000000000004,1.0,0.5,744.0,2040,0.03,4m,3.0,1.0,1.0,744,1096.0,0.015,8m,2.6,0.2,0.5,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240.0,0.04,5m,2.6,0.2,1.5,904.0,,,,,,,,7280.0,0.045000000000000005,5m,1.8,1.0,1.5,464.0,0.5,5,COMPLETE
