,number,value,datetime_start,datetime_complete,duration,params_AAPL_PDD_beta_win,params_AAPL_PDD_stop_loss,params_AAPL_PDD_trade_freq,params_AAPL_PDD_z_entry,params_AAPL_PDD_z_exit,params_AAPL_PDD_z_stop_scaler,params_AAPL_PDD_z_win,params_AMGN_ADI_beta_win,params_AMGN_ADI_stop_loss,params_AMGN_ADI_trade_freq,params_AMGN_ADI_z_entry,params_AMGN_ADI_z_exit,params_AMGN_ADI_z_stop_scaler,params_AMGN_ADI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_GOOGL_FTNT_beta_win,params_GOOGL_FTNT_stop_loss,params_GOOGL_FTNT_trade_freq,params_GOOGL_FTNT_z_entry,params_GOOGL_FTNT_z_exit,params_GOOGL_FTNT_z_stop_scaler,params_GOOGL_FTNT_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MRNA_PCAR_beta_win,params_MRNA_PCAR_stop_loss,params_MRNA_PCAR_trade_freq,params_MRNA_PCAR_z_entry,params_MRNA_PCAR_z_exit,params_MRNA_PCAR_z_stop_scaler,params_MRNA_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_PDD_PEP_beta_win,params_PDD_PEP_stop_loss,params_PDD_PEP_trade_freq,params_PDD_PEP_z_entry,params_PDD_PEP_z_exit,params_PDD_PEP_z_stop_scaler,params_PDD_PEP_z_win,params_SBUX_TXN_beta_win,params_SBUX_TXN_stop_loss,params_SBUX_TXN_trade_freq,params_SBUX_TXN_z_entry,params_SBUX_TXN_z_exit,params_SBUX_TXN_z_stop_scaler,params_SBUX_TXN_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9984884003609146,2025-06-22 16:56:15.294632,2025-06-22 16:56:30.601581,0 days 00:00:15.306949,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9707230606462286,2025-06-22 16:56:30.637502,2025-06-22 16:56:39.466696,0 days 00:00:08.829194,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,,,,,,,,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,5296.0,0.05,2m,2.8,0.4,1.5,928.0,1128.0,0.025,7m,1.2,0.4,2.0,544.0,,,,,,,,,,,,,,,1688.0,0.05,6m,1.0,1.0,0.5,240.0,0.35000000000000003,7,COMPLETE
2,2,0.9904572521681129,2025-06-22 16:56:39.498827,2025-06-22 16:56:42.775813,0 days 00:00:03.276986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9348636458970697,2025-06-22 16:56:42.836146,2025-06-22 16:56:54.484033,0 days 00:00:11.647887,7208.0,0.025,6m,2.8,0.4,0.5,512.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,3408,0.02,6m,1.2,1.0,0.5,880,4664.0,0.03,2m,2.2,1.0,1.0,576.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,0.15000000000000002,10,COMPLETE
4,4,0.9332405500083083,2025-06-22 16:56:54.525049,2025-06-22 16:57:03.047582,0 days 00:00:08.522533,3864.0,0.05,9m,1.4,0.2,1.5,624.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,,,,,,,,2848,0.035,2m,1.2,0.4,0.5,176,4312.0,0.04,2m,1.4,0.8,0.5,672.0,1968.0,0.025,5m,1.0,0.2,1.0,680.0,,,,,,,,,,,,,,,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,0.1,7,COMPLETE
5,5,0.9869911558645937,2025-06-22 16:57:03.090639,2025-06-22 16:57:11.050727,0 days 00:00:07.960088,1352.0,0.025,9m,1.0,0.8,2.0,992.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,,,,,,,,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,8040.0,0.015,6m,3.0,0.0,0.5,296.0,2000.0,0.035,5m,2.6,0.2,1.0,712.0,,,,,,,,,,,,,,,3376.0,0.03,5m,1.2,0.4,2.0,648.0,0.35000000000000003,7,COMPLETE
6,6,0.9858760741815384,2025-06-22 16:57:11.101530,2025-06-22 16:57:21.883338,0 days 00:00:10.781808,7984.0,0.04,5m,2.8,0.0,1.0,400.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,2672,0.05,3m,1.4,0.8,1.0,992,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,0.1,10,COMPLETE
7,7,0.9921626010370292,2025-06-22 16:57:21.918486,2025-06-22 16:57:26.115654,0 days 00:00:04.197168,,,,,,,,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,,,,,,,,1288,0.05,8m,2.8,1.0,1.5,832,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.9303837606561234,2025-06-22 16:57:26.140170,2025-06-22 16:57:34.385730,0 days 00:00:08.245560,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,1664.0,0.03,9m,1.4,0.8,2.0,672.0,,,,,,,,5704,0.02,8m,1.4,0.2,2.0,976,4088.0,0.05,7m,1.0,0.0,2.0,200.0,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,,,,,,,,,,,,,,,6896.0,0.05,4m,2.2,0.8,2.0,704.0,0.3,6,COMPLETE
9,9,0.9198241269332263,2025-06-22 16:57:34.408087,2025-06-22 16:57:42.789664,0 days 00:00:08.381577,3600.0,0.02,3m,3.0,0.4,2.0,680.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,,,,,,,,4872,0.015,5m,1.0,0.2,1.0,584,7440.0,0.04,4m,3.0,0.4,0.5,304.0,5728.0,0.03,4m,1.2,0.2,2.0,288.0,,,,,,,,,,,,,,,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,0.15000000000000002,7,COMPLETE
