,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_CTSH_ORLY_beta_win,params_CTSH_ORLY_stop_loss,params_CTSH_ORLY_trade_freq,params_CTSH_ORLY_z_entry,params_CTSH_ORLY_z_exit,params_CTSH_ORLY_z_stop_scaler,params_CTSH_ORLY_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9906945594725488,2025-06-22 16:56:14.143843,2025-06-22 16:56:29.624412,0 days 00:00:15.480569,,,,,,,,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,4616.0,0.015,3m,3.0,0.2,1.0,216.0,0.5,3,COMPLETE
1,1,1.0382764816628756,2025-06-22 16:56:29.665242,2025-06-22 16:56:39.149177,0 days 00:00:09.483935,1688.0,0.05,6m,1.0,1.0,0.5,240.0,,,,,,,,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,,,,,,,,5296.0,0.05,2m,2.8,0.4,1.5,928.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,0.35000000000000003,7,COMPLETE
2,2,0.9535883230240895,2025-06-22 16:56:39.183505,2025-06-22 16:56:42.693909,0 days 00:00:03.510404,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,0.4,2,COMPLETE
3,3,1.0102881189008293,2025-06-22 16:56:42.728344,2025-06-22 16:56:55.275400,0 days 00:00:12.547056,8072.0,0.05,6m,2.2,0.4,2.0,624.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,3408,0.02,6m,1.2,1.0,0.5,880,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,0.15000000000000002,10,COMPLETE
4,4,0.9915164992040542,2025-06-22 16:56:55.325533,2025-06-22 16:57:04.298815,0 days 00:00:08.973282,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,,,,,,,,2848,0.035,2m,1.2,0.4,0.5,176,,,,,,,,1968.0,0.025,5m,1.0,0.2,1.0,680.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,4312.0,0.04,2m,1.4,0.8,0.5,672.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,0.1,7,COMPLETE
5,5,0.9933224206799345,2025-06-22 16:57:04.331884,2025-06-22 16:57:13.041893,0 days 00:00:08.710009,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,,,,,,,,2000.0,0.035,5m,2.6,0.2,1.0,712.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,1352.0,0.025,9m,1.0,0.8,2.0,992.0,,,,,,,,8040.0,0.015,6m,3.0,0.0,0.5,296.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,0.35000000000000003,7,COMPLETE
6,6,0.909377748044152,2025-06-22 16:57:13.095057,2025-06-22 16:57:24.823699,0 days 00:00:11.728642,2840.0,0.015,7m,1.2,0.0,2.0,680.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,2672,0.05,3m,1.4,0.8,1.0,992,1600.0,0.04,2m,3.0,0.2,2.0,880.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,0.1,10,COMPLETE
7,7,0.9686531671127487,2025-06-22 16:57:24.849506,2025-06-22 16:57:29.509751,0 days 00:00:04.660245,,,,,,,,,,,,,,,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,,,,,,,,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,4800.0,0.01,7m,1.2,0.0,2.0,192.0,0.4,4,COMPLETE
8,8,0.9657562064289155,2025-06-22 16:57:29.556730,2025-06-22 16:57:38.465380,0 days 00:00:08.908650,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,4088.0,0.05,7m,1.0,0.0,2.0,200.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,0.3,6,COMPLETE
9,9,1.0908051865798623,2025-06-22 16:57:38.484406,2025-06-22 16:57:47.295090,0 days 00:00:08.810684,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,,,,,,,,4872,0.015,5m,1.0,0.2,1.0,584,,,,,,,,5728.0,0.03,4m,1.2,0.2,2.0,288.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,3600.0,0.02,3m,3.0,0.4,2.0,680.0,,,,,,,,7440.0,0.04,4m,3.0,0.4,0.5,304.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,0.15000000000000002,7,COMPLETE
10,10,1.0091280427068399,2025-06-22 16:57:47.338625,2025-06-22 16:57:54.553960,0 days 00:00:07.215335,,,,,,,,,,,,,,,7840,0.01,5m,1.8,0.0,2.0,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
11,11,0.9839797202837884,2025-06-22 16:57:54.579468,2025-06-22 16:58:05.176514,0 days 00:00:10.597046,1544.0,0.04,3m,2.8,1.0,0.5,160.0,,,,,,,,5424,0.03,5m,2.0,0.0,1.0,712,8120.0,0.05,6m,1.0,1.0,0.5,152.0,4736.0,0.01,4m,1.0,0.4,2.0,1024.0,1080.0,0.01,9m,2.4000000000000004,0.6000000000000001,0.5,704.0,4624.0,0.01,3m,3.0,0.6000000000000001,2.0,216.0,,,,,,,,7048.0,0.04,4m,2.6,0.6000000000000001,1.5,984.0,3112.0,0.05,4m,2.8,0.6000000000000001,1.5,1016.0,0.25,8,COMPLETE
12,12,0.9334292962798458,2025-06-22 16:58:05.206396,2025-06-22 16:58:11.039234,0 days 00:00:05.832838,1064.0,0.05,8m,1.8,1.0,0.5,312.0,,,,,,,,6744,0.035,7m,1.8,0.6000000000000001,1.0,440,,,,,,,,4656.0,0.02,7m,1.4,1.0,1.5,128.0,,,,,,,,,,,,,,,,,,,,,,5816.0,0.05,3m,3.0,0.4,1.0,384.0,5696.0,0.045000000000000005,6m,2.6,0.4,1.5,1008.0,0.05,5,COMPLETE
13,13,0.9683739986442017,2025-06-22 16:58:11.079119,2025-06-22 16:58:20.254683,0 days 00:00:09.175564,3704.0,0.04,6m,1.8,0.6000000000000001,1.0,992.0,,,,,,,,5096,0.01,3m,2.4000000000000004,0.2,1.5,688,1256.0,0.015,3m,1.4,0.0,2.0,1024.0,7856.0,0.035,4m,2.2,0.0,2.0,384.0,8192.0,0.015,6m,2.0,0.6000000000000001,1.0,584.0,4816.0,0.01,8m,2.4000000000000004,0.4,2.0,968.0,,,,,,,,7936.0,0.04,9m,2.0,0.6000000000000001,1.5,440.0,3240.0,0.04,8m,1.8,0.6000000000000001,1.5,864.0,0.25,8,COMPLETE
14,14,1.030134961833202,2025-06-22 16:58:20.303967,2025-06-22 16:58:26.800388,0 days 00:00:06.496421,2216.0,0.025,3m,1.0,0.0,1.5,416.0,,,,,,,,4296,0.03,4m,3.0,0.2,1.0,720,,,,,,,,3208.0,0.015,4m,1.0,0.6000000000000001,1.5,864.0,,,,,,,,,,,,,,,,,,,,,,5720.0,0.035,8m,2.6,0.2,0.5,136.0,6184.0,0.025,5m,2.4000000000000004,0.4,2.0,848.0,0.5,5,COMPLETE
15,15,1.0736408881318844,2025-06-22 16:58:26.841493,2025-06-22 16:58:38.496076,0 days 00:00:11.654583,4264.0,0.045000000000000005,2m,2.4000000000000004,0.8,1.5,464.0,,,,,,,,6568,0.04,5m,1.0,0.6000000000000001,1.0,352,4080.0,0.025,9m,2.0,1.0,0.5,528.0,5936.0,0.03,3m,3.0,0.2,2.0,504.0,1168.0,0.03,8m,1.0,0.4,0.5,912.0,2856.0,0.02,8m,2.2,1.0,1.5,744.0,,,,,,,,7136.0,0.05,2m,3.0,0.4,1.0,832.0,2952.0,0.04,2m,1.8,1.0,1.0,856.0,0.2,8,COMPLETE
16,16,1.1029764815789667,2025-06-22 16:58:38.531172,2025-06-22 16:58:51.535015,0 days 00:00:13.003843,5008.0,0.04,2m,2.4000000000000004,0.8,1.5,448.0,1160.0,0.05,4m,2.8,0.0,0.5,152.0,6760,0.04,5m,1.0,0.4,1.5,344,4280.0,0.025,9m,2.0,1.0,0.5,560.0,6088.0,0.04,3m,3.0,0.2,1.5,272.0,1112.0,0.03,8m,1.0,0.0,0.5,960.0,2336.0,0.02,3m,2.2,1.0,1.0,752.0,,,,,,,,6944.0,0.025,4m,2.0,0.2,0.5,784.0,3136.0,0.025,2m,1.6,1.0,1.0,816.0,0.2,9,COMPLETE
17,17,1.0513429494452105,2025-06-22 16:58:51.570015,2025-06-22 16:59:03.337253,0 days 00:00:11.767238,5264.0,0.04,2m,2.6,0.2,1.5,856.0,1048.0,0.05,4m,3.0,0.0,0.5,128.0,8016,0.04,5m,1.0,0.4,1.5,328,4112.0,0.03,5m,2.0,0.6000000000000001,1.0,616.0,5936.0,0.045000000000000005,6m,3.0,0.0,1.5,264.0,2600.0,0.05,8m,2.6,0.0,0.5,864.0,2048.0,0.02,3m,1.8,1.0,1.0,712.0,,,,,,,,7120.0,0.025,4m,2.0,0.2,0.5,776.0,2328.0,0.02,6m,1.6,0.8,0.5,472.0,0.15000000000000002,9,COMPLETE
