,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_AMAT_EBAY_beta_win,params_AMAT_EBAY_stop_loss,params_AMAT_EBAY_trade_freq,params_AMAT_EBAY_z_entry,params_AMAT_EBAY_z_exit,params_AMAT_EBAY_z_stop_scaler,params_AMAT_EBAY_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_CSCO_NVDA_beta_win,params_CSCO_NVDA_stop_loss,params_CSCO_NVDA_trade_freq,params_CSCO_NVDA_z_entry,params_CSCO_NVDA_z_exit,params_CSCO_NVDA_z_stop_scaler,params_CSCO_NVDA_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_CSCO_ZS_beta_win,params_CSCO_ZS_stop_loss,params_CSCO_ZS_trade_freq,params_CSCO_ZS_z_entry,params_CSCO_ZS_z_exit,params_CSCO_ZS_z_stop_scaler,params_CSCO_ZS_z_win,params_CTSH_ZS_beta_win,params_CTSH_ZS_stop_loss,params_CTSH_ZS_trade_freq,params_CTSH_ZS_z_entry,params_CTSH_ZS_z_exit,params_CTSH_ZS_z_stop_scaler,params_CTSH_ZS_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_ZS_beta_win,params_OKTA_ZS_stop_loss,params_OKTA_ZS_trade_freq,params_OKTA_ZS_z_entry,params_OKTA_ZS_z_exit,params_OKTA_ZS_z_stop_scaler,params_OKTA_ZS_z_win,params_SWKS_ZS_beta_win,params_SWKS_ZS_stop_loss,params_SWKS_ZS_trade_freq,params_SWKS_ZS_z_entry,params_SWKS_ZS_z_exit,params_SWKS_ZS_z_stop_scaler,params_SWKS_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0083304052220194,2025-06-22 17:07:23.921869,2025-06-22 17:07:27.795097,0 days 00:00:03.873228,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9831642188222305,2025-06-22 17:07:27.834245,2025-06-22 17:07:39.744792,0 days 00:00:11.910547,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,1688.0,0.05,6m,1.0,1.0,0.5,240.0,1128.0,0.025,7m,1.2,0.4,2.0,544.0,,,,,,,,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,,,,,,,,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,0.35000000000000003,7,COMPLETE
2,2,1.0046805812981625,2025-06-22 17:07:39.830464,2025-06-22 17:07:43.081697,0 days 00:00:03.251233,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9794019347243936,2025-06-22 17:07:43.102081,2025-06-22 17:07:54.411730,0 days 00:00:11.309649,3408,0.02,6m,1.2,1.0,0.5,880,8072.0,0.05,6m,2.2,0.4,2.0,624.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,0.15000000000000002,10,COMPLETE
4,4,0.9653709038173591,2025-06-22 17:07:54.480062,2025-06-22 17:08:02.793241,0 days 00:00:08.313179,2848,0.035,2m,1.2,0.4,0.5,176,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,1968.0,0.025,5m,1.0,0.2,1.0,680.0,,,,,,,,7728.0,0.035,9m,2.0,0.2,1.0,160.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,,,,,,,,3864.0,0.05,9m,1.4,0.2,1.5,624.0,0.1,7,COMPLETE
5,5,0.9648182967136081,2025-06-22 17:08:02.880478,2025-06-22 17:08:10.632926,0 days 00:00:07.752448,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,3376.0,0.03,5m,1.2,0.4,2.0,648.0,2000.0,0.035,5m,2.6,0.2,1.0,712.0,,,,,,,,7032.0,0.015,3m,2.2,1.0,1.0,680.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,,,,,,,,1352.0,0.025,9m,1.0,0.8,2.0,992.0,0.35000000000000003,7,COMPLETE
6,6,0.8817292510721881,2025-06-22 17:08:10.678373,2025-06-22 17:08:21.740326,0 days 00:00:11.061953,2672,0.05,3m,1.4,0.8,1.0,992,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,0.1,10,COMPLETE
7,7,0.9824159965283832,2025-06-22 17:08:21.817481,2025-06-22 17:08:27.767956,0 days 00:00:05.950475,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.974684412697367,2025-06-22 17:08:27.803540,2025-06-22 17:08:35.610247,0 days 00:00:07.806707,5704,0.02,8m,1.4,0.2,2.0,976,6896.0,0.05,4m,2.2,0.8,2.0,704.0,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,,,,,,,,1664.0,0.03,9m,1.4,0.8,2.0,672.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,0.3,6,COMPLETE
9,9,1.0465849854582858,2025-06-22 17:08:35.641926,2025-06-22 17:08:43.890099,0 days 00:00:08.248173,4872,0.015,5m,1.0,0.2,1.0,584,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,5728.0,0.03,4m,1.2,0.2,2.0,288.0,,,,,,,,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,,,,,,,,3600.0,0.02,3m,3.0,0.4,2.0,680.0,0.15000000000000002,7,COMPLETE
