,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ANSS_EBAY_beta_win,params_ANSS_EBAY_stop_loss,params_ANSS_EBAY_trade_freq,params_ANSS_EBAY_z_entry,params_ANSS_EBAY_z_exit,params_ANSS_EBAY_z_stop_scaler,params_ANSS_EBAY_z_win,params_CHTR_FTNT_beta_win,params_CHTR_FTNT_stop_loss,params_CHTR_FTNT_trade_freq,params_CHTR_FTNT_z_entry,params_CHTR_FTNT_z_exit,params_CHTR_FTNT_z_stop_scaler,params_CHTR_FTNT_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_EBAY_FAST_beta_win,params_EBAY_FAST_stop_loss,params_EBAY_FAST_trade_freq,params_EBAY_FAST_z_entry,params_EBAY_FAST_z_exit,params_EBAY_FAST_z_stop_scaler,params_EBAY_FAST_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0098356865397689,2025-06-22 17:08:04.137050,2025-06-22 17:08:08.009381,0 days 00:00:03.872331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,0.5,3,COMPLETE
1,1,0.9723899048613108,2025-06-22 17:08:08.049676,2025-06-22 17:08:16.523420,0 days 00:00:08.473744,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,,,,,,,,,,,,,,,1688.0,0.05,6m,1.0,1.0,0.5,240.0,1128.0,0.025,7m,1.2,0.4,2.0,544.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,,,,,,,,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,6792.0,0.02,3m,1.4,0.8,1.0,656.0,0.35000000000000003,7,COMPLETE
2,2,0.9546231338752982,2025-06-22 17:08:16.565887,2025-06-22 17:08:19.972373,0 days 00:00:03.406486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,0.4,2,COMPLETE
3,3,0.912532646156669,2025-06-22 17:08:20.027219,2025-06-22 17:08:33.801500,0 days 00:00:13.774281,7208.0,0.025,6m,2.8,0.4,0.5,512.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,3408,0.02,6m,1.2,1.0,0.5,880,3624.0,0.02,2m,1.8,0.2,1.5,784.0,0.15000000000000002,10,COMPLETE
4,4,0.9372481314124412,2025-06-22 17:08:33.852462,2025-06-22 17:08:41.766293,0 days 00:00:07.913831,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,,,,,,,,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,1968.0,0.025,5m,1.0,0.2,1.0,680.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,,,,,,,,2848,0.035,2m,1.2,0.4,0.5,176,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,0.1,7,COMPLETE
5,5,0.9595564857606925,2025-06-22 17:08:41.795204,2025-06-22 17:08:49.317959,0 days 00:00:07.522755,1352.0,0.025,9m,1.0,0.8,2.0,992.0,,,,,,,,,,,,,,,3376.0,0.03,5m,1.2,0.4,2.0,648.0,2000.0,0.035,5m,2.6,0.2,1.0,712.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,,,,,,,,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,6832.0,0.025,3m,1.2,0.2,2.0,320.0,0.35000000000000003,7,COMPLETE
6,6,0.90961155432919,2025-06-22 17:08:49.357454,2025-06-22 17:08:59.621632,0 days 00:00:10.264178,7984.0,0.04,5m,2.8,0.0,1.0,400.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,2672,0.05,3m,1.4,0.8,1.0,992,4768.0,0.04,7m,1.4,1.0,1.0,344.0,0.1,10,COMPLETE
7,7,0.9722495288644999,2025-06-22 17:08:59.660569,2025-06-22 17:09:03.497030,0 days 00:00:03.836461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,4800.0,0.01,7m,1.2,0.0,2.0,192.0,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,0.4,4,COMPLETE
8,8,0.8872002552838355,2025-06-22 17:09:03.522779,2025-06-22 17:09:11.261773,0 days 00:00:07.738994,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,,,,,,,,6896.0,0.05,4m,2.2,0.8,2.0,704.0,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,,,,,,,,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,0.3,6,COMPLETE
9,9,0.9733549681406616,2025-06-22 17:09:11.277279,2025-06-22 17:09:19.157331,0 days 00:00:07.880052,3600.0,0.02,3m,3.0,0.4,2.0,680.0,,,,,,,,,,,,,,,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,,,,,,,,4872,0.015,5m,1.0,0.2,1.0,584,1080.0,0.02,9m,2.0,0.4,1.0,840.0,0.15000000000000002,7,COMPLETE
