,number,value,datetime_start,datetime_complete,duration,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_CMCSA_DLTR_beta_win,params_CMCSA_DLTR_stop_loss,params_CMCSA_DLTR_trade_freq,params_CMCSA_DLTR_z_entry,params_CMCSA_DLTR_z_exit,params_CMCSA_DLTR_z_stop_scaler,params_CMCSA_DLTR_z_win,params_CRWD_ROST_beta_win,params_CRWD_ROST_stop_loss,params_CRWD_ROST_trade_freq,params_CRWD_ROST_z_entry,params_CRWD_ROST_z_exit,params_CRWD_ROST_z_stop_scaler,params_CRWD_ROST_z_win,params_CTAS_TMUS_beta_win,params_CTAS_TMUS_stop_loss,params_CTAS_TMUS_trade_freq,params_CTAS_TMUS_z_entry,params_CTAS_TMUS_z_exit,params_CTAS_TMUS_z_stop_scaler,params_CTAS_TMUS_z_win,params_CTSH_DLTR_beta_win,params_CTSH_DLTR_stop_loss,params_CTSH_DLTR_trade_freq,params_CTSH_DLTR_z_entry,params_CTSH_DLTR_z_exit,params_CTSH_DLTR_z_stop_scaler,params_CTSH_DLTR_z_win,params_DDOG_DXCM_beta_win,params_DDOG_DXCM_stop_loss,params_DDOG_DXCM_trade_freq,params_DDOG_DXCM_z_entry,params_DDOG_DXCM_z_exit,params_DDOG_DXCM_z_stop_scaler,params_DDOG_DXCM_z_win,params_DLTR_INTC_beta_win,params_DLTR_INTC_stop_loss,params_DLTR_INTC_trade_freq,params_DLTR_INTC_z_entry,params_DLTR_INTC_z_exit,params_DLTR_INTC_z_stop_scaler,params_DLTR_INTC_z_win,params_DLTR_MU_beta_win,params_DLTR_MU_stop_loss,params_DLTR_MU_trade_freq,params_DLTR_MU_z_entry,params_DLTR_MU_z_exit,params_DLTR_MU_z_stop_scaler,params_DLTR_MU_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_MNST_ZS_beta_win,params_MNST_ZS_stop_loss,params_MNST_ZS_trade_freq,params_MNST_ZS_z_entry,params_MNST_ZS_z_exit,params_MNST_ZS_z_stop_scaler,params_MNST_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9701509818630535,2025-06-22 17:08:51.982212,2025-06-22 17:08:55.920946,0 days 00:00:03.938734,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,2968.0,0.03,5m,1.6,0.2,2.0,664.0,0.5,3,COMPLETE
1,1,0.9948245589246218,2025-06-22 17:08:55.947947,2025-06-22 17:09:04.795547,0 days 00:00:08.847600,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,,,,,,,,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,0.35000000000000003,7,COMPLETE
2,2,0.9570553755284054,2025-06-22 17:09:04.837517,2025-06-22 17:09:07.987269,0 days 00:00:03.149752,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,0.4,2,COMPLETE
3,3,0.999572405742658,2025-06-22 17:09:08.016246,2025-06-22 17:09:18.967727,0 days 00:00:10.951481,3408,0.02,6m,1.2,1.0,0.5,880,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,0.15000000000000002,10,COMPLETE
4,4,0.8993024976715044,2025-06-22 17:09:18.995819,2025-06-22 17:09:27.204801,0 days 00:00:08.208982,2848,0.035,2m,1.2,0.4,0.5,176,,,,,,,,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,1968.0,0.025,5m,1.0,0.2,1.0,680.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,0.1,7,COMPLETE
5,5,0.9697841855075022,2025-06-22 17:09:27.242533,2025-06-22 17:09:34.787387,0 days 00:00:07.544854,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,,,,,,,,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,1352.0,0.025,9m,1.0,0.8,2.0,992.0,,,,,,,,2000.0,0.035,5m,2.6,0.2,1.0,712.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,0.35000000000000003,7,COMPLETE
6,6,0.9940902680653789,2025-06-22 17:09:34.810219,2025-06-22 17:09:44.929932,0 days 00:00:10.119713,2672,0.05,3m,1.4,0.8,1.0,992,1600.0,0.04,2m,3.0,0.2,2.0,880.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,0.1,10,COMPLETE
7,7,0.9857751688824148,2025-06-22 17:09:44.965591,2025-06-22 17:09:48.676919,0 days 00:00:03.711328,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,0.4,4,COMPLETE
8,8,0.9166041292859011,2025-06-22 17:09:48.719706,2025-06-22 17:09:56.053539,0 days 00:00:07.333833,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,,,,,,,,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,0.3,6,COMPLETE
9,9,0.9781245643819046,2025-06-22 17:09:56.094277,2025-06-22 17:10:04.001856,0 days 00:00:07.907579,4872,0.015,5m,1.0,0.2,1.0,584,,,,,,,,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,3600.0,0.02,3m,3.0,0.4,2.0,680.0,,,,,,,,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,0.15000000000000002,7,COMPLETE
10,10,0.9960609469049738,2025-06-22 17:10:04.047847,2025-06-22 17:10:14.527501,0 days 00:00:10.479654,7840,0.035,7m,1.8,0.0,2.0,552,7480.0,0.01,7m,2.2,1.0,0.5,160.0,2336.0,0.015,2m,2.2,0.0,1.5,640.0,3408.0,0.05,8m,1.0,0.0,1.0,128.0,5568.0,0.01,6m,2.2,1.0,0.5,152.0,8120.0,0.05,9m,1.0,1.0,0.5,1008.0,7544.0,0.01,8m,3.0,1.0,1.5,968.0,7968.0,0.035,6m,1.8,0.2,1.5,944.0,5664.0,0.05,2m,1.8,0.4,0.5,456.0,5864.0,0.03,8m,2.2,0.8,1.0,464.0,0.2,10,COMPLETE
11,11,1.0123992144910747,2025-06-22 17:10:14.563142,2025-06-22 17:10:24.953055,0 days 00:00:10.389913,7920,0.035,7m,1.8,0.0,2.0,488,7744.0,0.01,7m,2.2,1.0,0.5,128.0,2336.0,0.01,2m,2.2,0.0,1.5,632.0,3264.0,0.05,8m,1.0,0.0,1.0,200.0,5704.0,0.01,6m,2.2,1.0,0.5,152.0,8192.0,0.05,9m,1.0,1.0,0.5,1024.0,8184.0,0.01,8m,2.2,1.0,1.5,992.0,8176.0,0.035,6m,1.8,0.2,1.5,1016.0,5576.0,0.05,2m,1.8,0.4,0.5,472.0,6080.0,0.03,8m,2.2,0.8,1.0,464.0,0.2,10,COMPLETE
12,12,0.9491789352604226,2025-06-22 17:10:25.000212,2025-06-22 17:10:33.853181,0 days 00:00:08.852969,7400,0.04,6m,1.8,0.0,1.5,416,7512.0,0.01,7m,2.2,0.8,0.5,128.0,3072.0,0.01,2m,2.2,0.0,1.5,792.0,,,,,,,,5624.0,0.01,6m,2.4000000000000004,0.6000000000000001,0.5,144.0,2808.0,0.045000000000000005,9m,2.8,1.0,0.5,1016.0,8128.0,0.01,8m,2.2,1.0,1.5,1000.0,8192.0,0.025,6m,1.8,0.2,1.5,1000.0,8000.0,0.025,5m,1.6,0.0,0.5,440.0,6616.0,0.025,9m,2.0,1.0,1.0,480.0,0.2,9,COMPLETE
13,13,0.9362371955319377,2025-06-22 17:10:33.914860,2025-06-22 17:10:45.888888,0 days 00:00:11.974028,3904,0.01,4m,1.6,0.8,2.0,376,5608.0,0.02,7m,2.6,0.6000000000000001,1.0,352.0,3160.0,0.01,2m,1.8,0.2,0.5,480.0,,,,,,,,5952.0,0.02,6m,2.4000000000000004,0.6000000000000001,0.5,384.0,8112.0,0.04,5m,1.0,1.0,1.0,336.0,6768.0,0.04,8m,1.6,0.8,1.5,184.0,5464.0,0.045000000000000005,8m,1.6,0.2,1.5,328.0,6048.0,0.05,8m,2.8,0.4,1.5,544.0,3536.0,0.035,8m,2.0,0.8,1.0,440.0,0.05,9,COMPLETE
