,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_PANW_beta_win,params_AAPL_PANW_stop_loss,params_AAPL_PANW_trade_freq,params_AAPL_PANW_z_entry,params_AAPL_PANW_z_exit,params_AAPL_PANW_z_stop_scaler,params_AAPL_PANW_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CSCO_LCID_beta_win,params_CSCO_LCID_stop_loss,params_CSCO_LCID_trade_freq,params_CSCO_LCID_z_entry,params_CSCO_LCID_z_exit,params_CSCO_LCID_z_stop_scaler,params_CSCO_LCID_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_FAST_ON_beta_win,params_FAST_ON_stop_loss,params_FAST_ON_trade_freq,params_FAST_ON_z_entry,params_FAST_ON_z_exit,params_FAST_ON_z_stop_scaler,params_FAST_ON_z_win,params_GILD_TEAM_beta_win,params_GILD_TEAM_stop_loss,params_GILD_TEAM_trade_freq,params_GILD_TEAM_z_entry,params_GILD_TEAM_z_exit,params_GILD_TEAM_z_stop_scaler,params_GILD_TEAM_z_win,params_HON_TEAM_beta_win,params_HON_TEAM_stop_loss,params_HON_TEAM_trade_freq,params_HON_TEAM_z_entry,params_HON_TEAM_z_exit,params_HON_TEAM_z_stop_scaler,params_HON_TEAM_z_win,params_INTU_TTD_beta_win,params_INTU_TTD_stop_loss,params_INTU_TTD_trade_freq,params_INTU_TTD_z_entry,params_INTU_TTD_z_exit,params_INTU_TTD_z_stop_scaler,params_INTU_TTD_z_win,params_MNST_PYPL_beta_win,params_MNST_PYPL_stop_loss,params_MNST_PYPL_trade_freq,params_MNST_PYPL_z_entry,params_MNST_PYPL_z_exit,params_MNST_PYPL_z_stop_scaler,params_MNST_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.006717024580215,2025-06-22 17:11:11.127332,2025-06-22 17:11:15.286262,0 days 00:00:04.158930,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9601772784144871,2025-06-22 17:11:15.355242,2025-06-22 17:11:24.468148,0 days 00:00:09.112906,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,1128.0,0.025,7m,1.2,0.4,2.0,544.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,,,,,,,,5296.0,0.05,2m,2.8,0.4,1.5,928.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,,,,,,,,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,0.35000000000000003,7,COMPLETE
2,2,0.9521353577568971,2025-06-22 17:11:24.497674,2025-06-22 17:11:27.674236,0 days 00:00:03.176562,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,1.0004731076251527,2025-06-22 17:11:27.709575,2025-06-22 17:11:39.624670,0 days 00:00:11.915095,3408,0.02,6m,1.2,1.0,0.5,880,7048.0,0.035,8m,1.4,0.8,1.5,160.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,0.15000000000000002,10,COMPLETE
4,4,0.9070672823257859,2025-06-22 17:11:39.651534,2025-06-22 17:11:48.428565,0 days 00:00:08.777031,2848,0.035,2m,1.2,0.4,0.5,176,1968.0,0.025,5m,1.0,0.2,1.0,680.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,,,,,,,,4312.0,0.04,2m,1.4,0.8,0.5,672.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,,,,,,,,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,3864.0,0.05,9m,1.4,0.2,1.5,624.0,0.1,7,COMPLETE
5,5,0.9894624239256876,2025-06-22 17:11:48.501820,2025-06-22 17:11:56.378943,0 days 00:00:07.877123,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,2000.0,0.035,5m,2.6,0.2,1.0,712.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,,,,,,,,8040.0,0.015,6m,3.0,0.0,0.5,296.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,1352.0,0.025,9m,1.0,0.8,2.0,992.0,0.35000000000000003,7,COMPLETE
6,6,0.9898642444405892,2025-06-22 17:11:56.437884,2025-06-22 17:12:07.393228,0 days 00:00:10.955344,2672,0.05,3m,1.4,0.8,1.0,992,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,0.1,10,COMPLETE
7,7,0.9774320040074359,2025-06-22 17:12:07.413452,2025-06-22 17:12:11.540104,0 days 00:00:04.126652,1288,0.05,8m,2.8,1.0,1.5,832,6144.0,0.05,9m,1.8,0.0,0.5,432.0,4800.0,0.01,7m,1.2,0.0,2.0,192.0,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.9530047664905513,2025-06-22 17:12:11.569629,2025-06-22 17:12:19.592505,0 days 00:00:08.022876,5704,0.02,8m,1.4,0.2,2.0,976,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,,,,,,,,4088.0,0.05,7m,1.0,0.0,2.0,200.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,,,,,,,,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,0.3,6,COMPLETE
9,9,0.9464446956475802,2025-06-22 17:12:19.628156,2025-06-22 17:12:29.219061,0 days 00:00:09.590905,4872,0.015,5m,1.0,0.2,1.0,584,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,,,,,,,,7440.0,0.04,4m,3.0,0.4,0.5,304.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,,,,,,,,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,3600.0,0.02,3m,3.0,0.4,2.0,680.0,0.15000000000000002,7,COMPLETE
