,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CSGP_CSX_beta_win,params_CSGP_CSX_stop_loss,params_CSGP_CSX_trade_freq,params_CSGP_CSX_z_entry,params_CSGP_CSX_z_exit,params_CSGP_CSX_z_stop_scaler,params_CSGP_CSX_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_FTNT_ROST_beta_win,params_FTNT_ROST_stop_loss,params_FTNT_ROST_trade_freq,params_FTNT_ROST_z_entry,params_FTNT_ROST_z_exit,params_FTNT_ROST_z_stop_scaler,params_FTNT_ROST_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0023982337366601,2025-06-22 17:12:59.499204,2025-06-22 17:13:04.393132,0 days 00:00:04.893928,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648,0.01,5m,2.2,0.8,1.5,736,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,0.35000000000000003,3,COMPLETE
1,1,0.9767797627753705,2025-06-22 17:13:04.445757,2025-06-22 17:13:10.654681,0 days 00:00:06.208924,,,,,,,,5296,0.05,2m,2.8,0.4,1.5,928,1688.0,0.05,6m,1.0,1.0,0.5,240.0,,,,,,,,,,,,,,,,,,,,,,6640,0.035,8m,3.0,0.2,1.5,1016,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,,,,,,,,0.45,4,COMPLETE
2,2,1.0053600065672126,2025-06-22 17:13:10.740713,2025-06-22 17:13:19.176398,0 days 00:00:08.435685,,,,,,,,2456,0.01,9m,1.6,0.4,2.0,752,6440.0,0.03,8m,1.6,0.8,0.5,1008.0,,,,,,,,,,,,,,,,,,,,,,2856,0.05,7m,2.8,0.0,0.5,592,1160.0,0.02,2m,1.2,1.0,0.5,168.0,2200.0,0.01,2m,2.0,0.6000000000000001,1.5,360.0,2216.0,0.02,7m,2.8,0.0,1.0,880.0,5256.0,0.025,5m,3.0,0.6000000000000001,1.5,608.0,0.25,6,COMPLETE
3,3,0.9721360147527993,2025-06-22 17:13:19.190910,2025-06-22 17:13:28.305968,0 days 00:00:09.115058,3072.0,0.045000000000000005,4m,1.4,0.0,0.5,688.0,8072,0.05,6m,2.2,0.4,2.0,624,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,,,,,,,,,,,,,,,,,,,,,,2920,0.02,4m,2.0,0.6000000000000001,0.5,656,7208.0,0.025,6m,2.8,0.4,0.5,512.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,0.15000000000000002,7,COMPLETE
4,4,0.9676713774517891,2025-06-22 17:13:28.337484,2025-06-22 17:13:36.619989,0 days 00:00:08.282505,7832.0,0.02,8m,3.0,0.2,2.0,264.0,7728,0.035,9m,2.0,0.2,1.0,160,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,2240,0.015,2m,2.8,0.6000000000000001,1.5,240,1968.0,0.025,5m,1.0,0.2,1.0,680.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,2344.0,0.03,9m,1.2,0.0,1.5,752.0,0.35000000000000003,7,COMPLETE
5,5,0.9967037495455933,2025-06-22 17:13:36.655019,2025-06-22 17:13:39.870459,0 days 00:00:03.215440,,,,,,,,2000,0.035,5m,2.6,0.2,1.0,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352,0.025,9m,1.0,0.8,2.0,992,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
6,6,1.021458711576549,2025-06-22 17:13:39.925634,2025-06-22 17:13:44.937108,0 days 00:00:05.011474,,,,,,,,1792,0.05,3m,2.6,1.0,2.0,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336,0.015,7m,1.2,0.8,0.5,288,2672.0,0.05,3m,1.4,0.8,1.0,992.0,,,,,,,,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,,,,,,,,0.1,3,COMPLETE
7,7,0.9905156815314252,2025-06-22 17:13:44.980967,2025-06-22 17:13:48.767294,0 days 00:00:03.786327,,,,,,,,5728,0.035,8m,3.0,1.0,1.5,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968,0.045000000000000005,5m,1.8,0.2,1.0,920,2072.0,0.02,9m,3.0,0.8,1.0,136.0,,,,,,,,7016.0,0.02,8m,1.8,0.0,1.0,208.0,,,,,,,,0.5,3,COMPLETE
8,8,0.9660982743459913,2025-06-22 17:13:48.774238,2025-06-22 17:13:52.892897,0 days 00:00:04.118659,,,,,,,,7552,0.03,2m,1.2,0.8,1.5,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7624,0.045000000000000005,5m,1.4,0.0,2.0,408,5248.0,0.05,7m,2.4000000000000004,0.2,1.5,392.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
9,9,0.990035547206111,2025-06-22 17:13:52.922165,2025-06-22 17:14:03.586783,0 days 00:00:10.664618,2896.0,0.03,7m,2.8,0.4,1.5,808.0,4912,0.05,6m,2.0,0.8,1.0,216,2176.0,0.05,6m,1.0,0.0,0.5,736.0,5392.0,0.04,2m,3.0,0.0,1.5,736.0,,,,,,,,3424.0,0.035,9m,3.0,0.8,1.5,672.0,3280,0.04,8m,2.4000000000000004,1.0,0.5,256,7784.0,0.015,6m,1.2,0.8,1.5,784.0,2792.0,0.01,6m,2.6,0.0,1.0,328.0,7920.0,0.01,3m,2.6,0.8,1.5,776.0,1632.0,0.035,5m,3.0,0.8,1.5,264.0,0.3,9,COMPLETE
