,number,value,datetime_start,datetime_complete,duration,params_ADSK_SIRI_beta_win,params_ADSK_SIRI_stop_loss,params_ADSK_SIRI_trade_freq,params_ADSK_SIRI_z_entry,params_ADSK_SIRI_z_exit,params_ADSK_SIRI_z_stop_scaler,params_ADSK_SIRI_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_ROP_beta_win,params_DASH_ROP_stop_loss,params_DASH_ROP_trade_freq,params_DASH_ROP_z_entry,params_DASH_ROP_z_exit,params_DASH_ROP_z_stop_scaler,params_DASH_ROP_z_win,params_DASH_SIRI_beta_win,params_DASH_SIRI_stop_loss,params_DASH_SIRI_trade_freq,params_DASH_SIRI_z_entry,params_DASH_SIRI_z_exit,params_DASH_SIRI_z_stop_scaler,params_DASH_SIRI_z_win,params_DDOG_SIRI_beta_win,params_DDOG_SIRI_stop_loss,params_DDOG_SIRI_trade_freq,params_DDOG_SIRI_z_entry,params_DDOG_SIRI_z_exit,params_DDOG_SIRI_z_stop_scaler,params_DDOG_SIRI_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_NFLX_SIRI_beta_win,params_NFLX_SIRI_stop_loss,params_NFLX_SIRI_trade_freq,params_NFLX_SIRI_z_entry,params_NFLX_SIRI_z_exit,params_NFLX_SIRI_z_stop_scaler,params_NFLX_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9848529436955357,2025-06-22 17:20:20.369800,2025-06-22 17:20:24.350693,0 days 00:00:03.980893,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9267191554545333,2025-06-22 17:20:24.370992,2025-06-22 17:20:36.134474,0 days 00:00:11.763482,,,,,,,,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,,,,,,,,6792.0,0.02,3m,1.4,0.8,1.0,656.0,0.35000000000000003,7,COMPLETE
2,2,0.9659796203695338,2025-06-22 17:20:36.185730,2025-06-22 17:20:39.574169,0 days 00:00:03.388439,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.8912919494422304,2025-06-22 17:20:39.621134,2025-06-22 17:20:51.095812,0 days 00:00:11.474678,5192.0,0.04,9m,1.2,0.0,1.5,360.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,3408,0.02,6m,1.2,1.0,0.5,880,6216.0,0.04,9m,1.0,1.0,1.0,648.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,0.15000000000000002,10,COMPLETE
4,4,0.8598788126996242,2025-06-22 17:20:51.128645,2025-06-22 17:20:59.414330,0 days 00:00:08.285685,,,,,,,,7728.0,0.035,9m,2.0,0.2,1.0,160.0,2848,0.035,2m,1.2,0.4,0.5,176,,,,,,,,1968.0,0.025,5m,1.0,0.2,1.0,680.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,,,,,,,,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,0.1,7,COMPLETE
5,5,0.9544512849880905,2025-06-22 17:20:59.459977,2025-06-22 17:21:07.995462,0 days 00:00:08.535485,,,,,,,,7032.0,0.015,3m,2.2,1.0,1.0,680.0,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,,,,,,,,2000.0,0.035,5m,2.6,0.2,1.0,712.0,1352.0,0.025,9m,1.0,0.8,2.0,992.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,6832.0,0.025,3m,1.2,0.2,2.0,320.0,0.35000000000000003,7,COMPLETE
6,6,0.8918296533989682,2025-06-22 17:21:08.028800,2025-06-22 17:21:21.003833,0 days 00:00:12.975033,7896.0,0.015,9m,1.6,1.0,2.0,432.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,2672,0.05,3m,1.4,0.8,1.0,992,6208.0,0.015,8m,1.4,0.4,1.5,536.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,0.1,10,COMPLETE
7,7,0.9940959940248241,2025-06-22 17:21:21.042042,2025-06-22 17:21:24.973001,0 days 00:00:03.930959,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.9532434843791641,2025-06-22 17:21:25.006098,2025-06-22 17:21:32.903589,0 days 00:00:07.897491,,,,,,,,1664.0,0.03,9m,1.4,0.8,2.0,672.0,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,7320.0,0.04,2m,1.6,0.0,1.5,816.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
9,9,0.9397427689271056,2025-06-22 17:21:32.935281,2025-06-22 17:21:41.585976,0 days 00:00:08.650695,,,,,,,,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,4872,0.015,5m,1.0,0.2,1.0,584,,,,,,,,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3600.0,0.02,3m,3.0,0.4,2.0,680.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,,,,,,,,1080.0,0.02,9m,2.0,0.4,1.0,840.0,0.15000000000000002,7,COMPLETE
