,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_AMAT_ORLY_beta_win,params_AMAT_ORLY_stop_loss,params_AMAT_ORLY_trade_freq,params_AMAT_ORLY_z_entry,params_AMAT_ORLY_z_exit,params_AMAT_ORLY_z_stop_scaler,params_AMAT_ORLY_z_win,params_AMZN_DASH_beta_win,params_AMZN_DASH_stop_loss,params_AMZN_DASH_trade_freq,params_AMZN_DASH_z_entry,params_AMZN_DASH_z_exit,params_AMZN_DASH_z_stop_scaler,params_AMZN_DASH_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NFLX_ORLY_beta_win,params_NFLX_ORLY_stop_loss,params_NFLX_ORLY_trade_freq,params_NFLX_ORLY_z_entry,params_NFLX_ORLY_z_exit,params_NFLX_ORLY_z_stop_scaler,params_NFLX_ORLY_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0123084353652114,2025-06-22 17:21:02.021214,2025-06-22 17:21:06.195357,0 days 00:00:04.174143,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,0.5,3,COMPLETE
1,1,0.9036979831297437,2025-06-22 17:21:06.248727,2025-06-22 17:21:18.230182,0 days 00:00:11.981455,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,1128.0,0.025,7m,1.2,0.4,2.0,544.0,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,,,,,,,,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,,,,,,,,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,0.35000000000000003,7,COMPLETE
2,2,0.9022772099949871,2025-06-22 17:21:18.267126,2025-06-22 17:21:21.451257,0 days 00:00:03.184131,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,0.4,2,COMPLETE
3,3,0.9640211638966022,2025-06-22 17:21:21.518276,2025-06-22 17:21:33.240412,0 days 00:00:11.722136,7592.0,0.03,3m,2.2,0.0,0.5,576.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,3408,0.02,6m,1.2,1.0,0.5,880,5192.0,0.04,9m,1.2,0.0,1.5,360.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,0.15000000000000002,10,COMPLETE
4,4,0.9395057716371035,2025-06-22 17:21:33.292817,2025-06-22 17:21:42.392312,0 days 00:00:09.099495,7728.0,0.035,9m,2.0,0.2,1.0,160.0,1968.0,0.025,5m,1.0,0.2,1.0,680.0,2848,0.035,2m,1.2,0.4,0.5,176,,,,,,,,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,,,,,,,,3864.0,0.05,9m,1.4,0.2,1.5,624.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,0.1,7,COMPLETE
5,5,0.9344630314407885,2025-06-22 17:21:42.439024,2025-06-22 17:21:50.242594,0 days 00:00:07.803570,7032.0,0.015,3m,2.2,1.0,1.0,680.0,2000.0,0.035,5m,2.6,0.2,1.0,712.0,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,,,,,,,,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,,,,,,,,1352.0,0.025,9m,1.0,0.8,2.0,992.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,0.35000000000000003,7,COMPLETE
6,6,0.8848728636896396,2025-06-22 17:21:50.270341,2025-06-22 17:22:01.425691,0 days 00:00:11.155350,1336.0,0.015,7m,1.2,0.8,0.5,288.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,2672,0.05,3m,1.4,0.8,1.0,992,7896.0,0.015,9m,1.6,1.0,2.0,432.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,0.1,10,COMPLETE
7,7,0.9743625008593432,2025-06-22 17:22:01.448697,2025-06-22 17:22:05.428327,0 days 00:00:03.979630,4800.0,0.01,7m,1.2,0.0,2.0,192.0,6144.0,0.05,9m,1.8,0.0,0.5,432.0,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,0.4,4,COMPLETE
8,8,0.9605678150708306,2025-06-22 17:22:05.450112,2025-06-22 17:22:13.655591,0 days 00:00:08.205479,1664.0,0.03,9m,1.4,0.8,2.0,672.0,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,0.3,6,COMPLETE
9,9,0.9531170430085103,2025-06-22 17:22:13.683120,2025-06-22 17:22:22.618025,0 days 00:00:08.934905,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,5728.0,0.03,4m,1.2,0.2,2.0,288.0,4872,0.015,5m,1.0,0.2,1.0,584,,,,,,,,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,,,,,,,,3600.0,0.02,3m,3.0,0.4,2.0,680.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,0.15000000000000002,7,COMPLETE
