,number,value,datetime_start,datetime_complete,duration,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_CDW_FAST_beta_win,params_CDW_FAST_stop_loss,params_CDW_FAST_trade_freq,params_CDW_FAST_z_entry,params_CDW_FAST_z_exit,params_CDW_FAST_z_stop_scaler,params_CDW_FAST_z_win,params_CDW_GEHC_beta_win,params_CDW_GEHC_stop_loss,params_CDW_GEHC_trade_freq,params_CDW_GEHC_z_entry,params_CDW_GEHC_z_exit,params_CDW_GEHC_z_stop_scaler,params_CDW_GEHC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.00170501659991,2025-06-22 17:21:40.791937,2025-06-22 17:21:44.848411,0 days 00:00:04.056474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,1.0091273400449794,2025-06-22 17:21:44.874606,2025-06-22 17:21:53.962598,0 days 00:00:09.087992,1128.0,0.025,7m,1.2,0.4,2.0,544.0,,,,,,,,,,,,,,,1688.0,0.05,6m,1.0,1.0,0.5,240.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,,,,,,,,5296.0,0.05,2m,2.8,0.4,1.5,928.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,0.35000000000000003,7,COMPLETE
2,2,0.9496564893932449,2025-06-22 17:21:54.005263,2025-06-22 17:21:57.412343,0 days 00:00:03.407080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9811599783473354,2025-06-22 17:21:57.442030,2025-06-22 17:22:09.201900,0 days 00:00:11.759870,7048.0,0.035,8m,1.4,0.8,1.5,160.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,3408,0.02,6m,1.2,1.0,0.5,880,6216.0,0.04,9m,1.0,1.0,1.0,648.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,0.15000000000000002,10,COMPLETE
4,4,0.9426084704177605,2025-06-22 17:22:09.242378,2025-06-22 17:22:17.878582,0 days 00:00:08.636204,1968.0,0.025,5m,1.0,0.2,1.0,680.0,,,,,,,,,,,,,,,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,2848,0.035,2m,1.2,0.4,0.5,176,,,,,,,,4312.0,0.04,2m,1.4,0.8,0.5,672.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,0.1,7,COMPLETE
5,5,0.9935303584735625,2025-06-22 17:22:17.930565,2025-06-22 17:22:25.836371,0 days 00:00:07.905806,2000.0,0.035,5m,2.6,0.2,1.0,712.0,,,,,,,,,,,,,,,3376.0,0.03,5m,1.2,0.4,2.0,648.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,,,,,,,,8040.0,0.015,6m,3.0,0.0,0.5,296.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,1352.0,0.025,9m,1.0,0.8,2.0,992.0,0.35000000000000003,7,COMPLETE
6,6,0.9247141345198873,2025-06-22 17:22:25.920041,2025-06-22 17:22:36.516917,0 days 00:00:10.596876,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,2672,0.05,3m,1.4,0.8,1.0,992,6208.0,0.015,8m,1.4,0.4,1.5,536.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,0.1,10,COMPLETE
7,7,0.9806582036719899,2025-06-22 17:22:36.576874,2025-06-22 17:22:40.782876,0 days 00:00:04.206002,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,,,,,,,,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.9575875823525021,2025-06-22 17:22:40.820090,2025-06-22 17:22:48.917656,0 days 00:00:08.097566,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,,,,,,,,,,,,,,,6896.0,0.05,4m,2.2,0.8,2.0,704.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,4088.0,0.05,7m,1.0,0.0,2.0,200.0,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,0.3,6,COMPLETE
9,9,0.9366899176978241,2025-06-22 17:22:48.946653,2025-06-22 17:22:57.476093,0 days 00:00:08.529440,5728.0,0.03,4m,1.2,0.2,2.0,288.0,,,,,,,,,,,,,,,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,4872,0.015,5m,1.0,0.2,1.0,584,,,,,,,,7440.0,0.04,4m,3.0,0.4,0.5,304.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,3600.0,0.02,3m,3.0,0.4,2.0,680.0,0.15000000000000002,7,COMPLETE
