,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSGP_beta_win,params_AAPL_CSGP_stop_loss,params_AAPL_CSGP_trade_freq,params_AAPL_CSGP_z_entry,params_AAPL_CSGP_z_exit,params_AAPL_CSGP_z_stop_scaler,params_AAPL_CSGP_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADBE_CPRT_beta_win,params_ADBE_CPRT_stop_loss,params_ADBE_CPRT_trade_freq,params_ADBE_CPRT_z_entry,params_ADBE_CPRT_z_exit,params_ADBE_CPRT_z_stop_scaler,params_ADBE_CPRT_z_win,params_AMGN_PANW_beta_win,params_AMGN_PANW_stop_loss,params_AMGN_PANW_trade_freq,params_AMGN_PANW_z_entry,params_AMGN_PANW_z_exit,params_AMGN_PANW_z_stop_scaler,params_AMGN_PANW_z_win,params_AMZN_WBD_beta_win,params_AMZN_WBD_stop_loss,params_AMZN_WBD_trade_freq,params_AMZN_WBD_z_entry,params_AMZN_WBD_z_exit,params_AMZN_WBD_z_stop_scaler,params_AMZN_WBD_z_win,params_AZN_MNST_beta_win,params_AZN_MNST_stop_loss,params_AZN_MNST_trade_freq,params_AZN_MNST_z_entry,params_AZN_MNST_z_exit,params_AZN_MNST_z_stop_scaler,params_AZN_MNST_z_win,params_CSGP_EA_beta_win,params_CSGP_EA_stop_loss,params_CSGP_EA_trade_freq,params_CSGP_EA_z_entry,params_CSGP_EA_z_exit,params_CSGP_EA_z_stop_scaler,params_CSGP_EA_z_win,params_KLAC_WBD_beta_win,params_KLAC_WBD_stop_loss,params_KLAC_WBD_trade_freq,params_KLAC_WBD_z_entry,params_KLAC_WBD_z_exit,params_KLAC_WBD_z_stop_scaler,params_KLAC_WBD_z_win,params_NFLX_WBD_beta_win,params_NFLX_WBD_stop_loss,params_NFLX_WBD_trade_freq,params_NFLX_WBD_z_entry,params_NFLX_WBD_z_exit,params_NFLX_WBD_z_stop_scaler,params_NFLX_WBD_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.997414633874687,2025-06-22 17:27:32.817775,2025-06-22 17:27:36.925521,0 days 00:00:04.107746,2968.0,0.03,5m,1.6,0.2,2.0,664.0,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9718934238319672,2025-06-22 17:27:36.968815,2025-06-22 17:27:46.311763,0 days 00:00:09.342948,5296.0,0.05,2m,2.8,0.4,1.5,928.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,,,,,,,,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,0.35000000000000003,7,COMPLETE
2,2,0.985234296166699,2025-06-22 17:27:46.354455,2025-06-22 17:27:49.818683,0 days 00:00:03.464228,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9813853787366354,2025-06-22 17:27:49.844453,2025-06-22 17:28:01.870927,0 days 00:00:12.026474,4664.0,0.03,2m,2.2,1.0,1.0,576.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,3408,0.02,6m,1.2,1.0,0.5,880,3624.0,0.02,2m,1.8,0.2,1.5,784.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,0.15000000000000002,10,COMPLETE
4,4,1.0702918969171806,2025-06-22 17:28:01.904043,2025-06-22 17:28:10.570758,0 days 00:00:08.666715,4312.0,0.04,2m,1.4,0.8,0.5,672.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,,,,,,,,1968.0,0.025,5m,1.0,0.2,1.0,680.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,2848,0.035,2m,1.2,0.4,0.5,176,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,0.1,7,COMPLETE
5,5,1.0006384630725584,2025-06-22 17:28:10.605865,2025-06-22 17:28:18.559594,0 days 00:00:07.953729,8040.0,0.015,6m,3.0,0.0,0.5,296.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,2000.0,0.035,5m,2.6,0.2,1.0,712.0,1352.0,0.025,9m,1.0,0.8,2.0,992.0,,,,,,,,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,0.35000000000000003,7,COMPLETE
6,6,0.9679922967326343,2025-06-22 17:28:18.591258,2025-06-22 17:28:29.410825,0 days 00:00:10.819567,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,2672,0.05,3m,1.4,0.8,1.0,992,4768.0,0.04,7m,1.4,1.0,1.0,344.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,0.1,10,COMPLETE
7,7,0.989118791512546,2025-06-22 17:28:29.471618,2025-06-22 17:28:33.539957,0 days 00:00:04.068339,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,4800.0,0.01,7m,1.2,0.0,2.0,192.0,,,,,,,,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,,,,,,,,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.9928415990205816,2025-06-22 17:28:33.571942,2025-06-22 17:28:41.719470,0 days 00:00:08.147528,4088.0,0.05,7m,1.0,0.0,2.0,200.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,,,,,,,,0.3,6,COMPLETE
9,9,0.9993081107881816,2025-06-22 17:28:41.756852,2025-06-22 17:28:50.405579,0 days 00:00:08.648727,7440.0,0.04,4m,3.0,0.4,0.5,304.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,,,,,,,,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3600.0,0.02,3m,3.0,0.4,2.0,680.0,,,,,,,,4872,0.015,5m,1.0,0.2,1.0,584,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,0.15000000000000002,7,COMPLETE
