,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_ASML_PAYX_beta_win,params_ASML_PAYX_stop_loss,params_ASML_PAYX_trade_freq,params_ASML_PAYX_z_entry,params_ASML_PAYX_z_exit,params_ASML_PAYX_z_stop_scaler,params_ASML_PAYX_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GFS_SNPS_beta_win,params_GFS_SNPS_stop_loss,params_GFS_SNPS_trade_freq,params_GFS_SNPS_z_entry,params_GFS_SNPS_z_exit,params_GFS_SNPS_z_stop_scaler,params_GFS_SNPS_z_win,params_GILD_META_beta_win,params_GILD_META_stop_loss,params_GILD_META_trade_freq,params_GILD_META_z_entry,params_GILD_META_z_exit,params_GILD_META_z_stop_scaler,params_GILD_META_z_win,params_PYPL_ASML_beta_win,params_PYPL_ASML_stop_loss,params_PYPL_ASML_trade_freq,params_PYPL_ASML_z_entry,params_PYPL_ASML_z_exit,params_PYPL_ASML_z_stop_scaler,params_PYPL_ASML_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9980937306892863,2025-06-22 17:30:03.455458,2025-06-22 17:30:07.400241,0 days 00:00:03.944783,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9826237818779783,2025-06-22 17:30:07.453261,2025-06-22 17:30:17.123840,0 days 00:00:09.670579,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,1128.0,0.025,7m,1.2,0.4,2.0,544.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,,,,,,,,1688.0,0.05,6m,1.0,1.0,0.5,240.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,,,,,,,,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,0.35000000000000003,7,COMPLETE
2,2,0.9751417271273213,2025-06-22 17:30:17.160579,2025-06-22 17:30:20.530889,0 days 00:00:03.370310,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9779539920762318,2025-06-22 17:30:20.562618,2025-06-22 17:30:32.538519,0 days 00:00:11.975901,3408,0.02,6m,1.2,1.0,0.5,880,7048.0,0.035,8m,1.4,0.8,1.5,160.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,0.15000000000000002,10,COMPLETE
4,4,0.9260974052771849,2025-06-22 17:30:32.575637,2025-06-22 17:30:41.300879,0 days 00:00:08.725242,2848,0.035,2m,1.2,0.4,0.5,176,1968.0,0.025,5m,1.0,0.2,1.0,680.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,,,,,,,,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,0.1,7,COMPLETE
5,5,0.9456995333360667,2025-06-22 17:30:41.342987,2025-06-22 17:30:49.196202,0 days 00:00:07.853215,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,2000.0,0.035,5m,2.6,0.2,1.0,712.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,,,,,,,,3376.0,0.03,5m,1.2,0.4,2.0,648.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,1352.0,0.025,9m,1.0,0.8,2.0,992.0,,,,,,,,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,0.35000000000000003,7,COMPLETE
6,6,0.9764379195273111,2025-06-22 17:30:49.222235,2025-06-22 17:31:00.012351,0 days 00:00:10.790116,2672,0.05,3m,1.4,0.8,1.0,992,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,0.1,10,COMPLETE
7,7,0.9366667709191866,2025-06-22 17:31:00.032698,2025-06-22 17:31:04.142172,0 days 00:00:04.109474,1288,0.05,8m,2.8,1.0,1.5,832,6144.0,0.05,9m,1.8,0.0,0.5,432.0,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,1.0089425501643297,2025-06-22 17:31:04.192098,2025-06-22 17:31:12.263696,0 days 00:00:08.071598,5704,0.02,8m,1.4,0.2,2.0,976,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,,,,,,,,6896.0,0.05,4m,2.2,0.8,2.0,704.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,,,,,,,,,,,,,,,0.3,6,COMPLETE
9,9,0.9253618211882455,2025-06-22 17:31:12.301711,2025-06-22 17:31:20.794245,0 days 00:00:08.492534,4872,0.015,5m,1.0,0.2,1.0,584,5728.0,0.03,4m,1.2,0.2,2.0,288.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,,,,,,,,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,3600.0,0.02,3m,3.0,0.4,2.0,680.0,,,,,,,,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,0.15000000000000002,7,COMPLETE
10,10,0.9624342969138898,2025-06-22 17:31:20.840244,2025-06-22 17:31:27.815347,0 days 00:00:06.975103,7728,0.035,7m,1.8,0.0,2.0,592,3808.0,0.01,2m,3.0,1.0,1.5,968.0,4288.0,0.05,3m,1.0,0.6000000000000001,2.0,160.0,,,,,,,,5808.0,0.035,4m,1.8,1.0,1.5,944.0,1568.0,0.05,9m,1.6,0.6000000000000001,1.5,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
11,11,1.0,2025-06-22 17:31:27.841121,2025-06-22 17:31:29.264722,0 days 00:00:01.423601,7344,0.03,8m,2.8,0.2,2.0,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
12,12,1.0,2025-06-22 17:31:29.284718,2025-06-22 17:31:30.608613,0 days 00:00:01.323895,7008,0.035,8m,3.0,0.0,2.0,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
