,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_CMCSA_TXN_beta_win,params_CMCSA_TXN_stop_loss,params_CMCSA_TXN_trade_freq,params_CMCSA_TXN_z_entry,params_CMCSA_TXN_z_exit,params_CMCSA_TXN_z_stop_scaler,params_CMCSA_TXN_z_win,params_CSX_TXN_beta_win,params_CSX_TXN_stop_loss,params_CSX_TXN_trade_freq,params_CSX_TXN_z_entry,params_CSX_TXN_z_exit,params_CSX_TXN_z_stop_scaler,params_CSX_TXN_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_DASH_PAYX_beta_win,params_DASH_PAYX_stop_loss,params_DASH_PAYX_trade_freq,params_DASH_PAYX_z_entry,params_DASH_PAYX_z_exit,params_DASH_PAYX_z_stop_scaler,params_DASH_PAYX_z_win,params_FAST_KLAC_beta_win,params_FAST_KLAC_stop_loss,params_FAST_KLAC_trade_freq,params_FAST_KLAC_z_entry,params_FAST_KLAC_z_exit,params_FAST_KLAC_z_stop_scaler,params_FAST_KLAC_z_win,params_KHC_PEP_beta_win,params_KHC_PEP_stop_loss,params_KHC_PEP_trade_freq,params_KHC_PEP_z_entry,params_KHC_PEP_z_exit,params_KHC_PEP_z_stop_scaler,params_KHC_PEP_z_win,params_LIN_MELI_beta_win,params_LIN_MELI_stop_loss,params_LIN_MELI_trade_freq,params_LIN_MELI_z_entry,params_LIN_MELI_z_exit,params_LIN_MELI_z_stop_scaler,params_LIN_MELI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9629901972399972,2025-06-22 17:34:05.639444,2025-06-22 17:34:09.792739,0 days 00:00:04.153295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,2968.0,0.03,5m,1.6,0.2,2.0,664.0,,,,,,,,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,0.5,3,COMPLETE
1,1,0.9766047053728528,2025-06-22 17:34:09.835257,2025-06-22 17:34:19.242484,0 days 00:00:09.407227,,,,,,,,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,1688.0,0.05,6m,1.0,1.0,0.5,240.0,5296.0,0.05,2m,2.8,0.4,1.5,928.0,,,,,,,,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,1128.0,0.025,7m,1.2,0.4,2.0,544.0,0.35000000000000003,7,COMPLETE
2,2,0.9995366001381016,2025-06-22 17:34:19.278382,2025-06-22 17:34:22.508015,0 days 00:00:03.229633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9253183182732951,2025-06-22 17:34:22.534654,2025-06-22 17:34:34.366107,0 days 00:00:11.831453,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,3624.0,0.02,2m,1.8,0.2,1.5,784.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,3408,0.02,6m,1.2,1.0,0.5,880,8072.0,0.05,6m,2.2,0.4,2.0,624.0,4664.0,0.03,2m,2.2,1.0,1.0,576.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,0.15000000000000002,10,COMPLETE
4,4,1.0117886905719429,2025-06-22 17:34:34.396259,2025-06-22 17:34:42.753330,0 days 00:00:08.357071,,,,,,,,3864.0,0.05,9m,1.4,0.2,1.5,624.0,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,2848,0.035,2m,1.2,0.4,0.5,176,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,4312.0,0.04,2m,1.4,0.8,0.5,672.0,,,,,,,,7728.0,0.035,9m,2.0,0.2,1.0,160.0,1968.0,0.025,5m,1.0,0.2,1.0,680.0,0.1,7,COMPLETE
5,5,0.8997013424814178,2025-06-22 17:34:42.783246,2025-06-22 17:34:50.049904,0 days 00:00:07.266658,,,,,,,,1352.0,0.025,9m,1.0,0.8,2.0,992.0,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,3376.0,0.03,5m,1.2,0.4,2.0,648.0,8040.0,0.015,6m,3.0,0.0,0.5,296.0,,,,,,,,7032.0,0.015,3m,2.2,1.0,1.0,680.0,2000.0,0.035,5m,2.6,0.2,1.0,712.0,0.35000000000000003,7,COMPLETE
6,6,0.9122569706610626,2025-06-22 17:34:50.082751,2025-06-22 17:35:00.244117,0 days 00:00:10.161366,1600.0,0.04,2m,3.0,0.2,2.0,880.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,4768.0,0.04,7m,1.4,1.0,1.0,344.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,2672,0.05,3m,1.4,0.8,1.0,992,2840.0,0.015,7m,1.2,0.0,2.0,680.0,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,0.1,10,COMPLETE
7,7,0.9925158552795988,2025-06-22 17:35:00.267045,2025-06-22 17:35:04.177490,0 days 00:00:03.910445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,,,,,,,,4800.0,0.01,7m,1.2,0.0,2.0,192.0,6144.0,0.05,9m,1.8,0.0,0.5,432.0,0.4,4,COMPLETE
8,8,0.9475482122128815,2025-06-22 17:35:04.205535,2025-06-22 17:35:11.856694,0 days 00:00:07.651159,,,,,,,,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,,,,,,,,5704,0.02,8m,1.4,0.2,2.0,976,6896.0,0.05,4m,2.2,0.8,2.0,704.0,4088.0,0.05,7m,1.0,0.0,2.0,200.0,,,,,,,,1664.0,0.03,9m,1.4,0.8,2.0,672.0,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,0.3,6,COMPLETE
9,9,0.9698468028268624,2025-06-22 17:35:11.890753,2025-06-22 17:35:19.963317,0 days 00:00:08.072564,,,,,,,,3600.0,0.02,3m,3.0,0.4,2.0,680.0,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,4872,0.015,5m,1.0,0.2,1.0,584,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,7440.0,0.04,4m,3.0,0.4,0.5,304.0,,,,,,,,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,5728.0,0.03,4m,1.2,0.2,2.0,288.0,0.15000000000000002,7,COMPLETE
