date,time,PRICE_MDLZ_MDLZ_ON_SIRI,PRICE_SIRI_MDLZ_ON_SIRI,PRICE_COST_COST_ON_PCAR,PRICE_PCAR_COST_ON_PCAR,PRICE_LULU_LULU_ON_PCAR,PRICE_PCAR_LULU_ON_PCAR,BETA_LULU_ON_PCAR,SPREAD_LULU_ON_PCAR,Z_LULU_ON_PCAR,BETA_COST_ON_PCAR,SPREAD_COST_ON_PCAR,Z_COST_ON_PCAR,BETA_MDLZ_ON_SIRI,SPREAD_MDLZ_ON_SIRI,Z_MDLZ_ON_SIRI,market_close,SIGNAL_LULU_ON_PCAR,SIGNAL_COST_ON_PCAR,SIGNAL_MDLZ_ON_SIRI,POS_LULU_ON_PCAR,POS_COST_ON_PCAR,POS_MDLZ_ON_SIRI,POS_BETA_LULU_ON_PCAR,POS_BETA_COST_ON_PCAR,POS_BETA_MDLZ_ON_SIRI,PAIR_BASE_LULU_ON_PCAR,PAIR_BASE_COST_ON_PCAR,PAIR_BASE_MDLZ_ON_SIRI,PAIR_RET_LULU_ON_PCAR,PAIR_RET_COST_ON_PCAR,PAIR_RET_MDLZ_ON_SIRI,SL_LULU_ON_PCAR,SL_COST_ON_PCAR,SL_MDLZ_ON_SIRI,LOSS_LULU_ON_PCAR,LOSS_COST_ON_PCAR,LOSS_MDLZ_ON_SIRI,COOLDOWN_LULU_ON_PCAR,COOLDOWN_COST_ON_PCAR,COOLDOWN_MDLZ_ON_SIRI,CAPITAL_LULU_ON_PCAR,CAPITAL_COST_ON_PCAR,CAPITAL_MDLZ_ON_SIRI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-10-19,13:29:00.000000000,60.0,60.4,463.86,57.3733,417.5,57.3733,-10.000893425179445,991.2842587508478,2.2236572322857238,2.0841775930654807,344.2838536997763,0.9482630158078422,0.02336102859959939,58.5889938725842,1.7382869888307053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:30:00.000000000,59.72,60.55,463.12,57.3067,418.04,57.3067,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:31:00.000000000,59.76,60.3,463.1272,57.37,418.04,57.37,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:32:00.000000000,59.765,60.401,464.3,57.3333,418.05,57.3333,,,,,,,0.02597744541300931,58.195936319608826,1.5012532844055901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:33:00.000000000,59.73,60.4,463.81,57.5267,416.57,57.5267,-10.108306753737187,998.0675301302131,2.231153757311185,2.0835674821979535,343.949238521843,0.9300005939851512,,,,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:34:00.000000000,59.75,60.534,463.918,57.5367,416.9352,57.5367,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:35:00.000000000,59.84,60.6,463.44,57.48,416.76,57.48,,,,,,,0.02838912741725738,58.1196188785142,1.4504398010663078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:36:00.000000000,59.82,60.55,463.36,57.39,417.57,57.39,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:37:00.000000000,59.82,60.55,463.13,57.3473,418.11,57.3473,-10.277243969989133,1007.4821931201578,2.2457852492826094,2.0823189861426896,343.71462840597934,0.9166666319268241,,,,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-10-19,13:38:00.000000000,59.71,60.5,463.17,57.24,417.6401,57.24,,,,,,,0.03112638699050082,57.8268535870747,1.2740126727120549,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
