date,time,PRICE_NFLX_NFLX_ON_TXN,PRICE_TXN_NFLX_ON_TXN,PRICE_CMCSA_CMCSA_ON_MAR,PRICE_MAR_CMCSA_ON_MAR,PRICE_KDP_KDP_ON_TXN,PRICE_TXN_KDP_ON_TXN,BETA_KDP_ON_TXN,SPREAD_KDP_ON_TXN,Z_KDP_ON_TXN,BETA_CMCSA_ON_MAR,SPREAD_CMCSA_ON_MAR,Z_CMCSA_ON_MAR,BETA_NFLX_ON_TXN,SPREAD_NFLX_ON_TXN,Z_NFLX_ON_TXN,market_close,SIGNAL_KDP_ON_TXN,SIGNAL_CMCSA_ON_MAR,SIGNAL_NFLX_ON_TXN,POS_KDP_ON_TXN,POS_CMCSA_ON_MAR,POS_NFLX_ON_TXN,POS_BETA_KDP_ON_TXN,POS_BETA_CMCSA_ON_MAR,POS_BETA_NFLX_ON_TXN,PAIR_BASE_KDP_ON_TXN,PAIR_BASE_CMCSA_ON_MAR,PAIR_BASE_NFLX_ON_TXN,PAIR_RET_KDP_ON_TXN,PAIR_RET_CMCSA_ON_MAR,PAIR_RET_NFLX_ON_TXN,SL_KDP_ON_TXN,SL_CMCSA_ON_MAR,SL_NFLX_ON_TXN,LOSS_KDP_ON_TXN,LOSS_CMCSA_ON_MAR,LOSS_NFLX_ON_TXN,COOLDOWN_KDP_ON_TXN,COOLDOWN_CMCSA_ON_MAR,COOLDOWN_NFLX_ON_TXN,CAPITAL_KDP_ON_TXN,CAPITAL_CMCSA_ON_MAR,CAPITAL_NFLX_ON_TXN,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-04-11,13:29:00.000000000,349.78,172.6,47.61,162.17,37.85,172.6,0.0211566219234845,34.198367056006575,0.8734147822873929,0.2963927439402414,-0.4560112847889428,-0.9890389534432704,1.6469471870627896,65.5169155129625,-1.3525302198606368,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:30:00.000000000,349.6615,172.75,47.61,162.69,37.85,172.75,,,,0.2955328605643191,-0.47024108520907504,-0.9870038840568534,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:31:00.000000000,349.21,172.6,47.76,162.15,37.87,172.6,,,,0.29320338491681397,0.21707113573861392,-0.9313291395466612,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:32:00.000000000,347.97,172.34,47.68,162.08,37.885,172.34,,,,0.2908035344867103,0.5465631303939915,-0.9030778455992813,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:33:00.000000000,346.435,172.13,47.625,162.105,37.91,172.13,0.019020080969217753,34.63607346276854,0.9130194661936092,0.2882507002978433,0.8981202282181187,-0.8731368293382773,1.6547414982726523,61.60434590232836,-1.453509064616151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:34:00.000000000,345.8513,172.42,47.61,162.215,37.91,172.42,,,,0.28600930482072207,1.215000618506572,-0.8458565834495123,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:35:00.000000000,345.83,172.84,47.67,162.76,37.95,172.84,,,,0.28473282048586,1.3268861377214307,-0.8343618009923797,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:36:00.000000000,347.385,173.38,47.68,163.41,38.01,173.38,,,,0.284132963388845,1.2498324526288442,-0.8374483636952708,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:37:00.000000000,348.08,173.235,47.71,163.72,37.98,173.235,0.017516964726924638,34.945448615531205,0.9403223943004603,0.28375813650026965,1.253117892175851,-0.8343328706189188,1.662018583451362,60.160210695803244,-1.4848171153265974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-04-11,13:38:00.000000000,347.07,173.17,47.56,163.59,37.91,173.17,,,,0.2832787211908279,1.2184340003924632,-0.8341637921763397,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
