,number,value,datetime_start,datetime_complete,duration,params_AAPL_BIDU_beta_win,params_AAPL_BIDU_stop_loss,params_AAPL_BIDU_trade_freq,params_AAPL_BIDU_z_entry,params_AAPL_BIDU_z_exit,params_AAPL_BIDU_z_stop_scaler,params_AAPL_BIDU_z_win,params_ALGN_KDP_beta_win,params_ALGN_KDP_stop_loss,params_ALGN_KDP_trade_freq,params_ALGN_KDP_z_entry,params_ALGN_KDP_z_exit,params_ALGN_KDP_z_stop_scaler,params_ALGN_KDP_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_SBUX_KDP_beta_win,params_SBUX_KDP_stop_loss,params_SBUX_KDP_trade_freq,params_SBUX_KDP_z_entry,params_SBUX_KDP_z_exit,params_SBUX_KDP_z_stop_scaler,params_SBUX_KDP_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-2.09762676207732,2025-06-14 19:05:41.634616,2025-06-14 19:05:44.168042,0 days 00:00:02.533426,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-2.86804844889168,2025-06-14 19:05:44.238279,2025-06-14 19:05:46.770949,0 days 00:00:02.532670,,,,,,,,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-3.5546905102571147,2025-06-14 19:05:46.845624,2025-06-14 19:05:54.074824,0 days 00:00:07.229200,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,270,0.008,4m,1.0,1.5,0.5,50,572.0,0.008,4m,1.5,3.5,2.0,386.0,,,,,,,,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,0.38900316445520855,2025-06-14 19:05:54.164062,2025-06-14 19:05:58.120397,0 days 00:00:03.956335,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-1.6423867955071865,2025-06-14 19:05:58.175500,2025-06-14 19:06:02.186475,0 days 00:00:04.010975,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-3.517180863748744,2025-06-14 19:06:02.265125,2025-06-14 19:06:08.868881,0 days 00:00:06.603756,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,430,0.001,4m,2.5,4.0,0.8,278,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,-1.2181452248550135,2025-06-14 19:06:08.930302,2025-06-14 19:06:12.071537,0 days 00:00:03.141235,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-0.7586144203323066,2025-06-14 19:06:12.159761,2025-06-14 19:06:14.551324,0 days 00:00:02.391563,,,,,,,,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-1.3298406742086877,2025-06-14 19:06:14.619960,2025-06-14 19:06:20.123439,0 days 00:00:05.503479,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,-5.242601818647438,2025-06-14 19:06:20.189176,2025-06-14 19:06:27.545087,0 days 00:00:07.355911,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,90,0.004,2m,4.0,1.5,0.9,844,1010.0,0.007,3m,4.0,1.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
10,10,-7.517942655358408,2025-06-14 19:06:27.632761,2025-06-14 19:06:28.720774,0 days 00:00:01.088013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.006,1m,1.0,4.0,1.5,968,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-0.624571266521793,2025-06-14 19:06:28.789650,2025-06-14 19:06:33.811678,0 days 00:00:05.022028,534.0,0.01,3m,2.0,3.0,0.5,918.0,,,,,,,,684.0,0.002,3m,1.0,1.0,1.2000000000000002,520.0,782.0,0.01,3m,4.0,1.5,1.4,440.0,48.0,0.01,1m,4.0,1.5,0.5,76.0,,,,,,,,678,0.004,3m,2.0,3.0,1.1,508,308.0,0.004,2m,1.5,4.0,1.6,850.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
12,12,-3.769850574074138,2025-06-14 19:06:33.889107,2025-06-14 19:06:38.797234,0 days 00:00:04.908127,482.0,0.01,3m,2.0,3.0,0.5,1006.0,,,,,,,,692.0,0.001,3m,1.0,1.0,1.2000000000000002,490.0,710.0,0.008,4m,4.0,1.5,1.1,378.0,68.0,0.01,1m,4.0,1.5,0.5,20.0,,,,,,,,678,0.006,1m,2.0,3.5,1.5,434,308.0,0.004,2m,1.0,4.0,1.7000000000000002,990.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
13,13,-2.9702241709608592,2025-06-14 19:06:38.865462,2025-06-14 19:06:43.790382,0 days 00:00:04.924920,474.0,0.001,3m,2.0,2.5,0.5,952.0,,,,,,,,790.0,0.001,3m,2.5,1.0,1.2000000000000002,540.0,400.0,0.01,1m,4.0,1.0,2.0,426.0,60.0,0.01,1m,4.0,2.0,0.5,24.0,,,,,,,,616,0.003,1m,2.0,3.0,1.1,246,412.0,0.004,2m,1.5,4.0,1.4,40.0,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
14,14,-3.798242697037529,2025-06-14 19:06:43.895332,2025-06-14 19:06:48.075416,0 days 00:00:04.180084,708.0,0.007,3m,1.0,3.5,0.8,754.0,,,,,,,,418.0,0.003,4m,1.0,2.0,1.4,404.0,1006.0,0.008,4m,3.5,1.5,1.2000000000000002,256.0,,,,,,,,,,,,,,,820,0.002,3m,1.5,3.0,1.5,402,294.0,0.004,2m,1.0,4.0,1.9000000000000001,800.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
15,15,-0.32097741209979536,2025-06-14 19:06:48.148885,2025-06-14 19:06:54.343489,0 days 00:00:06.194604,352.0,0.008,3m,2.5,3.0,0.8,722.0,,,,,,,,848.0,0.008,3m,2.0,2.5,0.9,732.0,472.0,0.005,3m,4.0,2.0,1.4,646.0,676.0,0.002,1m,3.0,2.5,0.9,236.0,,,,,,,,572,0.005,1m,2.5,3.5,1.0,598,568.0,0.005,4m,1.5,3.5,1.6,872.0,,,,,,,,1020.0,0.001,1m,4.0,4.0,0.5,1016.0,0.25,7,COMPLETE
16,16,-0.5969730465551705,2025-06-14 19:06:54.406326,2025-06-14 19:07:01.646019,0 days 00:00:07.239693,288.0,0.008,2m,4.0,4.0,0.9,722.0,,,,,,,,858.0,0.008,4m,2.0,2.5,0.9,736.0,448.0,0.005,3m,3.0,2.0,1.0,660.0,702.0,0.001,3m,2.5,2.5,0.9,338.0,1000.0,0.01,2m,4.0,4.0,2.0,36.0,492,0.007,1m,3.0,3.5,1.7000000000000002,604,578.0,0.006,4m,2.0,2.5,1.3,650.0,,,,,,,,990.0,0.002,1m,4.0,4.0,0.6,1024.0,0.35000000000000003,8,COMPLETE
17,17,-2.489357606739231,2025-06-14 19:07:01.747537,2025-06-14 19:07:02.862309,0 days 00:00:01.114772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,0.005,1m,2.5,3.5,1.0,182,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
18,18,1.0467847818110827,2025-06-14 19:07:02.940828,2025-06-14 19:07:09.427698,0 days 00:00:06.486870,284.0,0.005,1m,2.5,2.0,0.8,676.0,,,,,,,,482.0,0.01,3m,2.5,2.5,0.9,20.0,564.0,0.002,4m,3.0,2.0,0.5,790.0,652.0,0.001,2m,3.0,2.5,0.9,242.0,,,,,,,,520,0.01,1m,1.5,4.0,1.3,826,468.0,0.01,4m,1.0,3.5,1.8,890.0,,,,,,,,1014.0,0.01,1m,4.0,4.0,1.1,1016.0,0.3,7,COMPLETE
19,19,1.3692074012776523,2025-06-14 19:07:09.510215,2025-06-14 19:07:13.361850,0 days 00:00:03.851635,,,,,,,,,,,,,,,394.0,0.01,4m,3.0,4.0,0.6,84.0,606.0,0.002,4m,3.0,3.5,0.5,820.0,,,,,,,,,,,,,,,428,0.01,1m,1.5,4.0,1.3,996,446.0,0.01,4m,1.0,2.5,1.8,674.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
20,20,-3.3952965915437465,2025-06-14 19:07:13.426362,2025-06-14 19:07:15.283992,0 days 00:00:01.857630,,,,,,,,,,,,,,,,,,,,,,576.0,0.001,4m,2.0,3.5,0.5,840.0,,,,,,,,,,,,,,,442,0.01,2m,1.0,4.0,1.7000000000000002,1010,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
21,21,4.988567834461186,2025-06-14 19:07:15.347504,2025-06-14 19:07:18.535695,0 days 00:00:03.188191,,,,,,,,,,,,,,,428.0,0.01,4m,3.0,4.0,0.5,40.0,648.0,0.003,4m,3.0,4.0,0.5,998.0,,,,,,,,,,,,,,,530,0.01,1m,1.5,4.0,1.3,878,450.0,0.01,4m,1.0,2.5,1.8,666.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
22,22,3.033548002925668,2025-06-14 19:07:18.600398,2025-06-14 19:07:21.857984,0 days 00:00:03.257586,,,,,,,,,,,,,,,422.0,0.01,4m,3.0,4.0,0.6,66.0,348.0,0.002,4m,3.0,3.5,0.5,1002.0,,,,,,,,,,,,,,,412,0.01,1m,1.5,4.0,1.4,864,460.0,0.01,4m,1.0,2.5,1.8,674.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
23,23,1.5538208580536574,2025-06-14 19:07:21.922336,2025-06-14 19:07:25.143097,0 days 00:00:03.220761,,,,,,,,,,,,,,,330.0,0.009000000000000001,4m,3.5,4.0,0.5,24.0,358.0,0.003,4m,3.0,3.5,0.6,992.0,,,,,,,,,,,,,,,424,0.01,1m,1.5,4.0,1.4,912,666.0,0.01,4m,2.0,2.0,2.0,668.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
24,24,-5.685234687896914,2025-06-14 19:07:25.228570,2025-06-14 19:07:28.414334,0 days 00:00:03.185764,,,,,,,,,,,,,,,288.0,0.008,4m,3.5,4.0,0.7,156.0,340.0,0.003,4m,2.0,3.5,0.7,1006.0,,,,,,,,,,,,,,,148,0.008,1m,1.0,4.0,1.7000000000000002,872,670.0,0.01,4m,2.0,2.0,2.0,700.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
25,25,-2.8836530759503303,2025-06-14 19:07:28.470689,2025-06-14 19:07:30.555963,0 days 00:00:02.085274,,,,,,,,,,,,,,,,,,,,,,306.0,0.003,4m,2.5,4.0,0.7,942.0,,,,,,,,,,,,,,,350,0.01,1m,1.5,3.5,1.4,796,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
26,26,0.8563749996994768,2025-06-14 19:07:30.623453,2025-06-14 19:07:36.322018,0 days 00:00:05.698565,,,,,,,,,,,,,,,316.0,0.009000000000000001,4m,3.5,3.5,0.5,364.0,326.0,0.004,1m,3.0,3.5,0.9,1024.0,,,,,,,,,,,,,,,736,0.007,1m,2.0,2.5,1.6,914,710.0,0.009000000000000001,4m,3.5,2.0,2.0,564.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
27,27,-3.236103579618339,2025-06-14 19:07:36.478690,2025-06-14 19:07:41.356907,0 days 00:00:04.878217,,,,,,,,,,,,,,,,,,,,,,116.0,0.002,4m,2.0,4.0,0.6,904.0,,,,,,,,,,,,,,,392,0.007,1m,1.0,4.0,1.4,744,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
28,28,-0.810140298111062,2025-06-14 19:07:41.509310,2025-06-14 19:07:48.434315,0 days 00:00:06.925005,,,,,,,,,,,,,,,,,,,,,,496.0,0.004,4m,3.5,3.5,0.6,1018.0,,,,,,,,,,,,,,,16,0.01,4m,1.5,3.5,1.2000000000000002,918,630.0,0.01,4m,2.0,2.0,1.8,648.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
29,29,3.478814870846688,2025-06-14 19:07:48.599082,2025-06-14 19:07:55.284971,0 days 00:00:06.685889,,,,,,,,,,,,,,,530.0,0.009000000000000001,4m,3.5,4.0,0.7,18.0,414.0,0.001,4m,2.5,3.0,0.9,878.0,,,,,,,,,,,,,,,252,0.008,2m,3.0,2.5,1.4,766,848.0,0.009000000000000001,4m,3.0,1.0,1.7000000000000002,278.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
30,30,-0.3468904944005824,2025-06-14 19:07:55.381908,2025-06-14 19:07:59.930699,0 days 00:00:04.548791,972.0,0.001,1m,4.0,1.0,2.0,34.0,,,,,,,,524.0,0.007,4m,3.5,3.5,0.7,206.0,668.0,0.001,4m,2.5,3.0,1.0,730.0,,,,,,,,,,,,,,,234,0.008,2m,3.0,2.5,1.8,774,872.0,0.009000000000000001,4m,3.0,1.0,1.7000000000000002,230.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
31,31,4.620553762337115,2025-06-14 19:07:59.997155,2025-06-14 19:08:02.421764,0 days 00:00:02.424609,,,,,,,,,,,,,,,,,,,,,,386.0,0.002,4m,3.0,3.5,0.6,866.0,,,,,,,,,,,,,,,324,0.01,2m,3.5,2.5,1.4,904,848.0,0.01,4m,3.0,1.0,1.9000000000000001,76.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
32,32,-2.2482748558229373,2025-06-14 19:08:02.491285,2025-06-14 19:08:04.972454,0 days 00:00:02.481169,,,,,,,,,,,,,,,,,,,,,,262.0,0.002,4m,2.5,3.0,0.8,894.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,3.5,2.0,1.6,844,868.0,0.009000000000000001,4m,3.0,1.0,1.5,70.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
33,33,-1.4978519573282316,2025-06-14 19:08:05.043386,2025-06-14 19:08:06.816913,0 days 00:00:01.773527,,,,,,,,,,,,,,,,,,,,,,398.0,0.001,4m,3.0,4.0,0.5,854.0,,,,,,,,,,,,,,,342,0.009000000000000001,2m,3.5,2.5,1.4,950,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
34,34,0.8348701356941568,2025-06-14 19:08:06.896022,2025-06-14 19:08:09.292009,0 days 00:00:02.395987,,,,,,,,,,,,,,,,,,,,,,418.0,0.002,1m,3.0,2.5,0.6,940.0,,,,,,,,,,,,,,,284,0.008,2m,3.5,2.0,1.2000000000000002,668,480.0,0.01,4m,3.0,1.5,1.8,222.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
35,35,1.2613591496739611,2025-06-14 19:08:09.363054,2025-06-14 19:08:12.662578,0 days 00:00:03.299524,,,,,,,,,,,,,,,532.0,0.009000000000000001,4m,3.0,4.0,1.0,342.0,490.0,0.003,4m,2.0,3.5,0.9,948.0,,,,,,,,,,,,,,,196,0.009000000000000001,2m,3.0,2.5,1.6,882,826.0,0.008,4m,3.5,1.0,1.9000000000000001,128.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
36,36,-3.147756156829116,2025-06-14 19:08:12.731457,2025-06-14 19:08:16.844193,0 days 00:00:04.112736,814.0,0.004,4m,1.5,2.0,1.5,506.0,,,,,,,,204.0,0.007,2m,4.0,3.0,0.7,126.0,284.0,0.001,2m,1.0,3.0,0.7,756.0,,,,,,,,,,,,,,,480,0.009000000000000001,2m,3.0,3.0,1.1,604,234.0,0.001,1m,3.5,1.5,1.7000000000000002,326.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
37,37,-100.0,2025-06-14 19:08:16.908766,2025-06-14 19:08:19.363210,0 days 00:00:02.454444,,,,,,,,,,,,,,,,,,,,,,540.0,0.002,4m,3.5,4.0,0.9,852.0,,,,,,,,,,,,,,,372,0.01,2m,4.0,2.0,2.0,762,384.0,0.009000000000000001,4m,3.0,2.5,1.9000000000000001,476.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
38,38,2.170882209101206,2025-06-14 19:08:19.420609,2025-06-14 19:08:23.738175,0 days 00:00:04.317566,172.0,0.002,2m,3.5,1.5,1.8,398.0,,,,,,,,426.0,0.01,4m,3.0,3.0,0.6,50.0,912.0,0.004,1m,2.5,3.0,0.7,698.0,,,,,,,,,,,,,,,282,0.008,4m,2.5,1.5,1.3,798,940.0,0.007,4m,3.0,1.0,1.5,156.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
