,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-6.44452860334303,2025-06-14 19:12:10.917983,2025-06-14 19:12:13.384254,0 days 00:00:02.466271,,,,,,,,,,,,,,,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-2.852498227752706,2025-06-14 19:12:13.484957,2025-06-14 19:12:15.846920,0 days 00:00:02.361963,,,,,,,,,,,,,,,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-5.141241969652743,2025-06-14 19:12:15.929766,2025-06-14 19:12:23.322886,0 days 00:00:07.393120,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,0.2,9,COMPLETE
3,3,-6.593742304023198,2025-06-14 19:12:23.394258,2025-06-14 19:12:27.854159,0 days 00:00:04.459901,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-6.158764693392642,2025-06-14 19:12:27.957370,2025-06-14 19:12:32.303200,0 days 00:00:04.345830,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-5.476983327401797,2025-06-14 19:12:32.389717,2025-06-14 19:12:39.888626,0 days 00:00:07.498909,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,0.15000000000000002,8,COMPLETE
6,6,-8.308604951001763,2025-06-14 19:12:39.956139,2025-06-14 19:12:43.445530,0 days 00:00:03.489391,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-3.683957352645953,2025-06-14 19:12:43.500356,2025-06-14 19:12:46.031791,0 days 00:00:02.531435,,,,,,,,,,,,,,,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,0.19515518150325842,2025-06-14 19:12:46.126764,2025-06-14 19:12:51.902175,0 days 00:00:05.775411,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,0.05,7,COMPLETE
9,9,-6.845339749019621,2025-06-14 19:12:51.969018,2025-06-14 19:13:00.269662,0 days 00:00:08.300644,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,0.45,10,COMPLETE
