,number,value,datetime_start,datetime_complete,duration,params_AEP_BIIB_beta_win,params_AEP_BIIB_stop_loss,params_AEP_BIIB_trade_freq,params_AEP_BIIB_z_entry,params_AEP_BIIB_z_exit,params_AEP_BIIB_z_stop_scaler,params_AEP_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_CHTR_MTCH_beta_win,params_CHTR_MTCH_stop_loss,params_CHTR_MTCH_trade_freq,params_CHTR_MTCH_z_entry,params_CHTR_MTCH_z_exit,params_CHTR_MTCH_z_stop_scaler,params_CHTR_MTCH_z_win,params_COST_PANW_beta_win,params_COST_PANW_stop_loss,params_COST_PANW_trade_freq,params_COST_PANW_z_entry,params_COST_PANW_z_exit,params_COST_PANW_z_stop_scaler,params_COST_PANW_z_win,params_EBAY_MTCH_beta_win,params_EBAY_MTCH_stop_loss,params_EBAY_MTCH_trade_freq,params_EBAY_MTCH_z_entry,params_EBAY_MTCH_z_exit,params_EBAY_MTCH_z_stop_scaler,params_EBAY_MTCH_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-3.966972836376731,2025-06-14 19:12:36.917560,2025-06-14 19:12:39.679080,0 days 00:00:02.761520,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-2.0193960740076577,2025-06-14 19:12:39.793114,2025-06-14 19:12:42.541739,0 days 00:00:02.748625,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,5.103359204389965,2025-06-14 19:12:42.646143,2025-06-14 19:12:49.778144,0 days 00:00:07.132001,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,652.0,0.001,4m,3.0,1.5,0.5,828.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,-3.784088415763433,2025-06-14 19:12:49.846960,2025-06-14 19:12:53.991114,0 days 00:00:04.144154,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,-2.7746894184748294,2025-06-14 19:12:54.049435,2025-06-14 19:12:58.140827,0 days 00:00:04.091392,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,-4.970729399413322,2025-06-14 19:12:58.205663,2025-06-14 19:13:04.566347,0 days 00:00:06.360684,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,370.0,0.007,1m,2.0,1.0,1.4,490.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,1.7954137310548832,2025-06-14 19:13:04.629420,2025-06-14 19:13:07.758679,0 days 00:00:03.129259,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-5.124232834136688,2025-06-14 19:13:07.828144,2025-06-14 19:13:10.264879,0 days 00:00:02.436735,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-0.6050326463808798,2025-06-14 19:13:10.320553,2025-06-14 19:13:15.761261,0 days 00:00:05.440708,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,-4.689420960513031,2025-06-14 19:13:15.828208,2025-06-14 19:13:23.652018,0 days 00:00:07.823810,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,552.0,0.003,1m,2.0,3.5,0.7,384.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
