,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AEP_XEL_beta_win,params_AEP_XEL_stop_loss,params_AEP_XEL_trade_freq,params_AEP_XEL_z_entry,params_AEP_XEL_z_exit,params_AEP_XEL_z_stop_scaler,params_AEP_XEL_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_EBAY_MU_beta_win,params_EBAY_MU_stop_loss,params_EBAY_MU_trade_freq,params_EBAY_MU_z_entry,params_EBAY_MU_z_exit,params_EBAY_MU_z_stop_scaler,params_EBAY_MU_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MNST_ZS_beta_win,params_MNST_ZS_stop_loss,params_MNST_ZS_trade_freq,params_MNST_ZS_z_entry,params_MNST_ZS_z_exit,params_MNST_ZS_z_stop_scaler,params_MNST_ZS_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-9.626399012605289,2025-06-14 19:26:41.063502,2025-06-14 19:26:43.586612,0 days 00:00:02.523110,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-3.4212849023927125,2025-06-14 19:26:43.644900,2025-06-14 19:26:46.333454,0 days 00:00:02.688554,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-7.720500157840294,2025-06-14 19:26:46.389515,2025-06-14 19:26:53.881813,0 days 00:00:07.492298,76.0,0.001,3m,2.5,2.5,0.6,388.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,0.2,9,COMPLETE
3,3,-1.7075379809760092,2025-06-14 19:26:53.958280,2025-06-14 19:26:58.246334,0 days 00:00:04.288054,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
4,4,-1.4843072936566013,2025-06-14 19:26:58.310554,2025-06-14 19:27:01.987890,0 days 00:00:03.677336,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
5,5,-7.732539236504743,2025-06-14 19:27:02.038279,2025-06-14 19:27:08.164646,0 days 00:00:06.126367,,,,,,,,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,0.15000000000000002,8,COMPLETE
6,6,-0.43950983402955435,2025-06-14 19:27:08.216652,2025-06-14 19:27:10.983633,0 days 00:00:02.766981,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,-1.5987641773752965,2025-06-14 19:27:11.059263,2025-06-14 19:27:13.564272,0 days 00:00:02.505009,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-2.5578537852717362,2025-06-14 19:27:13.621083,2025-06-14 19:27:19.233535,0 days 00:00:05.612452,,,,,,,,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,0.05,7,COMPLETE
9,9,-9.293647463327352,2025-06-14 19:27:19.300640,2025-06-14 19:27:26.901109,0 days 00:00:07.600469,678.0,0.01,4m,4.0,4.0,2.0,420.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,0.45,10,COMPLETE
10,10,2.6795649169471876,2025-06-14 19:27:26.967368,2025-06-14 19:27:27.919527,0 days 00:00:00.952159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,2.835786602069472,2025-06-14 19:27:27.974989,2025-06-14 19:27:28.883350,0 days 00:00:00.908361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.006,1m,3.0,1.0,0.5,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-2.383034942284957,2025-06-14 19:27:28.942289,2025-06-14 19:27:29.928508,0 days 00:00:00.986219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,0.006,1m,3.0,1.0,0.5,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,2.6818829233653294,2025-06-14 19:27:29.981738,2025-06-14 19:27:31.039261,0 days 00:00:01.057523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0.006,1m,3.0,1.0,1.1,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,0.5215008917131376,2025-06-14 19:27:31.088051,2025-06-14 19:27:32.123221,0 days 00:00:01.035170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.004,1m,2.5,2.0,1.6,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,3.5319719322975325,2025-06-14 19:27:32.178340,2025-06-14 19:27:33.956688,0 days 00:00:01.778348,,,,,,,,,,,,,,,414.0,0.001,1m,4.0,1.0,0.5,56.0,,,,,,,,,,,,,,,806,0.007,1m,3.5,2.5,1.1,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
16,16,4.836798698995352,2025-06-14 19:27:34.012956,2025-06-14 19:27:35.671308,0 days 00:00:01.658352,,,,,,,,,,,,,,,432.0,0.001,1m,4.0,1.0,0.5,22.0,,,,,,,,,,,,,,,836,0.007,1m,3.5,3.0,1.6,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
17,17,-2.1552721161292943,2025-06-14 19:27:35.740847,2025-06-14 19:27:40.375321,0 days 00:00:04.634474,,,,,,,,334.0,0.004,4m,1.5,4.0,2.0,38.0,416.0,0.001,1m,4.0,1.0,0.5,18.0,1014.0,0.001,1m,4.0,2.0,0.5,838.0,,,,,,,,858,0.007,1m,3.5,3.0,1.6,586,,,,,,,,538.0,0.001,3m,1.0,4.0,1.0,602.0,22.0,0.01,1m,4.0,1.5,0.6,46.0,,,,,,,,0.25,6,COMPLETE
18,18,-2.9175057045491024,2025-06-14 19:27:40.436534,2025-06-14 19:27:42.731801,0 days 00:00:02.295267,,,,,,,,574.0,0.004,4m,3.5,2.0,1.6,92.0,398.0,0.003,1m,4.0,1.0,1.1,234.0,,,,,,,,,,,,,,,886,0.002,2m,3.5,3.0,1.6,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
19,19,-0.4008252977185999,2025-06-14 19:27:42.770031,2025-06-14 19:27:44.458928,0 days 00:00:01.688897,,,,,,,,,,,,,,,400.0,0.002,1m,4.0,1.5,0.5,188.0,,,,,,,,,,,,,,,762,0.007,1m,3.5,2.5,1.5,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
20,20,-3.382323043348601,2025-06-14 19:27:44.511895,2025-06-14 19:27:47.913922,0 days 00:00:03.402027,,,,,,,,350.0,0.001,2m,3.5,1.0,1.6,262.0,578.0,0.005,1m,3.0,1.5,1.1,394.0,,,,,,,,,,,,,,,500,0.01,1m,2.0,3.5,1.0,784,,,,,,,,722.0,0.001,3m,1.0,2.5,1.3,990.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
21,21,-0.7032998835359581,2025-06-14 19:27:47.982076,2025-06-14 19:27:49.780924,0 days 00:00:01.798848,,,,,,,,,,,,,,,318.0,0.002,1m,3.0,1.5,0.7,108.0,,,,,,,,,,,,,,,662,0.005,1m,3.5,3.5,1.8,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
22,22,-1.5588569938096535,2025-06-14 19:27:49.847492,2025-06-14 19:27:51.565310,0 days 00:00:01.717818,,,,,,,,,,,,,,,526.0,0.001,1m,4.0,2.0,0.9,324.0,,,,,,,,,,,,,,,1024,0.007,1m,3.0,4.0,1.4,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
23,23,0.40678854154164334,2025-06-14 19:27:51.616331,2025-06-14 19:27:53.354052,0 days 00:00:01.737721,,,,,,,,,,,,,,,698.0,0.004,1m,2.0,1.0,0.5,138.0,,,,,,,,,,,,,,,594,0.005,1m,4.0,2.5,0.7,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
24,24,-5.473596403457845,2025-06-14 19:27:53.432609,2025-06-14 19:27:56.841910,0 days 00:00:03.409301,,,,,,,,730.0,0.01,4m,1.0,1.0,1.8,986.0,322.0,0.002,1m,3.5,2.0,1.1,310.0,,,,,,,,,,,,,,,724,0.007,1m,2.5,3.0,1.1,918,,,,,,,,344.0,0.003,2m,3.5,1.0,0.5,450.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
25,25,-3.4616009202660725,2025-06-14 19:27:56.894003,2025-06-14 19:27:58.679928,0 days 00:00:01.785925,,,,,,,,,,,,,,,40.0,0.005,1m,3.0,2.0,1.4,16.0,,,,,,,,,,,,,,,838,0.008,1m,3.5,2.0,2.0,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
26,26,-2.59727319617414,2025-06-14 19:27:58.739817,2025-06-14 19:27:59.657198,0 days 00:00:00.917381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,0.003,2m,3.0,3.5,1.7000000000000002,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
27,27,-4.981323039135929,2025-06-14 19:27:59.700565,2025-06-14 19:28:03.072012,0 days 00:00:03.371447,,,,,,,,182.0,0.005,3m,2.0,4.0,0.9,656.0,672.0,0.003,3m,4.0,1.5,1.0,160.0,,,,,,,,,,,,,,,470,0.005,3m,3.5,2.5,1.4,856,,,,,,,,792.0,0.008,4m,2.0,2.5,1.0,26.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
28,28,-5.803674490513114,2025-06-14 19:28:03.121972,2025-06-14 19:28:08.059195,0 days 00:00:04.937223,,,,,,,,466.0,0.003,1m,3.0,2.5,0.5,174.0,486.0,0.006,4m,3.5,1.0,0.6,460.0,652.0,0.01,2m,1.0,3.0,0.8,664.0,,,,,,,,712,0.006,4m,4.0,1.5,1.0,1024,,,,,,,,320.0,0.003,3m,2.5,1.0,1.5,738.0,646.0,0.001,3m,4.0,2.0,0.5,28.0,,,,,,,,0.4,6,COMPLETE
29,29,-0.9412153745521207,2025-06-14 19:28:08.083320,2025-06-14 19:28:10.489218,0 days 00:00:02.405898,,,,,,,,22.0,0.001,4m,1.5,2.0,1.4,854.0,464.0,0.004,2m,2.0,2.0,0.7,294.0,,,,,,,,,,,,,,,812,0.01,3m,2.5,3.0,1.3,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
30,30,2.458464433816046,2025-06-14 19:28:10.560914,2025-06-14 19:28:13.576017,0 days 00:00:03.015103,,,,,,,,646.0,0.005,3m,3.5,2.5,0.8,362.0,304.0,0.001,1m,4.0,1.5,0.9,84.0,,,,,,,,,,,,,,,596,0.007,1m,3.5,2.0,0.7,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
31,31,3.0452781277525864,2025-06-14 19:28:13.617203,2025-06-14 19:28:14.643161,0 days 00:00:01.025958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0.006,1m,3.0,1.0,1.1,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
32,32,-4.8726972863522455,2025-06-14 19:28:14.690307,2025-06-14 19:28:17.984530,0 days 00:00:03.294223,,,,,,,,,,,,,,,124.0,0.002,1m,3.5,1.0,0.6,240.0,,,,,,,,,,,,,,,702,0.008,1m,3.0,1.5,1.1,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
33,33,4.526426214538628,2025-06-14 19:28:18.108004,2025-06-14 19:28:20.545140,0 days 00:00:02.437136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.006,1m,3.5,1.0,0.9,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
34,34,-1.2097375165464517,2025-06-14 19:28:20.662208,2025-06-14 19:28:25.309631,0 days 00:00:04.647423,,,,,,,,,,,,,,,616.0,0.008,1m,3.0,1.0,1.3,806.0,,,,,,,,,,,,,,,946,0.005,1m,4.0,1.0,1.2000000000000002,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
