,number,value,datetime_start,datetime_complete,duration,params_AMAT_META_beta_win,params_AMAT_META_stop_loss,params_AMAT_META_trade_freq,params_AMAT_META_z_entry,params_AMAT_META_z_exit,params_AMAT_META_z_stop_scaler,params_AMAT_META_z_win,params_AMAT_NVDA_beta_win,params_AMAT_NVDA_stop_loss,params_AMAT_NVDA_trade_freq,params_AMAT_NVDA_z_entry,params_AMAT_NVDA_z_exit,params_AMAT_NVDA_z_stop_scaler,params_AMAT_NVDA_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_AZN_MRNA_beta_win,params_AZN_MRNA_stop_loss,params_AZN_MRNA_trade_freq,params_AZN_MRNA_z_entry,params_AZN_MRNA_z_exit,params_AZN_MRNA_z_stop_scaler,params_AZN_MRNA_z_win,params_AZN_VRSK_beta_win,params_AZN_VRSK_stop_loss,params_AZN_VRSK_trade_freq,params_AZN_VRSK_z_entry,params_AZN_VRSK_z_exit,params_AZN_VRSK_z_stop_scaler,params_AZN_VRSK_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.9729496395529286,2025-06-14 19:47:52.842483,2025-06-14 19:47:55.584737,0 days 00:00:02.742254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,0.5,3,COMPLETE
1,1,-0.7061842996724587,2025-06-14 19:47:55.667120,2025-06-14 19:47:58.486922,0 days 00:00:02.819802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,0.3,3,COMPLETE
2,2,1.0342672493705423,2025-06-14 19:47:58.551565,2025-06-14 19:48:06.368109,0 days 00:00:07.816544,670.0,0.006,4m,2.0,2.5,0.8,548.0,652.0,0.001,4m,3.0,1.5,0.5,828.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,,,,,,,,76.0,0.001,3m,2.5,2.5,0.6,388.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,270,0.008,4m,1.0,1.5,0.5,50,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,1.3863750631330944,2025-06-14 19:48:06.452129,2025-06-14 19:48:10.954955,0 days 00:00:04.502826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0,0.01,4m,2.5,1.5,1.3,260.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,-4.409267411051663,2025-06-14 19:48:11.022776,2025-06-14 19:48:15.239536,0 days 00:00:04.216760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,-1.3931946708154894,2025-06-14 19:48:15.316759,2025-06-14 19:48:21.968530,0 days 00:00:06.651771,304.0,0.007,4m,1.5,1.0,1.8,648.0,370.0,0.007,1m,2.0,1.0,1.4,490.0,974.0,0.008,4m,3.0,4.0,1.8,922.0,,,,,,,,,,,,,,,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,430,0.001,4m,2.5,4.0,0.8,278,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,0.4779292657915986,2025-06-14 19:48:22.038485,2025-06-14 19:48:25.552286,0 days 00:00:03.513801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,264,0.008,1m,4.0,1.0,0.6,718,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,0.45,4,COMPLETE
7,7,0.555073159529986,2025-06-14 19:48:25.641180,2025-06-14 19:48:28.140583,0 days 00:00:02.499403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,0.1,3,COMPLETE
8,8,0.014299276640826848,2025-06-14 19:48:28.220776,2025-06-14 19:48:34.486301,0 days 00:00:06.265525,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,,,,,,,,,,,,,,,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,-0.8359291903203628,2025-06-14 19:48:34.561061,2025-06-14 19:48:42.887619,0 days 00:00:08.326558,612.0,0.004,2m,1.0,1.5,1.6,82.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,90,0.004,2m,4.0,1.5,0.9,844,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
10,10,1.500001007719217,2025-06-14 19:48:42.983860,2025-06-14 19:48:44.026569,0 days 00:00:01.042709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.006,1m,1.0,4.0,1.5,968,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,1.0572046540439255,2025-06-14 19:48:44.092650,2025-06-14 19:48:45.189590,0 days 00:00:01.096940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,0.006,1m,1.0,4.0,1.5,978,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,0.3059239607813936,2025-06-14 19:48:45.256760,2025-06-14 19:48:46.267057,0 days 00:00:01.010297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,0.006,1m,1.5,3.5,1.5,392,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-0.4690726107772266,2025-06-14 19:48:46.347178,2025-06-14 19:48:51.546682,0 days 00:00:05.199504,,,,,,,,,,,,,,,48.0,0.01,1m,4.0,1.5,0.5,42.0,,,,,,,,,,,,,,,698.0,0.001,4m,1.0,2.5,1.2000000000000002,490.0,640,0.004,1m,2.0,3.5,1.6,992,306.0,0.004,2m,1.0,4.0,1.7000000000000002,76.0,500.0,0.005,4m,4.0,1.0,2.0,382.0,452.0,0.01,3m,2.0,3.0,0.5,1024.0,0.25,6,COMPLETE
14,14,1.242156181165977,2025-06-14 19:48:51.626751,2025-06-14 19:48:52.666029,0 days 00:00:01.039278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,0.007,1m,1.5,3.5,1.2000000000000002,518,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,-4.4029708035774,2025-06-14 19:48:52.717240,2025-06-14 19:48:57.205640,0 days 00:00:04.488400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,0.008,3m,3.0,1.0,1.2000000000000002,466.0,506,0.001,1m,1.0,3.0,1.7000000000000002,188,396.0,0.004,4m,1.5,4.0,1.4,1024.0,454.0,0.008,1m,4.0,1.5,1.1,270.0,426.0,0.001,3m,4.0,2.5,0.6,944.0,0.05,5,COMPLETE
16,16,1.8832164841376724,2025-06-14 19:48:57.267418,2025-06-14 19:49:07.885297,0 days 00:00:10.617879,1002.0,0.001,1m,4.0,4.0,0.5,1024.0,,,,,,,,722.0,0.001,3m,4.0,2.0,0.6,118.0,,,,,,,,,,,,,,,404.0,0.003,4m,2.0,1.0,0.9,640.0,786,0.01,1m,2.0,4.0,1.0,420,546.0,0.01,2m,1.0,1.0,2.0,812.0,1020.0,0.001,4m,3.0,2.0,1.2000000000000002,1016.0,726.0,0.004,2m,1.0,4.0,0.9,724.0,0.4,7,COMPLETE
17,17,-0.8626243642997264,2025-06-14 19:49:08.001824,2025-06-14 19:49:23.809141,0 days 00:00:15.807317,892.0,0.001,1m,4.0,4.0,0.5,956.0,,,,,,,,716.0,0.001,3m,4.0,2.0,0.5,18.0,,,,,,,,,,,,,,,376.0,0.002,3m,1.0,1.0,0.8,716.0,840,0.003,1m,2.5,4.0,1.0,594,582.0,0.004,2m,1.5,1.0,2.0,670.0,1012.0,0.001,4m,2.0,2.0,0.5,830.0,920.0,0.003,2m,1.0,4.0,0.9,714.0,0.4,7,COMPLETE
18,18,1.3441132631939028,2025-06-14 19:49:23.979004,2025-06-14 19:49:32.651791,0 days 00:00:08.672787,976.0,0.01,1m,4.0,4.0,1.0,956.0,,,,,,,,632.0,0.001,3m,3.0,2.5,0.9,274.0,,,,,,,,,,,,,,,436.0,0.003,4m,2.0,4.0,0.9,1014.0,850,0.01,2m,2.0,3.0,1.1,770,724.0,0.01,4m,3.5,1.0,1.7000000000000002,62.0,376.0,0.003,1m,3.0,1.0,1.1,1018.0,694.0,0.001,2m,1.5,2.0,0.9,708.0,0.5,7,COMPLETE
19,19,-6.574021117049466,2025-06-14 19:49:32.755583,2025-06-14 19:49:41.481689,0 days 00:00:08.726106,786.0,0.001,1m,3.0,2.5,0.6,204.0,26.0,0.009000000000000001,2m,4.0,4.0,2.0,34.0,776.0,0.004,1m,2.0,2.0,0.9,234.0,1022.0,0.001,1m,1.0,4.0,2.0,982.0,1018.0,0.005,1m,1.0,1.0,1.5,992.0,520.0,0.001,4m,2.0,2.5,0.5,686.0,762,0.007,1m,3.0,4.0,1.4,890,480.0,0.01,2m,2.0,2.0,1.8,888.0,652.0,0.002,4m,2.0,2.0,1.4,26.0,738.0,0.004,1m,1.5,3.0,1.5,682.0,0.3,10,COMPLETE
20,20,-3.028875453864661,2025-06-14 19:49:41.563948,2025-06-14 19:49:47.894901,0 days 00:00:06.330953,20.0,0.003,2m,3.0,3.5,1.4,334.0,1004.0,0.01,3m,1.0,2.5,2.0,922.0,166.0,0.003,2m,3.5,1.0,0.8,670.0,,,,,,,,,,,,,,,292.0,0.004,2m,3.5,2.0,1.0,376.0,496,0.005,1m,2.0,2.5,1.8,452,240.0,0.001,2m,3.0,2.0,1.5,254.0,724.0,0.005,4m,3.0,1.5,1.1,712.0,260.0,0.008,2m,2.0,3.5,0.9,510.0,0.4,8,COMPLETE
21,21,0.5230199602268388,2025-06-14 19:49:47.979950,2025-06-14 19:49:52.733011,0 days 00:00:04.753061,,,,,,,,,,,,,,,512.0,0.007,3m,3.5,2.5,1.0,1016.0,,,,,,,,,,,,,,,834.0,0.01,4m,2.5,1.5,1.5,24.0,580,0.01,1m,1.5,3.5,1.3,232,428.0,0.006,2m,1.0,2.5,1.3,854.0,840.0,0.006,4m,3.5,2.0,1.2000000000000002,596.0,324.0,0.005,3m,2.5,4.0,0.7,884.0,0.25,6,COMPLETE
22,22,-6.085827872434639,2025-06-14 19:49:52.804856,2025-06-14 19:49:54.668718,0 days 00:00:01.863862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.01,1m,1.0,4.0,1.0,400,,,,,,,,924.0,0.009000000000000001,4m,3.5,3.5,1.5,462.0,,,,,,,,0.4,2,COMPLETE
23,23,1.6930107679169517,2025-06-14 19:49:54.736077,2025-06-14 19:49:57.802353,0 days 00:00:03.066276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,0.006,4m,2.5,1.0,1.4,320.0,698,0.008,1m,1.5,3.5,1.4,128,286.0,0.005,2m,1.0,2.5,0.9,700.0,788.0,0.004,4m,4.0,1.5,0.9,624.0,,,,,,,,0.3,4,COMPLETE
24,24,2.1588315249344796,2025-06-14 19:49:57.888879,2025-06-14 19:50:01.360035,0 days 00:00:03.471156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.0,0.006,4m,1.5,1.0,1.3,390.0,898,0.007,1m,2.5,4.0,1.6,124,630.0,0.005,2m,2.0,1.5,0.9,682.0,772.0,0.003,4m,4.0,1.5,0.9,838.0,,,,,,,,0.3,4,COMPLETE
25,25,2.901471670964126,2025-06-14 19:50:01.436008,2025-06-14 19:50:04.712740,0 days 00:00:03.276732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,0.006,4m,1.5,1.0,1.4,402.0,864,0.008,1m,2.5,3.0,1.7000000000000002,152,642.0,0.005,2m,2.0,1.5,0.8,674.0,746.0,0.003,4m,4.0,1.5,0.9,994.0,,,,,,,,0.3,4,COMPLETE
26,26,3.496212575361722,2025-06-14 19:50:04.799144,2025-06-14 19:50:08.193658,0 days 00:00:03.394514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,0.007,4m,1.5,1.0,1.1,590.0,910,0.007,3m,2.5,3.0,1.7000000000000002,140,650.0,0.005,2m,2.0,1.5,0.8,622.0,568.0,0.002,4m,4.0,1.5,1.0,1024.0,,,,,,,,0.2,4,COMPLETE
